# Participant: P0
# Mask Type: AURA
# Fit Condition: leak
# Exercise: quiet_breathing
# Date: 20250608
# Time: 210910
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
4012029903,0,-0.035,0.042,0.064,-331477,-483308,116868,731.6,8517.4,4004779903,4004.7799029999996
4012030561,658,-0.078,0.067,-0.05,-331571,-483201,116393,731.6,8517.4,4004780561,4004.780561
4012031582,1679,0.002,0.078,0.055,-331397,-483156,116833,731.6,8517.4,4004781582,4004.7815819999996
4012032603,2700,0.014,0.043,0.011,-331370,-483303,116649,731.6,8517.4,4004782603,4004.7826029999997
4012033624,3721,-0.164,0.062,-0.009,-331758,-483221,116567,731.6,8517.4,4004783624,4004.7836239999997
4012034645,4742,0.148,0.059,-0.017,-331078,-483237,116533,731.6,8517.4,4004784645,4004.7846449999997
4012035666,5763,0.007,0.059,0.003,-331385,-483234,116616,731.6,8517.4,4004785666,4004.7856659999998
4012036687,6784,-0.087,0.115,0.094,-331591,-483000,116993,731.6,8517.4,4004786687,4004.786687
4012037708,7805,0.114,0.048,0.042,-331152,-483283,116777,731.6,8517.4,4004787708,4004.787708
4012038729,8826,0.057,0.076,0.042,-331278,-483163,116777,731.6,8517.4,4004788729,4004.788729
4012039750,9847,-0.057,-0.05,0.001,-331525,-483694,116606,731.6,8517.4,4004789750,4004.78975
4012040771,10868,-0.001,0.009,-0.034,-331404,-483446,116460,731.6,8517.4,4004790771,4004.790771
4012041791,11888,-0.21,0.032,-0.053,-331858,-483349,116380,731.6,8517.4,4004791791,4004.7917909999996
4012042813,12910,-0.054,0.025,-0.023,-331518,-483380,116506,731.6,8517.4,4004792813,4004.792813
4012043833,13930,-0.125,0.008,0.029,-331672,-483451,116723,731.6,8517.4,4004793833,4004.7938329999997
4012044854,14951,-0.145,-0.034,0.07,-331716,-483626,116893,731.6,8517.4,4004794854,4004.7948539999998
4012045875,15972,-0.107,0.068,0.032,-331634,-483199,116734,731.6,8517.4,4004795875,4004.795875
4012046896,16993,-0.132,0.046,-0.044,-331689,-483290,116421,731.6,8517.4,4004796896,4004.796896
4012047917,18014,-0.12,0.045,-0.001,-331661,-483293,116597,731.6,8517.4,4004797917,4004.797917
4012048938,19035,-0.032,0.125,-0.001,-331470,-482956,116597,731.6,8517.4,4004798938,4004.798938
4012049959,20056,-0.122,-0.02,-0.027,-331667,-483570,116491,731.6,8517.4,4004799959,4004.799959
4012050980,21077,-0.105,0.021,0.011,-331629,-483396,116649,731.6,8517.4,4004800980,4004.80098
4012052001,22098,0.043,-0.025,0.042,-331308,-483589,116777,731.6,8517.4,4004802001,4004.802001
4012053022,23119,-0.055,0.049,-0.056,-331521,-483276,116369,731.6,8517.4,4004803022,4004.8030219999996
4012054043,24140,0.064,0.038,0.045,-331262,-483326,116788,731.6,8517.4,4004804043,4004.8040429999996
4012055064,25161,0.049,0.061,0.035,-331294,-483226,116747,731.6,8517.4,4004805064,4004.8050639999997
4012056085,26182,-0.069,-0.003,-0.03,-331552,-483496,116479,731.6,8517.4,4004806085,4004.8060849999997
