# Participant: P0
# Mask Type: AURA
# Fit Condition: leak
# Exercise: rainbow
# Date: 20250608
# Time: 211324
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
4266394329,0,-30.307,-1.36,0.193,-397369,-489325,117322,470.9,9936.5,4259144329,4259.144329
4266394711,382,-30.349,-1.606,0.193,-397459,-490362,117322,470.9,9936.5,4259144711,4259.144711
4266395731,1402,-30.287,-1.78,0.18,-397324,-491094,117271,470.9,9936.5,4259145731,4259.145731
4266396750,2421,-30.281,-1.921,0.17,-397312,-491686,117227,470.9,9936.5,4259146750,4259.14675
4266397770,3441,-30.186,-1.865,0.188,-397104,-491454,117304,470.9,9936.5,4259147770,4259.14777
4266398789,4460,-30.231,-1.892,0.146,-397203,-491565,117129,470.9,9936.5,4259148789,4259.148789
4266399809,5480,-30.316,-1.671,0.146,-397387,-490633,117129,470.9,9936.5,4259149809,4259.149809
4266400828,6499,-30.27,-1.523,0.203,-397288,-490012,117364,470.9,9936.5,4259150828,4259.150828
4266401848,7519,-30.277,-1.388,0.245,-397303,-489442,117541,470.9,9936.5,4259151848,4259.1518479999995
4266402867,8538,-30.49,-1.204,0.095,-397766,-488665,116913,470.9,9936.5,4259152867,4259.152867
4266403887,9558,-30.212,-1.159,0.274,-397161,-488479,117662,470.9,9936.5,4259153887,4259.1538869999995
4266404907,10578,-30.209,-0.996,0.238,-397154,-487791,117509,470.9,9936.5,4259154907,4259.154907
4266405926,11597,-30.087,-1.042,0.274,-396890,-487985,117659,470.9,9936.5,4259155926,4259.155925999999
4266406946,12617,-30.083,-1.095,0.188,-396881,-488207,117301,470.9,9936.5,4259156946,4259.156946
4266407965,13636,-30.319,-1.128,0.27,-397394,-488348,117642,470.9,9936.5,4259157965,4259.157964999999
4266408985,14656,-30.237,-1.097,0.186,-397215,-488217,117293,470.9,9936.5,4259158985,4259.158985
4266410004,15675,-30.156,-1.201,0.138,-397039,-488652,117092,470.9,9936.5,4259160004,4259.160003999999
4266411024,16695,-30.187,-1.299,0.153,-397107,-489065,117155,470.9,9936.5,4259161024,4259.161024
4266412043,17714,-30.17,-1.301,0.129,-397069,-489077,117056,470.9,9936.5,4259162043,4259.162042999999
4266413063,18734,-30.256,-1.318,0.155,-397257,-489146,117164,470.9,9936.5,4259163063,4259.163063
4266414082,19753,-30.258,-1.373,0.068,-397261,-489378,116801,470.9,9936.5,4259164082,4259.164082
4266415102,20773,-30.188,-1.375,0.142,-397109,-489389,117110,470.9,9936.5,4259165102,4259.165102
4266416122,21793,-30.132,-1.311,0.172,-396987,-489118,117235,470.9,9936.5,4259166122,4259.166122
4266417141,22812,-30.191,-1.355,0.168,-397115,-489301,117217,470.9,9936.5,4259167141,4259.167141
4266418161,23832,-30.122,-1.41,0.167,-396965,-489535,117216,470.9,9936.5,4259168161,4259.168161
4266419180,24851,-30.215,-1.331,0.125,-397169,-489203,117041,470.9,9936.5,4259169180,4259.16918
4266420200,25871,-30.099,-1.468,0.119,-396915,-489779,117017,470.9,9936.5,4259170200,4259.1702
4266421219,26890,-30.246,-1.595,0.136,-397235,-490313,117086,470.9,9936.5,4259171219,4259.171219
4266422239,27910,-30.271,-1.621,0.105,-397290,-490423,116958,470.9,9936.5,4259172239,4259.1722389999995
4266423258,28929,-30.083,-1.61,0.151,-396880,-490377,117147,470.9,9936.5,4259173258,4259.173258
4266424278,29949,-30.307,-1.418,0.164,-397368,-489570,117201,470.9,9936.5,4259174278,4259.1742779999995
4266425297,30968,-30.238,-1.459,0.181,-397218,-489743,117274,470.9,9936.5,4259175297,4259.175297
4266426317,31988,-30.177,-1.446,0.103,-397086,-489687,116950,470.9,9936.5,4259176317,4259.1763169999995
4266427336,33007,-30.33,-1.403,0.071,-397417,-489504,116814,470.9,9936.5,4259177336,4259.177336
4266428356,34027,-30.332,-1.267,0.119,-397423,-488933,117015,470.9,9936.5,4259178356,4259.178355999999
4266429376,35047,-30.313,-1.301,0.077,-397382,-489077,116838,470.9,9936.5,4259179376,4259.179376
4266430395,36066,-30.384,-1.144,0.126,-397535,-488414,117045,470.9,9936.5,4259180395,4259.180394999999
4266431415,37086,-30.278,-1.282,0.131,-397304,-488996,117065,470.9,9936.5,4259181415,4259.181415
4266432434,38105,-30.299,-1.214,0.115,-397350,-488710,116998,470.9,9936.5,4259182434,4259.182433999999
4266433454,39125,-30.384,-1.107,0.128,-397536,-488257,117054,470.9,9936.5,4259183454,4259.183454
4266434473,40144,-30.286,-1.071,0.184,-397322,-488106,117287,470.9,9936.5,4259184473,4259.184473
4266435493,41164,-30.247,-1.191,0.16,-397238,-488611,117187,470.9,9936.5,4259185493,4259.185493
4266436512,42183,-30.25,-1.313,0.218,-397244,-489124,117428,470.9,9936.5,4259186512,4259.186512
4266437532,43203,-30.2,-1.376,0.171,-397135,-489391,117230,470.9,9936.5,4259187532,4259.187532
4266438551,44222,-30.243,-1.431,0.177,-397229,-489623,117258,470.9,9936.5,4259188551,4259.188551
4266439571,45242,-30.17,-1.3,0.065,-397070,-489072,116791,470.9,9936.5,4259189571,4259.189571
4266440590,46261,-30.118,-1.32,0.106,-396957,-489157,116960,470.9,9936.5,4259190590,4259.19059
4266441610,47281,-30.203,-1.405,0.045,-397142,-489514,116708,470.9,9936.5,4259191610,4259.19161
4266442630,48301,-30.072,-1.469,0.036,-396857,-489783,116669,470.9,9936.5,4259192630,4259.19263
4266443649,49320,-30.098,-1.659,0.153,-396914,-490584,117156,470.9,9936.5,4259193649,4259.193649
4266444669,50340,-30.188,-1.84,0.131,-397110,-491348,117066,470.9,9936.5,4259194669,4259.1946689999995
4266445688,51359,-30.136,-1.917,0.038,-396997,-491672,116678,470.9,9936.5,4259195688,4259.195688
4266446708,52379,-30.224,-1.851,0.16,-397188,-491395,117186,470.9,9936.5,4259196708,4259.1967079999995
4266447727,53398,-30.144,-1.869,0.039,-397014,-491471,116683,470.9,9936.5,4259197727,4259.197727
4266448747,54418,-30.163,-1.776,0.098,-397055,-491077,116927,470.9,9936.5,4259198747,4259.1987469999995
4266449766,55437,-30.16,-1.525,0.175,-397048,-490018,117246,470.9,9936.5,4259199766,4259.199766
4266450786,56457,-30.24,-1.473,0.102,-397222,-489800,116945,470.9,9936.5,4259200786,4259.200785999999
4266451817,57488,-30.267,-1.213,0.154,-397281,-488706,117160,470.9,9936.5,4259201817,4259.201817
4266452894,58565,-30.267,-1.213,0.154,-397281,-488706,117160,470.9,9936.5,4259202894,4259.202894
4266453959,59630,-30.29,-1.012,0.138,-397331,-487856,117092,470.9,9936.5,4259203959,4259.2039589999995
4266454980,60651,-30.223,-1.002,0.081,-397186,-487814,116858,470.9,9936.5,4259204980,4259.2049799999995
4266456001,61672,-30.321,-1.103,0.17,-397398,-488241,117229,470.9,9936.5,4259206001,4259.206001
4266457022,62693,-30.29,-1.136,0.131,-397331,-488379,117063,470.9,9936.5,4259207022,4259.207022
4266458043,63714,-30.397,-1.207,0.143,-397564,-488681,117116,470.9,9936.5,4259208043,4259.208043
4266459064,64735,-30.257,-1.273,0.152,-397260,-488956,117153,470.9,9936.5,4259209064,4259.209064
4266460085,65756,-30.324,-1.424,0.107,-397405,-489593,116964,470.9,9936.5,4259210085,4259.210085
4266461106,66777,-30.346,-1.612,0.12,-397452,-490387,117020,470.9,9936.5,4259211106,4259.211106
4266462127,67798,-30.277,-1.873,0.058,-397303,-491484,116762,470.9,9936.5,4259212127,4259.212127
4266463148,68819,-30.376,-1.868,0.007,-397519,-491466,116549,470.9,9936.5,4259213148,4259.213148
4266464168,69839,-30.284,-1.875,0.078,-397317,-491493,116846,470.9,9936.5,4259214168,4259.2141679999995
4266465189,70860,-30.188,-1.875,0.131,-397110,-491496,117065,470.9,9936.5,4259215189,4259.215189
4266466210,71881,-30.219,-1.804,0.095,-397177,-491196,116914,470.9,9936.5,4259216210,4259.21621
4266467231,72902,-30.381,-1.586,0.178,-397528,-490278,117259,470.9,9936.5,4259217231,4259.217231
4266468252,73923,-30.301,-1.419,0.098,-397354,-489572,116927,470.9,9936.5,4259218252,4259.218252
4266469273,74944,-30.307,-1.6,0.156,-397367,-490336,117167,470.9,9936.5,4259219273,4259.219273
4266470294,75965,-30.437,-1.521,0.122,-397651,-490001,117028,470.9,9936.5,4259220294,4259.220294
4266471315,76986,-30.402,-1.516,0.151,-397575,-489981,117147,470.9,9936.5,4259221315,4259.221315
4266472336,78007,-30.463,-1.523,0.14,-397707,-490013,117102,470.9,9936.5,4259222336,4259.222336
4266473357,79028,-30.344,-1.558,0.061,-397448,-490160,116772,470.9,9936.5,4259223357,4259.223357
4266474378,80049,-30.615,-1.41,0.177,-398039,-489536,117258,470.9,9936.5,4259224378,4259.224378
4266475399,81070,-30.53,-1.483,0.112,-397853,-489844,116985,470.9,9936.5,4259225399,4259.225399
4266476420,82091,-30.476,-1.315,0.064,-397736,-489133,116785,470.9,9936.5,4259226420,4259.22642
4266477440,83111,-30.66,-1.281,0.095,-398135,-488992,116917,470.9,9936.5,4259227440,4259.22744
4266478461,84132,-30.573,-1.323,0.158,-397947,-489168,117176,470.9,9936.5,4259228461,4259.228461
4266479482,85153,-30.627,-1.586,0.136,-398064,-490277,117084,470.9,9936.5,4259229482,4259.229482
4266480504,86175,-30.733,-1.802,0.249,-398294,-491185,117557,470.9,9936.5,4259230504,4259.230504
4266481526,87197,-30.573,-2.011,0.187,-397946,-492066,117299,470.9,9936.5,4259231526,4259.231526
4266482547,88218,-30.831,-2.1,0.194,-398508,-492442,117326,470.9,9936.5,4259232547,4259.232547
4266483569,89240,-30.755,-2.008,0.137,-398342,-492056,117089,470.9,9936.5,4259233569,4259.233569
4266484591,90262,-30.658,-2.065,0.144,-398131,-492294,117119,470.9,9936.5,4259234591,4259.234590999999
4266485613,91284,-30.631,-2.092,0.145,-398073,-492409,117123,470.9,9936.5,4259235613,4259.235613
4266486635,92306,-30.653,-2.069,0.179,-398120,-492313,117263,470.9,9936.5,4259236635,4259.236635
4266487656,93327,-30.665,-1.938,0.229,-398147,-491760,117472,470.9,9936.5,4259237656,4259.237656
4266488678,94349,-30.712,-1.924,0.049,-398250,-491700,116725,470.9,9936.5,4259238678,4259.238678
4266489700,95371,-30.64,-1.718,0.091,-398093,-490831,116899,470.9,9936.5,4259239700,4259.2397
4266490722,96393,-30.69,-1.497,0.107,-398201,-489902,116967,470.9,9936.5,4259240722,4259.240722
4266491744,97415,-30.764,-1.453,0.043,-398362,-489716,116699,470.9,9936.5,4259241744,4259.241744
4266492765,98436,-30.71,-1.402,0.102,-398245,-489503,116946,470.9,9936.5,4259242765,4259.242765
4266493787,99458,-30.77,-1.326,0.068,-398375,-489179,116804,470.9,9936.5,4259243787,4259.243786999999
4266494809,100480,-30.746,-1.254,0.178,-398322,-488879,117261,470.9,9936.5,4259244809,4259.244809
4266495831,101502,-30.752,-1.239,0.073,-398337,-488812,116825,470.9,9936.5,4259245831,4259.245831
4266496852,102523,-30.803,-1.281,0.094,-398446,-488991,116912,470.9,9936.5,4259246852,4259.246852
4266497874,103545,-30.717,-1.119,0.075,-398260,-488307,116833,470.9,9936.5,4259247874,4259.247874
4266498896,104567,-30.807,-1.303,0.194,-398456,-489083,117327,470.9,9936.5,4259248896,4259.248896
4266499918,105589,-30.803,-1.497,0.203,-398447,-489901,117364,470.9,9936.5,4259249918,4259.2499179999995
4266500940,106611,-30.72,-1.789,0.159,-398267,-491134,117180,470.9,9936.5,4259250940,4259.25094
4266501961,107632,-30.782,-1.942,0.065,-398402,-491777,116790,470.9,9936.5,4259251961,4259.251961
4266502983,108654,-30.722,-2.162,0.203,-398270,-492704,117366,470.9,9936.5,4259252983,4259.252982999999
4266504005,109676,-30.704,-2.215,0.132,-398232,-492929,117068,470.9,9936.5,4259254005,4259.254005
4266505027,110698,-30.844,-2.343,0.148,-398536,-493467,117134,470.9,9936.5,4259255027,4259.255027
4266506049,111720,-30.686,-2.546,0.236,-398192,-494321,117502,470.9,9936.5,4259256049,4259.256049
4266507071,112742,-30.694,-2.478,0.292,-398209,-494037,117734,470.9,9936.5,4259257071,4259.257071
