# Participant: P0
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: quiet_breathing
# Date: 20250608
# Time: 210154
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
3576068115,0,1.074,-0.012,0.038,-329100,-483374,116818,42.3,9889.8,3568818115,3568.818115
3576068977,862,1.009,-0.06,-0.031,-329242,-483577,116530,42.3,9889.8,3568818977,3568.818977
3576069998,1883,0.986,0.002,-0.031,-329291,-483314,116530,42.3,9889.8,3568819998,3568.819998
3576071019,2904,0.844,0.007,0.058,-329601,-483292,116902,42.3,9889.8,3568821019,3568.821019
3576072040,3925,1.009,-0.067,0.053,-329242,-483605,116878,42.3,9889.8,3568822040,3568.82204
3576073061,4946,0.974,0.015,-0.047,-329318,-483258,116463,42.3,9889.8,3568823061,3568.823061
3576074082,5967,0.853,-0.048,0.044,-329582,-483526,116841,42.3,9889.8,3568824082,3568.8240819999996
3576075103,6988,0.916,-0.003,-0.039,-329444,-483335,116497,42.3,9889.8,3568825103,3568.8251029999997
3576076124,8009,0.836,-0.048,0.041,-329618,-483524,116828,42.3,9889.8,3568826124,3568.8261239999997
3576077145,9030,0.842,-0.048,0.03,-329606,-483527,116784,42.3,9889.8,3568827145,3568.8271449999997
3576078166,10051,0.742,-0.019,-0.003,-329822,-483405,116645,42.3,9889.8,3568828166,3568.828166
3576079187,11072,0.721,0.013,0.076,-329869,-483267,116974,42.3,9889.8,3568829187,3568.829187
3576080208,12093,0.753,-0.021,-0.025,-329798,-483413,116555,42.3,9889.8,3568830208,3568.830208
3576081228,13113,0.697,-0.026,0.058,-329920,-483433,116902,42.3,9889.8,3568831228,3568.831228
3576082249,14134,0.614,-0.038,-0.037,-330100,-483485,116505,42.3,9889.8,3568832249,3568.832249
3576083270,15155,0.705,-0.055,0.005,-329902,-483555,116678,42.3,9889.8,3568833270,3568.8332699999996
3576084291,16176,0.568,-0.064,0.026,-330200,-483591,116768,42.3,9889.8,3568834291,3568.8342909999997
3576085312,17197,0.5,-0.099,-0.039,-330348,-483740,116495,42.3,9889.8,3568835312,3568.8353119999997
3576086333,18218,0.698,-0.077,0.05,-329917,-483648,116866,42.3,9889.8,3568836333,3568.8363329999997
3576087354,19239,0.503,0.03,-0.012,-330342,-483198,116610,42.3,9889.8,3568837354,3568.837354
3576088375,20260,0.522,-0.11,-0.028,-330301,-483788,116543,42.3,9889.8,3568838375,3568.838375
3576089396,21281,0.498,-0.046,0.007,-330352,-483516,116687,42.3,9889.8,3568839396,3568.839396
3576090417,22302,0.377,-0.172,0.032,-330616,-484047,116793,42.3,9889.8,3568840417,3568.840417
3576091438,23323,0.449,-0.02,0.02,-330460,-483406,116743,42.3,9889.8,3568841438,3568.841438
3576092459,24344,0.383,-0.143,0.029,-330602,-483925,116779,42.3,9889.8,3568842459,3568.842459
3576093480,25365,0.381,-0.04,0.013,-330607,-483493,116711,42.3,9889.8,3568843480,3568.84348
3576094501,26386,0.303,-0.085,-0.025,-330776,-483683,116557,42.3,9889.8,3568844501,3568.844501
3576095522,27407,0.205,-0.088,0.008,-330989,-483693,116691,42.3,9889.8,3568845522,3568.8455219999996
3576096543,28428,0.161,-0.065,0.005,-331086,-483596,116681,42.3,9889.8,3568846543,3568.8465429999997
3576097563,29448,0.251,-0.047,0.104,-330889,-483522,117093,42.3,9889.8,3568847563,3568.847563
3576098584,30469,0.146,-0.137,0.02,-331118,-483902,116742,42.3,9889.8,3568848584,3568.848584
3576099605,31490,0.224,-0.008,-0.038,-330948,-483356,116501,42.3,9889.8,3568849605,3568.849605
3576100626,32511,0.285,-0.022,0.024,-330815,-483416,116760,42.3,9889.8,3568850626,3568.850626
3576101647,33532,0.088,-0.102,0.058,-331245,-483752,116902,42.3,9889.8,3568851647,3568.851647
3576102668,34553,0.198,-0.035,0.068,-331005,-483470,116941,42.3,9889.8,3568852668,3568.852668
3576103689,35574,0.256,0.01,-0.028,-330880,-483279,116543,42.3,9889.8,3568853689,3568.853689
3576104710,36595,0.142,-0.023,0.037,-331127,-483421,116814,42.3,9889.8,3568854710,3568.8547099999996
3576105731,37616,0.212,-0.124,-0.022,-330974,-483847,116566,42.3,9889.8,3568855731,3568.8557309999997
3576106752,38637,0.103,0.035,-0.049,-331211,-483175,116454,42.3,9889.8,3568856752,3568.8567519999997
3576107773,39658,0.128,-0.085,0.047,-331158,-483683,116854,42.3,9889.8,3568857773,3568.8577729999997
3576108794,40679,0.289,-0.044,0.001,-330808,-483507,116665,42.3,9889.8,3568858794,3568.8587939999998
3576109815,41700,0.063,-0.14,0.042,-331298,-483911,116832,42.3,9889.8,3568859815,3568.859815
3576110847,42732,0.212,-0.095,0.014,-330974,-483724,116717,42.3,9889.8,3568860847,3568.860847
3576111923,43808,0.212,-0.095,0.014,-330974,-483724,116717,42.3,9889.8,3568861923,3568.861923
3576112988,44873,0.137,0.015,-0.003,-331124,-483297,116647,42.3,9889.8,3568862988,3568.862988
3576114009,45894,0.209,-0.112,-0.01,-330968,-483830,116619,42.3,9889.8,3568864009,3568.864009
3576115030,46915,0.184,0.03,0.022,-331023,-483233,116752,42.3,9889.8,3568865030,3568.86503
3576116051,47936,0.181,-0.009,-0.006,-331028,-483395,116632,42.3,9889.8,3568866051,3568.866051
3576117072,48957,0.008,-0.061,0.04,-331405,-483618,116826,42.3,9889.8,3568867072,3568.867072
3576118093,49978,0.036,-0.103,0.051,-331343,-483793,116871,42.3,9889.8,3568868093,3568.868093
3576119113,50998,0.01,-0.039,-0.016,-331401,-483522,116594,42.3,9889.8,3568869113,3568.8691129999997
3576120134,52019,0.042,-0.052,-0.041,-331331,-483577,116490,42.3,9889.8,3568870134,3568.870134
3576121155,53040,-0.047,-0.113,-0.009,-331524,-483833,116621,42.3,9889.8,3568871155,3568.871155
