# Participant: P0
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: zeroing
# Date: 20250608
# Time: 210123
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
3544539583,0,4.108,0.013,0.065,-322353,-483457,116723,723.7,10784.1,3537289583,3537.2895829999998
3544540566,983,4.226,0.034,0.043,-322097,-483370,116629,723.7,10784.1,3537290566,3537.2905659999997
3544541587,2004,4.173,0.014,-0.015,-322212,-483454,116391,723.7,10784.1,3537291587,3537.2915869999997
3544542607,3024,4.267,-0.039,0.044,-322009,-483678,116635,723.7,10784.1,3537292607,3537.292607
3544543628,4045,4.135,-0.115,-0.021,-322296,-483996,116363,723.7,10784.1,3537293628,3537.293628
3544544649,5066,4.21,-0.009,0.063,-322132,-483549,116713,723.7,10784.1,3537294649,3537.294649
3544545670,6087,4.216,-0.021,0.056,-322119,-483602,116683,723.7,10784.1,3537295670,3537.29567
3544546691,7108,4.274,0.052,0.063,-321992,-483295,116715,723.7,10784.1,3537296691,3537.296691
3544547712,8129,4.341,-0.039,0.088,-321847,-483677,116818,723.7,10784.1,3537297712,3537.297712
3544548733,9150,4.34,-0.004,0.037,-321849,-483530,116606,723.7,10784.1,3537298733,3537.2987329999996
3544549754,10171,4.238,-0.01,0.024,-322071,-483555,116551,723.7,10784.1,3537299754,3537.2997539999997
3544550775,11192,4.331,-0.045,0.041,-321868,-483703,116622,723.7,10784.1,3537300775,3537.3007749999997
3544551796,12213,4.368,0.02,0.08,-321789,-483428,116785,723.7,10784.1,3537301796,3537.3017959999997
3544552817,13234,4.332,-0.086,0.032,-321867,-483874,116586,723.7,10784.1,3537302817,3537.302817
3544553838,14255,4.528,-0.03,0.002,-321441,-483640,116460,723.7,10784.1,3537303838,3537.303838
3544554859,15276,4.344,-0.092,0.102,-321840,-483899,116875,723.7,10784.1,3537304859,3537.304859
3544555880,16297,4.465,0.031,-0.006,-321577,-483380,116426,723.7,10784.1,3537305880,3537.30588
3544556901,17318,4.428,-0.086,0.029,-321658,-483876,116574,723.7,10784.1,3537306901,3537.306901
3544557921,18338,4.404,-0.079,0.016,-321710,-483846,116520,723.7,10784.1,3537307921,3537.3079209999996
3544558942,19359,4.475,-0.108,0.025,-321555,-483967,116557,723.7,10784.1,3537308942,3537.3089419999997
3544559963,20380,4.412,-0.101,0.004,-321692,-483936,116469,723.7,10784.1,3537309963,3537.3099629999997
3544560984,21401,4.411,-0.015,-0.043,-321694,-483575,116272,723.7,10784.1,3537310984,3537.3109839999997
3544562005,22422,4.525,-0.099,-0.059,-321446,-483930,116205,723.7,10784.1,3537312005,3537.3120049999998
3544563026,23443,4.33,-0.056,-0.024,-321872,-483749,116350,723.7,10784.1,3537313026,3537.313026
3544564047,24464,4.378,-0.083,0.023,-321766,-483863,116546,723.7,10784.1,3537314047,3537.314047
3544565068,25485,4.411,-0.103,-0.015,-321695,-483946,116388,723.7,10784.1,3537315068,3537.315068
3544566089,26506,4.308,-0.085,0.015,-321918,-483870,116515,723.7,10784.1,3537316089,3537.316089
3544567110,27527,4.376,-0.083,0.063,-321772,-483864,116713,723.7,10784.1,3537317110,3537.31711
3544568131,28548,4.335,-0.067,0.024,-321860,-483795,116551,723.7,10784.1,3537318131,3537.318131
3544569152,29569,4.213,-0.077,-0.028,-322126,-483838,116336,723.7,10784.1,3537319152,3537.319152
3544570173,30590,4.288,0.0,0.055,-321962,-483512,116682,723.7,10784.1,3537320173,3537.3201729999996
3544571194,31611,4.289,-0.057,-0.032,-321960,-483753,116320,723.7,10784.1,3537321194,3537.3211939999997
3544572215,32632,4.288,0.0,-0.021,-321962,-483511,116364,723.7,10784.1,3537322215,3537.3222149999997
3544573236,33653,4.297,-0.006,-0.04,-321943,-483539,116286,723.7,10784.1,3537323236,3537.3232359999997
3544574256,34673,4.275,-0.059,0.067,-321990,-483763,116732,723.7,10784.1,3537324256,3537.324256
3544575277,35694,4.291,0.023,0.089,-321957,-483415,116821,723.7,10784.1,3537325277,3537.325277
3544576298,36715,4.307,-0.063,0.106,-321922,-483779,116891,723.7,10784.1,3537326298,3537.326298
3544577319,37736,4.348,-0.078,0.09,-321832,-483839,116825,723.7,10784.1,3537327319,3537.327319
3544578340,38757,4.414,-0.066,-0.015,-321689,-483792,116389,723.7,10784.1,3537328340,3537.32834
3544579361,39778,4.443,-0.051,0.074,-321626,-483726,116759,723.7,10784.1,3537329361,3537.329361
3544580382,40799,4.358,-0.024,0.103,-321810,-483614,116881,723.7,10784.1,3537330382,3537.3303819999996
3544581403,41820,4.321,-0.096,0.014,-321890,-483917,116508,723.7,10784.1,3537331403,3537.3314029999997
3544582424,42841,4.344,-0.095,0.052,-321840,-483912,116669,723.7,10784.1,3537332424,3537.3324239999997
3544583445,43862,4.238,-0.076,0.008,-322071,-483834,116484,723.7,10784.1,3537333445,3537.3334449999998
3544584466,44883,4.283,-0.052,0.043,-321973,-483730,116632,723.7,10784.1,3537334466,3537.334466
3544585487,45904,4.189,-0.113,0.015,-322177,-483990,116512,723.7,10784.1,3537335487,3537.335487
3544586508,46925,4.241,-0.076,0.036,-322064,-483832,116601,723.7,10784.1,3537336508,3537.336508
3544587529,47946,4.163,-0.092,0.004,-322234,-483898,116468,723.7,10784.1,3537337529,3537.337529
