# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: deep_breathing
# Date: 20250608
# Time: 204256
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
2438205822,0,-39.587,-0.413,0.153,-417190,-485031,117302,343.5,15604.2,2430955822,2430.955822
2438206502,680,-39.849,-0.312,0.058,-417761,-484606,116905,343.5,15604.2,2430956502,2430.956502
2438207522,1700,-39.936,-0.164,0.122,-417948,-483982,117173,343.5,15604.2,2430957522,2430.9575219999997
2438208541,2719,-39.869,-0.108,0.238,-417803,-483744,117655,343.5,15604.2,2430958541,2430.958541
2438209561,3739,-39.971,-0.06,0.253,-418025,-483544,117717,343.5,15604.2,2430959561,2430.9595609999997
2438210580,4758,-40.163,-0.101,0.325,-418442,-483717,118017,343.5,15604.2,2430960580,2430.96058
2438211600,5778,-40.124,-0.156,0.178,-418357,-483947,117404,343.5,15604.2,2430961600,2430.9616
2438212619,6797,-40.193,-0.131,0.278,-418507,-483843,117823,343.5,15604.2,2430962619,2430.962619
2438213639,7817,-40.021,-0.115,0.244,-418134,-483775,117679,343.5,15604.2,2430963639,2430.963639
2438214658,8836,-40.113,-0.115,0.36,-418333,-483776,118162,343.5,15604.2,2430964658,2430.964658
2438215678,9856,-40.032,-0.086,0.341,-418158,-483654,118085,343.5,15604.2,2430965678,2430.965678
2438216698,10876,-40.142,-0.165,0.355,-418397,-483984,118142,343.5,15604.2,2430966698,2430.9666979999997
2438217717,11895,-40.132,-0.049,0.352,-418375,-483497,118131,343.5,15604.2,2430967717,2430.967717
2438218737,12915,-40.136,-0.227,0.265,-418384,-484245,117768,343.5,15604.2,2430968737,2430.9687369999997
2438219756,13934,-40.109,-0.105,0.345,-418325,-483731,118100,343.5,15604.2,2430969756,2430.969756
2438220776,14954,-40.167,-0.081,0.36,-418450,-483632,118163,343.5,15604.2,2430970776,2430.970776
2438221795,15973,-40.156,-0.163,0.351,-418427,-483977,118124,343.5,15604.2,2430971795,2430.971795
2438222815,16993,-39.967,-0.294,0.408,-418017,-484527,118364,343.5,15604.2,2430972815,2430.972815
2438223834,18012,-40.002,-0.131,0.355,-418092,-483841,118140,343.5,15604.2,2430973834,2430.973834
2438224854,19032,-40.048,-0.154,0.329,-418192,-483937,118033,343.5,15604.2,2430974854,2430.974854
2438225873,20051,-39.993,-0.116,0.434,-418074,-483780,118470,343.5,15604.2,2430975873,2430.975873
2438226893,21071,-40.092,-0.131,0.371,-418288,-483844,118208,343.5,15604.2,2430976893,2430.976893
2438227924,22102,-39.902,-0.13,0.324,-417876,-483836,118011,343.5,15604.2,2430977924,2430.977924
2438229001,23179,-39.902,-0.13,0.324,-417876,-483836,118011,343.5,15604.2,2430979001,2430.9790009999997
2438230066,24244,-39.967,-0.145,0.358,-417996,-483899,118183,343.5,15604.2,2430980066,2430.980066
2438231087,25265,-39.786,-0.165,0.348,-417602,-483984,118139,343.5,15604.2,2430981087,2430.981087
2438232108,26286,-39.721,-0.09,0.375,-417460,-483668,118252,343.5,15604.2,2430982108,2430.9821079999997
2438233129,27307,-39.706,-0.056,0.344,-417429,-483525,118122,343.5,15604.2,2430983129,2430.9831289999997
2438234149,28327,-39.7,-0.193,0.347,-417416,-484105,118135,343.5,15604.2,2430984149,2430.984149
2438235170,29348,-39.821,-0.164,0.315,-417678,-483980,118002,343.5,15604.2,2430985170,2430.98517
2438236191,30369,-39.743,-0.15,0.293,-417508,-483923,117913,343.5,15604.2,2430986191,2430.986191
2438237212,31390,-39.747,-0.178,0.268,-417517,-484040,117806,343.5,15604.2,2430987212,2430.987212
2438238233,32411,-39.733,-0.138,0.335,-417488,-483873,118086,343.5,15604.2,2430988233,2430.988233
2438239254,33432,-39.754,-0.146,0.41,-417533,-483906,118397,343.5,15604.2,2430989254,2430.989254
2438240275,34453,-39.653,-0.089,0.312,-417313,-483664,117989,343.5,15604.2,2430990275,2430.990275
2438241296,35474,-39.549,-0.191,0.349,-417087,-484093,118142,343.5,15604.2,2430991296,2430.9912959999997
2438242317,36495,-39.533,-0.165,0.381,-417053,-483987,118277,343.5,15604.2,2430992317,2430.9923169999997
2438243338,37516,-39.588,-0.154,0.387,-417171,-483938,118303,343.5,15604.2,2430993338,2430.9933379999998
2438244359,38537,-39.582,-0.152,0.422,-417158,-483930,118449,343.5,15604.2,2430994359,2430.994359
2438245380,39558,-39.535,-0.157,0.336,-417056,-483951,118088,343.5,15604.2,2430995380,2430.99538
