# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: leak
# Exercise: frc_reset
# Date: 20250608
# Time: 205748
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
3329756740,0,-0.858,0.164,0.007,-333155,-482821,116536,1320.5,9992.5,3322506740,3322.50674
3329757688,948,-0.962,0.104,-0.039,-333383,-483073,116344,1320.5,9992.5,3322507688,3322.5076879999997
3329758709,1969,-0.778,0.061,0.06,-332982,-483255,116757,1320.5,9992.5,3322508709,3322.5087089999997
3329759730,2990,-0.731,0.057,-0.001,-332879,-483274,116501,1320.5,9992.5,3322509730,3322.5097299999998
3329760751,4011,-0.613,0.089,-0.017,-332623,-483139,116437,1320.5,9992.5,3322510751,3322.510751
3329761772,5032,-0.521,0.148,-0.051,-332423,-482890,116295,1320.5,9992.5,3322511772,3322.511772
3329762793,6053,-0.378,0.015,-0.011,-332112,-483449,116462,1320.5,9992.5,3322512793,3322.512793
3329763813,7073,-0.595,0.025,0.097,-332584,-483407,116911,1320.5,9992.5,3322513813,3322.513813
3329764834,8094,-0.229,0.023,0.02,-331788,-483415,116590,1320.5,9992.5,3322514834,3322.514834
3329765855,9115,-0.368,0.093,0.028,-332091,-483120,116624,1320.5,9992.5,3322515855,3322.5158549999996
3329766876,10136,-0.385,0.124,0.031,-332126,-482989,116638,1320.5,9992.5,3322516876,3322.5168759999997
3329767897,11157,-0.273,-0.022,-0.062,-331884,-483606,116248,1320.5,9992.5,3322517897,3322.5178969999997
3329768918,12178,-0.244,0.075,0.096,-331821,-483197,116906,1320.5,9992.5,3322518918,3322.5189179999998
3329769939,13199,-0.075,0.051,0.002,-331453,-483296,116516,1320.5,9992.5,3322519939,3322.519939
3329770960,14220,-0.19,0.053,0.089,-331703,-483288,116876,1320.5,9992.5,3322520960,3322.52096
3329771981,15241,-0.125,0.079,0.066,-331561,-483181,116780,1320.5,9992.5,3322521981,3322.521981
3329773002,16262,0.06,0.055,0.07,-331159,-483281,116798,1320.5,9992.5,3322523002,3322.523002
3329774023,17283,-0.068,0.039,0.062,-331438,-483346,116766,1320.5,9992.5,3322524023,3322.524023
3329775044,18304,-0.04,0.044,-0.017,-331377,-483329,116438,1320.5,9992.5,3322525044,3322.525044
3329776065,19325,0.108,0.033,0.079,-331055,-483375,116836,1320.5,9992.5,3322526065,3322.526065
3329777086,20346,0.144,0.066,0.111,-330977,-483236,116969,1320.5,9992.5,3322527086,3322.527086
3329778106,21366,0.152,0.001,0.053,-330958,-483509,116727,1320.5,9992.5,3322528106,3322.5281059999998
3329779127,22387,0.283,0.113,0.079,-330674,-483038,116837,1320.5,9992.5,3322529127,3322.529127
3329780148,23408,0.327,0.088,0.078,-330578,-483140,116832,1320.5,9992.5,3322530148,3322.530148
3329781169,24429,0.398,0.095,0.131,-330424,-483114,117052,1320.5,9992.5,3322531169,3322.531169
3329782190,25450,0.433,0.07,0.082,-330348,-483216,116850,1320.5,9992.5,3322532190,3322.53219
3329783211,26471,0.388,-0.006,0.038,-330445,-483539,116664,1320.5,9992.5,3322533211,3322.533211
3329784232,27492,0.538,0.017,0.051,-330120,-483440,116721,1320.5,9992.5,3322534232,3322.534232
3329785253,28513,0.564,0.006,0.17,-330063,-483487,117216,1320.5,9992.5,3322535253,3322.535253
3329786274,29534,0.561,-0.085,0.1,-330069,-483870,116925,1320.5,9992.5,3322536274,3322.536274
3329787295,30555,0.562,-0.027,0.006,-330067,-483627,116533,1320.5,9992.5,3322537295,3322.5372949999996
3329788316,31576,0.487,0.069,0.105,-330231,-483222,116945,1320.5,9992.5,3322538316,3322.5383159999997
3329789337,32597,0.614,-0.059,0.062,-329954,-483759,116764,1320.5,9992.5,3322539337,3322.5393369999997
3329790358,33618,0.601,-0.025,0.025,-329982,-483618,116612,1320.5,9992.5,3322540358,3322.5403579999997
3329791379,34639,0.452,-0.06,0.047,-330307,-483767,116701,1320.5,9992.5,3322541379,3322.541379
3329792399,35659,0.517,0.025,-0.012,-330166,-483406,116455,1320.5,9992.5,3322542399,3322.542399
3329793420,36680,0.368,-0.061,0.022,-330490,-483771,116599,1320.5,9992.5,3322543420,3322.54342
3329794441,37701,0.439,-0.076,0.115,-330334,-483833,116987,1320.5,9992.5,3322544441,3322.544441
3329795462,38722,0.439,-0.037,0.067,-330335,-483667,116787,1320.5,9992.5,3322545462,3322.545462
3329796483,39743,0.358,-0.016,0.118,-330512,-483579,116996,1320.5,9992.5,3322546483,3322.5464829999996
3329797504,40764,0.277,-0.041,0.101,-330688,-483683,116929,1320.5,9992.5,3322547504,3322.5475039999997
3329798525,41785,0.324,0.018,0.058,-330585,-483437,116750,1320.5,9992.5,3322548525,3322.5485249999997
3329799546,42806,0.14,-0.062,0.003,-330986,-483775,116521,1320.5,9992.5,3322549546,3322.5495459999997
3329800567,43827,0.222,-0.02,0.118,-330807,-483595,116996,1320.5,9992.5,3322550567,3322.550567
3329801588,44848,-0.041,-0.057,0.029,-331378,-483753,116626,1320.5,9992.5,3322551588,3322.551588
3329802609,45869,-0.027,-0.034,0.035,-331348,-483654,116651,1320.5,9992.5,3322552609,3322.552609
3329803630,46890,-0.123,-0.03,0.013,-331556,-483639,116560,1320.5,9992.5,3322553630,3322.55363
3329804651,47911,-0.172,-0.091,-0.001,-331664,-483894,116503,1320.5,9992.5,3322554651,3322.554651
3329805671,48931,-0.236,-0.165,0.025,-331802,-484209,116611,1320.5,9992.5,3322555671,3322.555671
3329806692,49952,-0.435,-0.146,0.056,-332235,-484127,116741,1320.5,9992.5,3322556692,3322.5566919999997
3329807713,50973,-0.613,-0.136,0.083,-332622,-484087,116851,1320.5,9992.5,3322557713,3322.5577129999997
3329808734,51994,-0.603,-0.051,-0.027,-332602,-483727,116393,1320.5,9992.5,3322558734,3322.5587339999997
3329809755,53015,-0.77,-0.084,-0.069,-332965,-483868,116218,1320.5,9992.5,3322559755,3322.5597549999998
3329810776,54036,-0.838,-0.196,0.001,-333113,-484338,116512,1320.5,9992.5,3322560776,3322.560776
3329811797,55057,-0.913,-0.18,0.032,-333275,-484272,116642,1320.5,9992.5,3322561797,3322.561797
3329812818,56078,-1.013,-0.097,-0.02,-333493,-483922,116424,1320.5,9992.5,3322562818,3322.562818
3329813839,57099,-1.119,-0.123,0.012,-333724,-484029,116556,1320.5,9992.5,3322563839,3322.563839
3329814860,58120,-1.379,-0.129,0.018,-334289,-484054,116582,1320.5,9992.5,3322564860,3322.56486
3329815881,59141,-1.425,-0.133,-0.029,-334389,-484074,116386,1320.5,9992.5,3322565881,3322.565881
3329816902,60162,-1.576,-0.134,-0.033,-334718,-484075,116371,1320.5,9992.5,3322566902,3322.566902
3329817922,61182,-1.605,-0.065,-0.009,-334781,-483788,116468,1320.5,9992.5,3322567922,3322.5679219999997
3329818943,62203,-1.71,-0.09,0.086,-335009,-483891,116865,1320.5,9992.5,3322568943,3322.5689429999998
3329819964,63224,-1.759,-0.049,0.008,-335116,-483719,116540,1320.5,9992.5,3322569964,3322.569964
