# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: leak
# Exercise: quiet_breathing
# Date: 20250608
# Time: 205206
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
2988173068,0,17.43,-0.67,-0.176,-293303,-486081,115886,2298.2,11676.5,2980923068,2980.923068
2988174011,943,17.303,-0.757,-0.265,-293580,-486447,115514,2298.2,11676.5,2980924011,2980.924011
2988175032,1964,17.164,-0.858,-0.066,-293881,-486872,116344,2298.2,11676.5,2980925032,2980.9250319999996
2988176053,2985,17.245,-0.844,-0.015,-293706,-486812,116556,2298.2,11676.5,2980926053,2980.9260529999997
2988177074,4006,17.064,-0.742,-0.043,-294099,-486383,116439,2298.2,11676.5,2980927074,2980.9270739999997
2988178095,5027,16.799,-0.797,-0.087,-294674,-486616,116255,2298.2,11676.5,2980928095,2980.9280949999998
2988179116,6048,16.871,-0.769,0.017,-294519,-486496,116689,2298.2,11676.5,2980929116,2980.929116
2988180137,7069,16.897,-0.792,0.059,-294462,-486594,116865,2298.2,11676.5,2980930137,2980.930137
2988181158,8090,16.724,-0.711,0.064,-294838,-486254,116883,2298.2,11676.5,2980931158,2980.931158
2988182179,9111,16.717,-0.517,0.122,-294854,-485436,117126,2298.2,11676.5,2980932179,2980.932179
2988183200,10132,16.614,-0.508,0.157,-295078,-485398,117271,2298.2,11676.5,2980933200,2980.9332
2988184221,11153,16.489,-0.348,0.259,-295348,-484726,117695,2298.2,11676.5,2980934221,2980.934221
2988185242,12174,16.558,-0.278,0.314,-295198,-484429,117924,2298.2,11676.5,2980935242,2980.935242
2988186263,13195,16.553,-0.231,0.411,-295209,-484233,118327,2298.2,11676.5,2980936263,2980.936263
2988187284,14216,16.565,-0.213,0.43,-295183,-484156,118406,2298.2,11676.5,2980937284,2980.937284
2988188305,15237,16.435,-0.189,0.444,-295467,-484055,118466,2298.2,11676.5,2980938305,2980.9383049999997
2988189325,16257,16.38,0.011,0.443,-295586,-483212,118461,2298.2,11676.5,2980939325,2980.939325
2988190346,17278,16.592,-0.152,0.233,-295124,-483901,117587,2298.2,11676.5,2980940346,2980.940346
2988191367,18299,16.773,-0.343,0.092,-294732,-484704,116999,2298.2,11676.5,2980941367,2980.941367
2988192388,19320,16.873,-0.359,0.011,-294513,-484771,116662,2298.2,11676.5,2980942388,2980.942388
2988193409,20341,16.844,-0.481,-0.094,-294576,-485284,116227,2298.2,11676.5,2980943409,2980.943409
2988194430,21362,16.966,-0.446,-0.023,-294312,-485137,116522,2298.2,11676.5,2980944430,2980.94443
2988195451,22383,17.053,-0.487,0.06,-294122,-485312,116869,2298.2,11676.5,2980945451,2980.945451
2988196472,23404,16.951,-0.63,-0.005,-294345,-485911,116597,2298.2,11676.5,2980946472,2980.946472
2988197493,24425,16.89,-0.589,-0.181,-294476,-485739,115865,2298.2,11676.5,2980947493,2980.9474929999997
