# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: leak
# Exercise: zero_check
# Date: 20250608
# Time: 205150
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
2972074538,0,0.062,-0.026,0.038,-331073,-483369,116776,815.2,11819.5,2964824538,2964.824538
2972074949,411,0.052,0.001,-0.004,-331094,-483253,116602,815.2,11819.5,2964824949,2964.824949
2972075970,1432,0.11,-0.02,0.094,-330968,-483342,117009,815.2,11819.5,2964825970,2964.82597
2972076991,2453,0.036,0.073,0.03,-331130,-482952,116742,815.2,11819.5,2964826991,2964.826991
2972078011,3473,0.147,0.06,0.077,-330887,-483008,116936,815.2,11819.5,2964828011,2964.828011
2972079032,4494,0.104,0.021,0.05,-330982,-483169,116827,815.2,11819.5,2964829032,2964.8290319999996
2972080053,5515,0.172,-0.087,0.05,-330833,-483627,116826,815.2,11819.5,2964830053,2964.8300529999997
2972081074,6536,0.146,0.011,0.09,-330891,-483214,116992,815.2,11819.5,2964831074,2964.8310739999997
2972082095,7557,0.106,0.026,-0.008,-330977,-483149,116586,815.2,11819.5,2964832095,2964.8320949999998
2972083116,8578,0.097,0.015,0.021,-330996,-483196,116704,815.2,11819.5,2964833116,2964.833116
2972084137,9599,0.187,0.013,0.048,-330802,-483205,116819,815.2,11819.5,2964834137,2964.834137
2972085158,10620,0.187,0.067,0.064,-330802,-482977,116882,815.2,11819.5,2964835158,2964.835158
2972086179,11641,0.257,0.012,0.065,-330649,-483208,116888,815.2,11819.5,2964836179,2964.836179
2972087200,12662,0.101,0.033,0.034,-330987,-483121,116758,815.2,11819.5,2964837200,2964.8372
2972088221,13683,0.175,0.038,0.076,-330827,-483101,116932,815.2,11819.5,2964838221,2964.838221
2972089242,14704,0.124,-0.048,0.021,-330939,-483463,116705,815.2,11819.5,2964839242,2964.839242
2972090263,15725,0.089,0.054,0.052,-331015,-483033,116834,815.2,11819.5,2964840263,2964.840263
2972091284,16746,0.189,0.073,0.024,-330796,-482951,116718,815.2,11819.5,2964841284,2964.841284
2972092305,17767,0.208,0.011,0.05,-330756,-483214,116825,815.2,11819.5,2964842305,2964.8423049999997
2972093325,18787,0.086,-0.001,0.004,-331020,-483263,116635,815.2,11819.5,2964843325,2964.843325
2972094346,19808,0.153,0.03,0.009,-330876,-483133,116657,815.2,11819.5,2964844346,2964.844346
2972095367,20829,0.152,0.104,0.028,-330878,-482823,116734,815.2,11819.5,2964845367,2964.845367
2972096388,21850,0.088,0.084,0.009,-331017,-482907,116654,815.2,11819.5,2964846388,2964.846388
2972097409,22871,0.375,0.023,0.042,-330393,-483162,116793,815.2,11819.5,2964847409,2964.847409
2972098430,23892,0.026,0.04,0.024,-331151,-483089,116716,815.2,11819.5,2964848430,2964.84843
2972099451,24913,0.077,0.042,0.066,-331041,-483081,116892,815.2,11819.5,2964849451,2964.849451
2972100472,25934,0.106,0.074,0.038,-330978,-482947,116776,815.2,11819.5,2964850472,2964.850472
2972101493,26955,0.032,0.031,-0.066,-331138,-483129,116345,815.2,11819.5,2964851493,2964.8514929999997
2972102514,27976,0.138,-0.017,0.071,-330908,-483332,116911,815.2,11819.5,2964852514,2964.8525139999997
2972103535,28997,0.061,0.007,-0.021,-331074,-483231,116531,815.2,11819.5,2964853535,2964.8535349999997
2972104556,30018,0.039,0.009,0.027,-331123,-483221,116728,815.2,11819.5,2964854556,2964.854556
2972105577,31039,0.109,0.039,0.031,-330971,-483094,116745,815.2,11819.5,2964855577,2964.855577
2972106599,32061,0.079,0.083,-0.019,-331036,-482908,116539,815.2,11819.5,2964856599,2964.8565989999997
2972107621,33083,0.077,-0.019,-0.02,-331040,-483341,116536,815.2,11819.5,2964857621,2964.8576209999997
2972108643,34105,0.108,-0.06,0.082,-330972,-483512,116957,815.2,11819.5,2964858643,2964.858643
2972109665,35127,-0.008,-0.058,-0.075,-331226,-483503,116307,815.2,11819.5,2964859665,2964.859665
2972110686,36148,0.079,-0.039,0.068,-331036,-483423,116901,815.2,11819.5,2964860686,2964.860686
2972111708,37170,0.179,-0.016,-0.008,-330819,-483325,116585,815.2,11819.5,2964861708,2964.861708
2972112730,38192,-0.043,-0.07,0.063,-331302,-483552,116878,815.2,11819.5,2964862730,2964.86273
2972113752,39214,0.04,-0.097,0.013,-331121,-483669,116673,815.2,11819.5,2964863752,2964.8637519999997
2972114774,40236,0.123,-0.098,0.018,-330941,-483672,116692,815.2,11819.5,2964864774,2964.8647739999997
2972115795,41257,-0.033,0.016,-0.018,-331279,-483190,116543,815.2,11819.5,2964865795,2964.8657949999997
2972116817,42279,0.058,-0.077,0.052,-331082,-483584,116833,815.2,11819.5,2964866817,2964.866817
2972117839,43301,-0.1,-0.1,0.064,-331426,-483682,116883,815.2,11819.5,2964867839,2964.867839
2972118861,44323,-0.034,0.011,0.056,-331281,-483213,116852,815.2,11819.5,2964868861,2964.868861
2972119883,45345,0.059,0.004,-0.051,-331079,-483244,116404,815.2,11819.5,2964869883,2964.869883
2972120904,46366,-0.031,0.001,0.037,-331276,-483257,116773,815.2,11819.5,2964870904,2964.870904
2972121926,47388,-0.014,0.035,0.029,-331238,-483114,116740,815.2,11819.5,2964871926,2964.871926
2972122948,48410,0.002,-0.001,0.008,-331203,-483263,116652,815.2,11819.5,2964872948,2964.8729479999997
2972123970,49432,-0.12,-0.055,-0.002,-331469,-483492,116610,815.2,11819.5,2964873970,2964.8739699999996
2972124992,50454,0.085,0.006,0.015,-331022,-483233,116680,815.2,11819.5,2964874992,2964.874992
2972126013,51475,-0.196,-0.031,0.03,-331633,-483389,116744,815.2,11819.5,2964876013,2964.876013
2972127035,52497,-0.135,0.062,0.115,-331501,-483000,117095,815.2,11819.5,2964877035,2964.877035
2972128057,53519,-0.078,0.077,0.015,-331377,-482936,116679,815.2,11819.5,2964878057,2964.878057
2972129079,54541,-0.108,0.034,0.053,-331443,-483116,116837,815.2,11819.5,2964879079,2964.879079
2972130101,55563,0.011,0.039,0.083,-331183,-483097,116963,815.2,11819.5,2964880101,2964.8801009999997
2972131122,56584,-0.053,-0.033,-0.015,-331323,-483399,116556,815.2,11819.5,2964881122,2964.881122
2972132144,57606,-0.327,-0.002,-0.044,-331919,-483269,116435,815.2,11819.5,2964882144,2964.8821439999997
2972133166,58628,-0.078,0.044,0.011,-331377,-483072,116665,815.2,11819.5,2964883166,2964.883166
2972134188,59650,-0.182,0.002,0.006,-331604,-483250,116642,815.2,11819.5,2964884188,2964.884188
2972135210,60672,-0.192,-0.076,-0.004,-331626,-483580,116600,815.2,11819.5,2964885210,2964.88521
2972136231,61693,-0.078,0.043,0.045,-331378,-483080,116804,815.2,11819.5,2964886231,2964.886231
2972137253,62715,-0.157,-0.015,0.048,-331549,-483324,116816,815.2,11819.5,2964887253,2964.887253
2972138275,63737,-0.146,-0.06,0.019,-331524,-483512,116698,815.2,11819.5,2964888275,2964.888275
2972139297,64759,-0.072,-0.025,0.088,-331365,-483366,116985,815.2,11819.5,2964889297,2964.8892969999997
2972140319,65781,-0.147,-0.07,-0.019,-331527,-483554,116540,815.2,11819.5,2964890319,2964.890319
2972141340,66802,0.036,-0.026,0.008,-331130,-483367,116651,815.2,11819.5,2964891340,2964.8913399999997
2972142362,67824,-0.008,0.048,0.143,-331226,-483057,117211,815.2,11819.5,2964892362,2964.892362
2972143384,68846,-0.034,-0.042,0.071,-331282,-483438,116913,815.2,11819.5,2964893384,2964.893384
2972144406,69868,-0.051,0.005,0.015,-331318,-483239,116680,815.2,11819.5,2964894406,2964.894406
2972145428,70890,0.102,-0.019,0.052,-330985,-483339,116834,815.2,11819.5,2964895428,2964.895428
2972146449,71911,-0.106,-0.028,0.084,-331439,-483377,116965,815.2,11819.5,2964896449,2964.896449
2972147471,72933,0.063,-0.052,0.05,-331070,-483479,116825,815.2,11819.5,2964897471,2964.8974709999998
2972148493,73955,-0.172,-0.174,-0.048,-331581,-483992,116416,815.2,11819.5,2964898493,2964.8984929999997
2972149515,74977,-0.109,-0.07,-0.12,-331445,-483555,116119,815.2,11819.5,2964899515,2964.899515
2972150537,75999,0.12,-0.053,-0.044,-330947,-483481,116436,815.2,11819.5,2964900537,2964.900537
2972151558,77020,-0.087,-0.124,-0.079,-331397,-483783,116290,815.2,11819.5,2964901558,2964.901558
2972152580,78042,-0.042,0.015,-0.036,-331298,-483196,116467,815.2,11819.5,2964902580,2964.90258
2972153602,79064,-0.09,-0.016,-0.02,-331404,-483325,116536,815.2,11819.5,2964903602,2964.903602
2972154624,80086,-0.07,0.066,0.01,-331360,-482980,116660,815.2,11819.5,2964904624,2964.904624
2972155646,81108,-0.122,-0.027,0.033,-331472,-483375,116755,815.2,11819.5,2964905646,2964.9056459999997
2972156667,82129,-0.125,0.099,0.079,-331480,-482842,116946,815.2,11819.5,2964906667,2964.9066669999997
2972157689,83151,-0.042,0.03,0.068,-331300,-483134,116902,815.2,11819.5,2964907689,2964.9076889999997
2972158711,84173,-0.051,-0.001,0.039,-331319,-483263,116781,815.2,11819.5,2964908711,2964.908711
2972159744,85206,-0.029,0.021,0.03,-331270,-483172,116744,815.2,11819.5,2964909744,2964.909744
2972160820,86282,-0.029,0.021,0.03,-331270,-483172,116744,815.2,11819.5,2964910820,2964.91082
2972161885,87347,-0.013,0.034,0.009,-331235,-483154,116683,815.2,11819.5,2964911885,2964.911885
2972162906,88368,-0.028,-0.028,-0.079,-331269,-483415,116316,815.2,11819.5,2964912906,2964.912906
2972163927,89389,0.021,-0.045,0.026,-331162,-483486,116755,815.2,11819.5,2964913927,2964.913927
2972164948,90410,-0.114,-0.034,-0.008,-331455,-483438,116612,815.2,11819.5,2964914948,2964.9149479999996
2972165969,91431,-0.059,-0.087,-0.094,-331336,-483663,116255,815.2,11819.5,2964915969,2964.9159689999997
2972166990,92452,-0.095,-0.03,0.02,-331413,-483421,116729,815.2,11819.5,2964916990,2964.9169899999997
2972168011,93473,-0.023,-0.034,0.008,-331257,-483440,116678,815.2,11819.5,2964918011,2964.9180109999998
2972169032,94494,-0.096,-0.064,-0.063,-331417,-483564,116384,815.2,11819.5,2964919032,2964.919032
2972170053,95515,0.026,0.029,0.015,-331151,-483174,116706,815.2,11819.5,2964920053,2964.920053
2972171074,96536,-0.072,0.032,-0.031,-331365,-483159,116518,815.2,11819.5,2964921074,2964.921074
2972172094,97556,0.165,0.057,-0.063,-330849,-483057,116382,815.2,11819.5,2964922094,2964.922094
2972173115,98577,-0.059,0.061,0.044,-331337,-483037,116827,815.2,11819.5,2964923115,2964.923115
2972174136,99598,0.035,0.035,-0.023,-331131,-483148,116551,815.2,11819.5,2964924136,2964.924136
