# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: rainbow
# Date: 20250608
# Time: 204552
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
2614392559,0,-38.879,-0.104,0.105,-415694,-483764,117072,134.7,13767.6,2607142559,2607.142559
2614393170,611,-39.015,-0.165,0.127,-415988,-484022,117165,134.7,13767.6,2607143170,2607.14317
2614394192,1633,-38.843,-0.063,0.1,-415616,-483590,117052,134.7,13767.6,2607144192,2607.1441919999997
2614395214,2655,-38.773,-0.061,0.117,-415463,-483585,117122,134.7,13767.6,2607145214,2607.1452139999997
2614396235,3676,-38.79,-0.116,0.15,-415501,-483814,117263,134.7,13767.6,2607146235,2607.1462349999997
2614397257,4698,-38.816,-0.189,0.147,-415556,-484124,117247,134.7,13767.6,2607147257,2607.147257
2614398279,5720,-38.977,-0.193,0.237,-415907,-484140,117625,134.7,13767.6,2607148279,2607.148279
2614399301,6742,-38.916,-0.123,0.197,-415774,-483846,117458,134.7,13767.6,2607149301,2607.149301
2614400323,7764,-38.969,-0.177,0.187,-415890,-484073,117417,134.7,13767.6,2607150323,2607.150323
2614401344,8785,-39.021,-0.078,0.261,-416002,-483655,117721,134.7,13767.6,2607151344,2607.151344
2614402366,9807,-39.05,-0.198,0.177,-416065,-484161,117375,134.7,13767.6,2607152366,2607.152366
2614403388,10829,-38.993,-0.147,0.216,-415942,-483944,117536,134.7,13767.6,2607153388,2607.1533879999997
2614404410,11851,-39.0,-0.185,0.176,-415957,-484104,117368,134.7,13767.6,2607154410,2607.15441
2614405432,12873,-38.873,-0.165,0.203,-415681,-484022,117481,134.7,13767.6,2607155432,2607.155432
2614406453,13894,-38.931,-0.048,0.227,-415806,-483530,117583,134.7,13767.6,2607156453,2607.156453
2614407475,14916,-38.952,-0.164,0.189,-415853,-484016,117425,134.7,13767.6,2607157475,2607.157475
2614408497,15938,-38.912,-0.145,0.202,-415766,-483939,117479,134.7,13767.6,2607158497,2607.158497
2614409519,16960,-38.865,-0.104,0.196,-415662,-483764,117452,134.7,13767.6,2607159519,2607.159519
2614410541,17982,-38.929,-0.202,0.165,-415803,-484179,117325,134.7,13767.6,2607160541,2607.1605409999997
2614411562,19003,-38.732,-0.188,0.124,-415374,-484118,117154,134.7,13767.6,2607161562,2607.161562
2614412584,20025,-38.716,-0.121,0.174,-415340,-483835,117359,134.7,13767.6,2607162584,2607.1625839999997
2614413606,21047,-38.802,-0.185,0.141,-415526,-484105,117225,134.7,13767.6,2607163606,2607.163606
2614414628,22069,-38.876,-0.078,0.131,-415688,-483657,117182,134.7,13767.6,2607164628,2607.164628
2614415650,23091,-38.791,-0.146,0.18,-415502,-483941,117388,134.7,13767.6,2607165650,2607.16565
2614416671,24112,-38.89,-0.255,0.156,-415718,-484402,117285,134.7,13767.6,2607166671,2607.166671
2614417693,25134,-38.741,-0.229,0.12,-415394,-484290,117135,134.7,13767.6,2607167693,2607.167693
2614418715,26156,-38.775,-0.125,0.136,-415467,-483852,117205,134.7,13767.6,2607168715,2607.168715
2614419737,27178,-38.842,-0.175,0.099,-415614,-484064,117050,134.7,13767.6,2607169737,2607.1697369999997
2614420759,28200,-38.746,-0.149,0.132,-415405,-483952,117187,134.7,13767.6,2607170759,2607.170759
2614421780,29221,-38.81,-0.225,0.205,-415544,-484273,117491,134.7,13767.6,2607171780,2607.1717799999997
