# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: zero_check
# Date: 20250608
# Time: 203839
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
2181100315,0,0.111,-0.089,-0.006,-330793,-483233,116940,1399.4,15575.9,2173850315,2173.8503149999997
2181100935,620,0.187,-0.058,-0.009,-330629,-483100,116930,1399.4,15575.9,2173850935,2173.850935
2181101956,1641,0.092,0.025,-0.116,-330835,-482754,116485,1399.4,15575.9,2173851956,2173.851956
2181102977,2662,0.0,-0.008,0.019,-331034,-482891,117044,1399.4,15575.9,2173852977,2173.852977
2181103998,3683,0.142,-0.012,0.023,-330726,-482907,117062,1399.4,15575.9,2173853998,2173.853998
2181105019,4704,-0.027,-0.011,0.029,-331092,-482903,117087,1399.4,15575.9,2173855019,2173.855019
2181106040,5725,0.195,-0.076,-0.016,-330611,-483177,116899,1399.4,15575.9,2173856040,2173.85604
2181107060,6745,0.282,-0.113,-0.04,-330422,-483333,116800,1399.4,15575.9,2173857060,2173.85706
2181108081,7766,0.158,-0.01,-0.011,-330692,-482901,116920,1399.4,15575.9,2173858081,2173.858081
2181109102,8787,0.062,-0.048,-0.012,-330899,-483061,116917,1399.4,15575.9,2173859102,2173.859102
2181110123,9808,-0.031,0.01,-0.006,-331101,-482815,116941,1399.4,15575.9,2173860123,2173.860123
2181111144,10829,-0.045,0.065,0.023,-331132,-482584,117064,1399.4,15575.9,2173861144,2173.861144
2181112165,11850,0.129,0.005,0.033,-330755,-482838,117105,1399.4,15575.9,2173862165,2173.862165
2181113186,12871,0.066,0.084,-0.015,-330892,-482503,116906,1399.4,15575.9,2173863186,2173.863186
2181114207,13892,0.152,0.028,0.027,-330705,-482740,117080,1399.4,15575.9,2173864207,2173.864207
2181115228,14913,0.223,-0.009,-0.053,-330550,-482894,116747,1399.4,15575.9,2173865228,2173.865228
2181116249,15934,0.125,-0.045,0.02,-330763,-483045,117050,1399.4,15575.9,2173866249,2173.8662489999997
2181117270,16955,0.141,-0.036,-0.028,-330727,-483011,116850,1399.4,15575.9,2173867270,2173.8672699999997
2181118291,17976,0.199,-0.033,0.01,-330602,-482998,117010,1399.4,15575.9,2173868291,2173.8682909999998
2181119312,18997,0.174,-0.051,-0.039,-330656,-483071,116806,1399.4,15575.9,2173869312,2173.869312
2181120333,20018,0.066,-0.008,0.013,-330890,-482890,117022,1399.4,15575.9,2173870333,2173.870333
2181121354,21039,0.154,0.069,-0.018,-330699,-482568,116891,1399.4,15575.9,2173871354,2173.871354
2181122375,22060,0.254,-0.042,-0.022,-330483,-483035,116876,1399.4,15575.9,2173872375,2173.872375
2181123407,23092,0.199,-0.082,0.033,-330603,-483203,117103,1399.4,15575.9,2173873407,2173.873407
2181124483,24168,0.199,-0.082,0.033,-330603,-483203,117103,1399.4,15575.9,2173874483,2173.874483
2181125548,25233,0.155,-0.063,-0.028,-330697,-483158,116824,1399.4,15575.9,2173875548,2173.875548
2181126569,26254,0.134,0.038,-0.023,-330743,-482733,116842,1399.4,15575.9,2173876569,2173.876569
2181127590,27275,0.14,0.017,-0.028,-330731,-482822,116822,1399.4,15575.9,2173877590,2173.87759
2181128611,28296,0.246,0.037,0.043,-330500,-482737,117120,1399.4,15575.9,2173878611,2173.878611
2181129632,29317,0.123,0.074,0.044,-330767,-482584,117121,1399.4,15575.9,2173879632,2173.879632
2181130652,30337,0.322,0.038,-0.07,-330336,-482733,116648,1399.4,15575.9,2173880652,2173.880652
2181131673,31358,0.204,0.019,-0.006,-330592,-482815,116913,1399.4,15575.9,2173881673,2173.881673
2181132694,32379,0.113,-0.077,-0.011,-330789,-483217,116895,1399.4,15575.9,2173882694,2173.882694
2181133715,33400,0.163,-0.072,-0.105,-330681,-483198,116502,1399.4,15575.9,2173883715,2173.883715
2181134736,34421,0.12,-0.004,-0.087,-330773,-482912,116576,1399.4,15575.9,2173884736,2173.884736
2181135757,35442,0.091,-0.062,-0.005,-330837,-483155,116917,1399.4,15575.9,2173885757,2173.885757
2181136778,36463,0.095,-0.014,-0.014,-330828,-482954,116880,1399.4,15575.9,2173886778,2173.886778
2181137799,37484,0.144,0.003,-0.061,-330721,-482882,116688,1399.4,15575.9,2173887799,2173.887799
2181138820,38505,0.17,-0.016,-0.053,-330666,-482962,116721,1399.4,15575.9,2173888820,2173.88882
2181139841,39526,0.253,-0.006,-0.098,-330485,-482919,116534,1399.4,15575.9,2173889841,2173.8898409999997
2181140862,40547,0.225,-0.047,-0.004,-330545,-483090,116922,1399.4,15575.9,2173890862,2173.8908619999997
2181141883,41568,0.222,-0.018,-0.09,-330552,-482969,116566,1399.4,15575.9,2173891883,2173.891883
2181142904,42589,0.208,-0.111,-0.074,-330583,-483361,116632,1399.4,15575.9,2173892904,2173.892904
2181143925,43610,0.029,-0.062,-0.058,-330972,-483155,116700,1399.4,15575.9,2173893925,2173.893925
2181144946,44631,0.196,-0.032,-0.035,-330609,-483027,116795,1399.4,15575.9,2173894946,2173.894946
2181145967,45652,0.218,-0.049,-0.058,-330560,-483100,116698,1399.4,15575.9,2173895967,2173.895967
