# Participant: P0
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: frc_reset
# Date: 20250608
# Time: 210714
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3896366968,0,0.008,0.087,0.062,-331486,-483210,116723,0.0,8390.2
3896367808,840,-0.083,-0.004,0.031,-331685,-483591,116595,0.0,8390.2
3896368841,1873,-0.125,0.019,0.075,-331775,-483496,116777,0.0,8390.2
3896369917,2949,-0.125,0.019,0.075,-331775,-483496,116777,0.0,8390.2
3896370982,4014,-0.015,0.056,0.013,-331524,-483305,116520,0.0,8390.2
3896372003,5035,0.054,0.068,0.046,-331373,-483255,116658,0.0,8390.2
3896373024,6056,0.052,0.101,0.107,-331377,-483116,116911,0.0,8390.2
3896374045,7077,0.011,0.074,0.05,-331466,-483226,116674,0.0,8390.2
3896375066,8098,0.021,0.044,-0.034,-331445,-483355,116323,0.0,8390.2
3896376087,9119,0.073,0.075,0.074,-331331,-483225,116772,0.0,8390.2
3896377108,10140,-0.032,0.086,-0.02,-331559,-483178,116380,0.0,8390.2
3896378128,11160,0.085,0.099,0.027,-331306,-483123,116576,0.0,8390.2
3896379149,12181,-0.007,0.111,0.087,-331505,-483073,116827,0.0,8390.2
3896380170,13202,-0.015,0.047,-0.008,-331522,-483340,116434,0.0,8390.2
3896381191,14223,0.003,0.047,0.047,-331484,-483340,116662,0.0,8390.2
3896382212,15244,0.025,0.016,0.095,-331436,-483473,116862,0.0,8390.2
3896383233,16265,0.088,0.062,-0.004,-331300,-483278,116448,0.0,8390.2
3896384254,17286,0.134,0.107,0.053,-331198,-483088,116687,0.0,8390.2
3896385275,18307,0.096,0.057,0.056,-331281,-483299,116699,0.0,8390.2
3896386296,19328,0.186,0.046,0.077,-331086,-483345,116785,0.0,8390.2
3896387317,20349,-0.056,0.005,0.034,-331613,-483519,116606,0.0,8390.2
3896388338,21370,0.081,-0.006,0.098,-331314,-483565,116872,0.0,8390.2
3896389359,22391,0.041,0.041,0.079,-331401,-483366,116795,0.0,8390.2
3896390380,23412,0.084,0.042,0.09,-331307,-483365,116840,0.0,8390.2
3896391401,24433,-0.048,0.08,0.025,-331594,-483201,116571,0.0,8390.2
