# Participant: P0
# Mask Type: AURA
# Fit Condition: leak
# Exercise: frc_reset
# Date: 20250608
# Time: 211435
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
42383092,0,0.137,-0.043,0.035,-331144,-483773,116666,333.8,7842.7
42383770,678,0.174,0.01,0.026,-331063,-483550,116627,333.8,7842.7
42384791,1699,-0.003,-0.026,0.052,-331448,-483701,116735,333.8,7842.7
42385813,2721,0.023,0.033,-0.031,-331391,-483453,116392,333.8,7842.7
42386835,3743,0.134,-0.008,0.055,-331150,-483625,116747,333.8,7842.7
42387857,4765,0.156,-0.052,0.027,-331103,-483814,116631,333.8,7842.7
42388878,5786,0.209,-0.005,0.0,-330987,-483612,116520,333.8,7842.7
42389900,6808,0.146,-0.052,-0.043,-331125,-483813,116340,333.8,7842.7
42390922,7830,0.118,-0.025,0.022,-331185,-483700,116610,333.8,7842.7
42391944,8852,0.244,-0.058,0.022,-330912,-483838,116611,333.8,7842.7
42392966,9874,0.281,-0.09,0.049,-330831,-483973,116722,333.8,7842.7
42393987,10895,0.129,-0.025,0.052,-331162,-483699,116737,333.8,7842.7
42395009,11917,0.353,-0.085,0.058,-330675,-483950,116761,333.8,7842.7
42396031,12939,0.293,-0.052,0.04,-330804,-483811,116686,333.8,7842.7
42397053,13961,0.313,-0.02,0.009,-330762,-483675,116556,333.8,7842.7
42398075,14983,0.349,-0.04,0.041,-330682,-483762,116689,333.8,7842.7
42399096,16004,0.318,-0.015,-0.044,-330750,-483657,116335,333.8,7842.7
42400118,17026,0.388,-0.027,0.052,-330598,-483706,116737,333.8,7842.7
42401140,18048,0.408,-0.033,0.086,-330554,-483730,116879,333.8,7842.7
42402162,19070,0.348,-0.056,0.044,-330685,-483827,116701,333.8,7842.7
42403184,20092,0.32,-0.067,-0.032,-330746,-483875,116388,333.8,7842.7
42404205,21113,0.321,-0.113,0.098,-330744,-484069,116928,333.8,7842.7
42405227,22135,0.479,-0.039,0.062,-330399,-483759,116776,333.8,7842.7
42406249,23157,0.423,-0.058,-0.016,-330522,-483838,116453,333.8,7842.7
42407271,24179,0.391,-0.029,-0.023,-330592,-483715,116425,333.8,7842.7
42408293,25201,0.407,0.003,0.031,-330556,-483581,116648,333.8,7842.7
42409315,26223,0.415,-0.077,-0.031,-330540,-483917,116389,333.8,7842.7
42410336,27244,0.319,-0.047,0.044,-330749,-483790,116704,333.8,7842.7
42411358,28266,0.467,-0.024,-0.014,-330427,-483695,116461,333.8,7842.7
42412380,29288,0.366,-0.084,0.038,-330645,-483947,116676,333.8,7842.7
42413402,30310,0.211,-0.048,0.022,-330982,-483797,116610,333.8,7842.7
42414423,31331,0.364,0.032,0.033,-330650,-483459,116657,333.8,7842.7
42415445,32353,0.299,-0.02,0.051,-330792,-483677,116730,333.8,7842.7
42416467,33375,0.452,0.001,0.016,-330458,-483588,116588,333.8,7842.7
42417489,34397,0.389,0.041,0.042,-330596,-483420,116693,333.8,7842.7
42418511,35419,0.366,0.05,0.006,-330645,-483383,116545,333.8,7842.7
42419532,36440,0.451,0.039,0.057,-330460,-483427,116755,333.8,7842.7
42420554,37462,0.397,0.03,-0.029,-330578,-483465,116398,333.8,7842.7
42421576,38484,0.476,0.041,-0.016,-330406,-483419,116452,333.8,7842.7
