# Participant: P0
# Mask Type: AURA
# Fit Condition: leak
# Exercise: rainbow
# Date: 20250608
# Time: 211324
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4266394329,0,-30.307,-1.36,0.193,-397369,-489325,117322,470.9,9936.5
4266394711,382,-30.349,-1.606,0.193,-397459,-490362,117322,470.9,9936.5
4266395731,1402,-30.287,-1.78,0.18,-397324,-491094,117271,470.9,9936.5
4266396750,2421,-30.281,-1.921,0.17,-397312,-491686,117227,470.9,9936.5
4266397770,3441,-30.186,-1.865,0.188,-397104,-491454,117304,470.9,9936.5
4266398789,4460,-30.231,-1.892,0.146,-397203,-491565,117129,470.9,9936.5
4266399809,5480,-30.316,-1.671,0.146,-397387,-490633,117129,470.9,9936.5
4266400828,6499,-30.27,-1.523,0.203,-397288,-490012,117364,470.9,9936.5
4266401848,7519,-30.277,-1.388,0.245,-397303,-489442,117541,470.9,9936.5
4266402867,8538,-30.49,-1.204,0.095,-397766,-488665,116913,470.9,9936.5
4266403887,9558,-30.212,-1.159,0.274,-397161,-488479,117662,470.9,9936.5
4266404907,10578,-30.209,-0.996,0.238,-397154,-487791,117509,470.9,9936.5
4266405926,11597,-30.087,-1.042,0.274,-396890,-487985,117659,470.9,9936.5
4266406946,12617,-30.083,-1.095,0.188,-396881,-488207,117301,470.9,9936.5
4266407965,13636,-30.319,-1.128,0.27,-397394,-488348,117642,470.9,9936.5
4266408985,14656,-30.237,-1.097,0.186,-397215,-488217,117293,470.9,9936.5
4266410004,15675,-30.156,-1.201,0.138,-397039,-488652,117092,470.9,9936.5
4266411024,16695,-30.187,-1.299,0.153,-397107,-489065,117155,470.9,9936.5
4266412043,17714,-30.17,-1.301,0.129,-397069,-489077,117056,470.9,9936.5
4266413063,18734,-30.256,-1.318,0.155,-397257,-489146,117164,470.9,9936.5
4266414082,19753,-30.258,-1.373,0.068,-397261,-489378,116801,470.9,9936.5
4266415102,20773,-30.188,-1.375,0.142,-397109,-489389,117110,470.9,9936.5
