# Participant: P0
# Mask Type: AURA
# Fit Condition: leak
# Exercise: zero_check
# Date: 20250608
# Time: 210902
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4003810848,0,0.027,0.115,-0.021,-331355,-483035,116517,135.0,9608.1
4003811861,1013,0.028,0.024,0.061,-331353,-483419,116856,135.0,9608.1
4003812883,2035,-0.077,0.055,0.045,-331583,-483287,116791,135.0,9608.1
4003813905,3057,0.096,0.087,0.052,-331206,-483153,116817,135.0,9608.1
4003814927,4079,-0.059,-0.015,0.002,-331543,-483582,116613,135.0,9608.1
4003815948,5100,0.096,0.018,0.005,-331205,-483446,116623,135.0,9608.1
4003816970,6122,0.243,0.066,0.11,-330887,-483242,117060,135.0,9608.1
4003817992,7144,0.138,0.045,0.033,-331115,-483332,116742,135.0,9608.1
4003819014,8166,0.228,0.04,0.058,-330918,-483352,116845,135.0,9608.1
4003820036,9188,0.182,0.102,-0.016,-331019,-483090,116536,135.0,9608.1
4003821058,10210,0.204,0.048,0.076,-330970,-483318,116920,135.0,9608.1
4003822079,11231,0.2,0.067,0.062,-330979,-483236,116860,135.0,9608.1
4003823101,12253,0.278,0.066,0.024,-330811,-483243,116701,135.0,9608.1
4003824123,13275,0.153,0.097,0.047,-331082,-483113,116797,135.0,9608.1
4003825145,14297,0.302,0.071,0.12,-330758,-483220,117103,135.0,9608.1
4003826167,15319,0.153,0.029,0.008,-331082,-483398,116634,135.0,9608.1
4003827188,16340,0.227,0.004,0.038,-330921,-483503,116761,135.0,9608.1
4003828210,17362,0.372,-0.0,0.03,-330606,-483521,116726,135.0,9608.1
4003829232,18384,0.097,0.024,-0.004,-331203,-483418,116584,135.0,9608.1
4003830254,19406,0.305,0.064,0.064,-330751,-483249,116867,135.0,9608.1
4003831276,20428,0.03,0.049,0.058,-331349,-483314,116846,135.0,9608.1
4003832297,21449,0.127,-0.011,-0.059,-331139,-483567,116355,135.0,9608.1
4003833319,22471,0.247,0.059,-0.042,-330877,-483272,116428,135.0,9608.1
4003834341,23493,0.142,-0.036,0.052,-331105,-483672,116820,135.0,9608.1
