# Participant: P0
# Mask Type: AURA
# Fit Condition: leak
# Exercise: zeroing
# Date: 20250608
# Time: 210844
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3986292144,0,-2.593,-0.04,0.002,-337129,-483744,116473,15.9,8388.1
3986293056,912,-2.538,-0.045,0.061,-337011,-483766,116719,15.9,8388.1
3986294077,1933,-2.624,-0.072,0.04,-337197,-483878,116632,15.9,8388.1
3986295098,2954,-2.585,-0.104,0.004,-337113,-484016,116481,15.9,8388.1
3986296119,3975,-2.619,-0.079,0.025,-337187,-483907,116570,15.9,8388.1
3986297140,4996,-2.698,-0.021,0.046,-337358,-483664,116656,15.9,8388.1
3986298161,6017,-2.662,-0.12,0.087,-337281,-484080,116828,15.9,8388.1
3986299182,7038,-2.835,-0.039,-0.04,-337656,-483742,116297,15.9,8388.1
3986300203,8059,-2.802,-0.058,-0.004,-337584,-483822,116450,15.9,8388.1
3986301224,9080,-2.717,-0.05,0.106,-337399,-483785,116908,15.9,8388.1
3986302245,10101,-2.844,-0.063,0.001,-337676,-483840,116470,15.9,8388.1
3986303266,11122,-2.719,-0.102,0.015,-337404,-484007,116527,15.9,8388.1
3986304287,12143,-2.998,-0.046,0.022,-338010,-483771,116555,15.9,8388.1
3986305308,13164,-2.953,0.02,-0.036,-337912,-483490,116316,15.9,8388.1
3986306329,14185,-2.962,-0.102,-0.035,-337933,-484007,116319,15.9,8388.1
3986307350,15206,-2.996,-0.049,0.077,-338007,-483783,116787,15.9,8388.1
3986308371,16227,-2.987,0.014,0.046,-337987,-483516,116657,15.9,8388.1
3986309391,17247,-3.045,-0.025,0.064,-338113,-483682,116732,15.9,8388.1
3986310412,18268,-3.072,-0.022,-0.004,-338172,-483668,116448,15.9,8388.1
3986311433,19289,-3.022,0.057,0.077,-338063,-483336,116786,15.9,8388.1
3986312454,20310,-3.072,0.067,0.064,-338171,-483294,116731,15.9,8388.1
3986313475,21331,-3.036,-0.004,0.001,-338094,-483594,116470,15.9,8388.1
3986314496,22352,-2.896,0.051,0.144,-337790,-483362,117065,15.9,8388.1
3986315517,23373,-3.124,0.076,0.054,-338284,-483257,116692,15.9,8388.1
3986316538,24394,-3.026,0.029,0.077,-338072,-483454,116784,15.9,8388.1
3986317559,25415,-2.798,0.105,0.143,-337576,-483134,117062,15.9,8388.1
3986318580,26436,-2.886,0.012,0.08,-337768,-483527,116800,15.9,8388.1
3986319601,27457,-2.729,0.064,0.094,-337425,-483305,116855,15.9,8388.1
3986320622,28478,-2.713,0.085,0.043,-337390,-483219,116646,15.9,8388.1
3986321643,29499,-2.715,0.013,0.077,-337396,-483522,116785,15.9,8388.1
3986322664,30520,-2.508,0.109,0.095,-336946,-483115,116862,15.9,8388.1
3986323685,31541,-2.631,0.047,0.001,-337212,-483376,116470,15.9,8388.1
3986324705,32561,-2.476,0.04,0.061,-336875,-483407,116720,15.9,8388.1
3986325726,33582,-2.33,0.116,0.059,-336557,-483089,116712,15.9,8388.1
3986326747,34603,-2.346,0.061,0.054,-336593,-483317,116691,15.9,8388.1
3986327768,35624,-2.194,0.108,0.034,-336262,-483119,116607,15.9,8388.1
3986328789,36645,-2.081,0.101,0.027,-336017,-483150,116578,15.9,8388.1
3986329810,37666,-2.027,0.098,0.127,-335898,-483163,116993,15.9,8388.1
3986330831,38687,-1.89,0.176,0.202,-335602,-482833,117306,15.9,8388.1
3986331852,39708,-1.718,0.134,0.099,-335228,-483011,116878,15.9,8388.1
3986332873,40729,-1.715,0.107,0.018,-335220,-483127,116540,15.9,8388.1
3986333894,41750,-1.592,0.144,0.11,-334953,-482969,116923,15.9,8388.1
3986334915,42771,-1.449,0.206,0.054,-334643,-482707,116692,15.9,8388.1
3986335936,43792,-1.444,0.158,0.07,-334631,-482911,116758,15.9,8388.1
3986336957,44813,-1.31,0.148,0.051,-334340,-482953,116678,15.9,8388.1
3986337978,45834,-1.282,0.14,0.044,-334279,-482987,116649,15.9,8388.1
3986338998,46854,-1.238,0.155,0.048,-334182,-482925,116664,15.9,8388.1
3986340019,47875,-1.111,0.171,0.037,-333907,-482855,116621,15.9,8388.1
3986341040,48896,-1.065,0.195,0.054,-333807,-482756,116689,15.9,8388.1
3986342061,49917,-0.867,0.123,0.038,-333377,-483056,116625,15.9,8388.1
3986343082,50938,-0.85,0.115,0.013,-333340,-483090,116519,15.9,8388.1
3986344103,51959,-0.806,0.213,0.114,-333244,-482677,116942,15.9,8388.1
3986345124,52980,-0.702,0.147,0.089,-333018,-482958,116837,15.9,8388.1
3986346145,54001,-0.716,0.201,0.027,-333047,-482729,116577,15.9,8388.1
3986347166,55022,-0.623,0.186,0.119,-332845,-482794,116962,15.9,8388.1
3986348187,56043,-0.496,0.142,0.051,-332569,-482978,116677,15.9,8388.1
3986349208,57064,-0.373,0.154,0.147,-332302,-482926,117076,15.9,8388.1
3986350229,58085,-0.289,0.092,0.108,-332118,-483189,116916,15.9,8388.1
3986351250,59106,-0.284,0.149,-0.016,-332108,-482950,116399,15.9,8388.1
3986352282,60138,-0.119,0.123,0.021,-331749,-483058,116554,15.9,8388.1
3986353358,61214,-0.119,0.123,0.021,-331749,-483058,116554,15.9,8388.1
3986354423,62279,-0.138,0.112,0.059,-331777,-483066,116737,15.9,8388.1
3986355444,63300,-0.058,0.069,0.007,-331603,-483249,116523,15.9,8388.1
3986356465,64321,0.041,0.043,-0.018,-331388,-483357,116417,15.9,8388.1
3986357486,65342,-0.049,0.055,0.026,-331584,-483307,116603,15.9,8388.1
3986358507,66363,0.12,0.088,0.017,-331216,-483170,116562,15.9,8388.1
3986359527,67383,-0.061,0.001,-0.013,-331609,-483537,116440,15.9,8388.1
3986360548,68404,0.117,-0.045,-0.002,-331222,-483730,116485,15.9,8388.1
3986361569,69425,0.129,0.006,0.014,-331197,-483516,116552,15.9,8388.1
3986362590,70446,0.053,-0.005,-0.026,-331361,-483560,116385,15.9,8388.1
3986363611,71467,0.036,-0.028,0.039,-331399,-483656,116654,15.9,8388.1
3986364632,72488,-0.073,-0.03,-0.026,-331636,-483665,116386,15.9,8388.1
3986365653,73509,-0.085,-0.093,-0.025,-331661,-483932,116387,15.9,8388.1
3986366674,74530,-0.04,-0.103,0.022,-331564,-483974,116585,15.9,8388.1
3986367695,75551,-0.217,-0.059,-0.008,-331948,-483789,116460,15.9,8388.1
3986368716,76572,-0.209,-0.11,-0.044,-331932,-484004,116310,15.9,8388.1
3986369737,77593,-0.348,-0.109,-0.054,-332234,-483999,116269,15.9,8388.1
3986370758,78614,-0.414,-0.08,-0.019,-332376,-483875,116415,15.9,8388.1
3986371779,79635,-0.613,-0.114,-0.037,-332810,-484022,116340,15.9,8388.1
3986372800,80656,-0.502,-0.085,-0.027,-332568,-483897,116379,15.9,8388.1
3986373820,81676,-0.742,-0.104,0.009,-333091,-483979,116529,15.9,8388.1
3986374841,82697,-0.767,-0.198,0.002,-333145,-484374,116500,15.9,8388.1
3986375862,83718,-0.961,-0.172,-0.037,-333566,-484263,116338,15.9,8388.1
3986376883,84739,-1.165,-0.186,-0.075,-334011,-484323,116181,15.9,8388.1
3986377904,85760,-1.135,-0.193,-0.044,-333944,-484355,116311,15.9,8388.1
3986378925,86781,-1.464,-0.291,0.026,-334660,-484765,116602,15.9,8388.1
3986379946,87802,-1.431,-0.23,-0.082,-334589,-484511,116152,15.9,8388.1
3986380967,88823,-1.686,-0.267,-0.122,-335143,-484666,115984,15.9,8388.1
3986381989,89845,-1.971,-0.184,-0.084,-335764,-484317,116144,15.9,8388.1
3986383011,90867,-1.959,-0.306,-0.039,-335737,-484831,116331,15.9,8388.1
3986384033,91889,-2.153,-0.327,-0.034,-336160,-484919,116350,15.9,8388.1
3986385054,92910,-2.476,-0.214,-0.05,-336862,-484441,116287,15.9,8388.1
3986386076,93932,-2.257,-0.299,-0.08,-336386,-484800,116158,15.9,8388.1
3986387098,94954,-2.614,-0.189,-0.034,-337161,-484338,116351,15.9,8388.1
3986388120,95976,-2.774,-0.165,-0.028,-337510,-484236,116378,15.9,8388.1
3986389142,96998,-2.923,-0.182,-0.017,-337833,-484306,116424,15.9,8388.1
3986390163,98019,-3.214,-0.174,-0.047,-338466,-484275,116296,15.9,8388.1
3986391185,99041,-3.269,-0.136,0.091,-338587,-484114,116870,15.9,8388.1
3986392207,100063,-3.309,-0.155,0.025,-338672,-484192,116597,15.9,8388.1
3986393229,101085,-3.538,-0.168,0.007,-339172,-484248,116521,15.9,8388.1
3986394250,102106,-3.635,-0.2,0.084,-339382,-484382,116842,15.9,8388.1
3986395272,103128,-3.694,-0.158,0.006,-339511,-484207,116517,15.9,8388.1
3986396294,104150,-3.761,-0.023,0.063,-339657,-483637,116755,15.9,8388.1
3986397316,105172,-3.818,-0.112,0.015,-339781,-484012,116557,15.9,8388.1
3986398338,106194,-3.931,0.002,0.084,-340025,-483533,116841,15.9,8388.1
3986399359,107215,-3.954,-0.022,0.081,-340075,-483631,116832,15.9,8388.1
3986400381,108237,-3.91,-0.041,0.118,-339979,-483713,116986,15.9,8388.1
3986401403,109259,-3.996,0.009,0.151,-340167,-483504,117122,15.9,8388.1
3986402425,110281,-4.165,0.001,0.123,-340535,-483534,117003,15.9,8388.1
3986403447,111303,-4.03,-0.01,0.128,-340242,-483584,117025,15.9,8388.1
3986404469,112325,-3.946,0.017,0.085,-340059,-483468,116847,15.9,8388.1
3986405490,113346,-3.918,0.078,0.148,-339998,-483210,117111,15.9,8388.1
3986406512,114368,-4.004,0.031,0.055,-340184,-483409,116723,15.9,8388.1
3986407534,115390,-3.998,0.124,0.162,-340172,-483017,117169,15.9,8388.1
3986408556,116412,-3.851,0.042,0.074,-339851,-483362,116803,15.9,8388.1
3986409577,117433,-3.909,0.038,0.101,-339977,-483380,116913,15.9,8388.1
3986410599,118455,-3.781,0.163,0.081,-339699,-482854,116832,15.9,8388.1
3986411621,119477,-3.68,0.069,0.117,-339479,-483251,116982,15.9,8388.1
3986412643,120499,-3.632,0.154,0.179,-339376,-482891,117239,15.9,8388.1
3986413665,121521,-3.513,0.114,0.162,-339117,-483061,117167,15.9,8388.1
3986414687,122543,-3.496,0.122,0.131,-339079,-483024,117040,15.9,8388.1
3986415708,123564,-3.362,0.173,0.172,-338788,-482810,117208,15.9,8388.1
3986416730,124586,-3.203,0.15,0.061,-338443,-482908,116747,15.9,8388.1
3986417752,125608,-3.287,0.182,0.084,-338625,-482773,116842,15.9,8388.1
3986418774,126630,-3.202,0.168,0.194,-338441,-482831,117299,15.9,8388.1
3986419796,127652,-3.086,0.149,0.145,-338187,-482912,117097,15.9,8388.1
3986420817,128673,-3.07,0.156,0.155,-338154,-482882,117138,15.9,8388.1
3986421839,129695,-3.057,0.14,0.133,-338125,-482949,117047,15.9,8388.1
3986422861,130717,-3.048,0.192,0.239,-338106,-482730,117486,15.9,8388.1
3986423883,131739,-2.925,0.185,0.16,-337838,-482762,117159,15.9,8388.1
3986424905,132761,-2.863,0.222,0.291,-337703,-482606,117703,15.9,8388.1
3986425926,133782,-2.788,0.241,0.155,-337539,-482523,117140,15.9,8388.1
3986426948,134804,-2.64,0.157,0.249,-337218,-482879,117528,15.9,8388.1
3986427970,135826,-2.663,0.138,0.122,-337269,-482957,116999,15.9,8388.1
3986428992,136848,-2.705,0.228,0.105,-337359,-482579,116931,15.9,8388.1
3986430013,137869,-2.584,0.146,0.161,-337097,-482923,117162,15.9,8388.1
3986431035,138891,-2.542,0.135,0.057,-337004,-482971,116732,15.9,8388.1
3986432057,139913,-2.325,0.225,0.087,-336534,-482593,116856,15.9,8388.1
3986433079,140935,-2.289,0.18,0.057,-336454,-482781,116731,15.9,8388.1
3986434101,141957,-2.169,0.165,0.061,-336193,-482846,116747,15.9,8388.1
3986435123,142979,-2.099,0.151,0.096,-336042,-482905,116892,15.9,8388.1
3986436144,144000,-2.101,0.114,0.046,-336045,-483058,116684,15.9,8388.1
3986437166,145022,-1.981,0.153,0.002,-335785,-482895,116501,15.9,8388.1
3986438188,146044,-1.838,0.106,-0.003,-335473,-483095,116482,15.9,8388.1
3986439210,147066,-1.682,0.146,-0.015,-335134,-482925,116432,15.9,8388.1
3986440232,148088,-1.587,0.124,0.048,-334928,-483016,116691,15.9,8388.1
3986441253,149109,-1.42,0.092,-0.001,-334565,-483154,116490,15.9,8388.1
3986442275,150131,-1.425,0.084,-0.026,-334576,-483186,116384,15.9,8388.1
3986443297,151153,-1.371,0.127,-0.056,-334459,-483004,116259,15.9,8388.1
3986444319,152175,-1.173,0.081,0.077,-334027,-483197,116814,15.9,8388.1
3986445341,153197,-1.105,-0.007,-0.017,-333880,-483569,116421,15.9,8388.1
3986446362,154218,-1.015,0.159,0.001,-333685,-482869,116497,15.9,8388.1
3986447384,155240,-0.928,0.072,0.048,-333494,-483237,116691,15.9,8388.1
3986448406,156262,-0.9,0.096,0.003,-333434,-483137,116507,15.9,8388.1
3986449428,157284,-0.717,0.126,0.048,-333036,-483009,116691,15.9,8388.1
3986450450,158306,-0.654,0.204,0.086,-332900,-482682,116850,15.9,8388.1
3986451471,159327,-0.683,0.169,-0.019,-332962,-482828,116416,15.9,8388.1
3986452493,160349,-0.614,0.149,0.059,-332813,-482911,116739,15.9,8388.1
3986453515,161371,-0.495,0.087,0.103,-332553,-483174,116920,15.9,8388.1
3986454537,162393,-0.4,0.09,0.078,-332347,-483160,116819,15.9,8388.1
3986455559,163415,-0.325,0.193,0.069,-332183,-482726,116781,15.9,8388.1
3986456592,164448,-0.443,0.228,0.057,-332440,-482579,116730,15.9,8388.1
3986457670,165526,-0.443,0.228,0.057,-332440,-482579,116730,15.9,8388.1
3986458735,166591,-0.186,0.119,0.03,-331882,-483003,116617,15.9,8388.1
3986459756,167612,-0.247,0.159,0.096,-332014,-482834,116891,15.9,8388.1
3986460777,168633,-0.102,0.139,0.021,-331699,-482920,116582,15.9,8388.1
3986461798,169654,-0.117,0.144,0.056,-331731,-482895,116727,15.9,8388.1
3986462819,170675,-0.242,0.096,0.095,-332003,-483100,116888,15.9,8388.1
3986463840,171696,-0.03,0.101,-0.022,-331541,-483079,116403,15.9,8388.1
3986464861,172717,-0.026,0.085,0.016,-331534,-483147,116560,15.9,8388.1
3986465882,173738,-0.035,0.089,0.044,-331553,-483129,116678,15.9,8388.1
3986466902,174758,0.129,0.074,-0.049,-331197,-483194,116288,15.9,8388.1
3986467923,175779,0.057,0.067,0.098,-331353,-483222,116903,15.9,8388.1
3986468944,176800,0.258,0.126,0.109,-330916,-482974,116946,15.9,8388.1
3986469965,177821,0.305,0.094,-0.054,-330814,-483109,116267,15.9,8388.1
3986470986,178842,0.152,0.073,0.019,-331147,-483197,116572,15.9,8388.1
3986472007,179863,0.295,0.053,0.06,-330836,-483281,116741,15.9,8388.1
3986473028,180884,0.271,0.091,-0.006,-330887,-483122,116467,15.9,8388.1
3986474049,181905,0.392,-0.062,-0.055,-330625,-483764,116263,15.9,8388.1
3986475070,182926,0.301,-0.02,0.03,-330823,-483587,116619,15.9,8388.1
3986476091,183947,0.269,0.046,-0.044,-330892,-483311,116310,15.9,8388.1
3986477112,184968,0.455,-0.004,0.039,-330487,-483519,116657,15.9,8388.1
3986478133,185989,0.455,0.004,0.016,-330488,-483485,116560,15.9,8388.1
3986479154,187010,0.509,0.148,-0.048,-330369,-482879,116294,15.9,8388.1
3986480174,188030,0.485,0.009,-0.01,-330421,-483467,116450,15.9,8388.1
3986481195,189051,0.558,0.005,0.023,-330263,-483482,116590,15.9,8388.1
3986482216,190072,0.421,-0.021,-0.016,-330562,-483594,116425,15.9,8388.1
3986483238,191094,0.531,0.065,0.055,-330322,-483231,116721,15.9,8388.1
3986484260,192116,0.525,0.144,-0.018,-330335,-482895,116418,15.9,8388.1
3986485282,193138,0.609,0.05,0.033,-330152,-483294,116630,15.9,8388.1
3986486303,194159,0.643,0.089,0.061,-330079,-483129,116747,15.9,8388.1
3986487325,195181,0.508,0.048,0.045,-330371,-483303,116681,15.9,8388.1
3986488347,196203,0.678,0.112,0.048,-330002,-483032,116694,15.9,8388.1
3986489369,197225,0.675,0.112,-0.009,-330009,-483031,116457,15.9,8388.1
