# Participant: P0
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: rainbow
# Date: 20250608
# Time: 210621
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3842695455,13.174,-0.174,-0.09,-302838,-484308,116091,8.9,10246.8
3842696249,13.521,-0.163,-0.137,-302083,-484264,115895,8.9,10246.8
3842697271,13.596,-0.324,-0.222,-301920,-484942,115540,8.9,10246.8
3842698293,13.877,-0.372,-0.245,-301308,-485142,115447,8.9,10246.8
3842699315,13.994,-0.338,-0.218,-301054,-485001,115557,8.9,10246.8
3842700337,14.139,-0.246,-0.187,-300738,-484612,115688,8.9,10246.8
3842701358,14.259,-0.478,-0.141,-300477,-485591,115879,8.9,10246.8
3842702392,14.413,-0.47,-0.026,-300142,-485557,116359,8.9,10246.8
3842703467,14.413,-0.47,-0.026,-300142,-485557,116359,8.9,10246.8
3842704532,14.6,-0.154,0.166,-299724,-484190,117185,8.9,10246.8
3842705553,14.61,-0.277,0.252,-299702,-484707,117543,8.9,10246.8
3842706574,14.908,-0.258,0.175,-299054,-484625,117220,8.9,10246.8
3842707595,15.343,-0.375,0.147,-298108,-485118,117103,8.9,10246.8
3842708616,15.418,-0.441,0.07,-297945,-485397,116784,8.9,10246.8
3842709637,15.636,-0.477,0.091,-297472,-485549,116873,8.9,10246.8
3842710657,15.921,-0.39,0.177,-296853,-485184,117230,8.9,10246.8
3842711678,15.977,-0.317,0.223,-296731,-484876,117420,8.9,10246.8
3842712699,16.086,-0.263,0.354,-296494,-484650,117967,8.9,10246.8
3842713720,16.088,-0.138,0.283,-296488,-484120,117670,8.9,10246.8
3842714741,16.294,-0.013,0.29,-296041,-483595,117700,8.9,10246.8
3842715762,16.375,0.125,0.371,-295864,-483014,118039,8.9,10246.8
3842716783,16.329,0.333,0.341,-295964,-482137,117914,8.9,10246.8
3842717804,16.316,0.532,0.513,-295992,-481299,118628,8.9,10246.8
3842718825,16.398,0.67,0.67,-295815,-480718,119280,8.9,10246.8
3842719846,16.501,0.693,0.809,-295590,-480622,119861,8.9,10246.8
3842720867,16.655,0.729,0.736,-295255,-480467,119557,8.9,10246.8
3842721888,16.847,0.56,0.639,-294839,-481181,119154,8.9,10246.8
3842722909,17.167,0.317,0.562,-294141,-482204,118834,8.9,10246.8
3842723930,17.442,0.275,0.452,-293543,-482381,118375,8.9,10246.8
3842724950,17.566,0.207,0.393,-293275,-482669,118128,8.9,10246.8
3842725971,17.758,0.185,0.45,-292856,-482762,118366,8.9,10246.8
3842726992,17.891,0.124,0.425,-292568,-483019,118261,8.9,10246.8
3842728013,18.096,0.037,0.247,-292122,-483386,117520,8.9,10246.8
3842729034,18.335,-0.019,0.222,-291603,-483618,117419,8.9,10246.8
3842730056,18.474,-0.106,0.211,-291300,-483988,117372,8.9,10246.8
3842731078,18.673,-0.141,0.271,-290866,-484136,117621,8.9,10246.8
3842732099,18.672,-0.23,0.179,-290869,-484509,117237,8.9,10246.8
3842733121,19.004,-0.22,0.108,-290147,-484466,116943,8.9,10246.8
3842734143,19.067,-0.335,0.051,-290009,-484952,116704,8.9,10246.8
3842735165,19.287,-0.628,-0.024,-289532,-486188,116394,8.9,10246.8
3842736187,19.427,-0.687,-0.174,-289227,-486433,115767,8.9,10246.8
3842737208,19.523,-0.589,-0.207,-289018,-486020,115632,8.9,10246.8
3842738230,19.839,-0.77,-0.233,-288330,-486786,115523,8.9,10246.8
3842739252,19.896,-0.964,-0.369,-288207,-487601,114956,8.9,10246.8
3842740274,20.086,-0.832,-0.34,-287793,-487046,115076,8.9,10246.8
3842741296,20.188,-0.707,-0.301,-287572,-486518,115241,8.9,10246.8
3842742317,20.185,-0.433,-0.182,-287578,-485366,115735,8.9,10246.8
3842743339,20.311,-0.184,0.086,-287305,-484314,116851,8.9,10246.8
3842744361,20.057,-0.189,0.247,-287856,-484336,117523,8.9,10246.8
3842745383,20.135,-0.272,0.287,-287688,-484687,117688,8.9,10246.8
3842746405,20.415,-0.08,0.387,-287078,-483877,118104,8.9,10246.8
3842747427,20.601,-0.193,0.331,-286673,-484354,117870,8.9,10246.8
3842748448,20.768,-0.359,0.174,-286311,-485051,117217,8.9,10246.8
3842749470,21.095,-0.624,0.191,-285599,-486171,117289,8.9,10246.8
3842750492,21.058,-0.563,0.217,-285681,-485911,117396,8.9,10246.8
3842751514,21.315,-0.623,0.32,-285121,-486165,117826,8.9,10246.8
3842752536,21.381,-0.522,0.354,-284977,-485739,117967,8.9,10246.8
3842753557,21.604,-0.554,0.281,-284492,-485875,117664,8.9,10246.8
3842754579,21.789,-0.469,0.256,-284091,-485518,117557,8.9,10246.8
3842755601,22.006,-0.735,0.036,-283618,-486638,116645,8.9,10246.8
3842756623,22.299,-0.782,-0.073,-282982,-486835,116190,8.9,10246.8
3842757645,22.454,-0.868,0.003,-282644,-487196,116504,8.9,10246.8
3842758666,22.397,-0.731,0.032,-282767,-486619,116626,8.9,10246.8
3842759688,22.431,-0.273,0.03,-282694,-484691,116616,8.9,10246.8
3842760710,22.676,-0.508,-0.018,-282161,-485679,116417,8.9,10246.8
3842761732,22.8,-0.733,-0.163,-281891,-486627,115816,8.9,10246.8
3842762754,22.912,-1.133,-0.066,-281649,-488314,116218,8.9,10246.8
3842763776,23.016,-1.009,0.02,-281421,-487790,116576,8.9,10246.8
3842764797,23.09,-1.076,0.139,-281260,-488072,117071,8.9,10246.8
3842765819,23.318,-1.062,0.101,-280766,-488015,116914,8.9,10246.8
3842766841,23.411,-1.025,0.02,-280563,-487859,116577,8.9,10246.8
3842767863,23.6,-1.065,0.001,-280152,-488029,116497,8.9,10246.8
3842768885,23.827,-1.025,-0.021,-279658,-487860,116405,8.9,10246.8
3842769906,23.744,-0.825,0.056,-279838,-487017,116727,8.9,10246.8
3842770928,24.119,-0.607,0.08,-279024,-486096,116828,8.9,10246.8
3842771950,24.085,-0.693,0.083,-279097,-486461,116839,8.9,10246.8
3842772972,24.075,-0.388,0.159,-279118,-485175,117155,8.9,10246.8
3842773994,24.193,-0.29,0.109,-278863,-484763,116948,8.9,10246.8
3842775015,24.372,-0.362,0.147,-278473,-485066,117103,8.9,10246.8
3842776037,24.474,-0.343,0.139,-278250,-484986,117073,8.9,10246.8
3842777059,24.76,-0.272,0.148,-277629,-484684,117111,8.9,10246.8
3842778081,24.798,-0.966,0.066,-277546,-487608,116768,8.9,10246.8
3842779103,25.098,-0.721,0.049,-276893,-486576,116698,8.9,10246.8
3842780124,24.959,-1.099,-0.053,-277196,-488171,116271,8.9,10246.8
3842781146,25.202,-1.502,-0.14,-276668,-489870,115911,8.9,10246.8
3842782168,25.619,-1.123,-0.313,-275760,-488273,115190,8.9,10246.8
3842783190,25.67,-0.606,-0.225,-275650,-486094,115556,8.9,10246.8
3842784212,25.887,-1.089,-0.335,-275177,-488128,115097,8.9,10246.8
3842785233,25.885,-1.243,-0.378,-275182,-488778,114921,8.9,10246.8
3842786255,26.009,-1.26,-0.522,-274913,-488847,114321,8.9,10246.8
3842787277,26.22,-1.237,-0.24,-274453,-488750,115494,8.9,10246.8
3842788299,26.045,-1.2,-0.118,-274835,-488595,116001,8.9,10246.8
3842789321,25.989,-0.776,0.051,-274957,-486808,116705,8.9,10246.8
3842790342,26.044,-0.557,0.21,-274836,-485887,117367,8.9,10246.8
3842791364,25.942,-0.497,0.226,-275059,-485634,117435,8.9,10246.8
3842792386,25.967,-0.973,0.196,-275004,-487638,117309,8.9,10246.8
3842793408,26.424,-1.347,0.212,-274009,-489216,117377,8.9,10246.8
3842794430,26.404,-0.927,0.253,-274054,-487446,117545,8.9,10246.8
3842795452,26.246,-0.427,0.551,-274398,-485340,118788,8.9,10246.8
3842796473,26.38,0.281,0.544,-274105,-482357,118759,8.9,10246.8
3842797495,26.676,-0.056,0.389,-273463,-483776,118112,8.9,10246.8
3842798517,26.908,-0.622,0.11,-272958,-486159,116953,8.9,10246.8
3842799539,27.215,-1.278,0.103,-272290,-488923,116922,8.9,10246.8
3842800561,27.197,0.117,0.126,-272330,-483046,117017,8.9,10246.8
3842801582,27.467,-0.562,0.146,-271742,-485906,117102,8.9,10246.8
3842802604,27.89,-1.348,-0.028,-270821,-489221,116375,8.9,10246.8
3842803626,28.282,-1.338,-0.264,-269969,-489177,115396,8.9,10246.8
3842804648,28.739,-2.596,-0.511,-268976,-494476,114365,8.9,10246.8
3842805670,29.017,-2.471,-0.777,-268370,-493952,113258,8.9,10246.8
3842806703,29.191,-2.049,-0.609,-267993,-492173,113959,8.9,10246.8
3842807779,29.191,-2.049,-0.609,-267993,-492173,113959,8.9,10246.8
