# Participant: P0
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: zero_check
# Date: 20250608
# Time: 210137
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3559374967,0.118,0.046,0.013,-331166,-483131,116712,17.3,10006.0
3559375946,0.061,-0.034,-0.041,-331290,-483465,116489,17.3,10006.0
3559376967,0.084,0.015,0.018,-331239,-483261,116735,17.3,10006.0
3559377988,0.139,0.017,0.004,-331120,-483250,116677,17.3,10006.0
3559379009,0.104,0.039,-0.01,-331195,-483159,116617,17.3,10006.0
3559380030,0.146,-0.005,0.01,-331104,-483345,116701,17.3,10006.0
3559381051,0.136,0.048,-0.003,-331126,-483122,116645,17.3,10006.0
3559382072,0.101,-0.042,0.022,-331203,-483501,116752,17.3,10006.0
3559383093,0.261,0.001,-0.038,-330855,-483320,116501,17.3,10006.0
3559384114,0.161,-0.014,0.003,-331073,-483383,116673,17.3,10006.0
3559385135,0.211,-0.041,-0.037,-330964,-483495,116507,17.3,10006.0
3559386155,0.195,0.109,0.031,-330998,-482863,116787,17.3,10006.0
3559387176,0.326,0.028,-0.054,-330713,-483207,116435,17.3,10006.0
3559388197,0.18,-0.032,0.011,-331031,-483458,116704,17.3,10006.0
3559389218,0.397,-0.015,-0.05,-330559,-483387,116449,17.3,10006.0
3559390239,0.201,-0.055,-0.043,-330986,-483554,116481,17.3,10006.0
3559391260,0.19,-0.008,-0.001,-331009,-483356,116655,17.3,10006.0
3559392281,0.141,0.039,-0.012,-331115,-483158,116609,17.3,10006.0
3559393302,0.178,-0.052,0.032,-331036,-483541,116792,17.3,10006.0
3559394323,0.243,-0.083,0.036,-330894,-483672,116808,17.3,10006.0
3559395344,0.114,-0.019,-0.027,-331174,-483404,116548,17.3,10006.0
3559396365,0.161,-0.072,0.014,-331072,-483628,116718,17.3,10006.0
3559397386,0.161,-0.04,-0.01,-331071,-483491,116616,17.3,10006.0
3559398407,0.141,0.015,-0.002,-331115,-483260,116652,17.3,10006.0
3559399428,0.155,0.032,0.025,-331085,-483190,116761,17.3,10006.0
3559400449,0.056,0.077,-0.072,-331300,-483000,116358,17.3,10006.0
3559401470,0.029,0.007,0.031,-331359,-483294,116789,17.3,10006.0
3559402490,0.067,0.004,-0.013,-331277,-483308,116604,17.3,10006.0
3559403511,0.082,-0.003,0.071,-331244,-483334,116956,17.3,10006.0
3559404532,0.024,-0.017,-0.001,-331369,-483394,116653,17.3,10006.0
3559405553,0.118,0.034,0.08,-331166,-483180,116990,17.3,10006.0
3559406574,0.175,0.094,0.055,-331042,-482929,116889,17.3,10006.0
