# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: deep_breathing
# Date: 20250608
# Time: 204256
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2438205822,0,-39.587,-0.413,0.153,-417190,-485031,117302,343.5,15604.2
2438206502,680,-39.849,-0.312,0.058,-417761,-484606,116905,343.5,15604.2
2438207522,1700,-39.936,-0.164,0.122,-417948,-483982,117173,343.5,15604.2
2438208541,2719,-39.869,-0.108,0.238,-417803,-483744,117655,343.5,15604.2
2438209561,3739,-39.971,-0.06,0.253,-418025,-483544,117717,343.5,15604.2
2438210580,4758,-40.163,-0.101,0.325,-418442,-483717,118017,343.5,15604.2
2438211600,5778,-40.124,-0.156,0.178,-418357,-483947,117404,343.5,15604.2
2438212619,6797,-40.193,-0.131,0.278,-418507,-483843,117823,343.5,15604.2
2438213639,7817,-40.021,-0.115,0.244,-418134,-483775,117679,343.5,15604.2
2438214658,8836,-40.113,-0.115,0.36,-418333,-483776,118162,343.5,15604.2
2438215678,9856,-40.032,-0.086,0.341,-418158,-483654,118085,343.5,15604.2
2438216698,10876,-40.142,-0.165,0.355,-418397,-483984,118142,343.5,15604.2
2438217717,11895,-40.132,-0.049,0.352,-418375,-483497,118131,343.5,15604.2
2438218737,12915,-40.136,-0.227,0.265,-418384,-484245,117768,343.5,15604.2
2438219756,13934,-40.109,-0.105,0.345,-418325,-483731,118100,343.5,15604.2
2438220776,14954,-40.167,-0.081,0.36,-418450,-483632,118163,343.5,15604.2
2438221795,15973,-40.156,-0.163,0.351,-418427,-483977,118124,343.5,15604.2
2438222815,16993,-39.967,-0.294,0.408,-418017,-484527,118364,343.5,15604.2
2438223834,18012,-40.002,-0.131,0.355,-418092,-483841,118140,343.5,15604.2
2438224854,19032,-40.048,-0.154,0.329,-418192,-483937,118033,343.5,15604.2
2438225873,20051,-39.993,-0.116,0.434,-418074,-483780,118470,343.5,15604.2
2438226893,21071,-40.092,-0.131,0.371,-418288,-483844,118208,343.5,15604.2
2438227924,22102,-39.902,-0.13,0.324,-417876,-483836,118011,343.5,15604.2
2438229001,23179,-39.902,-0.13,0.324,-417876,-483836,118011,343.5,15604.2
2438230066,24244,-39.967,-0.145,0.358,-417996,-483899,118183,343.5,15604.2
2438231087,25265,-39.786,-0.165,0.348,-417602,-483984,118139,343.5,15604.2
2438232108,26286,-39.721,-0.09,0.375,-417460,-483668,118252,343.5,15604.2
2438233129,27307,-39.706,-0.056,0.344,-417429,-483525,118122,343.5,15604.2
2438234149,28327,-39.7,-0.193,0.347,-417416,-484105,118135,343.5,15604.2
2438235170,29348,-39.821,-0.164,0.315,-417678,-483980,118002,343.5,15604.2
2438236191,30369,-39.743,-0.15,0.293,-417508,-483923,117913,343.5,15604.2
2438237212,31390,-39.747,-0.178,0.268,-417517,-484040,117806,343.5,15604.2
2438238233,32411,-39.733,-0.138,0.335,-417488,-483873,118086,343.5,15604.2
2438239254,33432,-39.754,-0.146,0.41,-417533,-483906,118397,343.5,15604.2
2438240275,34453,-39.653,-0.089,0.312,-417313,-483664,117989,343.5,15604.2
2438241296,35474,-39.549,-0.191,0.349,-417087,-484093,118142,343.5,15604.2
2438242317,36495,-39.533,-0.165,0.381,-417053,-483987,118277,343.5,15604.2
2438243338,37516,-39.588,-0.154,0.387,-417171,-483938,118303,343.5,15604.2
2438244359,38537,-39.582,-0.152,0.422,-417158,-483930,118449,343.5,15604.2
2438245380,39558,-39.535,-0.157,0.336,-417056,-483951,118088,343.5,15604.2
2438246401,40579,-39.687,-0.22,0.369,-417387,-484218,118228,343.5,15604.2
2438247422,41600,-39.553,-0.168,0.344,-417095,-483998,118125,343.5,15604.2
2438248443,42621,-39.388,-0.17,0.282,-416738,-484007,117865,343.5,15604.2
2438249464,43642,-39.432,-0.211,0.237,-416832,-484178,117678,343.5,15604.2
2438250484,44662,-39.431,-0.222,0.228,-416830,-484227,117641,343.5,15604.2
2438251505,45683,-39.489,-0.194,0.175,-416956,-484108,117420,343.5,15604.2
2438252526,46704,-39.439,-0.137,0.295,-416848,-483869,117920,343.5,15604.2
2438253547,47725,-39.336,-0.146,0.251,-416624,-483907,117737,343.5,15604.2
2438254568,48746,-39.483,-0.146,0.19,-416943,-483904,117483,343.5,15604.2
2438255589,49767,-39.366,-0.22,0.215,-416690,-484215,117588,343.5,15604.2
2438256610,50788,-39.511,-0.278,0.169,-417004,-484459,117395,343.5,15604.2
2438257632,51810,-39.479,-0.222,0.178,-416936,-484226,117433,343.5,15604.2
2438258654,52832,-39.466,-0.185,0.231,-416907,-484069,117653,343.5,15604.2
2438259676,53854,-39.439,-0.24,0.189,-416849,-484301,117479,343.5,15604.2
2438260698,54876,-39.365,-0.193,0.195,-416687,-484102,117503,343.5,15604.2
2438261719,55897,-39.494,-0.189,0.242,-416967,-484088,117701,343.5,15604.2
2438262741,56919,-39.563,-0.271,0.222,-417118,-484430,117617,343.5,15604.2
2438263763,57941,-39.467,-0.141,0.217,-416908,-483885,117593,343.5,15604.2
2438264785,58963,-39.652,-0.132,0.169,-417310,-483846,117394,343.5,15604.2
2438265806,59984,-39.712,-0.167,0.118,-417442,-483995,117183,343.5,15604.2
2438266828,61006,-39.726,-0.23,0.139,-417471,-484257,117272,343.5,15604.2
2438267850,62028,-39.778,-0.323,0.099,-417584,-484650,117104,343.5,15604.2
2438268872,63050,-39.791,-0.269,0.204,-417612,-484424,117539,343.5,15604.2
2438269894,64072,-39.915,-0.29,0.091,-417882,-484513,117072,343.5,15604.2
2438270916,65094,-39.975,-0.364,0.115,-418013,-484822,117170,343.5,15604.2
2438271937,66115,-40.148,-0.378,0.069,-418388,-484882,116978,343.5,15604.2
2438272959,67137,-40.036,-0.356,0.151,-418145,-484790,117321,343.5,15604.2
2438273981,68159,-40.158,-0.304,0.173,-418411,-484570,117413,343.5,15604.2
2438275003,69181,-40.122,-0.306,0.12,-418332,-484580,117190,343.5,15604.2
2438276025,70203,-40.334,-0.218,0.186,-418792,-484208,117467,343.5,15604.2
2438277046,71224,-40.493,-0.285,0.235,-419139,-484492,117671,343.5,15604.2
2438278068,72246,-40.397,-0.243,0.173,-418930,-484313,117412,343.5,15604.2
2438279090,73268,-40.484,-0.372,0.259,-419120,-484857,117770,343.5,15604.2
2438280112,74290,-40.728,-0.298,0.166,-419649,-484546,117381,343.5,15604.2
2438281133,75311,-40.561,-0.337,0.189,-419287,-484709,117478,343.5,15604.2
2438282155,76333,-40.941,-0.317,0.178,-420111,-484625,117432,343.5,15604.2
2438283177,77355,-40.867,-0.37,0.15,-419952,-484847,117318,343.5,15604.2
2438284199,78377,-41.0,-0.226,0.188,-420240,-484241,117475,343.5,15604.2
2438285221,79399,-41.06,-0.234,0.134,-420370,-484276,117248,343.5,15604.2
2438286243,80421,-41.097,-0.222,0.273,-420452,-484224,117827,343.5,15604.2
2438287264,81442,-41.268,-0.278,0.27,-420823,-484461,117815,343.5,15604.2
2438288286,82464,-41.279,-0.205,0.122,-420847,-484155,117198,343.5,15604.2
2438289308,83486,-41.471,-0.202,0.211,-421263,-484140,117571,343.5,15604.2
2438290330,84508,-41.585,-0.114,0.344,-421512,-483771,118122,343.5,15604.2
2438291352,85530,-41.489,-0.183,0.288,-421303,-484059,117889,343.5,15604.2
2438292373,86551,-41.392,-0.335,0.267,-421091,-484703,117803,343.5,15604.2
2438293395,87573,-41.625,-0.178,0.235,-421598,-484038,117669,343.5,15604.2
2438294417,88595,-41.586,-0.213,0.318,-421514,-484189,118017,343.5,15604.2
2438295439,89617,-41.485,-0.084,0.197,-421294,-483646,117512,343.5,15604.2
2438296461,90639,-41.559,-0.222,0.313,-421454,-484224,117995,343.5,15604.2
2438297482,91660,-41.541,-0.184,0.311,-421415,-484065,117985,343.5,15604.2
2438298504,92682,-41.505,-0.131,0.258,-421338,-483842,117766,343.5,15604.2
2438299526,93704,-41.468,-0.217,0.253,-421257,-484205,117743,343.5,15604.2
2438300548,94726,-41.559,-0.157,0.23,-421454,-483950,117648,343.5,15604.2
2438301570,95748,-41.56,-0.123,0.257,-421456,-483807,117762,343.5,15604.2
2438302592,96770,-41.518,-0.191,0.271,-421366,-484094,117819,343.5,15604.2
2438303613,97791,-41.333,-0.193,0.202,-420963,-484103,117534,343.5,15604.2
2438304635,98813,-41.614,-0.137,0.205,-421575,-483867,117544,343.5,15604.2
2438305657,99835,-41.365,-0.198,0.273,-421033,-484123,117828,343.5,15604.2
2438306679,100857,-41.412,-0.229,0.318,-421136,-484254,118014,343.5,15604.2
2438307700,101878,-41.486,-0.162,0.275,-421296,-483971,117837,343.5,15604.2
2438308722,102900,-41.249,-0.152,0.234,-420782,-483931,117667,343.5,15604.2
2438309744,103922,-41.349,-0.165,0.201,-420998,-483984,117530,343.5,15604.2
2438310766,104944,-41.377,-0.073,0.224,-421060,-483599,117622,343.5,15604.2
2438311788,105966,-41.26,-0.077,0.35,-420806,-483614,118150,343.5,15604.2
