# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: frc_reset_init
# Date: 20250608
# Time: 204632
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2654232520,0,42.311,-1.979,-0.94,-239213,-491621,112756,928.1,12105.3
2654232881,361,41.369,-1.252,-0.759,-241261,-488562,113508,928.1,12105.3
2654233903,1383,41.684,-0.111,-0.742,-240576,-483758,113579,928.1,12105.3
2654234925,2405,42.083,0.446,-0.88,-239710,-481413,113005,928.1,12105.3
2654235947,3427,42.516,-0.081,-1.086,-238768,-483632,112147,928.1,12105.3
2654236969,4449,42.542,-0.902,-1.032,-238711,-487089,112370,928.1,12105.3
2654237990,5470,42.254,-0.887,-1.07,-239337,-487026,112213,928.1,12105.3
2654239012,6492,42.639,-1.0,-1.269,-238500,-487499,111387,928.1,12105.3
2654240034,7514,42.125,-1.357,-0.861,-239617,-489003,113082,928.1,12105.3
2654241056,8536,41.739,-1.496,-0.705,-240457,-489588,113732,928.1,12105.3
2654242078,9558,41.931,-2.021,-0.761,-240039,-491798,113501,928.1,12105.3
2654243099,10579,41.751,-2.128,-0.498,-240430,-492250,114595,928.1,12105.3
2654244121,11601,41.23,-2.089,-0.284,-241564,-492088,115482,928.1,12105.3
2654245143,12623,41.485,-2.325,-0.051,-241010,-493081,116453,928.1,12105.3
2654246165,13645,41.204,-2.297,0.021,-241620,-492961,116752,928.1,12105.3
2654247187,14667,41.553,-1.477,-0.335,-240862,-489511,115270,928.1,12105.3
2654248208,15688,42.41,-1.232,-0.902,-238998,-488476,112913,928.1,12105.3
2654249230,16710,42.55,-1.53,-0.921,-238695,-489731,112833,928.1,12105.3
2654250252,17732,41.608,-1.655,-0.639,-240742,-490258,114006,928.1,12105.3
2654251274,18754,41.65,-1.495,-0.497,-240650,-489586,114596,928.1,12105.3
2654252296,19776,41.383,-1.362,-0.329,-241231,-489025,115297,928.1,12105.3
2654253318,20798,41.594,-1.68,-0.594,-240773,-490362,114192,928.1,12105.3
2654254339,21819,41.353,-1.624,-0.154,-241297,-490126,116025,928.1,12105.3
2654255361,22841,40.648,-1.045,0.022,-242829,-487690,116756,928.1,12105.3
2654256383,23863,40.891,-0.941,0.106,-242300,-487254,117106,928.1,12105.3
2654257405,24885,41.112,-1.028,-0.094,-241819,-487617,116274,928.1,12105.3
2654258427,25907,41.099,-0.416,-0.264,-241848,-485040,115567,928.1,12105.3
2654259448,26928,41.324,0.218,-0.261,-241360,-482373,115579,928.1,12105.3
2654260470,27950,41.323,0.571,-0.257,-241361,-480888,115597,928.1,12105.3
2654261492,28972,42.002,0.33,-0.838,-239886,-481899,113179,928.1,12105.3
2654262514,29994,43.015,-1.15,-1.327,-237683,-488134,111146,928.1,12105.3
2654263536,31016,42.336,-1.561,-1.048,-239159,-489864,112305,928.1,12105.3
2654264557,32037,42.876,-1.821,-1.271,-237985,-490958,111378,928.1,12105.3
2654265579,33059,42.743,-2.297,-1.13,-238275,-492963,111966,928.1,12105.3
2654266601,34081,41.933,-2.328,-0.696,-240036,-493092,113771,928.1,12105.3
2654267623,35103,41.686,-2.39,-0.662,-240572,-493352,113910,928.1,12105.3
2654268645,36125,41.136,-2.447,-0.263,-241768,-493592,115571,928.1,12105.3
2654269667,37147,40.53,-1.891,0.194,-243085,-491251,117471,928.1,12105.3
2654270688,38168,40.692,-1.7,0.29,-242733,-490446,117871,928.1,12105.3
2654271710,39190,41.127,-1.774,-0.08,-241788,-490760,116330,928.1,12105.3
2654272732,40212,41.275,-1.967,-0.264,-241466,-491574,115566,928.1,12105.3
2654273754,41234,41.322,-2.243,-0.471,-241364,-492734,114706,928.1,12105.3
2654274776,42256,41.327,-2.47,-0.645,-241352,-493691,113982,928.1,12105.3
2654275797,43277,41.682,-1.981,-0.781,-240580,-491633,113416,928.1,12105.3
2654276819,44299,41.645,-2.22,-0.75,-240662,-492637,113544,928.1,12105.3
2654277841,45321,41.697,-2.962,-0.923,-240548,-495763,112825,377.1,12063.7
2654278863,46343,42.276,-2.842,-1.416,-239290,-495258,110773,377.1,12063.7
2654279885,47365,41.981,-2.207,-1.291,-239931,-492584,111294,377.1,12063.7
2654280906,48386,41.541,-1.26,-0.574,-240887,-488596,114278,377.1,12063.7
2654281928,49408,42.824,-2.409,-1.411,-238098,-493433,110797,377.1,12063.7
2654282950,50430,43.198,-3.041,-1.686,-237285,-496095,109653,377.1,12063.7
2654283972,51452,43.102,-2.609,-1.647,-237494,-494277,109815,377.1,12063.7
2654284994,52474,43.065,-2.357,-1.431,-237575,-493216,110711,377.1,12063.7
2654286015,53495,42.875,-2.174,-1.673,-237987,-492443,109705,377.1,12063.7
2654287037,54517,42.661,-1.356,-1.33,-238452,-488999,111133,377.1,12063.7
2654288059,55539,42.116,-0.582,-0.862,-239638,-485740,113077,377.1,12063.7
2654289081,56561,42.215,-1.104,-1.326,-239422,-487938,111150,377.1,12063.7
2654290103,57583,42.55,-0.729,-1.489,-238695,-486358,110470,377.1,12063.7
2654291124,58604,42.3,-0.802,-1.232,-239237,-486668,111540,377.1,12063.7
2654292146,59626,42.519,-1.712,-1.025,-238762,-490499,112402,377.1,12063.7
2654293168,60648,41.994,-1.765,-0.534,-239902,-490721,114443,377.1,12063.7
2654294190,61670,41.261,-0.675,-0.019,-241497,-486134,116584,377.1,12063.7
2654295212,62692,41.801,-1.147,-0.126,-240323,-488118,116141,377.1,12063.7
2654296233,63713,42.083,-1.909,-0.308,-239709,-491328,115382,377.1,12063.7
2654297255,64735,41.536,-1.719,-0.157,-240899,-490529,116012,377.1,12063.7
2654298277,65757,41.276,-1.421,0.108,-241463,-489275,117113,377.1,12063.7
2654299299,66779,41.006,-0.937,0.508,-242050,-487235,118778,377.1,12063.7
2654300321,67801,40.858,-0.411,0.631,-242373,-485020,119291,377.1,12063.7
2654301342,68822,41.207,-0.955,0.452,-241614,-487311,118544,377.1,12063.7
2654302364,69844,41.291,-1.768,0.272,-241431,-490734,117795,377.1,12063.7
2654303386,70866,40.799,-1.043,0.412,-242501,-487680,118377,377.1,12063.7
2654304408,71888,40.4,-0.031,0.963,-243367,-483419,120671,377.1,12063.7
2654305430,72910,40.442,-0.118,0.6,-243277,-483787,119160,377.1,12063.7
2654306451,73931,41.601,-0.876,-0.617,-240757,-486978,114098,377.1,12063.7
2654307473,74953,43.136,-1.816,-1.944,-237420,-490935,108579,377.1,12063.7
2654308495,75975,42.776,-2.31,-1.831,-238202,-493017,109049,377.1,12063.7
2654309517,76997,42.503,-1.045,-1.386,-238796,-487689,110898,377.1,12063.7
2654310539,78019,42.081,-0.993,-1.079,-239713,-487472,112178,377.1,12063.7
2654311561,79041,42.173,-1.151,-1.205,-239514,-488138,111653,377.1,12063.7
2654312583,80063,42.614,-1.316,-1.382,-238556,-488831,110916,377.1,12063.7
2654313604,81084,42.669,-0.995,-1.342,-238435,-487479,111082,377.1,12063.7
2654314626,82106,42.693,-1.2,-1.434,-238384,-488344,110700,377.1,12063.7
2654315648,83128,42.326,-1.061,-1.259,-239181,-487759,111429,377.1,12063.7
2654316670,84150,41.24,-0.381,-0.176,-241541,-484895,115931,377.1,12063.7
2654317691,85171,40.573,0.561,0.331,-242991,-480928,118042,377.1,12063.7
2654318713,86193,40.668,0.49,0.249,-242784,-481229,117700,377.1,12063.7
2654319735,87215,40.794,0.409,0.008,-242512,-481567,116697,377.1,12063.7
2654320757,88237,41.123,-0.003,-0.35,-241796,-483303,115209,377.1,12063.7
2654321779,89259,41.615,-0.605,-0.617,-240726,-485839,114098,377.1,12063.7
2654322801,90281,41.297,-0.815,-0.441,-241417,-486720,114832,377.1,12063.7
2654323822,91302,41.189,-0.456,-0.417,-241652,-485211,114929,377.1,12063.7
2654324844,92324,41.359,-0.717,-0.481,-241283,-486311,114665,377.1,12063.7
2654325866,93346,41.788,-1.272,-1.063,-240351,-488647,112244,377.1,12063.7
2654326888,94368,42.749,-1.961,-1.514,-238261,-491546,110367,377.1,12063.7
2654327910,95390,42.534,-2.262,-1.488,-238729,-492813,110473,377.1,12063.7
2654328931,96411,42.065,-1.569,-1.379,-239748,-489896,110930,377.1,12063.7
2654329953,97433,41.65,-0.8,-0.948,-240650,-486658,112721,377.1,12063.7
2654330975,98455,41.624,-0.419,-0.565,-240706,-485053,114314,377.1,12063.7
2654331997,99477,42.012,-0.952,-1.019,-239863,-487298,112425,377.1,12063.7
2654333030,100510,42.19,-1.202,-1.2,-239476,-488351,111674,377.1,12063.7
2654334108,101588,42.19,-1.202,-1.2,-239476,-488351,111674,377.1,12063.7
2654335173,102653,41.773,-0.65,-1.093,-240376,-486029,112120,377.1,12063.7
2654336194,103674,41.538,-0.779,-0.741,-240887,-486569,113582,377.1,12063.7
2654337215,104695,41.084,-0.406,-0.385,-241874,-484999,115065,377.1,12063.7
2654338236,105716,40.928,-0.166,-0.166,-242214,-483990,115973,377.1,12063.7
2654339257,106737,40.862,-0.401,-0.186,-242357,-484980,115892,377.1,12063.7
2654340278,107758,41.027,-0.87,-0.342,-241999,-486953,115241,377.1,12063.7
2654341299,108779,40.898,-0.418,-0.244,-242278,-485051,115648,377.1,12063.7
