t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3297511452,22.955,-1.405,-0.163,-281349,-489394,115802,1258.9,10957.0
3297512363,22.902,-0.927,-0.147,-281465,-487381,115869,1258.9,10957.0
3297513383,22.92,-0.737,0.145,-281426,-486581,117084,1258.9,10957.0
3297514402,22.533,-0.912,0.133,-282268,-487319,117032,1258.9,10957.0
3297515422,22.609,-1.178,-0.27,-282103,-488438,115356,1258.9,10957.0
3297516442,23.105,-1.379,-0.537,-281023,-489285,114244,1258.9,10957.0
3297517461,23.248,-0.928,-0.336,-280712,-487388,115080,1258.9,10957.0
3297518481,22.851,-0.176,0.145,-281576,-484217,117082,1258.9,10957.0
3297519500,22.526,-0.483,0.232,-282282,-485510,117446,1258.9,10957.0
3297520520,22.352,-0.997,-0.02,-282662,-487678,116398,1258.9,10957.0
3297521539,22.844,-1.226,-0.354,-281590,-488640,115007,1258.9,10957.0
3297522559,22.887,-0.957,-0.309,-281497,-487506,115191,1258.9,10957.0
3297523578,22.824,-0.787,-0.029,-281634,-486790,116360,1258.9,10957.0
3297524598,22.815,-0.849,0.031,-281654,-487054,116609,1258.9,10957.0
3297525617,22.697,-0.936,0.02,-281910,-487421,116563,1258.9,10957.0
3297526637,22.693,-0.99,-0.155,-281919,-487647,115833,1258.9,10957.0
3297527656,22.982,-0.882,0.049,-281290,-487194,116683,1258.9,10957.0
3297528676,22.554,-0.609,0.296,-282221,-486044,117710,1258.9,10957.0
3297529695,22.265,-0.204,0.579,-282850,-484334,118891,1258.9,10957.0
3297530715,22.221,-0.038,0.749,-282947,-483636,119598,1258.9,10957.0
3297531734,21.903,0.212,0.736,-283637,-482583,119543,1258.9,10957.0
3297532754,21.952,0.685,0.819,-283531,-480591,119889,1258.9,10957.0
3297533774,21.664,0.723,0.824,-284158,-480428,119911,1258.9,10957.0
3297534793,21.78,0.361,0.645,-283905,-481954,119165,1258.9,10957.0
3297535813,22.094,-0.152,0.313,-283221,-484115,117780,1258.9,10957.0
3297536832,22.322,-0.39,-0.143,-282727,-485121,115883,1258.9,10957.0
3297537852,22.679,-0.789,-0.366,-281950,-486801,114957,1258.9,10957.0
3297538871,23.003,-0.658,-0.463,-281246,-486247,114550,1258.9,10957.0
3297539891,22.758,-0.577,-0.462,-281777,-485906,114556,1258.9,10957.0
3297540910,22.634,-0.391,-0.399,-282048,-485124,114819,1258.9,10957.0
3297541930,22.417,0.032,-0.102,-282520,-483343,116053,1258.9,10957.0
3297542949,22.203,0.185,0.057,-282984,-482697,116717,1258.9,10957.0
3297543969,21.974,-0.211,-0.086,-283483,-484365,116122,1258.9,10957.0
3297544988,22.39,-0.587,-0.387,-282578,-485949,114870,1258.9,10957.0
3297546008,22.233,-0.736,-0.358,-282920,-486577,114990,1258.9,10957.0
3297547027,22.341,-0.524,-0.205,-282684,-485682,115627,1258.9,10957.0
3297548047,22.175,-0.347,0.056,-283045,-484936,116711,1258.9,10957.0
3297549066,22.031,0.012,0.345,-283359,-483424,117915,1258.9,10957.0
3297550086,21.738,-0.078,0.31,-283997,-483805,117768,1258.9,10957.0
3297551106,21.802,-0.19,0.308,-283857,-484278,117762,1258.9,10957.0
3297552125,21.929,0.063,0.431,-283580,-483210,118272,1258.9,10957.0
3297553145,21.625,-0.044,0.427,-284243,-483663,118257,1258.9,10957.0
3297554164,21.528,-0.064,0.124,-284453,-483744,116994,1258.9,10957.0
3297555184,21.855,-0.233,-0.041,-283742,-484456,116308,1258.9,10957.0
3297556203,21.872,0.097,0.044,-283706,-483068,116662,1258.9,10957.0
3297557223,21.558,0.217,0.094,-284387,-482561,116872,1258.9,10957.0
3297558242,21.475,0.144,0.154,-284569,-482871,117119,1258.9,10957.0
3297559262,21.468,0.241,0.399,-284584,-482459,118140,1258.9,10957.0
3297560281,21.268,0.133,0.326,-285019,-482914,117838,1258.9,10957.0
3297561301,21.155,0.202,0.263,-285265,-482626,117574,1258.9,10957.0
3297562320,21.444,0.165,0.217,-284636,-482783,117381,1258.9,10957.0
3297563340,21.436,0.219,0.238,-284653,-482553,117470,1258.9,10957.0
3297564360,21.445,0.091,0.243,-284634,-483094,117490,1258.9,10957.0
3297565379,21.219,-0.437,0.065,-285125,-485318,116748,1258.9,10957.0
3297566399,21.454,-0.546,0.131,-284615,-485775,117023,1258.9,10957.0
3297567418,21.344,-0.394,0.182,-284854,-485136,117235,1258.9,10957.0
3297568438,21.079,-0.052,0.324,-285430,-483694,117827,1258.9,10957.0
3297569469,21.207,-0.173,0.42,-285151,-484203,118227,1258.9,10957.0
3297570546,21.207,-0.173,0.42,-285151,-484203,118227,1258.9,10957.0
3297571611,21.245,-0.333,0.199,-285068,-484879,117335,1258.9,10957.0
3297572632,21.351,-0.459,0.314,-284838,-485412,117816,1258.9,10957.0
3297573653,21.263,-0.232,0.394,-285029,-484453,118145,1258.9,10957.0
3297574674,21.041,0.011,0.35,-285513,-483429,117965,1258.9,10957.0
3297575695,21.209,-0.033,0.374,-285146,-483614,118065,1258.9,10957.0
3297576716,21.318,-0.205,0.213,-284910,-484341,117392,1258.9,10957.0
3297577737,21.407,-0.273,0.083,-284716,-484625,116853,1258.9,10957.0
3297578758,21.659,-0.286,-0.211,-284168,-484680,115628,1258.9,10957.0
3297579779,21.798,-0.337,-0.28,-283865,-484896,115343,1258.9,10957.0
3297580799,21.516,-0.221,-0.193,-284480,-484409,115704,1258.9,10957.0
3297581820,21.266,-0.256,-0.101,-285024,-484554,116088,1258.9,10957.0
3297582841,21.226,0.018,-0.052,-285109,-483401,116292,1258.9,10957.0
3297583862,21.267,0.169,0.03,-285020,-482765,116633,1258.9,10957.0
3297584883,21.306,-0.169,-0.153,-284936,-484187,115869,1258.9,10957.0
3297585904,21.451,-0.093,-0.272,-284620,-483869,115376,1258.9,10957.0
3297586925,21.458,-0.131,-0.23,-284605,-484027,115548,1258.9,10957.0
3297587946,21.145,0.006,0.017,-285287,-483450,116577,1258.9,10957.0
3297588967,20.82,0.009,0.2,-285994,-483438,117338,1258.9,10957.0
3297589988,20.686,-0.024,0.226,-286284,-483579,117446,1258.9,10957.0
3297591009,20.785,0.145,0.21,-286070,-482864,117381,1258.9,10957.0
3297592030,20.976,-0.066,0.084,-285653,-483753,116857,1258.9,10957.0
3297593051,21.198,-0.398,0.109,-285172,-485155,116961,1258.9,10957.0
3297594071,20.924,-0.365,0.296,-285766,-485012,117737,1258.9,10957.0
3297595092,20.569,-0.05,0.407,-286539,-483688,118203,1258.9,10957.0
3297596113,20.588,0.102,0.386,-286498,-483047,118114,1258.9,10957.0
3297597134,20.794,-0.142,0.283,-286049,-484073,117686,1258.9,10957.0
3297598156,20.656,-0.295,0.336,-286349,-484717,117904,1258.9,10957.0
3297599178,20.803,-0.398,0.361,-286030,-485155,118010,1258.9,10957.0
3297600200,20.863,-0.737,0.106,-285899,-486583,116948,1258.9,10957.0
3297601221,20.74,-0.666,0.274,-286166,-486280,117646,1258.9,10957.0
3297602243,20.632,-0.577,0.209,-286403,-485905,117377,1258.9,10957.0
3297603265,20.695,-0.589,0.086,-286265,-485957,116866,1258.9,10957.0
3297604287,21.088,-0.985,-0.024,-285411,-487625,116408,1258.9,10957.0
3297605309,20.796,-0.63,0.177,-286045,-486132,117243,1258.9,10957.0
3297606330,20.487,-0.251,0.432,-286718,-484535,118304,1258.9,10957.0
3297607352,20.625,-0.237,0.362,-286417,-484475,118013,1258.9,10957.0
3297608374,20.722,-0.432,0.187,-286207,-485298,117287,1258.9,10957.0
3297609396,21.136,-0.761,-0.212,-285306,-486682,115624,1258.9,10957.0
3297610418,20.993,-0.799,0.046,-285616,-486843,116699,1258.9,10957.0
3297611440,20.549,-0.347,0.327,-286582,-484936,117868,1258.9,10957.0
3297612461,20.336,-0.062,0.418,-287045,-483739,118245,1258.9,10957.0
3297613483,20.396,-0.467,0.153,-286915,-485443,117145,1258.9,10957.0
3297614505,20.768,-0.607,0.022,-286107,-486033,116598,1258.9,10957.0
3297615527,20.755,-0.502,-0.121,-286135,-485593,116005,1258.9,10957.0
3297616548,20.797,-0.633,-0.054,-286044,-486145,116282,1258.9,10957.0
3297617570,20.527,-0.486,0.296,-286630,-485525,117739,1258.9,10957.0
3297618592,20.042,-0.046,0.522,-287685,-483669,118678,1258.9,10957.0
3297619614,20.003,0.143,0.52,-287769,-482873,118671,1258.9,10957.0
3297620636,20.349,0.173,0.253,-287018,-482749,117560,1258.9,10957.0
3297621658,20.691,-0.131,0.004,-286273,-484027,116524,1258.9,10957.0
3297622679,20.662,-0.546,0.031,-286336,-485778,116637,1258.9,10957.0
3297623701,20.672,-0.702,0.053,-286314,-486435,116728,1258.9,10957.0
3297624723,20.347,-0.513,0.311,-287021,-485637,117800,1258.9,10957.0
3297625745,20.151,-0.071,0.559,-287448,-483775,118833,1258.9,10957.0
3297626766,20.043,0.223,0.44,-287682,-482535,118340,1258.9,10957.0
3297627788,20.092,0.022,0.094,-287577,-483385,116900,1258.9,10957.0
3297628810,20.494,-0.288,-0.147,-286703,-484688,115893,1258.9,10957.0
3297629832,20.652,-0.134,0.082,-286359,-484041,116848,1258.9,10957.0
3297630854,20.04,0.18,0.365,-287690,-482718,118028,1258.9,10957.0
3297631875,19.839,0.369,0.309,-288127,-481920,117795,1258.9,10957.0
3297632897,19.98,0.056,0.075,-287821,-483240,116820,1258.9,10957.0
3297633919,20.233,-0.144,-0.184,-287270,-484081,115743,1258.9,10957.0
3297634941,20.511,-0.452,-0.199,-286666,-485382,115680,1258.9,10957.0
3297635963,20.324,-0.189,-0.006,-287072,-484272,116480,1258.9,10957.0
3297636984,20.284,-0.024,-0.136,-287159,-483578,115941,1258.9,10957.0
