# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: leak
# Exercise: zero_check
# Date: 20250608
# Time: 205150
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2972074538,0.062,-0.026,0.038,-331073,-483369,116776,815.2,11819.5
2972074949,0.052,0.001,-0.004,-331094,-483253,116602,815.2,11819.5
2972075970,0.11,-0.02,0.094,-330968,-483342,117009,815.2,11819.5
2972076991,0.036,0.073,0.03,-331130,-482952,116742,815.2,11819.5
2972078011,0.147,0.06,0.077,-330887,-483008,116936,815.2,11819.5
2972079032,0.104,0.021,0.05,-330982,-483169,116827,815.2,11819.5
2972080053,0.172,-0.087,0.05,-330833,-483627,116826,815.2,11819.5
2972081074,0.146,0.011,0.09,-330891,-483214,116992,815.2,11819.5
2972082095,0.106,0.026,-0.008,-330977,-483149,116586,815.2,11819.5
2972083116,0.097,0.015,0.021,-330996,-483196,116704,815.2,11819.5
2972084137,0.187,0.013,0.048,-330802,-483205,116819,815.2,11819.5
2972085158,0.187,0.067,0.064,-330802,-482977,116882,815.2,11819.5
2972086179,0.257,0.012,0.065,-330649,-483208,116888,815.2,11819.5
2972087200,0.101,0.033,0.034,-330987,-483121,116758,815.2,11819.5
2972088221,0.175,0.038,0.076,-330827,-483101,116932,815.2,11819.5
2972089242,0.124,-0.048,0.021,-330939,-483463,116705,815.2,11819.5
2972090263,0.089,0.054,0.052,-331015,-483033,116834,815.2,11819.5
2972091284,0.189,0.073,0.024,-330796,-482951,116718,815.2,11819.5
2972092305,0.208,0.011,0.05,-330756,-483214,116825,815.2,11819.5
2972093325,0.086,-0.001,0.004,-331020,-483263,116635,815.2,11819.5
2972094346,0.153,0.03,0.009,-330876,-483133,116657,815.2,11819.5
2972095367,0.152,0.104,0.028,-330878,-482823,116734,815.2,11819.5
2972096388,0.088,0.084,0.009,-331017,-482907,116654,815.2,11819.5
2972097409,0.375,0.023,0.042,-330393,-483162,116793,815.2,11819.5
2972098430,0.026,0.04,0.024,-331151,-483089,116716,815.2,11819.5
