# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: leak
# Exercise: zeroing
# Date: 20250608
# Time: 205122
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2944090743,0,-6.577,0.046,0.062,-345555,-483348,116757,273.0,11606.1
2944091582,839,-6.465,0.048,0.077,-345312,-483340,116818,273.0,11606.1
2944092604,1861,-6.413,0.084,0.127,-345199,-483191,117029,273.0,11606.1
2944093625,2882,-6.406,0.107,0.136,-345183,-483091,117066,273.0,11606.1
2944094647,3904,-6.356,0.166,0.156,-345076,-482844,117148,273.0,11606.1
2944095669,4926,-6.257,0.064,0.098,-344859,-483274,116906,273.0,11606.1
2944096691,5948,-6.412,0.055,0.053,-345196,-483310,116721,273.0,11606.1
2944097713,6970,-6.151,0.084,0.111,-344629,-483190,116963,273.0,11606.1
2944098734,7991,-6.092,0.093,0.075,-344501,-483153,116811,273.0,11606.1
2944099756,9013,-6.176,0.092,0.083,-344684,-483154,116845,273.0,11606.1
2944100778,10035,-6.189,0.123,0.113,-344713,-483026,116970,273.0,11606.1
2944101800,11057,-6.038,0.082,0.044,-344384,-483200,116683,273.0,11606.1
2944102822,12079,-6.175,0.071,0.074,-344682,-483243,116807,273.0,11606.1
2944103843,13100,-5.995,0.054,0.023,-344289,-483317,116594,273.0,11606.1
2944104865,14122,-5.932,0.056,0.039,-344153,-483308,116661,273.0,11606.1
2944105887,15144,-5.993,0.034,0.018,-344286,-483401,116575,273.0,11606.1
2944106909,16166,-5.824,0.059,0.109,-343919,-483296,116953,273.0,11606.1
2944107931,17188,-5.802,0.165,0.13,-343870,-482848,117042,273.0,11606.1
2944108952,18209,-5.759,0.148,0.041,-343777,-482922,116671,273.0,11606.1
2944109974,19231,-5.645,0.118,0.09,-343530,-483048,116873,273.0,11606.1
2944110996,20253,-5.67,0.086,0.123,-343584,-483182,117012,273.0,11606.1
2944112018,21275,-5.588,0.187,0.133,-343404,-482756,117054,273.0,11606.1
2944113040,22297,-5.582,0.13,0.157,-343393,-482997,117151,273.0,11606.1
2944114061,23318,-5.482,0.135,0.189,-343174,-482975,117287,273.0,11606.1
2944115083,24340,-5.52,0.141,0.152,-343257,-482949,117133,273.0,11606.1
2944116105,25362,-5.406,0.068,0.257,-343009,-483257,117567,273.0,11606.1
2944117127,26384,-5.309,0.128,0.188,-342799,-483006,117280,273.0,11606.1
2944118149,27406,-5.174,0.024,0.16,-342505,-483444,117164,273.0,11606.1
2944119170,28427,-5.277,0.044,0.131,-342728,-483357,117046,273.0,11606.1
2944120192,29449,-5.145,0.175,0.068,-342442,-482806,116780,273.0,11606.1
2944121214,30471,-5.23,0.174,0.098,-342626,-482810,116906,273.0,11606.1
2944122236,31493,-5.102,0.119,0.137,-342349,-483042,117069,273.0,11606.1
2944123258,32515,-5.076,0.068,0.053,-342291,-483258,116720,273.0,11606.1
2944124280,33537,-5.224,0.083,0.055,-342614,-483192,116730,273.0,11606.1
2944125301,34558,-5.106,0.075,0.048,-342357,-483229,116698,273.0,11606.1
2944126323,35580,-5.078,0.158,0.075,-342295,-482878,116812,273.0,11606.1
2944127345,36602,-5.29,0.14,0.068,-342756,-482952,116784,273.0,11606.1
2944128367,37624,-5.074,0.085,0.036,-342288,-483186,116649,273.0,11606.1
2944129389,38646,-5.135,0.199,0.12,-342419,-482707,116997,273.0,11606.1
2944130410,39667,-5.103,0.173,0.13,-342350,-482815,117041,273.0,11606.1
2944131432,40689,-5.073,0.245,0.259,-342286,-482510,117578,273.0,11606.1
2944132454,41711,-5.134,0.283,0.209,-342418,-482352,117369,273.0,11606.1
2944133476,42733,-5.027,0.176,0.216,-342184,-482804,117396,273.0,11606.1
2944134497,43754,-4.853,0.228,0.315,-341807,-482585,117809,273.0,11606.1
2944135519,44776,-4.853,0.16,0.171,-341807,-482870,117212,273.0,11606.1
2944136541,45798,-4.826,0.207,0.345,-341748,-482671,117935,273.0,11606.1
2944137563,46820,-4.622,0.228,0.29,-341305,-482583,117708,273.0,11606.1
2944138585,47842,-4.659,0.163,0.248,-341385,-482858,117533,273.0,11606.1
2944139607,48864,-4.446,0.248,0.159,-340922,-482500,117161,273.0,11606.1
2944140628,49885,-4.425,0.147,0.115,-340877,-482925,116978,273.0,11606.1
2944141650,50907,-4.373,0.103,0.123,-340762,-483108,117013,273.0,11606.1
2944142672,51929,-4.181,0.132,0.063,-340346,-482987,116761,273.0,11606.1
2944143694,52951,-4.289,0.116,0.061,-340581,-483055,116751,273.0,11606.1
2944144716,53973,-4.135,0.058,-0.05,-340246,-483299,116293,273.0,11606.1
2944145737,54994,-4.134,0.042,-0.005,-340244,-483367,116479,273.0,11606.1
2944146759,56016,-4.162,0.036,-0.009,-340304,-483390,116461,273.0,11606.1
2944147781,57038,-4.228,0.01,0.054,-340447,-483501,116722,273.0,11606.1
2944148803,58060,-4.1,0.016,-0.016,-340170,-483477,116431,273.0,11606.1
2944149825,59082,-4.154,0.061,0.121,-340287,-483288,117003,273.0,11606.1
2944150846,60103,-4.209,0.088,0.166,-340407,-483172,117192,273.0,11606.1
2944151880,61137,-4.26,0.119,0.17,-340517,-483044,117206,273.0,11606.1
2944152955,62212,-4.26,0.119,0.17,-340517,-483044,117206,273.0,11606.1
2944154020,63277,-4.252,0.114,0.094,-340457,-482918,117002,273.0,11606.1
2944155041,64298,-4.163,0.066,0.149,-340262,-483119,117230,273.0,11606.1
2944156062,65319,-4.234,0.166,0.045,-340417,-482698,116798,273.0,11606.1
2944157083,66340,-4.107,0.151,0.043,-340141,-482763,116790,273.0,11606.1
2944158104,67361,-4.201,0.17,0.074,-340346,-482683,116918,273.0,11606.1
2944159125,68382,-4.048,0.086,-0.0,-340013,-483035,116609,273.0,11606.1
2944160146,69403,-3.998,0.027,-0.028,-339905,-483285,116491,273.0,11606.1
2944161167,70424,-4.05,0.061,0.069,-340017,-483142,116895,273.0,11606.1
2944162188,71445,-4.01,0.128,0.011,-339930,-482858,116657,273.0,11606.1
2944163209,72466,-3.963,0.129,0.087,-339827,-482857,116970,273.0,11606.1
2944164230,73487,-3.778,0.065,0.07,-339427,-483125,116902,273.0,11606.1
2944165251,74508,-3.828,0.035,0.117,-339534,-483251,117096,273.0,11606.1
2944166272,75529,-3.791,0.053,0.117,-339455,-483174,117098,273.0,11606.1
2944167293,76550,-3.796,0.042,0.085,-339464,-483223,116963,273.0,11606.1
2944168313,77570,-3.644,0.063,0.072,-339134,-483134,116911,273.0,11606.1
2944169334,78591,-3.569,0.122,0.078,-338971,-482887,116934,273.0,11606.1
2944170355,79612,-3.503,0.133,0.112,-338827,-482837,117076,273.0,11606.1
2944171376,80633,-3.449,0.109,0.011,-338711,-482941,116657,273.0,11606.1
2944172397,81654,-3.417,0.068,0.024,-338641,-483113,116710,273.0,11606.1
2944173418,82675,-3.319,0.151,0.085,-338428,-482764,116964,273.0,11606.1
2944174439,83696,-3.265,0.153,0.037,-338311,-482753,116762,273.0,11606.1
2944175460,84717,-3.066,0.237,0.076,-337878,-482402,116924,273.0,11606.1
2944176481,85738,-2.927,0.191,0.09,-337576,-482595,116985,273.0,11606.1
2944177502,86759,-2.927,0.182,0.01,-337576,-482633,116652,273.0,11606.1
2944178523,87780,-2.882,0.134,-0.041,-337477,-482835,116437,273.0,11606.1
2944179544,88801,-2.885,0.078,0.012,-337485,-483071,116659,273.0,11606.1
2944180566,89823,-2.75,0.149,-0.013,-337192,-482772,116555,273.0,11606.1
2944181587,90844,-2.546,0.1,-0.029,-336747,-482976,116487,273.0,11606.1
2944182609,91866,-2.632,0.082,0.007,-336935,-483055,116638,273.0,11606.1
2944183631,92888,-2.452,0.138,0.04,-336543,-482818,116775,273.0,11606.1
2944184653,93910,-2.475,0.052,-0.028,-336593,-483181,116492,273.0,11606.1
2944185675,94932,-2.467,0.085,-0.024,-336575,-483040,116509,273.0,11606.1
2944186696,95953,-2.468,0.073,0.054,-336578,-483090,116836,273.0,11606.1
2944187718,96975,-2.422,0.055,0.07,-336478,-483167,116899,273.0,11606.1
2944188740,97997,-2.544,0.118,0.024,-336744,-482902,116709,273.0,11606.1
2944189762,99019,-2.351,0.024,-0.003,-336324,-483299,116598,273.0,11606.1
2944190784,100041,-2.46,0.055,0.041,-336560,-483166,116781,273.0,11606.1
2944191805,101062,-2.39,0.075,0.001,-336409,-483085,116613,273.0,11606.1
2944192827,102084,-2.3,0.063,0.083,-336212,-483132,116957,273.0,11606.1
2944193849,103106,-2.428,0.063,0.031,-336492,-483132,116739,273.0,11606.1
2944194871,104128,-2.407,0.085,0.098,-336446,-483042,117019,273.0,11606.1
2944195893,105150,-2.166,0.052,0.071,-335922,-483179,116903,273.0,11606.1
2944196914,106171,-2.283,0.12,0.001,-336175,-482895,116615,273.0,11606.1
2944197936,107193,-2.252,0.069,0.027,-336108,-483107,116721,273.0,11606.1
2944198958,108215,-2.388,0.014,0.082,-336403,-483339,116951,273.0,11606.1
2944199980,109237,-2.306,0.07,0.078,-336226,-483106,116934,273.0,11606.1
2944201002,110259,-2.181,0.05,-0.027,-335953,-483189,116499,273.0,11606.1
2944202023,111280,-2.227,-0.008,-0.048,-336053,-483433,116409,273.0,11606.1
2944203045,112302,-2.284,-0.004,0.04,-336179,-483417,116776,273.0,11606.1
2944204067,113324,-2.282,-0.015,-0.028,-336174,-483464,116493,273.0,11606.1
2944205089,114346,-2.394,-0.022,-0.054,-336418,-483493,116387,273.0,11606.1
2944206111,115368,-2.252,-0.049,-0.068,-336109,-483607,116325,273.0,11606.1
2944207132,116389,-2.3,0.04,0.073,-336212,-483231,116915,273.0,11606.1
2944208154,117411,-2.391,0.072,0.004,-336411,-483094,116627,273.0,11606.1
2944209176,118433,-2.386,-0.024,0.01,-336400,-483502,116651,273.0,11606.1
2944210198,119455,-2.333,0.041,0.045,-336284,-483225,116796,273.0,11606.1
2944211220,120477,-2.391,0.055,0.02,-336411,-483169,116691,273.0,11606.1
2944212241,121498,-2.436,0.048,0.074,-336508,-483197,116916,273.0,11606.1
2944213263,122520,-2.413,0.029,-0.004,-336458,-483275,116592,273.0,11606.1
2944214285,123542,-2.452,0.08,0.051,-336544,-483061,116822,273.0,11606.1
2944215307,124564,-2.44,0.032,0.026,-336516,-483266,116719,273.0,11606.1
2944216329,125586,-2.54,0.072,0.026,-336735,-483094,116717,273.0,11606.1
2944217350,126607,-2.32,0.039,0.01,-336256,-483236,116653,273.0,11606.1
2944218372,127629,-2.535,0.07,-0.021,-336724,-483102,116521,273.0,11606.1
2944219394,128651,-2.581,-0.008,0.02,-336824,-483432,116692,273.0,11606.1
2944220416,129673,-2.43,0.044,0.094,-336496,-483214,117000,273.0,11606.1
2944221438,130695,-2.486,0.062,0.015,-336618,-483139,116674,273.0,11606.1
2944222459,131716,-2.497,0.052,0.008,-336640,-483180,116644,273.0,11606.1
2944223481,132738,-2.298,-0.002,0.065,-336209,-483406,116881,273.0,11606.1
2944224503,133760,-2.543,0.024,0.094,-336740,-483299,117000,273.0,11606.1
2944225525,134782,-2.57,0.035,0.031,-336800,-483250,116737,273.0,11606.1
2944226547,135804,-2.298,0.066,0.139,-336209,-483119,117186,273.0,11606.1
2944227569,136826,-2.383,0.062,0.012,-336393,-483139,116660,273.0,11606.1
2944228590,137847,-2.384,0.098,-0.028,-336395,-482986,116491,273.0,11606.1
2944229612,138869,-2.379,0.057,0.058,-336384,-483157,116852,273.0,11606.1
2944230634,139891,-2.286,0.07,0.037,-336183,-483102,116763,273.0,11606.1
2944231656,140913,-2.294,0.144,0.067,-336199,-482791,116889,273.0,11606.1
2944232678,141935,-2.341,0.051,-0.03,-336302,-483185,116485,273.0,11606.1
2944233699,142956,-2.352,-0.015,-0.006,-336325,-483464,116586,273.0,11606.1
2944234721,143978,-2.282,0.024,0.023,-336174,-483298,116707,273.0,11606.1
2944235743,145000,-2.306,-0.015,0.039,-336225,-483463,116770,273.0,11606.1
2944236765,146022,-2.271,0.051,0.013,-336150,-483184,116664,273.0,11606.1
2944237787,147044,-2.256,-0.037,0.017,-336118,-483554,116679,273.0,11606.1
2944238808,148065,-2.467,-0.024,0.029,-336575,-483500,116732,273.0,11606.1
2944239830,149087,-2.334,0.036,-0.029,-336287,-483248,116487,273.0,11606.1
