# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: quiet_breathing
# Date: 20250608
# Time: 203914
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2215673897,0,11.82,-0.072,0.294,-305365,-483198,118162,319.6,13448.7
2215674742,845,11.891,-0.052,0.289,-305210,-483113,118139,319.6,13448.7
2215675763,1866,12.17,-0.008,0.354,-304604,-482926,118412,319.6,13448.7
2215676785,2888,12.275,0.013,0.275,-304377,-482840,118081,319.6,13448.7
2215677807,3910,12.506,-0.034,0.194,-303874,-483036,117746,319.6,13448.7
2215678829,4932,12.562,-0.099,0.206,-303753,-483312,117795,319.6,13448.7
2215679851,5954,12.868,-0.059,0.162,-303088,-483142,117612,319.6,13448.7
2215680872,6975,12.991,-0.067,0.217,-302821,-483177,117842,319.6,13448.7
2215681894,7997,13.171,-0.093,0.15,-302430,-483285,117561,319.6,13448.7
2215682916,9019,13.536,-0.149,0.107,-301639,-483520,117384,319.6,13448.7
2215683938,10041,13.579,-0.093,0.093,-301545,-483284,117324,319.6,13448.7
2215684960,11063,13.725,-0.009,0.125,-301228,-482932,117460,319.6,13448.7
2215685982,12085,14.04,-0.094,0.073,-300543,-483287,117243,319.6,13448.7
2215687004,13107,14.095,-0.164,0.024,-300425,-483585,117041,319.6,13448.7
2215688025,14128,14.513,-0.196,-0.042,-299516,-483716,116766,319.6,13448.7
2215689047,15150,14.687,-0.095,-0.043,-299138,-483294,116760,319.6,13448.7
2215690069,16172,14.828,-0.296,-0.027,-298833,-484137,116829,319.6,13448.7
2215691091,17194,14.979,-0.282,-0.055,-298504,-484079,116711,319.6,13448.7
2215692113,18216,15.114,-0.33,-0.102,-298212,-484282,116517,319.6,13448.7
2215693134,19237,15.185,-0.192,0.04,-298057,-483703,117106,319.6,13448.7
2215694156,20259,15.251,-0.098,0.026,-297913,-483307,117048,319.6,13448.7
2215695178,21281,15.323,-0.07,0.054,-297758,-483187,117163,319.6,13448.7
2215696200,22303,15.66,-0.064,0.019,-297026,-483162,117019,319.6,13448.7
2215697222,23325,15.842,-0.073,-0.014,-296630,-483200,116881,319.6,13448.7
2215698243,24346,15.778,-0.011,-0.022,-296770,-482939,116846,319.6,13448.7
2215699265,25368,15.967,0.001,0.011,-296359,-482888,116987,319.6,13448.7
2215700287,26390,16.138,0.056,0.094,-295988,-482659,117329,319.6,13448.7
2215701309,27412,16.289,-0.111,-0.07,-295660,-483359,116649,319.6,13448.7
2215702331,28434,16.546,-0.151,-0.142,-295101,-483527,116348,319.6,13448.7
2215703352,29455,16.888,-0.282,-0.114,-294359,-484082,116467,319.6,13448.7
2215704374,30477,17.155,-0.494,-0.309,-293779,-484971,115657,319.6,13448.7
2215705396,31499,17.423,-0.509,-0.267,-293196,-485033,115830,319.6,13448.7
2215706418,32521,17.357,-0.621,-0.357,-293340,-485506,115454,319.6,13448.7
2215707451,33554,17.653,-0.704,-0.242,-292697,-485856,115934,319.6,13448.7
2215708528,34631,17.653,-0.704,-0.242,-292697,-485856,115934,319.6,13448.7
2215709592,35695,18.002,-0.613,-0.399,-291950,-485544,115281,319.6,13448.7
2215710613,36716,18.266,-0.588,-0.42,-291376,-485441,115192,319.6,13448.7
2215711634,37737,18.195,-0.397,-0.226,-291531,-484637,115999,319.6,13448.7
2215712655,38758,18.364,-0.452,-0.325,-291164,-484866,115590,319.6,13448.7
2215713676,39779,18.534,-0.493,-0.262,-290793,-485038,115851,319.6,13448.7
2215714697,40800,18.559,-0.424,-0.179,-290739,-484750,116194,319.6,13448.7
2215715718,41821,18.741,-0.33,-0.264,-290345,-484353,115841,319.6,13448.7
2215716739,42842,19.007,-0.449,-0.299,-289766,-484854,115696,319.6,13448.7
2215717760,43863,19.073,-0.482,-0.328,-289623,-484993,115578,319.6,13448.7
2215718781,44884,19.438,-0.565,-0.394,-288831,-485341,115300,319.6,13448.7
2215719802,45905,19.416,-0.637,-0.401,-288879,-485647,115273,319.6,13448.7
2215720823,46926,19.546,-0.617,-0.47,-288596,-485563,114984,319.6,13448.7
2215721844,47947,19.807,-0.788,-0.807,-288029,-486279,113584,319.6,13448.7
2215722865,48968,20.321,-1.066,-0.905,-286912,-487449,113177,319.6,13448.7
2215723886,49989,20.588,-1.263,-0.836,-286332,-488278,113464,319.6,13448.7
2215724907,51010,20.39,-1.073,-0.629,-286764,-487479,114326,319.6,13448.7
2215725928,52031,20.119,-0.545,-0.296,-287351,-485257,115711,319.6,13448.7
2215726949,53052,19.971,-0.141,-0.057,-287673,-483561,116703,319.6,13448.7
2215727969,54072,20.076,-0.046,0.013,-287444,-483159,116994,319.6,13448.7
2215728990,55093,20.352,-0.198,-0.256,-286846,-483797,115876,319.6,13448.7
2215730011,56114,20.769,-0.436,-0.442,-285939,-484801,115103,319.6,13448.7
2215731032,57135,21.107,-0.735,-0.786,-285205,-486058,113674,319.6,13448.7
2215732053,58156,21.458,-1.125,-1.022,-284443,-487700,112691,319.6,13448.7
2215733074,59177,21.826,-1.214,-1.014,-283645,-488072,112726,319.6,13448.7
2215734095,60198,21.988,-1.196,-1.107,-283293,-487998,112338,319.6,13448.7
2215735116,61219,22.063,-1.13,-0.915,-283129,-487720,113137,319.6,13448.7
2215736137,62240,22.013,-0.851,-0.663,-283238,-486546,114185,319.6,13448.7
2215737159,63262,21.909,-0.551,-0.564,-283464,-485282,114596,319.6,13448.7
2215738181,64284,22.194,-0.59,-0.589,-282846,-485449,114491,319.6,13448.7
2215739203,65306,22.404,-0.944,-0.882,-282389,-486936,113272,319.6,13448.7
2215740225,66328,22.688,-1.004,-0.761,-281773,-487191,113775,319.6,13448.7
2215741246,67349,22.914,-1.119,-0.833,-281281,-487673,113479,319.6,13448.7
2215742268,68371,23.434,-1.532,-1.255,-280152,-489413,111725,319.6,13448.7
2215743290,69393,23.696,-1.595,-1.405,-279582,-489676,111101,319.6,13448.7
2215744312,70415,23.909,-1.66,-1.335,-279120,-489950,111391,319.6,13448.7
2215745334,71437,23.891,-1.538,-1.083,-279160,-489437,112436,319.6,13448.7
2215746355,72458,23.665,-1.182,-0.637,-279649,-487939,114292,319.6,13448.7
2215747377,73480,23.461,-0.794,-0.434,-280093,-486308,115137,319.6,13448.7
2215748399,74502,23.555,-0.841,-0.592,-279890,-486503,114478,319.6,13448.7
2215749421,75524,24.01,-1.034,-0.848,-278901,-487314,113416,319.6,13448.7
2215750443,76546,24.532,-1.299,-1.301,-277767,-488433,111530,319.6,13448.7
2215751465,77568,25.033,-1.713,-1.528,-276679,-490174,110589,319.6,13448.7
2215752486,78589,25.092,-1.514,-1.506,-276550,-489334,110678,319.6,13448.7
2215753508,79611,24.832,-1.315,-1.125,-277116,-488500,112262,319.6,13448.7
2215754530,80633,24.779,-1.103,-0.84,-277231,-487608,113447,319.6,13448.7
2215755552,81655,24.657,-1.098,-0.832,-277495,-487585,113483,319.6,13448.7
2215756573,82676,24.784,-1.062,-0.961,-277220,-487434,112947,319.6,13448.7
2215757595,83698,24.842,-0.949,-0.768,-277094,-486959,113747,319.6,13448.7
2215758617,84720,24.858,-0.865,-0.702,-277060,-486603,114021,319.6,13448.7
2215759639,85742,24.719,-0.834,-0.58,-277362,-486473,114527,319.6,13448.7
2215760661,86764,24.672,-0.638,-0.493,-277464,-485648,114890,319.6,13448.7
2215761683,87786,24.832,-0.715,-0.636,-277116,-485976,114298,319.6,13448.7
2215762704,88807,25.124,-0.901,-0.935,-276482,-486758,113055,319.6,13448.7
2215763726,89829,25.472,-1.147,-1.134,-275725,-487791,112226,319.6,13448.7
2215764748,90851,25.791,-1.487,-1.42,-275032,-489221,111037,319.6,13448.7
2215765770,91873,26.114,-1.553,-1.436,-274331,-489500,110969,319.6,13448.7
2215766792,92895,26.08,-1.718,-1.485,-274405,-490192,110768,319.6,13448.7
2215767813,93916,26.045,-1.734,-1.33,-274481,-490262,111410,319.6,13448.7
2215768835,94938,26.173,-1.715,-1.25,-274202,-490180,111746,319.6,13448.7
2215769857,95960,25.97,-1.555,-1.038,-274643,-489506,112626,319.6,13448.7
2215770879,96982,25.753,-1.296,-0.832,-275116,-488419,113481,319.6,13448.7
2215771901,98004,25.915,-1.086,-0.813,-274763,-487535,113560,319.6,13448.7
2215772922,99025,26.09,-1.149,-1.061,-274384,-487801,112530,319.6,13448.7
2215773944,100047,26.416,-1.458,-1.262,-273675,-489099,111695,319.6,13448.7
2215774966,101069,26.651,-1.392,-1.226,-273164,-488821,111842,319.6,13448.7
2215775988,102091,26.301,-1.096,-0.908,-273925,-487577,113166,319.6,13448.7
2215777010,103113,26.166,-0.543,-0.586,-274219,-485252,114503,319.6,13448.7
2215778032,104135,26.281,-0.602,-0.653,-273968,-485498,114224,319.6,13448.7
2215779053,105156,26.948,-1.224,-1.212,-272520,-488117,111902,319.6,13448.7
2215780075,106178,27.787,-1.994,-1.894,-270698,-491355,109067,319.6,13448.7
2215781097,107200,28.144,-2.221,-1.967,-269923,-492308,108765,319.6,13448.7
2215782119,108222,28.035,-2.188,-1.925,-270158,-492171,108939,319.6,13448.7
2215783141,109244,27.881,-2.098,-1.477,-270494,-491794,110800,319.6,13448.7
2215784162,110265,27.453,-1.423,-1.087,-271422,-488953,112423,319.6,13448.7
2215785184,111287,26.986,-0.812,-0.763,-272438,-486380,113768,319.6,13448.7
2215786206,112309,27.058,-0.623,-0.678,-272281,-485587,114122,319.6,13448.7
2215787228,113331,27.146,-0.714,-0.646,-272089,-485969,114253,319.6,13448.7
2215788250,114353,27.117,-0.544,-0.438,-272152,-485254,115119,319.6,13448.7
2215789271,115374,27.073,-0.774,-0.162,-272249,-486224,116266,319.6,13448.7
2215790293,116396,27.065,-0.895,-0.278,-272265,-486732,115785,319.6,13448.7
2215791315,117418,27.46,-1.113,-0.622,-271407,-487650,114356,319.6,13448.7
2215792337,118440,28.04,-1.595,-0.988,-270149,-489675,112834,319.6,13448.7
2215793359,119462,28.139,-1.754,-1.179,-269933,-490347,112037,319.6,13448.7
2215794380,120483,28.163,-1.498,-1.077,-269881,-489269,112463,319.6,13448.7
2215795402,121505,28.103,-1.178,-0.787,-270011,-487922,113670,319.6,13448.7
2215796424,122527,28.292,-1.225,-0.818,-269600,-488121,113539,319.6,13448.7
2215797446,123549,28.381,-1.367,-0.959,-269408,-488718,112955,319.6,13448.7
2215798468,124571,28.716,-1.114,-0.991,-268679,-487653,112819,319.6,13448.7
2215799490,125593,28.668,-1.176,-0.992,-268784,-487914,112816,319.6,13448.7
2215800511,126614,28.746,-1.19,-0.964,-268614,-487971,112933,319.6,13448.7
2215801533,127636,28.706,-1.132,-0.648,-268701,-487730,114245,319.6,13448.7
2215802555,128658,28.751,-1.143,-0.769,-268604,-487776,113744,319.6,13448.7
2215803577,129680,29.008,-1.301,-0.839,-268045,-488439,113451,319.6,13448.7
2215804599,130702,28.994,-1.164,-0.74,-268076,-487861,113862,319.6,13448.7
2215805620,131723,29.336,-1.096,-0.751,-267333,-487575,113820,319.6,13448.7
2215806642,132745,29.268,-1.125,-0.788,-267482,-487701,113665,319.6,13448.7
2215807664,133767,29.394,-1.243,-0.842,-267207,-488197,113441,319.6,13448.7
2215808686,134789,29.559,-1.262,-0.964,-266849,-488276,112934,319.6,13448.7
2215809708,135811,29.89,-1.483,-1.268,-266130,-489204,111669,319.6,13448.7
2215810730,136833,30.36,-2.052,-1.208,-265109,-491598,111919,319.6,13448.7
2215811763,137866,30.038,-1.952,-0.961,-265808,-491178,112944,319.6,13448.7
2215812841,138944,30.038,-1.952,-0.961,-265808,-491178,112944,319.6,13448.7
2215813906,140009,30.243,-1.796,-1.278,-265363,-490487,111626,319.6,13448.7
2215814926,141029,30.652,-2.178,-1.239,-264476,-492091,111790,319.6,13448.7
2215815947,142050,30.533,-1.92,-1.172,-264734,-491005,112066,319.6,13448.7
2215816968,143071,30.461,-1.809,-1.085,-264890,-490539,112430,319.6,13448.7
2215817989,144092,30.494,-1.931,-1.144,-264819,-491055,112186,319.6,13448.7
2215819010,145113,30.653,-1.99,-1.067,-264472,-491302,112505,319.6,13448.7
2215820031,146134,30.675,-1.911,-1.124,-264426,-490971,112267,319.6,13448.7
2215821052,147155,30.711,-2.088,-1.172,-264348,-491712,112070,319.6,13448.7
2215822073,148176,30.924,-2.295,-1.227,-263884,-492583,111838,319.6,13448.7
2215823094,149197,30.725,-2.111,-1.038,-264316,-491809,112626,319.6,13448.7
2215824115,150218,30.687,-2.016,-1.081,-264399,-491412,112445,319.6,13448.7
2215825136,151239,31.353,-2.637,-1.593,-262953,-494022,110318,319.6,13448.7
2215826157,152260,31.684,-2.889,-1.66,-262234,-495085,110038,319.6,13448.7
2215827178,153281,31.496,-2.26,-1.506,-262641,-492438,110680,319.6,13448.7
2215828199,154302,31.232,-1.827,-1.078,-263215,-490615,112458,319.6,13448.7
2215829219,155322,30.984,-1.524,-0.792,-263753,-489342,113646,319.6,13448.7
2215830240,156343,31.05,-1.275,-0.757,-263610,-488295,113792,319.6,13448.7
2215831261,157364,31.171,-1.118,-0.737,-263347,-487632,113876,319.6,13448.7
2215832282,158385,31.255,-0.985,-0.93,-263165,-487074,113075,319.6,13448.7
2215833303,159406,31.356,-0.973,-0.91,-262947,-487022,113158,319.6,13448.7
2215834324,160427,31.494,-1.149,-1.074,-262647,-487765,112476,319.6,13448.7
2215835345,161448,31.601,-1.465,-1.161,-262414,-489095,112114,319.6,13448.7
2215836366,162469,31.77,-1.719,-1.203,-262048,-490162,111940,319.6,13448.7
2215837387,163490,31.579,-1.52,-0.993,-262462,-489325,112813,319.6,13448.7
2215838409,164512,31.286,-1.146,-0.704,-263098,-487749,114014,319.6,13448.7
2215839431,165534,31.432,-0.954,-0.781,-262780,-486944,113695,319.6,13448.7
2215840453,166556,31.627,-1.53,-1.067,-262358,-489367,112504,319.6,13448.7
2215841475,167578,32.232,-1.9,-1.127,-261044,-490923,112254,319.6,13448.7
2215842496,168599,31.892,-1.698,-0.862,-261781,-490073,113355,319.6,13448.7
2215843518,169621,31.667,-1.724,-0.51,-262271,-490183,114818,319.6,13448.7
