t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2614392559,-38.879,-0.104,0.105,-415694,-483764,117072,134.7,13767.6
2614393170,-39.015,-0.165,0.127,-415988,-484022,117165,134.7,13767.6
2614394192,-38.843,-0.063,0.1,-415616,-483590,117052,134.7,13767.6
2614395214,-38.773,-0.061,0.117,-415463,-483585,117122,134.7,13767.6
2614396235,-38.79,-0.116,0.15,-415501,-483814,117263,134.7,13767.6
2614397257,-38.816,-0.189,0.147,-415556,-484124,117247,134.7,13767.6
2614398279,-38.977,-0.193,0.237,-415907,-484140,117625,134.7,13767.6
2614399301,-38.916,-0.123,0.197,-415774,-483846,117458,134.7,13767.6
2614400323,-38.969,-0.177,0.187,-415890,-484073,117417,134.7,13767.6
2614401344,-39.021,-0.078,0.261,-416002,-483655,117721,134.7,13767.6
2614402366,-39.05,-0.198,0.177,-416065,-484161,117375,134.7,13767.6
2614403388,-38.993,-0.147,0.216,-415942,-483944,117536,134.7,13767.6
2614404410,-39.0,-0.185,0.176,-415957,-484104,117368,134.7,13767.6
2614405432,-38.873,-0.165,0.203,-415681,-484022,117481,134.7,13767.6
2614406453,-38.931,-0.048,0.227,-415806,-483530,117583,134.7,13767.6
2614407475,-38.952,-0.164,0.189,-415853,-484016,117425,134.7,13767.6
2614408497,-38.912,-0.145,0.202,-415766,-483939,117479,134.7,13767.6
2614409519,-38.865,-0.104,0.196,-415662,-483764,117452,134.7,13767.6
2614410541,-38.929,-0.202,0.165,-415803,-484179,117325,134.7,13767.6
2614411562,-38.732,-0.188,0.124,-415374,-484118,117154,134.7,13767.6
2614412584,-38.716,-0.121,0.174,-415340,-483835,117359,134.7,13767.6
2614413606,-38.802,-0.185,0.141,-415526,-484105,117225,134.7,13767.6
2614414628,-38.876,-0.078,0.131,-415688,-483657,117182,134.7,13767.6
2614415650,-38.791,-0.146,0.18,-415502,-483941,117388,134.7,13767.6
2614416671,-38.89,-0.255,0.156,-415718,-484402,117285,134.7,13767.6
2614417693,-38.741,-0.229,0.12,-415394,-484290,117135,134.7,13767.6
2614418715,-38.775,-0.125,0.136,-415467,-483852,117205,134.7,13767.6
2614419737,-38.842,-0.175,0.099,-415614,-484064,117050,134.7,13767.6
2614420759,-38.746,-0.149,0.132,-415405,-483952,117187,134.7,13767.6
2614421780,-38.81,-0.225,0.205,-415544,-484273,117491,134.7,13767.6
2614422802,-38.822,-0.339,0.132,-415570,-484752,117185,134.7,13767.6
2614423824,-38.815,-0.229,0.237,-415555,-484289,117625,134.7,13767.6
2614424846,-38.92,-0.302,0.046,-415782,-484597,116830,134.7,13767.6
2614425868,-38.689,-0.232,0.163,-415280,-484303,117316,134.7,13767.6
2614426889,-38.851,-0.269,0.127,-415633,-484461,117167,134.7,13767.6
2614427911,-38.902,-0.265,0.134,-415743,-484441,117196,134.7,13767.6
2614428933,-39.032,-0.233,0.188,-416025,-484306,117418,134.7,13767.6
2614429955,-38.875,-0.137,0.178,-415685,-483903,117377,134.7,13767.6
2614430977,-38.942,-0.134,0.188,-415830,-483890,117420,134.7,13767.6
2614431998,-38.833,-0.157,0.231,-415594,-483986,117598,134.7,13767.6
2614433020,-38.887,-0.253,0.204,-415710,-484394,117485,134.7,13767.6
2614434042,-38.96,-0.202,0.191,-415869,-484178,117432,134.7,13767.6
2614435064,-38.845,-0.168,0.188,-415620,-484032,117418,134.7,13767.6
2614436086,-38.933,-0.125,0.136,-415810,-483854,117204,134.7,13767.6
2614437108,-39.009,-0.13,0.222,-415977,-483873,117562,134.7,13767.6
2614438129,-38.933,-0.215,0.211,-415811,-484233,117515,134.7,13767.6
2614439151,-38.955,-0.193,0.179,-415858,-484138,117381,134.7,13767.6
2614440173,-38.967,-0.131,0.179,-415884,-483880,117381,134.7,13767.6
2614441195,-38.885,-0.078,0.245,-415706,-483657,117658,134.7,13767.6
2614442217,-38.87,-0.166,0.196,-415674,-484026,117453,134.7,13767.6
2614443238,-38.83,-0.079,0.161,-415588,-483659,117305,134.7,13767.6
2614444260,-38.885,-0.147,0.206,-415706,-483946,117494,134.7,13767.6
2614445282,-38.91,-0.146,0.191,-415760,-483942,117430,134.7,13767.6
2614446304,-38.788,-0.1,0.198,-415495,-483748,117460,134.7,13767.6
2614447326,-38.863,-0.136,0.101,-415658,-483900,117056,134.7,13767.6
2614448347,-38.934,-0.16,0.144,-415813,-484001,117238,134.7,13767.6
2614449369,-38.84,-0.231,0.207,-415609,-484301,117499,134.7,13767.6
2614450391,-38.778,-0.053,0.204,-415474,-483549,117487,134.7,13767.6
2614451413,-38.811,-0.286,0.175,-415546,-484529,117364,134.7,13767.6
2614452435,-38.915,-0.148,0.132,-415771,-483948,117185,134.7,13767.6
2614453456,-38.922,-0.146,0.148,-415786,-483940,117251,134.7,13767.6
2614454478,-38.901,-0.182,0.082,-415742,-484094,116979,134.7,13767.6
2614455500,-38.976,-0.185,0.109,-415905,-484105,117089,134.7,13767.6
2614456522,-39.11,-0.104,0.2,-416196,-483763,117469,134.7,13767.6
2614457544,-38.955,-0.12,0.178,-415858,-483831,117377,134.7,13767.6
2614458565,-38.933,-0.11,0.207,-415810,-483789,117497,134.7,13767.6
2614459587,-38.956,-0.163,0.226,-415861,-484011,117578,134.7,13767.6
2614460609,-39.021,-0.157,0.148,-416001,-483989,117254,134.7,13767.6
2614461631,-38.97,-0.118,0.184,-415891,-483823,117403,134.7,13767.6
2614462653,-38.91,-0.18,0.252,-415761,-484083,117687,134.7,13767.6
2614463674,-39.062,-0.146,0.219,-416091,-483943,117549,134.7,13767.6
2614464696,-38.967,-0.238,0.23,-415885,-484328,117592,134.7,13767.6
2614465718,-39.022,-0.133,0.171,-416004,-483885,117349,134.7,13767.6
2614466740,-38.946,-0.107,0.269,-415840,-483777,117757,134.7,13767.6
2614467762,-38.971,-0.125,0.21,-415893,-483855,117511,134.7,13767.6
2614468783,-39.004,-0.175,0.166,-415966,-484063,117329,134.7,13767.6
2614469805,-38.913,-0.103,0.222,-415768,-483761,117560,134.7,13767.6
2614470827,-38.933,-0.178,0.215,-415810,-484077,117532,134.7,13767.6
2614471849,-39.009,-0.201,0.252,-415977,-484175,117684,134.7,13767.6
2614472871,-38.983,-0.08,0.214,-415920,-483662,117528,134.7,13767.6
2614473892,-38.905,-0.107,0.282,-415750,-483779,117812,134.7,13767.6
2614474914,-39.014,-0.135,0.167,-415987,-483893,117330,134.7,13767.6
2614475936,-38.856,-0.123,0.241,-415643,-483843,117641,134.7,13767.6
2614476958,-38.918,-0.165,0.228,-415778,-484023,117585,134.7,13767.6
2614477980,-38.901,-0.176,0.224,-415741,-484067,117569,134.7,13767.6
2614479001,-39.05,-0.197,0.192,-416065,-484154,117437,134.7,13767.6
2614480035,-39.061,-0.311,0.185,-416090,-484638,117406,134.7,13767.6
2614481110,-39.061,-0.311,0.185,-416090,-484638,117406,134.7,13767.6
2614482175,-39.109,-0.157,0.185,-416172,-483914,117461,134.7,13767.6
2614483195,-39.073,-0.252,0.161,-416094,-484314,117362,134.7,13767.6
2614484216,-39.056,-0.276,0.178,-416058,-484416,117433,134.7,13767.6
2614485237,-39.182,-0.208,0.248,-416331,-484128,117724,134.7,13767.6
2614486258,-39.222,-0.142,0.181,-416419,-483854,117447,134.7,13767.6
2614487279,-39.101,-0.228,0.237,-416156,-484216,117676,134.7,13767.6
2614488300,-39.159,-0.19,0.276,-416282,-484053,117842,134.7,13767.6
2614489321,-39.218,-0.176,0.175,-416409,-483994,117422,134.7,13767.6
2614490342,-39.18,-0.174,0.24,-416327,-483988,117691,134.7,13767.6
2614491363,-39.244,-0.226,0.211,-416467,-484205,117570,134.7,13767.6
2614492384,-39.184,-0.135,0.27,-416336,-483824,117815,134.7,13767.6
2614493405,-39.19,-0.081,0.102,-416348,-483596,117115,134.7,13767.6
2614494426,-39.209,-0.287,0.202,-416391,-484461,117532,134.7,13767.6
2614495447,-39.12,-0.199,0.218,-416196,-484094,117598,134.7,13767.6
2614496468,-39.173,-0.2,0.273,-416311,-484097,117826,134.7,13767.6
2614497489,-39.222,-0.165,0.204,-416419,-483950,117540,134.7,13767.6
2614498510,-39.29,-0.283,0.162,-416565,-484445,117368,134.7,13767.6
2614499530,-39.318,-0.199,0.241,-416627,-484093,117695,134.7,13767.6
2614500551,-39.274,-0.138,0.217,-416532,-483835,117593,134.7,13767.6
2614501572,-39.176,-0.205,0.18,-416318,-484117,117440,134.7,13767.6
2614502593,-39.258,-0.217,0.128,-416496,-484170,117225,134.7,13767.6
2614503614,-39.156,-0.185,0.188,-416274,-484034,117476,134.7,13767.6
2614504635,-39.135,-0.173,0.19,-416230,-483982,117483,134.7,13767.6
2614505656,-39.114,-0.204,0.092,-416184,-484112,117073,134.7,13767.6
2614506677,-39.092,-0.12,0.173,-416135,-483761,117413,134.7,13767.6
2614507699,-39.169,-0.207,0.169,-416303,-484125,117394,134.7,13767.6
2614508720,-39.193,-0.236,0.187,-416356,-484249,117471,134.7,13767.6
2614509742,-39.155,-0.104,0.211,-416272,-483694,117569,134.7,13767.6
2614510764,-39.156,-0.198,0.19,-416275,-484089,117483,134.7,13767.6
2614511786,-39.144,-0.152,0.25,-416248,-483893,117732,134.7,13767.6
2614512808,-39.237,-0.348,0.165,-416450,-484718,117379,134.7,13767.6
2614513829,-39.295,-0.259,0.064,-416576,-484345,116960,134.7,13767.6
2614514851,-39.256,-0.238,0.206,-416493,-484255,117550,134.7,13767.6
2614515873,-39.417,-0.146,0.143,-416841,-483869,117286,134.7,13767.6
2614516895,-39.357,-0.289,0.218,-416711,-484472,117599,134.7,13767.6
2614517917,-39.309,-0.22,0.091,-416608,-484182,117072,134.7,13767.6
2614518939,-39.338,-0.154,0.167,-416671,-483901,117387,134.7,13767.6
2614519960,-39.344,-0.142,0.176,-416684,-483851,117423,134.7,13767.6
2614520982,-39.351,-0.221,0.242,-416698,-484184,117699,134.7,13767.6
2614522004,-39.354,-0.19,0.198,-416705,-484056,117516,134.7,13767.6
2614523026,-39.324,-0.134,0.205,-416639,-483818,117545,134.7,13767.6
2614524047,-39.264,-0.167,0.192,-416510,-483959,117492,134.7,13767.6
2614525069,-39.262,-0.286,0.14,-416505,-484457,117275,134.7,13767.6
2614526091,-39.472,-0.146,0.208,-416961,-483867,117556,134.7,13767.6
2614527113,-39.465,-0.226,0.149,-416946,-484206,117312,134.7,13767.6
2614528135,-39.388,-0.2,0.167,-416780,-484095,117387,134.7,13767.6
2614529156,-39.342,-0.248,0.11,-416679,-484298,117149,134.7,13767.6
2614530178,-39.441,-0.169,0.113,-416895,-483966,117161,134.7,13767.6
2614531200,-39.372,-0.129,0.222,-416745,-483796,117614,134.7,13767.6
2614532222,-39.337,-0.223,0.109,-416668,-484192,117145,134.7,13767.6
2614533244,-39.488,-0.212,0.193,-416997,-484148,117495,134.7,13767.6
2614534265,-39.471,-0.178,0.164,-416959,-484005,117376,134.7,13767.6
2614535287,-39.452,-0.252,0.119,-416918,-484314,117187,134.7,13767.6
2614536309,-39.348,-0.261,0.178,-416693,-484354,117431,134.7,13767.6
