# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: zero_check
# Date: 20250608
# Time: 203839
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2181100315,0,0.111,-0.089,-0.006,-330793,-483233,116940,1399.4,15575.9
2181100935,620,0.187,-0.058,-0.009,-330629,-483100,116930,1399.4,15575.9
2181101956,1641,0.092,0.025,-0.116,-330835,-482754,116485,1399.4,15575.9
2181102977,2662,0.0,-0.008,0.019,-331034,-482891,117044,1399.4,15575.9
2181103998,3683,0.142,-0.012,0.023,-330726,-482907,117062,1399.4,15575.9
2181105019,4704,-0.027,-0.011,0.029,-331092,-482903,117087,1399.4,15575.9
2181106040,5725,0.195,-0.076,-0.016,-330611,-483177,116899,1399.4,15575.9
2181107060,6745,0.282,-0.113,-0.04,-330422,-483333,116800,1399.4,15575.9
2181108081,7766,0.158,-0.01,-0.011,-330692,-482901,116920,1399.4,15575.9
2181109102,8787,0.062,-0.048,-0.012,-330899,-483061,116917,1399.4,15575.9
2181110123,9808,-0.031,0.01,-0.006,-331101,-482815,116941,1399.4,15575.9
2181111144,10829,-0.045,0.065,0.023,-331132,-482584,117064,1399.4,15575.9
2181112165,11850,0.129,0.005,0.033,-330755,-482838,117105,1399.4,15575.9
2181113186,12871,0.066,0.084,-0.015,-330892,-482503,116906,1399.4,15575.9
2181114207,13892,0.152,0.028,0.027,-330705,-482740,117080,1399.4,15575.9
2181115228,14913,0.223,-0.009,-0.053,-330550,-482894,116747,1399.4,15575.9
2181116249,15934,0.125,-0.045,0.02,-330763,-483045,117050,1399.4,15575.9
2181117270,16955,0.141,-0.036,-0.028,-330727,-483011,116850,1399.4,15575.9
2181118291,17976,0.199,-0.033,0.01,-330602,-482998,117010,1399.4,15575.9
2181119312,18997,0.174,-0.051,-0.039,-330656,-483071,116806,1399.4,15575.9
2181120333,20018,0.066,-0.008,0.013,-330890,-482890,117022,1399.4,15575.9
2181121354,21039,0.154,0.069,-0.018,-330699,-482568,116891,1399.4,15575.9
2181122375,22060,0.254,-0.042,-0.022,-330483,-483035,116876,1399.4,15575.9
2181123407,23092,0.199,-0.082,0.033,-330603,-483203,117103,1399.4,15575.9
2181124483,24168,0.199,-0.082,0.033,-330603,-483203,117103,1399.4,15575.9
2181125548,25233,0.155,-0.063,-0.028,-330697,-483158,116824,1399.4,15575.9
2181126569,26254,0.134,0.038,-0.023,-330743,-482733,116842,1399.4,15575.9
2181127590,27275,0.14,0.017,-0.028,-330731,-482822,116822,1399.4,15575.9
2181128611,28296,0.246,0.037,0.043,-330500,-482737,117120,1399.4,15575.9
2181129632,29317,0.123,0.074,0.044,-330767,-482584,117121,1399.4,15575.9
2181130652,30337,0.322,0.038,-0.07,-330336,-482733,116648,1399.4,15575.9
2181131673,31358,0.204,0.019,-0.006,-330592,-482815,116913,1399.4,15575.9
2181132694,32379,0.113,-0.077,-0.011,-330789,-483217,116895,1399.4,15575.9
2181133715,33400,0.163,-0.072,-0.105,-330681,-483198,116502,1399.4,15575.9
2181134736,34421,0.12,-0.004,-0.087,-330773,-482912,116576,1399.4,15575.9
2181135757,35442,0.091,-0.062,-0.005,-330837,-483155,116917,1399.4,15575.9
2181136778,36463,0.095,-0.014,-0.014,-330828,-482954,116880,1399.4,15575.9
2181137799,37484,0.144,0.003,-0.061,-330721,-482882,116688,1399.4,15575.9
2181138820,38505,0.17,-0.016,-0.053,-330666,-482962,116721,1399.4,15575.9
