# Participant: P0
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: zeroing
# Date: 20250608
# Time: 192731
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2207718149,0,-24.914,0.258,0.356,-382107,-482100,117995,,
2207718686,537,-25.094,0.196,0.396,-382498,-482362,118161,,
2207719706,1557,-24.889,0.276,0.351,-382053,-482025,117974,,
2207720726,2577,-24.805,0.187,0.335,-381869,-482399,117908,,
2207721745,3596,-24.771,0.19,0.352,-381797,-482384,117978,,
2207722765,4616,-24.74,0.124,0.329,-381728,-482665,117881,,
2207723784,5635,-24.724,0.07,0.251,-381695,-482889,117557,,
2207724804,6655,-24.626,0.16,0.38,-381481,-482513,118095,,
2207725823,7674,-24.696,0.251,0.314,-381633,-482127,117820,,
2207726843,8694,-24.511,0.268,0.416,-381232,-482058,118242,,
2207727862,9713,-24.546,0.239,0.343,-381308,-482179,117938,,
2207728882,10733,-24.464,0.197,0.439,-381129,-482358,118337,,
2207729901,11752,-24.53,0.277,0.306,-381273,-482019,117785,,
2207730921,12772,-24.489,0.251,0.379,-381183,-482128,118091,,
2207731941,13792,-24.514,0.232,0.378,-381238,-482208,118083,,
2207732960,14811,-24.408,0.227,0.359,-381007,-482231,118005,,
2207733979,15830,-24.317,0.24,0.397,-380809,-482175,118162,,
2207734999,16850,-24.477,0.22,0.384,-381158,-482259,118112,,
2207736019,17870,-24.312,0.195,0.389,-380799,-482364,118130,,
2207737038,18889,-24.364,0.275,0.411,-380911,-482026,118222,,
2207738058,19909,-24.314,0.255,0.445,-380804,-482113,118364,,
2207739077,20928,-24.324,0.34,0.442,-380825,-481753,118351,,
2207740097,21948,-24.242,0.322,0.4,-380647,-481832,118175,,
2207741116,22967,-24.171,0.343,0.45,-380493,-481742,118386,,
2207742136,23987,-24.104,0.21,0.365,-380347,-482303,118032,,
2207743155,25006,-24.163,0.366,0.45,-380475,-481647,118383,,
2207744175,26026,-24.026,0.4,0.501,-380178,-481502,118597,,
2207745195,27046,-23.954,0.321,0.338,-380022,-481835,117919,,
2207746214,28065,-24.016,0.256,0.357,-380156,-482109,117998,,
2207747234,29085,-23.863,0.26,0.387,-379824,-482089,118123,,
2207748253,30104,-23.781,0.294,0.293,-379645,-481950,117733,,
2207749273,31124,-23.813,0.267,0.394,-379716,-482060,118152,,
2207750292,32143,-23.66,0.106,0.377,-379382,-482738,118081,,
2207751312,33163,-23.55,0.172,0.274,-379144,-482461,117651,,
2207752331,34182,-23.449,0.186,0.215,-378924,-482401,117406,,
2207753351,35202,-23.317,0.182,0.239,-378637,-482418,117509,,
2207754371,36222,-23.427,0.049,0.26,-378877,-482977,117596,,
2207755390,37241,-23.264,0.043,0.154,-378523,-483002,117154,,
2207756410,38261,-23.175,0.052,0.145,-378329,-482968,117115,,
2207757429,39280,-23.234,-0.025,0.108,-378456,-483290,116962,,
2207758449,40300,-23.061,0.025,0.069,-378082,-483079,116800,,
2207759468,41319,-23.052,-0.047,0.139,-378061,-483384,117093,,
2207760488,42339,-23.114,-0.001,0.167,-378196,-483190,117208,,
2207761507,43358,-23.002,-0.056,0.078,-377952,-483422,116840,,
2207762527,44378,-23.015,-0.004,0.124,-377981,-483200,117028,,
2207763546,45397,-22.936,0.007,0.089,-377810,-483157,116882,,
2207764566,46417,-22.792,0.144,0.162,-377497,-482580,117186,,
2207765586,47437,-22.677,0.162,0.118,-377248,-482502,117004,,
2207766605,48456,-22.672,0.052,0.232,-377237,-482967,117480,,
2207767625,49476,-22.61,0.109,0.245,-377102,-482725,117531,,
2207768644,50495,-22.551,0.082,0.217,-376974,-482841,117415,,
2207769664,51515,-22.506,0.001,0.254,-376876,-483179,117568,,
2207770683,52534,-22.456,0.041,0.305,-376767,-483013,117782,,
2207771703,53554,-22.451,0.12,0.196,-376757,-482680,117330,,
2207772722,54573,-22.353,0.06,0.207,-376544,-482932,117376,,
2207773742,55593,-22.378,0.053,0.143,-376597,-482961,117109,,
2207774761,56612,-22.306,0.093,0.209,-376442,-482792,117381,,
2207775781,57632,-22.24,0.049,0.093,-376298,-482978,116902,,
2207776800,58651,-22.262,0.039,0.218,-376346,-483020,117418,,
2207777820,59671,-22.108,0.182,0.269,-376011,-482418,117630,,
2207778840,60691,-22.113,0.145,0.296,-376021,-482573,117746,,
2207779859,61710,-22.052,0.142,0.281,-375889,-482588,117681,,
2207780879,62730,-21.836,0.157,0.318,-375420,-482523,117834,,
2207781898,63749,-21.893,0.146,0.309,-375543,-482572,117799,,
2207782918,64769,-21.855,0.162,0.289,-375462,-482504,117717,,
2207783937,65788,-21.552,0.086,0.252,-374803,-482825,117563,,
2207784957,66808,-21.678,0.05,0.186,-375077,-482974,117288,,
2207785976,67827,-21.515,-0.041,0.21,-374722,-483359,117386,,
2207786996,68847,-21.411,0.012,0.063,-374497,-483133,116775,,
2207788015,69866,-21.311,-0.05,0.074,-374279,-483396,116823,,
2207789035,70886,-21.195,-0.041,0.05,-374027,-483359,116720,,
2207790055,71906,-21.089,-0.021,-0.061,-373796,-483273,116260,,
2207791076,72927,-21.116,-0.09,0.078,-373855,-483563,116836,,
2207792097,73948,-21.05,-0.145,0.052,-373712,-483796,116729,,
2207793118,74969,-21.014,-0.102,-0.003,-373634,-483612,116502,,
2207794139,75990,-20.968,-0.022,0.115,-373533,-483279,116992,,
2207795171,77022,-20.844,0.068,0.022,-373265,-482897,116607,,
2207796247,78098,-20.844,0.068,0.022,-373265,-482897,116607,,
2207797312,79163,-20.729,-0.124,0.054,-373015,-483744,116740,,
2207798333,80184,-20.703,-0.148,-0.019,-372959,-483844,116435,,
2207799354,81205,-20.772,-0.162,0.065,-373109,-483904,116782,,
2207800375,82226,-20.552,-0.094,-0.028,-372630,-483616,116398,,
2207801396,83247,-20.587,-0.09,-0.05,-372706,-483601,116305,,
2207802417,84268,-20.407,-0.162,0.021,-372316,-483902,116600,,
2207803438,85289,-20.51,-0.069,-0.065,-372538,-483510,116242,,
2207804459,86310,-20.401,-0.14,-0.041,-372303,-483811,116343,,
2207805479,87330,-20.348,-0.15,-0.104,-372188,-483854,116080,,
2207806501,88352,-20.281,-0.158,-0.013,-372041,-483885,116458,,
2207807521,89372,-20.319,-0.182,-0.044,-372125,-483987,116329,,
2207808542,90393,-20.11,-0.164,-0.003,-371669,-483910,116503,,
2207809563,91414,-20.024,-0.162,-0.024,-371483,-483904,116415,,
2207810584,92435,-19.992,-0.169,-0.065,-371413,-483932,116243,,
2207811605,93456,-19.847,-0.089,0.02,-371099,-483597,116598,,
2207812626,94477,-19.905,-0.147,0.069,-371224,-483838,116801,,
2207813647,95498,-19.745,-0.041,-0.029,-370878,-483395,116395,,
2207814668,96519,-19.886,-0.148,0.009,-371184,-483844,116551,,
2207815689,97540,-19.755,-0.097,-0.06,-370898,-483631,116263,,
2207816710,98561,-19.708,-0.21,0.045,-370796,-484103,116702,,
2207817731,99582,-19.81,-0.168,0.108,-371018,-483929,116962,,
2207818752,100603,-19.687,-0.108,0.092,-370752,-483675,116897,,
2207819773,101624,-19.625,-0.147,0.015,-370617,-483838,116578,,
