t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2128994888,-30.32,-0.017,0.217,-393718,-483075,117498,,
2128995299,-30.294,-0.061,0.286,-393663,-483263,117783,,
2128996319,-30.04,-0.128,0.218,-393112,-483543,117503,,
2128997339,-30.063,-0.047,0.199,-393162,-483203,117421,,
2128998358,-30.087,0.002,0.282,-393213,-482996,117766,,
2128999378,-29.987,0.038,0.242,-392996,-482845,117601,,
2129000397,-29.881,-0.091,0.18,-392765,-483389,117342,,
2129001417,-29.831,-0.148,0.184,-392658,-483628,117362,,
2129002436,-29.81,-0.004,0.2,-392612,-483020,117426,,
2129003456,-29.783,-0.01,0.222,-392554,-483045,117517,,
2129004475,-29.648,-0.046,0.332,-392261,-483200,117976,,
2129005495,-29.668,0.005,0.181,-392304,-482982,117348,,
2129006514,-29.635,-0.044,0.24,-392232,-483191,117595,,
2129007534,-29.411,-0.002,0.156,-391746,-483011,117245,,
2129008554,-29.379,0.009,0.192,-391676,-482968,117392,,
2129009573,-29.395,-0.117,0.189,-391710,-483495,117382,,
2129010592,-29.15,0.066,0.216,-391179,-482728,117494,,
2129011612,-29.198,0.048,0.226,-391282,-482802,117535,,
2129012632,-29.064,-0.002,0.071,-390992,-483015,116892,,
2129013651,-28.994,-0.095,0.186,-390840,-483403,117367,,
2129014671,-29.136,-0.063,0.178,-391149,-483268,117337,,
2129015690,-29.003,0.014,0.219,-390860,-482944,117505,,
2129016710,-28.866,-0.051,0.201,-390561,-483218,117430,,
2129017729,-28.738,-0.045,0.161,-390283,-483193,117267,,
2129018749,-28.632,0.043,0.227,-390053,-482822,117539,,
2129019768,-28.585,-0.057,0.201,-389951,-483246,117433,,
2129020788,-28.445,-0.044,0.197,-389648,-483188,117416,,
2129021808,-28.514,-0.046,0.266,-389798,-483200,117702,,
2129022827,-28.527,0.014,0.253,-389826,-482946,117647,,
2129023847,-28.477,-0.084,0.22,-389717,-483356,117511,,
2129024866,-28.481,-0.054,0.168,-389726,-483232,117294,,
2129025886,-28.391,-0.017,0.238,-389531,-483076,117583,,
2129026905,-28.207,0.001,0.317,-389131,-483000,117915,,
2129027925,-28.163,0.045,0.154,-389036,-482816,117234,,
2129028944,-28.138,0.004,0.22,-388982,-482987,117509,,
2129029964,-28.061,0.029,0.184,-388815,-482882,117362,,
2129030983,-28.136,0.05,0.193,-388976,-482794,117397,,
2129032003,-28.083,-0.029,0.274,-388861,-483127,117734,,
2129033022,-27.8,0.027,0.234,-388247,-482893,117567,,
2129034042,-27.793,0.007,0.307,-388232,-482975,117871,,
2129035062,-27.727,-0.005,0.166,-388089,-483025,117284,,
2129036081,-27.663,-0.044,0.224,-387949,-483191,117525,,
2129037101,-27.669,-0.001,0.225,-387964,-483007,117529,,
2129038120,-27.558,0.017,0.224,-387721,-482933,117525,,
2129039140,-27.518,0.132,0.23,-387635,-482448,117551,,
2129040159,-27.314,0.039,0.294,-387192,-482842,117816,,
2129041190,-27.408,0.011,0.191,-387396,-482957,117389,,
2129042266,-27.408,0.011,0.191,-387396,-482957,117389,,
2129043331,-26.997,-0.0,0.237,-386485,-483005,117579,,
