# Participant: P1
# Mask Type: AURA
# Fit Condition: leak
# Exercise: frc_reset_init
# Date: 20250609
# Time: 111723
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1310598117,0,7.679,-0.283,-0.572,-316300,-487434,112312,420.1,3096.5,1303348117,1303.348117
1310598733,616,7.783,-0.261,-0.665,-316073,-487339,111923,420.1,3096.5,1303348733,1303.348733
1310599755,1638,7.954,-0.393,-0.732,-315700,-487898,111647,420.1,3096.5,1303349755,1303.349755
1310600777,2660,7.893,-0.417,-0.682,-315833,-488000,111853,420.1,3096.5,1303350777,1303.3507769999999
1310601798,3681,7.708,-0.216,-0.589,-316236,-487151,112240,420.1,3096.5,1303351798,1303.351798
1310602820,4703,7.777,-0.44,-0.788,-316086,-488094,111410,420.1,3096.5,1303352820,1303.3528199999998
1310603842,5725,8.072,-0.69,-1.123,-315442,-489152,110016,420.1,3096.5,1303353842,1303.353842
1310604864,6747,8.185,-1.022,-1.336,-315195,-490557,109124,420.1,3096.5,1303354864,1303.354864
1310605885,7768,8.126,-1.05,-1.111,-315325,-490672,110064,420.1,3096.5,1303355885,1303.355885
1310606907,8790,7.965,-0.852,-1.015,-315676,-489837,110464,420.1,3096.5,1303356907,1303.3569069999999
1310607929,9812,8.157,-0.821,-1.169,-315257,-489708,109824,420.1,3096.5,1303357929,1303.357929
1310608951,10834,8.354,-1.133,-1.148,-314827,-491025,109908,420.1,3096.5,1303358951,1303.358951
1310609973,11856,8.107,-1.143,-1.038,-315366,-491065,110369,420.1,3096.5,1303359973,1303.3599729999999
1310610994,12877,8.2,-1.125,-1.094,-315162,-490989,110136,420.1,3096.5,1303360994,1303.360994
1310612016,13899,8.084,-0.946,-0.999,-315415,-490235,110533,420.1,3096.5,1303362016,1303.362016
1310613038,14921,7.955,-0.867,-0.926,-315698,-489902,110836,420.1,3096.5,1303363038,1303.363038
1310614060,15943,7.937,-0.75,-0.819,-315737,-489406,111282,420.1,3096.5,1303364060,1303.3640599999999
1310615081,16964,8.023,-0.633,-0.878,-315548,-488910,111038,420.1,3096.5,1303365081,1303.365081
1310616103,17986,7.982,-0.608,-0.862,-315638,-488805,111102,420.1,3096.5,1303366103,1303.3661029999998
1310617125,19008,7.99,-0.531,-0.802,-315621,-488480,111354,420.1,3096.5,1303367125,1303.367125
1310618147,20030,7.922,-0.404,-0.82,-315769,-487943,111278,420.1,3096.5,1303368147,1303.368147
1310619168,21051,7.724,-0.36,-0.827,-316201,-487757,111249,420.1,3096.5,1303369168,1303.369168
1310620190,22073,7.861,-0.274,-0.925,-315903,-487393,110839,420.1,3096.5,1303370190,1303.3701899999999
1310621212,23095,7.858,-0.339,-0.931,-315909,-487669,110816,420.1,3096.5,1303371212,1303.371212
1310622234,24117,7.962,-0.607,-1.131,-315682,-488801,109980,420.1,3096.5,1303372234,1303.372234
1310623256,25139,8.093,-0.772,-0.951,-315397,-489498,110732,420.1,3096.5,1303373256,1303.3732559999999
1310624277,26160,8.001,-0.707,-1.093,-315598,-489225,110141,420.1,3096.5,1303374277,1303.374277
1310625299,27182,8.051,-0.972,-1.119,-315488,-490345,110030,420.1,3096.5,1303375299,1303.375299
1310626321,28204,8.143,-0.898,-1.077,-315286,-490031,110207,420.1,3096.5,1303376321,1303.376321
1310627343,29226,7.815,-0.812,-0.783,-316004,-489669,111431,420.1,3096.5,1303377343,1303.3773429999999
1310628365,30248,7.637,-0.676,-0.69,-316392,-489095,111820,420.1,3096.5,1303378365,1303.378365
1310629386,31269,7.689,-0.613,-0.611,-316278,-488826,112151,420.1,3096.5,1303379386,1303.3793859999998
1310630408,32291,7.652,-0.541,-0.656,-316358,-488524,111961,420.1,3096.5,1303380408,1303.380408
1310631430,33313,7.649,-0.497,-0.696,-316366,-488335,111795,420.1,3096.5,1303381430,1303.38143
1310632452,34335,7.751,-0.491,-0.577,-316143,-488312,112293,420.1,3096.5,1303382452,1303.3824519999998
1310633474,35357,7.502,-0.389,-0.555,-316687,-487879,112383,420.1,3096.5,1303383474,1303.383474
