# Participant: P1
# Mask Type: AURA
# Fit Condition: leak
# Exercise: zeroing
# Date: 20250609
# Time: 111140
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
967250440,0,13.64,1.022,-0.493,-303492,-482096,112703,2.0,3602.9,960000440,960.0004399999999
967251255,815,13.974,0.463,-0.733,-302761,-484460,111705,2.0,3602.9,960001255,960.0012549999999
967252274,1834,14.669,0.286,-1.073,-301241,-485209,110285,2.0,3602.9,960002274,960.0022739999999
967253294,2854,14.816,0.271,-0.889,-300919,-485272,111053,2.0,3602.9,960003294,960.003294
967254313,3873,14.722,0.325,-1.207,-301126,-485045,109726,2.0,3602.9,960004313,960.0043129999999
967255333,4893,15.297,0.131,-1.813,-299869,-485863,107196,2.0,3602.9,960005333,960.005333
967256353,5913,15.928,-0.317,-1.963,-298488,-487758,106572,2.0,3602.9,960006353,960.006353
967257372,6932,16.008,-0.419,-2.039,-298313,-488190,106253,2.0,3602.9,960007372,960.0073719999999
967258391,7951,16.093,0.046,-2.175,-298128,-486222,105687,2.0,3602.9,960008391,960.008391
967259411,8971,16.279,0.304,-2.241,-297720,-485133,105409,2.0,3602.9,960009411,960.009411
967260430,9990,16.792,0.777,-2.367,-296598,-483130,104884,2.0,3602.9,960010430,960.0104299999999
967261450,11010,16.665,0.963,-2.216,-296877,-482343,105513,2.0,3602.9,960011450,960.01145
967262470,12030,16.552,0.443,-2.174,-297123,-484545,105691,2.0,3602.9,960012470,960.01247
967263489,13049,16.749,-0.671,-2.32,-296693,-489256,105081,2.0,3602.9,960013489,960.0134889999999
967264508,14068,17.155,-1.212,-2.887,-295806,-491547,102713,2.0,3602.9,960014508,960.014508
967265528,15088,17.629,-1.002,-2.797,-294769,-490657,103088,2.0,3602.9,960015528,960.0155279999999
967266548,16108,17.251,-0.529,-2.474,-295595,-488658,104439,2.0,3602.9,960016548,960.016548
967267567,17127,16.782,-0.28,-1.936,-296621,-487604,106682,2.0,3602.9,960017567,960.017567
967268587,18147,16.61,-0.853,-1.676,-296996,-490027,107767,2.0,3602.9,960018587,960.0185869999999
967269606,19166,16.841,-0.892,-1.712,-296492,-490191,107617,2.0,3602.9,960019606,960.019606
967270626,20186,16.716,-0.327,-1.614,-296765,-487800,108025,2.0,3602.9,960020626,960.020626
967271645,21205,16.783,0.115,-1.76,-296619,-485931,107418,2.0,3602.9,960021645,960.0216449999999
967272665,22225,17.161,0.031,-1.804,-295792,-486288,107235,2.0,3602.9,960022665,960.022665
967273684,23244,16.958,0.708,-1.25,-296235,-483422,109545,2.0,3602.9,960023684,960.023684
967274704,24264,16.17,0.968,-0.74,-297960,-482322,111673,2.0,3602.9,960024704,960.0247039999999
