# Participant: P1
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: rainbow
# Date: 20250609
# Time: 110558
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
626067018,0,12.814,1.333,0.328,-305387,-481033,116019,13.6,2705.0,618817018,618.817018
626067861,843,12.896,0.154,0.226,-305207,-486020,115592,13.6,2705.0,618817861,618.817861
626068880,1862,13.076,0.823,0.131,-304813,-483192,115195,13.6,2705.0,618818880,618.8188799999999
626069900,2882,13.264,1.719,-0.094,-304402,-479398,114258,13.6,2705.0,618819900,618.8199
626070919,3901,13.406,0.625,-0.292,-304093,-484030,113432,13.6,2705.0,618820919,618.820919
626071939,4921,13.266,0.203,-0.345,-304398,-485815,113210,13.6,2705.0,618821939,618.8219389999999
626072958,5940,13.356,-0.061,-0.22,-304202,-486933,113729,13.6,2705.0,618822958,618.822958
626073978,6960,13.378,-0.443,-0.331,-304153,-488549,113269,13.6,2705.0,618823978,618.823978
626074997,7979,13.493,-0.429,-0.302,-303901,-488488,113389,13.6,2705.0,618824997,618.8249969999999
626076017,8999,13.289,0.245,-0.312,-304348,-485635,113345,13.6,2705.0,618826017,618.826017
626077036,10018,13.648,-0.511,-0.37,-303563,-488837,113103,13.6,2705.0,618827036,618.827036
626078056,11038,13.429,0.016,-0.338,-304041,-486607,113240,13.6,2705.0,618828056,618.828056
626079075,12057,13.47,1.466,-0.022,-303951,-480470,114556,13.6,2705.0,618829075,618.829075
626080095,13077,13.163,1.471,0.131,-304624,-480445,115197,13.6,2705.0,618830095,618.830095
626081115,14097,12.93,2.573,0.07,-305133,-475782,114942,13.6,2705.0,618831115,618.831115
626082134,15116,13.028,2.543,0.134,-304920,-475909,115208,13.6,2705.0,618832134,618.832134
626083154,16136,12.938,1.899,0.096,-305115,-478637,115048,13.6,2705.0,618833154,618.8331539999999
626084173,17155,12.885,1.218,-0.003,-305232,-481517,114638,13.6,2705.0,618834173,618.834173
