# Participant: P1
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: zero_check
# Date: 20250609
# Time: 110117
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
344595028,0,0.107,-0.254,0.276,-333490,-488370,115576,7.8,3407.0,337345028,337.34502799999996
344595677,649,-0.221,-0.159,0.216,-334208,-487968,115324,7.8,3407.0,337345677,337.34567699999997
344596698,1670,-0.226,-0.039,0.193,-334219,-487459,115230,7.8,3407.0,337346698,337.346698
344597719,2691,-0.291,-0.054,0.22,-334362,-487523,115343,7.8,3407.0,337347719,337.347719
344598740,3712,-0.343,0.087,0.32,-334476,-486926,115759,7.8,3407.0,337348740,337.34873999999996
344599761,4733,-0.417,0.166,0.374,-334637,-486591,115985,7.8,3407.0,337349761,337.349761
344600782,5754,-0.348,0.227,0.498,-334486,-486333,116502,7.8,3407.0,337350782,337.350782
344601803,6775,-0.608,0.307,0.543,-335057,-485993,116689,7.8,3407.0,337351803,337.35180299999996
344602824,7796,-0.356,0.349,0.496,-334505,-485816,116496,7.8,3407.0,337352824,337.352824
344603845,8817,-0.504,0.419,0.552,-334828,-485516,116730,7.8,3407.0,337353845,337.353845
344604865,9837,-0.449,0.534,0.533,-334707,-485032,116650,7.8,3407.0,337354865,337.35486499999996
344605886,10858,-0.417,0.412,0.442,-334637,-485546,116268,7.8,3407.0,337355886,337.355886
344606907,11879,-0.36,0.432,0.39,-334512,-485461,116053,7.8,3407.0,337356907,337.356907
344607928,12900,-0.288,0.363,0.298,-334355,-485755,115668,7.8,3407.0,337357928,337.35792799999996
344608949,13921,-0.231,0.232,0.156,-334229,-486312,115076,7.8,3407.0,337358949,337.358949
344609970,14942,-0.202,0.252,0.087,-334167,-486227,114786,7.8,3407.0,337359970,337.35997
344610991,15963,-0.164,0.061,0.159,-334084,-487035,115085,7.8,3407.0,337360991,337.360991
344612012,16984,-0.2,0.123,0.23,-334163,-486774,115382,7.8,3407.0,337362012,337.362012
344613032,18004,-0.325,0.13,0.352,-334437,-486743,115891,7.8,3407.0,337363032,337.363032
344614053,19025,-0.307,0.119,0.279,-334396,-486789,115588,7.8,3407.0,337364053,337.364053
344615074,20046,-0.342,0.11,0.198,-334473,-486829,115250,7.8,3407.0,337365074,337.365074
344616095,21067,-0.192,0.107,0.155,-334144,-486839,115068,7.8,3407.0,337366095,337.366095
344617116,22088,-0.209,0.041,0.008,-334181,-487120,114457,7.8,3407.0,337367116,337.367116
344618137,23109,-0.126,0.034,-0.081,-334000,-487149,114084,7.8,3407.0,337368137,337.368137
344619158,24130,-0.143,0.003,-0.149,-334038,-487283,113802,7.8,3407.0,337369158,337.36915799999997
344620179,25151,0.028,0.057,-0.227,-333662,-487051,113475,7.8,3407.0,337370179,337.370179
344621200,26172,-0.052,0.014,-0.193,-333837,-487235,113616,7.8,3407.0,337371200,337.3712
344622220,27192,-0.137,0.147,-0.215,-334025,-486670,113524,7.8,3407.0,337372220,337.37221999999997
344623241,28213,-0.178,0.143,-0.25,-334115,-486687,113378,7.8,3407.0,337373241,337.373241
344624262,29234,-0.257,0.239,-0.224,-334287,-486279,113485,7.8,3407.0,337374262,337.374262
344625283,30255,-0.178,0.116,-0.201,-334115,-486801,113584,7.8,3407.0,337375283,337.37528299999997
