# Participant: P1
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: frc_reset
# Date: 20250609
# Time: 112842
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1989347602,0,4.511,-0.008,0.098,-322868,-485807,115187,105.7,3162.8,1982097602,1982.0976019999998
1989348249,647,4.468,0.05,0.049,-322960,-485561,114982,105.7,3162.8,1982098249,1982.098249
1989349271,1669,4.552,0.052,0.134,-322777,-485554,115335,105.7,3162.8,1982099271,1982.0992709999998
1989350293,2691,4.539,0.048,0.149,-322805,-485572,115401,105.7,3162.8,1982100293,1982.100293
1989351314,3712,4.464,-0.041,0.095,-322970,-485944,115174,105.7,3162.8,1982101314,1982.101314
1989352336,4734,4.584,-0.025,0.057,-322708,-485880,115016,105.7,3162.8,1982102336,1982.102336
1989353358,5756,4.499,0.067,0.142,-322894,-485490,115371,105.7,3162.8,1982103358,1982.1033579999998
1989354380,6778,4.484,0.002,0.128,-322927,-485765,115310,105.7,3162.8,1982104380,1982.10438
1989355401,7799,4.501,-0.002,0.132,-322889,-485780,115329,105.7,3162.8,1982105401,1982.1054009999998
1989356423,8821,4.464,0.085,0.126,-322969,-485414,115304,105.7,3162.8,1982106423,1982.106423
1989357445,9843,4.433,0.043,0.099,-323038,-485592,115189,105.7,3162.8,1982107445,1982.1074449999999
1989358467,10865,4.511,0.018,0.125,-322867,-485695,115301,105.7,3162.8,1982108467,1982.108467
1989359489,11887,4.489,-0.061,0.131,-322916,-486031,115324,105.7,3162.8,1982109489,1982.109489
1989360510,12908,4.282,0.008,0.108,-323366,-485739,115229,105.7,3162.8,1982110510,1982.11051
1989361532,13930,4.296,-0.022,0.084,-323336,-485866,115130,105.7,3162.8,1982111532,1982.111532
1989362554,14952,4.331,0.062,0.082,-323260,-485509,115120,105.7,3162.8,1982112554,1982.1125539999998
1989363576,15974,4.34,0.054,0.121,-323239,-485544,115284,105.7,3162.8,1982113576,1982.113576
1989364609,17007,4.216,0.067,0.074,-323511,-485490,115085,105.7,3162.8,1982114609,1982.114609
1989365686,18084,4.216,0.067,0.074,-323511,-485490,115085,105.7,3162.8,1982115686,1982.1156859999999
1989366751,19149,4.245,0.064,0.187,-323447,-485503,115559,105.7,3162.8,1982116751,1982.116751
1989367772,20170,4.215,0.099,0.116,-323513,-485355,115261,105.7,3162.8,1982117772,1982.1177719999998
1989368793,21191,4.109,0.004,0.045,-323743,-485756,114967,105.7,3162.8,1982118793,1982.1187929999999
1989369814,22212,4.215,0.055,0.136,-323513,-485541,115346,105.7,3162.8,1982119814,1982.119814
1989370835,23233,4.154,0.074,0.216,-323645,-485459,115678,105.7,3162.8,1982120835,1982.120835
1989371856,24254,4.181,0.139,0.14,-323587,-485185,115360,105.7,3162.8,1982121856,1982.121856
1989372877,25275,4.114,0.069,0.111,-323732,-485481,115242,105.7,3162.8,1982122877,1982.122877
1989373897,26295,4.094,0.113,0.072,-323777,-485294,115077,105.7,3162.8,1982123897,1982.123897
1989374918,27316,4.355,0.043,0.125,-323207,-485590,115299,105.7,3162.8,1982124918,1982.124918
1989375939,28337,4.152,0.106,0.126,-323650,-485326,115302,105.7,3162.8,1982125939,1982.125939
1989376960,29358,4.231,0.04,0.116,-323478,-485605,115262,105.7,3162.8,1982126960,1982.1269599999998
1989377981,30379,4.197,0.0,0.124,-323552,-485772,115294,105.7,3162.8,1982127981,1982.1279809999999
1989379002,31400,4.13,-0.031,0.1,-323699,-485905,115197,105.7,3162.8,1982129002,1982.129002
1989380023,32421,4.082,-0.024,0.042,-323802,-485874,114952,105.7,3162.8,1982130023,1982.130023
