# Participant: P1
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: frc_reset_init
# Date: 20250609
# Time: 112827
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1974385499,0,31.817,1.234,1.792,-263331,-480598,122278,133.0,3267.5,1967135499,1967.135499
1974386242,743,31.653,1.748,0.781,-263690,-478426,118064,133.0,3267.5,1967136242,1967.1362419999998
1974387262,1763,31.671,1.923,0.124,-263650,-477690,115325,133.0,3267.5,1967137262,1967.137262
1974388281,2782,31.913,1.33,0.255,-263123,-480191,115868,133.0,3267.5,1967138281,1967.138281
1974389301,3802,32.081,0.723,0.946,-262756,-482758,118750,133.0,3267.5,1967139301,1967.139301
1974390320,4821,32.652,0.675,1.023,-261511,-482960,119073,133.0,3267.5,1967140320,1967.14032
1974391340,5841,32.606,0.736,1.0,-261612,-482703,118975,133.0,3267.5,1967141340,1967.14134
1974392359,6860,32.727,1.008,0.159,-261348,-481554,115469,133.0,3267.5,1967142359,1967.142359
1974393379,7880,32.757,0.863,0.041,-261281,-482163,114977,133.0,3267.5,1967143379,1967.1433789999999
1974394398,8899,32.858,0.695,0.195,-261061,-482874,115618,133.0,3267.5,1967144398,1967.144398
1974395418,9919,32.974,0.487,0.414,-260809,-483753,116531,133.0,3267.5,1967145418,1967.1454179999998
1974396437,10938,33.438,0.253,0.992,-259797,-484739,118940,133.0,3267.5,1967146437,1967.1464369999999
1974397457,11958,33.465,-0.294,1.173,-259738,-487052,119697,133.0,3267.5,1967147457,1967.1474569999998
1974398476,12977,33.732,-0.373,1.445,-259156,-487384,120832,133.0,3267.5,1967148476,1967.1484759999998
1974399496,13997,33.787,-0.088,0.834,-259036,-486182,118285,133.0,3267.5,1967149496,1967.149496
1974400515,15016,33.745,-0.021,0.736,-259128,-485896,117873,133.0,3267.5,1967150515,1967.1505149999998
1974401535,16036,33.807,0.205,1.63,-258992,-484945,121600,133.0,3267.5,1967151535,1967.151535
1974402555,17056,33.861,0.807,1.648,-258875,-482401,121678,133.0,3267.5,1967152555,1967.152555
1974403574,18075,33.841,0.976,1.235,-258917,-481689,119957,133.0,3267.5,1967153574,1967.153574
1974404594,19095,33.896,0.84,2.244,-258797,-482264,124161,133.0,3267.5,1967154594,1967.1545939999999
1974405613,20114,33.893,0.76,3.526,-258805,-482601,129505,133.0,3267.5,1967155613,1967.155613
1974406633,21134,34.0,0.349,2.04,-258572,-484334,123313,133.0,3267.5,1967156633,1967.1566329999998
1974407652,22153,34.126,0.068,1.728,-258296,-485523,122009,133.0,3267.5,1967157652,1967.1576519999999
1974408672,23173,34.4,-0.141,3.526,-257699,-486405,129508,133.0,3267.5,1967158672,1967.158672
