# Participant: P1
# Mask Type: MAKTEK
# Fit Condition: leak
# Exercise: frc_reset_init
# Date: 20250609
# Time: 113529
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
2396284513,0,27.994,-2.297,-2.492,-271621,-495290,104624,372.5,3203.5,2389034513,2389.034513
2396285429,916,27.757,-2.193,-2.394,-272139,-494851,105029,372.5,3203.5,2389035429,2389.035429
2396286451,1938,27.494,-2.225,-2.428,-272713,-494984,104888,372.5,3203.5,2389036451,2389.036451
2396287472,2959,26.67,-1.525,-1.852,-274508,-492028,107292,372.5,3203.5,2389037472,2389.037472
2396288494,3981,25.933,-0.795,-1.124,-276116,-488948,110327,372.5,3203.5,2389038494,2389.038494
2396289516,5003,25.296,-0.368,-0.632,-277505,-487143,112378,372.5,3203.5,2389039516,2389.039516
2396290538,6025,25.355,-0.302,-0.371,-277377,-486863,113466,372.5,3203.5,2389040538,2389.0405379999997
2396291559,7046,25.107,-0.425,-0.36,-277916,-487386,113513,372.5,3203.5,2389041559,2389.041559
2396292581,8068,24.878,-0.18,-0.224,-278417,-486351,114079,372.5,3203.5,2389042581,2389.0425809999997
2396293603,9090,24.447,0.004,-0.207,-279355,-485573,114152,372.5,3203.5,2389043603,2389.043603
2396294625,10112,23.964,0.211,-0.125,-280410,-484698,114490,372.5,3203.5,2389044625,2389.044625
2396295646,11133,23.676,0.349,0.226,-281037,-484117,115955,372.5,3203.5,2389045646,2389.045646
2396296668,12155,23.794,0.112,0.179,-280780,-485118,115761,372.5,3203.5,2389046668,2389.046668
2396297690,13177,23.997,-0.375,-0.224,-280336,-487174,114078,372.5,3203.5,2389047690,2389.04769
2396298712,14199,23.948,-0.617,-0.863,-280444,-488193,111415,372.5,3203.5,2389048712,2389.048712
2396299734,15221,23.798,-0.59,-1.074,-280770,-488081,110536,372.5,3203.5,2389049734,2389.0497339999997
2396300755,16242,23.73,-0.698,-0.957,-280920,-488539,111023,372.5,3203.5,2389050755,2389.0507549999998
2396301777,17264,23.854,-0.88,-0.889,-280649,-489304,111307,372.5,3203.5,2389051777,2389.0517769999997
2396302799,18286,23.277,-0.447,-0.8,-281906,-487477,111676,372.5,3203.5,2389052799,2389.052799
2396303821,19308,22.881,0.038,-0.683,-282770,-485431,112164,372.5,3203.5,2389053821,2389.053821
2396304842,20329,22.519,0.176,-0.286,-283560,-484846,113822,372.5,3203.5,2389054842,2389.054842
2396305864,21351,22.425,0.126,-0.117,-283765,-485057,114526,372.5,3203.5,2389055864,2389.055864
2396306886,22373,22.475,-0.056,-0.062,-283656,-485826,114753,372.5,3203.5,2389056886,2389.056886
2396307908,23395,22.505,-0.228,-0.111,-283590,-486551,114550,372.5,3203.5,2389057908,2389.0579079999998
2396308929,24416,22.515,-0.222,-0.295,-283569,-486526,113784,372.5,3203.5,2389058929,2389.058929
2396309951,25438,22.676,-0.31,-0.404,-283218,-486899,113327,372.5,3203.5,2389059951,2389.0599509999997
2396310973,26460,22.574,-0.263,-0.622,-283440,-486702,112421,372.5,3203.5,2389060973,2389.060973
2396311995,27482,22.788,-0.561,-0.884,-282973,-487958,111326,372.5,3203.5,2389061995,2389.061995
2396313017,28504,23.053,-0.72,-0.851,-282395,-488628,111463,372.5,3203.5,2389063017,2389.063017
2396314038,29525,22.966,-0.672,-0.858,-282586,-488428,111435,372.5,3203.5,2389064038,2389.064038
2396315060,30547,22.848,-0.644,-0.661,-282842,-488310,112258,372.5,3203.5,2389065060,2389.06506
2396316082,31569,22.356,-0.429,-0.489,-283915,-487402,112973,372.5,3203.5,2389066082,2389.066082
2396317104,32591,21.913,-0.197,-0.184,-284880,-486421,114244,372.5,3203.5,2389067104,2389.0671039999997
2396318125,33612,21.884,-0.347,-0.087,-284944,-487056,114651,372.5,3203.5,2389068125,2389.068125
2396319147,34634,21.981,-0.625,-0.291,-284732,-488230,113801,372.5,3203.5,2389069147,2389.0691469999997
2396320169,35656,21.638,-0.406,-0.304,-285480,-487304,113745,372.5,3203.5,2389070169,2389.070169
2396321191,36678,21.282,-0.141,-0.3,-286256,-486186,113763,372.5,3203.5,2389071191,2389.071191
2396322224,37711,21.371,-0.207,-0.468,-286062,-486465,113060,372.5,3203.5,2389072224,2389.072224
2396323298,38785,21.371,-0.207,-0.468,-286062,-486465,113060,372.5,3203.5,2389073298,2389.073298
2396324363,39850,21.476,-0.471,-0.47,-285835,-487540,113054,372.5,3203.5,2389074363,2389.0743629999997
2396325383,40870,21.508,-0.531,-0.612,-285765,-487796,112463,372.5,3203.5,2389075383,2389.075383
2396326404,41891,21.691,-0.572,-0.988,-285366,-487970,110893,372.5,3203.5,2389076404,2389.076404
2396327425,42912,21.712,-0.689,-1.093,-285320,-488461,110457,372.5,3203.5,2389077425,2389.077425
2396328446,43933,21.621,-0.625,-0.742,-285518,-488191,111920,372.5,3203.5,2389078446,2389.078446
2396329467,44954,21.702,-0.571,-0.756,-285340,-487966,111862,372.5,3203.5,2389079467,2389.079467
2396330488,45975,21.646,-0.67,-0.831,-285463,-488382,111549,372.5,3203.5,2389080488,2389.080488
2396331509,46996,21.571,-0.791,-1.035,-285627,-488893,110698,372.5,3203.5,2389081509,2389.081509
2396332530,48017,21.495,-0.575,-0.854,-285792,-487983,111454,372.5,3203.5,2389082530,2389.0825299999997
2396333551,49038,21.537,-0.44,-0.678,-285700,-487413,112187,372.5,3203.5,2389083551,2389.0835509999997
2396334572,50059,21.72,-0.568,-0.561,-285302,-487950,112675,372.5,3203.5,2389084572,2389.0845719999998
2396335592,51079,21.771,-0.882,-0.792,-285190,-489279,111711,372.5,3203.5,2389085592,2389.085592
2396336613,52100,21.802,-0.844,-0.554,-285123,-489119,112705,372.5,3203.5,2389086613,2389.086613
2396337634,53121,21.575,-0.674,-0.365,-285619,-488398,113491,372.5,3203.5,2389087634,2389.087634
2396338655,54142,21.586,-0.573,-0.362,-285594,-487973,113505,372.5,3203.5,2389088655,2389.088655
2396339676,55163,21.56,-0.482,-0.299,-285651,-487590,113767,372.5,3203.5,2389089676,2389.089676
2396340697,56184,21.407,-0.222,0.269,-285984,-486491,116135,372.5,3203.5,2389090697,2389.090697
2396341718,57205,21.252,-0.056,0.294,-286322,-485790,116238,372.5,3203.5,2389091718,2389.0917179999997
2396342739,58226,21.375,-0.109,-0.154,-286055,-486012,114370,372.5,3203.5,2389092739,2389.0927389999997
