# Participant: P1
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: deep_breathing
# Date: 20250609
# Time: 110444
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
551772116,0,5.445,-0.064,0.008,-321574,-487128,114626,40.6,3477.6
551772836,720,5.537,-0.117,-0.05,-321373,-487352,114384,40.6,3477.6
551773857,1741,5.506,-0.182,-0.083,-321441,-487629,114244,40.6,3477.6
551774879,2763,5.447,-0.07,-0.031,-321570,-487151,114464,40.6,3477.6
551775901,3785,5.474,-0.081,-0.075,-321512,-487201,114281,40.6,3477.6
551776923,4807,5.41,-0.114,-0.117,-321652,-487339,114104,40.6,3477.6
551777944,5828,5.396,-0.098,-0.102,-321683,-487270,114166,40.6,3477.6
551778966,6850,5.441,-0.071,-0.076,-321584,-487156,114274,40.6,3477.6
551779988,7872,5.218,-0.092,-0.09,-322073,-487246,114216,40.6,3477.6
551781010,8894,5.154,-0.096,-0.134,-322212,-487264,114035,40.6,3477.6
551782032,9916,5.466,-0.019,-0.079,-321529,-486937,114261,40.6,3477.6
551783053,10937,5.286,-0.104,-0.041,-321923,-487296,114422,40.6,3477.6
551784075,11959,5.235,-0.137,-0.073,-322034,-487436,114287,40.6,3477.6
551785097,12981,5.266,-0.132,-0.038,-321967,-487414,114434,40.6,3477.6
551786119,14003,5.191,-0.192,-0.043,-322130,-487671,114415,40.6,3477.6
551787140,15024,5.032,-0.116,-0.035,-322480,-487347,114446,40.6,3477.6
551788162,16046,4.923,-0.142,0.022,-322718,-487456,114685,40.6,3477.6
551789184,17068,4.978,-0.169,0.055,-322597,-487573,114820,40.6,3477.6
551790206,18090,5.025,-0.127,-0.012,-322495,-487395,114542,40.6,3477.6
551791228,19112,4.846,-0.153,-0.033,-322887,-487506,114454,40.6,3477.6
551792249,20133,4.838,-0.081,-0.046,-322903,-487200,114400,40.6,3477.6
551793271,21155,4.825,-0.141,-0.013,-322932,-487455,114539,40.6,3477.6
551794293,22177,4.85,-0.132,-0.035,-322877,-487417,114448,40.6,3477.6
551795315,23199,4.75,-0.179,-0.085,-323096,-487614,114236,40.6,3477.6
551796336,24220,4.849,-0.063,-0.024,-322879,-487123,114494,40.6,3477.6
551797358,25242,4.633,-0.092,-0.018,-323352,-487245,114518,40.6,3477.6
551798380,26264,4.666,-0.121,-0.048,-323280,-487368,114391,40.6,3477.6
551799402,27286,4.535,-0.131,0.063,-323568,-487409,114857,40.6,3477.6
551800423,28307,4.533,-0.067,0.0,-323572,-487139,114593,40.6,3477.6
551801445,29329,4.642,-0.027,0.058,-323333,-486971,114833,40.6,3477.6
551802467,30351,4.492,-0.064,0.049,-323661,-487126,114797,40.6,3477.6
551803489,31373,4.49,-0.123,0.043,-323665,-487376,114772,40.6,3477.6
551804511,32395,4.574,-0.096,0.007,-323481,-487263,114621,40.6,3477.6
551805532,33416,4.413,-0.13,-0.031,-323834,-487408,114462,40.6,3477.6
