# Participant: P1
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: frc_reset_init
# Date: 20250609
# Time: 110701
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
688878802,0,4.451,-0.248,-0.137,-323649,-487652,114104,5.8,2939.8
688879646,844,4.5,-0.229,-0.153,-323542,-487569,114039,5.8,2939.8
688880667,1865,4.454,-0.261,-0.183,-323642,-487704,113912,5.8,2939.8
688881688,2886,4.38,-0.249,-0.191,-323804,-487654,113879,5.8,2939.8
688882708,3906,4.534,-0.171,-0.107,-323468,-487323,114231,5.8,2939.8
688883729,4927,4.392,-0.119,-0.088,-323779,-487104,114312,5.8,2939.8
688884750,5948,4.39,-0.205,-0.097,-323783,-487468,114273,5.8,2939.8
688885771,6969,4.536,-0.151,-0.062,-323463,-487241,114419,5.8,2939.8
688886792,7990,4.461,-0.079,-0.133,-323627,-486937,114123,5.8,2939.8
688887813,9011,4.463,-0.145,-0.093,-323624,-487216,114289,5.8,2939.8
688888834,10032,4.432,-0.111,-0.019,-323691,-487070,114600,5.8,2939.8
688889855,11053,4.414,-0.22,-0.094,-323731,-487532,114285,5.8,2939.8
688890876,12074,4.425,-0.128,-0.049,-323707,-487142,114473,5.8,2939.8
688891897,13095,4.387,-0.125,-0.113,-323790,-487128,114206,5.8,2939.8
688892917,14115,4.416,-0.133,-0.121,-323727,-487165,114173,5.8,2939.8
688893938,15136,4.438,-0.233,-0.093,-323679,-487587,114289,5.8,2939.8
688894959,16157,4.322,-0.199,-0.101,-323931,-487442,114257,5.8,2939.8
688895980,17178,4.384,-0.169,-0.083,-323795,-487315,114330,5.8,2939.8
688897001,18199,4.28,-0.087,-0.113,-324024,-486971,114206,5.8,2939.8
688898022,19220,4.313,-0.164,-0.072,-323951,-487297,114377,5.8,2939.8
688899043,20241,4.166,-0.117,-0.052,-324272,-487096,114460,5.8,2939.8
688900064,21262,4.101,-0.143,-0.08,-324416,-487208,114345,5.8,2939.8
688901085,22283,4.165,-0.103,-0.049,-324276,-487037,114472,5.8,2939.8
688902106,23304,4.129,-0.157,-0.159,-324353,-487266,114015,5.8,2939.8
688903127,24325,4.204,-0.106,-0.109,-324189,-487048,114223,5.8,2939.8
688904147,25345,4.225,-0.107,-0.097,-324144,-487053,114274,5.8,2939.8
688905168,26366,4.24,-0.105,-0.039,-324112,-487044,114516,5.8,2939.8
688906189,27387,4.153,-0.139,0.032,-324302,-487190,114811,5.8,2939.8
688907210,28408,4.249,-0.116,-0.107,-324092,-487092,114230,5.8,2939.8
688908231,29429,4.205,-0.134,-0.024,-324187,-487169,114579,5.8,2939.8
688909252,30450,4.092,-0.07,-0.073,-324436,-486899,114371,5.8,2939.8
688910273,31471,4.264,-0.177,-0.053,-324059,-487349,114458,5.8,2939.8
688911294,32492,4.184,-0.12,-0.144,-324234,-487109,114078,5.8,2939.8
688912315,33513,4.223,-0.183,-0.152,-324149,-487374,114041,5.8,2939.8
688913335,34533,4.226,-0.064,-0.095,-324141,-486870,114279,5.8,2939.8
688914356,35554,4.384,-0.22,-0.165,-323795,-487530,113989,5.8,2939.8
688915377,36575,4.188,-0.239,-0.159,-324225,-487613,114015,5.8,2939.8
688916398,37596,4.201,-0.179,-0.104,-324196,-487360,114245,5.8,2939.8
688917419,38617,4.102,-0.197,-0.136,-324414,-487435,114108,5.8,2939.8
688918440,39638,4.128,-0.238,-0.133,-324356,-487610,114121,5.8,2939.8
688919461,40659,4.337,-0.228,-0.094,-323898,-487565,114285,5.8,2939.8
688920482,41680,4.173,-0.237,-0.218,-324258,-487603,113769,5.8,2939.8
688921503,42701,4.148,-0.196,-0.065,-324312,-487430,114406,5.8,2939.8
688922524,43722,4.24,-0.088,-0.136,-324112,-486974,114108,5.8,2939.8
688923544,44742,4.277,-0.216,-0.117,-324031,-487516,114190,5.8,2939.8
688924565,45763,4.324,-0.21,-0.144,-323928,-487491,114076,5.8,2939.8
688925586,46784,4.214,-0.144,-0.089,-324167,-487209,114305,5.8,2939.8
688926607,47805,4.098,-0.208,-0.036,-324421,-487480,114528,5.8,2939.8
688927628,48826,4.179,-0.257,-0.019,-324245,-487688,114596,5.8,2939.8
688928649,49847,4.179,-0.119,-0.02,-324244,-487104,114594,5.8,2939.8
688929670,50868,4.087,-0.147,-0.049,-324445,-487221,114473,5.8,2939.8
688930691,51889,4.001,-0.233,-0.061,-324635,-487587,114421,5.8,2939.8
688931712,52910,4.056,-0.189,-0.021,-324513,-487399,114588,5.8,2939.8
688932733,53931,4.187,-0.217,-0.086,-324227,-487519,114320,5.8,2939.8
688933754,54952,4.175,-0.173,-0.054,-324254,-487335,114453,5.8,2939.8
688934774,55972,4.126,-0.131,-0.031,-324361,-487155,114547,5.8,2939.8
688935795,56993,4.081,-0.112,-0.002,-324460,-487075,114669,5.8,2939.8
688936816,58014,4.05,-0.156,0.04,-324527,-487260,114846,5.8,2939.8
688937837,59035,4.095,-0.09,-0.022,-324429,-486982,114587,5.8,2939.8
688938858,60056,4.088,-0.17,-0.09,-324444,-487320,114300,5.8,2939.8
688939879,61077,4.031,-0.144,-0.012,-324569,-487210,114629,5.8,2939.8
688940900,62098,3.98,-0.135,-0.028,-324679,-487171,114559,5.8,2939.8
688941921,63119,3.94,-0.234,-0.011,-324767,-487590,114633,5.8,2939.8
688942942,64140,3.976,-0.13,0.006,-324688,-487149,114704,5.8,2939.8
688943963,65161,3.917,-0.136,-0.141,-324817,-487175,114090,5.8,2939.8
688944983,66181,4.002,-0.129,-0.033,-324632,-487148,114539,5.8,2939.8
688946004,67202,4.01,-0.163,-0.001,-324614,-487292,114674,5.8,2939.8
688947025,68223,3.94,-0.184,0.025,-324767,-487380,114781,5.8,2939.8
688948046,69244,3.86,-0.094,0.02,-324942,-487000,114760,5.8,2939.8
688949067,70265,3.982,-0.169,-0.042,-324675,-487318,114504,5.8,2939.8
688950088,71286,3.85,-0.126,-0.008,-324965,-487134,114645,5.8,2939.8
688951109,72307,3.893,-0.113,-0.081,-324870,-487081,114340,5.8,2939.8
688952130,73328,3.868,-0.169,0.097,-324926,-487316,115082,5.8,2939.8
688953151,74349,3.816,-0.101,0.023,-325038,-487028,114772,5.8,2939.8
688954171,75369,3.745,-0.074,-0.004,-325194,-486914,114660,5.8,2939.8
688955204,76402,3.767,-0.134,-0.057,-325146,-487166,114440,5.8,2939.8
688956280,77478,3.767,-0.134,-0.057,-325146,-487166,114440,5.8,2939.8
688957344,78542,3.617,-0.184,-0.069,-325449,-487308,114444,5.8,2939.8
688958365,79563,3.674,-0.078,-0.058,-325323,-486856,114492,5.8,2939.8
688959386,80584,3.641,-0.081,-0.011,-325396,-486872,114687,5.8,2939.8
688960407,81605,3.688,-0.047,-0.083,-325294,-486726,114388,5.8,2939.8
688961428,82626,3.524,-0.104,-0.059,-325652,-486969,114489,5.8,2939.8
688962449,83647,3.632,-0.065,-0.068,-325415,-486801,114452,5.8,2939.8
688963470,84668,3.564,-0.103,-0.063,-325565,-486965,114469,5.8,2939.8
688964491,85689,3.556,-0.173,-0.0,-325582,-487261,114733,5.8,2939.8
688965512,86710,3.634,-0.082,-0.03,-325411,-486876,114608,5.8,2939.8
688966533,87731,3.611,-0.104,-0.04,-325462,-486967,114565,5.8,2939.8
688967554,88752,3.631,-0.027,-0.057,-325417,-486643,114496,5.8,2939.8
688968574,89772,3.667,-0.009,0.053,-325339,-486564,114957,5.8,2939.8
688969595,90793,3.543,-0.009,-0.061,-325610,-486568,114481,5.8,2939.8
688970616,91814,3.608,-0.063,-0.009,-325468,-486795,114697,5.8,2939.8
688971637,92835,3.594,-0.162,0.056,-325499,-487212,114967,5.8,2939.8
688972658,93856,3.712,0.005,0.027,-325240,-486508,114848,5.8,2939.8
688973679,94877,3.721,-0.088,-0.039,-325221,-486900,114573,5.8,2939.8
688974700,95898,3.754,-0.013,-0.087,-325148,-486583,114371,5.8,2939.8
688975721,96919,3.76,-0.073,0.052,-325136,-486836,114952,5.8,2939.8
688976742,97940,3.765,-0.095,-0.002,-325125,-486930,114727,5.8,2939.8
688977763,98961,3.753,-0.082,-0.007,-325151,-486874,114706,5.8,2939.8
688978783,99981,3.683,-0.038,-0.028,-325305,-486687,114616,5.8,2939.8
688979804,101002,3.89,-0.052,0.026,-324851,-486747,114844,5.8,2939.8
688980825,102023,3.668,-0.072,-0.053,-325337,-486832,114512,5.8,2939.8
688981846,103044,3.7,-0.056,0.037,-325266,-486765,114890,5.8,2939.8
688982867,104065,3.726,-0.037,0.084,-325210,-486683,115084,5.8,2939.8
688983888,105086,3.723,0.005,-0.053,-325216,-486507,114513,5.8,2939.8
688984910,106108,3.869,-0.026,-0.081,-324898,-486639,114397,5.8,2939.8
688985932,107130,3.842,0.034,0.083,-324956,-486383,115079,5.8,2939.8
688986953,108151,3.808,0.007,-0.122,-325030,-486497,114225,5.8,2939.8
688987975,109173,3.865,0.024,-0.024,-324906,-486426,114634,5.8,2939.8
688988997,110195,3.843,0.038,0.047,-324954,-486369,114932,5.8,2939.8
688990019,111217,3.733,0.01,-0.084,-325194,-486484,114385,5.8,2939.8
688991041,112239,3.832,-0.007,0.043,-324978,-486557,114913,5.8,2939.8
688992062,113260,3.698,-0.002,0.031,-325272,-486538,114862,5.8,2939.8
688993084,114282,3.942,-0.028,-0.079,-324737,-486645,114405,5.8,2939.8
688994106,115304,3.879,-0.105,0.047,-324875,-486971,114929,5.8,2939.8
688995128,116326,3.89,-0.07,-0.038,-324851,-486824,114575,5.8,2939.8
688996149,117347,3.818,-0.065,0.011,-325008,-486801,114778,5.8,2939.8
688997171,118369,4.045,-0.114,-0.087,-324512,-487010,114371,5.8,2939.8
688998193,119391,4.048,-0.069,-0.039,-324505,-486821,114571,5.8,2939.8
688999215,120413,4.162,-0.075,-0.036,-324256,-486845,114585,5.8,2939.8
689000236,121434,4.0,-0.026,-0.044,-324610,-486639,114552,5.8,2939.8
689001258,122456,4.241,-0.094,-0.101,-324083,-486924,114312,5.8,2939.8
689002280,123478,4.335,-0.078,-0.105,-323878,-486856,114294,5.8,2939.8
689003302,124500,4.138,-0.186,-0.096,-324309,-487314,114334,5.8,2939.8
689004324,125522,4.185,-0.049,-0.079,-324207,-486737,114402,5.8,2939.8
689005345,126543,4.328,-0.073,-0.059,-323894,-486835,114488,5.8,2939.8
689006367,127565,4.288,-0.174,-0.072,-323980,-487263,114435,5.8,2939.8
689007389,128587,4.387,-0.07,-0.094,-323764,-486825,114343,5.8,2939.8
689008411,129609,4.415,-0.1,-0.058,-323702,-486953,114493,5.8,2939.8
689009433,130631,4.31,-0.082,-0.01,-323932,-486873,114692,5.8,2939.8
689010454,131652,4.358,-0.071,-0.094,-323828,-486828,114340,5.8,2939.8
689011476,132674,4.441,-0.08,-0.116,-323647,-486867,114248,5.8,2939.8
689012498,133696,4.603,-0.069,-0.099,-323291,-486818,114322,5.8,2939.8
689013519,134717,4.596,-0.15,-0.098,-323306,-487164,114324,5.8,2939.8
689014541,135739,4.665,-0.1,-0.015,-323156,-486953,114673,5.8,2939.8
689015563,136761,4.633,-0.109,-0.048,-323225,-486991,114535,5.8,2939.8
689016585,137783,4.682,-0.112,-0.05,-323119,-487001,114524,5.8,2939.8
