# Participant: P1
# Mask Type: AURA
# Fit Condition: leak
# Exercise: deep_breathing
# Date: 20250609
# Time: 111527
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1194869531,0,35.747,5.38,2.221,-255032,-463532,123936,200.5,2537.5
1194870134,603,34.342,5.347,2.164,-258101,-463672,123697,200.5,2537.5
1194871155,1624,34.313,5.856,1.408,-258164,-461521,120545,200.5,2537.5
1194872176,2645,36.412,4.526,0.7,-253580,-467145,117591,200.5,2537.5
1194873197,3666,36.484,5.96,1.005,-253424,-461081,118861,200.5,2537.5
1194874218,4687,35.947,7.311,1.05,-254597,-455371,119049,200.5,2537.5
1194875239,5708,35.879,5.866,1.378,-254745,-461478,120420,200.5,2537.5
1194876260,6729,36.157,6.335,0.577,-254137,-459498,117076,200.5,2537.5
1194877281,7750,35.917,5.439,1.286,-254661,-463285,120034,200.5,2537.5
1194878301,8770,36.473,6.015,0.91,-253447,-460849,118465,200.5,2537.5
1194879322,9791,37.636,5.759,-1.657,-250908,-461934,107760,200.5,2537.5
1194880343,10812,38.59,4.52,-0.031,-248825,-467167,114540,200.5,2537.5
1194881364,11833,36.939,6.058,1.389,-252430,-460667,120464,200.5,2537.5
1194882385,12854,36.008,6.259,0.011,-254463,-459818,114717,200.5,2537.5
1194883406,13875,37.377,4.739,-0.667,-251473,-466242,111889,200.5,2537.5
1194884427,14896,37.896,3.525,-1.093,-250341,-471373,110109,200.5,2537.5
1194885448,15917,36.535,4.897,1.687,-253312,-465575,121708,200.5,2537.5
1194886469,16938,35.532,6.164,1.614,-255502,-460222,121402,200.5,2537.5
1194887490,17959,35.541,4.685,1.899,-255482,-466472,122593,200.5,2537.5
1194888511,18980,34.687,5.449,1.355,-257347,-463242,120321,200.5,2537.5
1194889531,20000,36.067,4.842,1.315,-254335,-465806,120154,200.5,2537.5
1194890552,21021,35.832,6.037,1.228,-254847,-460756,119794,200.5,2537.5
1194891573,22042,35.619,9.078,1.741,-255312,-447902,121933,200.5,2537.5
1194892594,23063,36.154,8.365,1.103,-254145,-450916,119271,200.5,2537.5
1194893615,24084,36.249,7.226,0.443,-253937,-455730,116516,200.5,2537.5
1194894636,25105,37.869,6.567,1.136,-250399,-458519,119410,200.5,2537.5
1194895657,26126,35.565,9.47,1.333,-255430,-446248,120232,200.5,2537.5
1194896678,27147,35.5,9.153,3.44,-255573,-447585,129019,200.5,2537.5
1194897699,28168,35.272,8.42,1.25,-256071,-450683,119884,200.5,2537.5
1194898720,29189,37.312,6.841,-0.199,-251616,-457357,113841,200.5,2537.5
1194899740,30209,37.578,8.024,0.755,-251034,-452359,117820,200.5,2537.5
1194900761,31230,36.231,10.979,0.502,-253977,-439870,116763,200.5,2537.5
1194901782,32251,36.933,8.465,-0.005,-252444,-450495,114650,200.5,2537.5
1194902803,33272,36.992,7.769,0.94,-252315,-453435,118591,200.5,2537.5
1194903824,34293,35.61,6.288,1.212,-255331,-459695,119725,200.5,2537.5
1194904845,35314,35.625,5.711,2.095,-255300,-462135,123410,200.5,2537.5
1194905866,36335,34.502,6.249,2.678,-257752,-459860,125842,200.5,2537.5
1194906898,37367,35.523,5.778,2.643,-255521,-461853,125693,200.5,2537.5
1194907974,38443,35.523,5.778,2.643,-255521,-461853,125693,200.5,2537.5
1194909039,39508,36.096,6.582,0.961,-254270,-458418,118707,200.5,2537.5
