# Participant: P1
# Mask Type: AURA
# Fit Condition: leak
# Exercise: quiet_breathing
# Date: 20250609
# Time: 111213
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1000235281,0,2.941,-0.006,0.013,-326697,-486260,114863,576.9,2527.3
1000235572,291,2.848,-0.062,-0.038,-326900,-486497,114653,576.9,2527.3
1000236594,1313,2.944,0.03,-0.012,-326690,-486108,114761,576.9,2527.3
1000237616,2335,2.969,0.032,0.021,-326635,-486100,114898,576.9,2527.3
1000238637,3356,2.92,0.006,0.028,-326742,-486213,114928,576.9,2527.3
1000239671,4390,2.995,0.047,-0.02,-326580,-486038,114727,576.9,2527.3
1000240748,5467,2.995,0.047,-0.02,-326580,-486038,114727,576.9,2527.3
1000241812,6531,2.94,0.026,-0.07,-326700,-486091,114517,576.9,2527.3
1000242833,7552,3.002,-0.019,0.062,-326563,-486279,115070,576.9,2527.3
1000243854,8573,3.016,0.018,-0.08,-326532,-486125,114479,576.9,2527.3
1000244875,9594,2.991,0.013,0.019,-326588,-486144,114891,576.9,2527.3
1000245896,10615,2.967,0.013,0.059,-326640,-486143,115056,576.9,2527.3
1000246917,11636,2.86,0.004,-0.005,-326873,-486181,114789,576.9,2527.3
1000247938,12657,2.982,0.05,-0.013,-326608,-485987,114757,576.9,2527.3
1000248959,13678,3.001,-0.01,-0.01,-326566,-486242,114767,576.9,2527.3
1000249980,14699,2.949,-0.048,-0.006,-326680,-486401,114786,576.9,2527.3
1000251000,15719,3.13,0.019,-0.001,-326284,-486119,114805,576.9,2527.3
1000252021,16740,2.905,0.057,0.06,-326775,-485960,115062,576.9,2527.3
1000253042,17761,3.032,0.059,-0.001,-326498,-485950,114805,576.9,2527.3
1000254063,18782,2.918,0.051,0.024,-326748,-485985,114912,576.9,2527.3
1000255084,19803,2.976,0.062,0.019,-326620,-485936,114892,576.9,2527.3
1000256105,20824,2.983,-0.009,-0.05,-326606,-486237,114603,576.9,2527.3
1000257126,21845,3.033,0.014,-0.027,-326495,-486140,114698,576.9,2527.3
1000258147,22866,3.092,0.132,0.026,-326368,-485640,114921,576.9,2527.3
1000259168,23887,2.989,0.02,-0.019,-326591,-486116,114732,576.9,2527.3
1000260189,24908,2.971,-0.019,-0.067,-326631,-486281,114531,576.9,2527.3
1000261209,25928,3.087,0.02,-0.02,-326379,-486114,114727,576.9,2527.3
1000262230,26949,3.175,0.057,0.012,-326185,-485961,114862,576.9,2527.3
1000263251,27970,3.085,0.144,0.083,-326382,-485590,115158,576.9,2527.3
1000264272,28991,3.185,0.051,0.079,-326163,-485984,115140,576.9,2527.3
1000265293,30012,3.263,0.021,-0.068,-325994,-486109,114529,576.9,2527.3
1000266314,31033,3.124,0.025,-0.059,-326296,-486094,114563,576.9,2527.3
1000267335,32054,3.122,0.008,-0.054,-326302,-486168,114584,576.9,2527.3
1000268356,33075,3.151,-0.023,0.012,-326238,-486295,114862,576.9,2527.3
1000269377,34096,3.153,0.077,0.01,-326233,-485873,114853,576.9,2527.3
1000270399,35118,3.029,-0.046,-0.034,-326504,-486396,114670,576.9,2527.3
1000271421,36140,3.119,0.064,0.028,-326308,-485929,114928,576.9,2527.3
1000272443,37162,3.172,0.001,-0.002,-326192,-486194,114802,576.9,2527.3
1000273465,38184,3.145,0.034,0.056,-326251,-486058,115046,576.9,2527.3
1000274486,39205,3.052,0.026,0.003,-326454,-486089,114822,576.9,2527.3
1000275508,40227,3.011,0.025,-0.031,-326544,-486095,114683,576.9,2527.3
1000276530,41249,3.078,-0.004,0.037,-326398,-486216,114966,576.9,2527.3
1000277552,42271,3.114,-0.013,-0.005,-326318,-486256,114790,576.9,2527.3
1000278573,43292,3.263,-0.033,0.043,-325994,-486338,114988,576.9,2527.3
1000279595,44314,3.141,0.011,0.008,-326260,-486153,114846,576.9,2527.3
1000280617,45336,3.043,0.068,0.028,-326475,-485912,114926,576.9,2527.3
1000281639,46358,3.088,0.02,0.039,-326375,-486114,114972,576.9,2527.3
1000282660,47379,3.032,0.062,-0.014,-326499,-485939,114752,576.9,2527.3
1000283682,48401,3.175,-0.042,0.091,-326185,-486377,115190,576.9,2527.3
1000284704,49423,3.052,0.101,-0.004,-326455,-485774,114793,576.9,2527.3
1000285726,50445,3.137,0.012,0.053,-326268,-486149,115032,576.9,2527.3
1000286748,51467,3.138,0.022,0.048,-326266,-486108,115010,576.9,2527.3
1000287769,52488,2.964,0.025,0.038,-326647,-486096,114970,576.9,2527.3
1000288791,53510,3.032,-0.029,0.025,-326498,-486323,114915,576.9,2527.3
1000289813,54532,3.119,0.028,0.036,-326308,-486081,114962,576.9,2527.3
1000290835,55554,3.146,0.012,0.076,-326250,-486147,115129,576.9,2527.3
1000291856,56575,3.159,0.038,-0.066,-326221,-486039,114536,576.9,2527.3
1000292878,57597,3.141,0.024,0.086,-326260,-486099,115169,576.9,2527.3
1000293900,58619,3.083,0.045,-0.037,-326386,-486011,114656,576.9,2527.3
1000294922,59641,3.203,0.049,-0.096,-326125,-485993,114411,576.9,2527.3
1000295944,60663,3.204,-0.005,0.048,-326123,-486220,115012,576.9,2527.3
1000296965,61684,3.152,-0.006,0.023,-326236,-486225,114907,576.9,2527.3
1000297987,62706,3.196,-0.02,-0.008,-326139,-486285,114778,576.9,2527.3
1000299009,63728,3.052,0.04,-0.035,-326454,-486030,114663,576.9,2527.3
1000300031,64750,3.016,-0.002,0.076,-326533,-486207,115129,576.9,2527.3
1000301052,65771,3.161,0.006,0.04,-326217,-486174,114979,576.9,2527.3
1000302074,66793,3.178,-0.002,0.04,-326180,-486209,114978,576.9,2527.3
1000303096,67815,3.206,0.069,-0.001,-326119,-485908,114806,576.9,2527.3
1000304118,68837,3.149,0.016,0.033,-326242,-486131,114948,576.9,2527.3
1000305140,69859,3.159,0.022,-0.041,-326220,-486107,114641,576.9,2527.3
1000306161,70880,3.138,0.031,0.099,-326267,-486069,115225,576.9,2527.3
1000307183,71902,3.088,-0.009,0.08,-326375,-486236,115144,576.9,2527.3
1000308205,72924,3.131,-0.065,-0.09,-326282,-486473,114437,576.9,2527.3
1000309227,73946,3.182,-0.032,-0.049,-326171,-486335,114607,576.9,2527.3
1000310248,74967,3.097,-0.053,-0.067,-326357,-486425,114531,576.9,2527.3
1000311270,75989,3.104,0.035,0.012,-326340,-486050,114862,576.9,2527.3
