# Participant: P1
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: quiet_breathing
# Date: 20250609
# Time: 110131
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
358794667,0,2.009,-0.168,0.128,-329307,-487970,114985,35.1,3002.3
358795211,544,1.951,-0.146,0.172,-329433,-487876,115171,35.1,3002.3
358796232,1565,1.803,-0.245,-0.018,-329758,-488294,114376,35.1,3002.3
358797253,2586,1.599,-0.248,-0.034,-330205,-488309,114308,35.1,3002.3
358798274,3607,1.398,-0.274,-0.024,-330646,-488418,114350,35.1,3002.3
358799295,4628,1.226,-0.227,-0.019,-331022,-488218,114372,35.1,3002.3
358800316,5649,1.147,-0.284,-0.052,-331197,-488460,114233,35.1,3002.3
358801337,6670,0.915,-0.246,-0.027,-331704,-488298,114338,35.1,3002.3
358802358,7691,0.806,-0.337,-0.024,-331943,-488686,114351,35.1,3002.3
358803379,8712,0.5,-0.393,-0.146,-332614,-488922,113839,35.1,3002.3
358804400,9733,0.354,-0.402,-0.038,-332934,-488960,114293,35.1,3002.3
358805420,10753,-0.017,-0.332,0.074,-333747,-488664,114760,35.1,3002.3
358806441,11774,-0.2,-0.39,-0.002,-334148,-488910,114444,35.1,3002.3
358807462,12795,-0.432,-0.429,-0.044,-334657,-489077,114267,35.1,3002.3
358808483,13816,-0.649,-0.355,0.081,-335132,-488764,114790,35.1,3002.3
358809504,14837,-0.854,-0.39,0.13,-335583,-488912,114994,35.1,3002.3
358810525,15858,-1.192,-0.365,-0.006,-336324,-488806,114425,35.1,3002.3
358811546,16879,-1.384,-0.409,0.088,-336743,-488992,114819,35.1,3002.3
358812567,17900,-1.6,-0.28,0.012,-337218,-488444,114503,35.1,3002.3
358813588,18921,-1.937,-0.324,0.054,-337956,-488629,114675,35.1,3002.3
358814608,19941,-2.177,-0.271,0.163,-338482,-488404,115130,35.1,3002.3
358815629,20962,-2.349,-0.294,0.041,-338859,-488502,114624,35.1,3002.3
358816650,21983,-2.708,-0.274,0.092,-339646,-488417,114834,35.1,3002.3
358817671,23004,-2.86,-0.211,0.096,-339980,-488152,114853,35.1,3002.3
358818692,24025,-3.04,-0.181,0.078,-340375,-488026,114777,35.1,3002.3
358819713,25046,-3.315,-0.23,0.127,-340977,-488233,114981,35.1,3002.3
358820734,26067,-3.569,-0.21,0.109,-341533,-488146,114907,35.1,3002.3
358821755,27088,-3.753,-0.184,0.083,-341936,-488039,114799,35.1,3002.3
358822776,28109,-3.937,-0.224,0.125,-342341,-488205,114974,35.1,3002.3
358823796,29129,-4.18,-0.179,0.111,-342873,-488017,114914,35.1,3002.3
358824817,30150,-4.344,-0.23,0.133,-343232,-488234,115007,35.1,3002.3
358825838,31171,-4.512,-0.165,0.06,-343601,-487955,114700,35.1,3002.3
358826859,32192,-4.685,-0.167,0.141,-343981,-487966,115038,35.1,3002.3
358827880,33213,-4.945,-0.169,0.145,-344549,-487973,115056,35.1,3002.3
358828901,34234,-4.988,-0.178,0.231,-344645,-488011,115414,35.1,3002.3
358829922,35255,-5.206,-0.138,0.162,-345123,-487842,115127,35.1,3002.3
358830943,36276,-5.272,-0.064,0.209,-345267,-487530,115324,35.1,3002.3
358831964,37297,-5.518,-0.157,0.161,-345806,-487923,115124,35.1,3002.3
358832984,38317,-5.564,-0.094,0.13,-345908,-487655,114996,35.1,3002.3
358834005,39338,-5.752,-0.176,0.052,-346319,-488004,114667,35.1,3002.3
358835026,40359,-6.035,-0.143,0.095,-346939,-487864,114849,35.1,3002.3
358836047,41380,-6.064,-0.118,0.187,-347003,-487756,115232,35.1,3002.3
358837068,42401,-6.163,-0.137,0.09,-347220,-487837,114828,35.1,3002.3
358838089,43422,-6.356,-0.109,0.086,-347644,-487718,114811,35.1,3002.3
358839110,44443,-6.398,-0.158,0.174,-347735,-487926,115178,35.1,3002.3
358840131,45464,-6.567,-0.182,0.163,-348106,-488029,115130,35.1,3002.3
358841152,46485,-6.689,-0.166,0.18,-348373,-487961,115204,35.1,3002.3
358842172,47505,-6.835,-0.07,0.203,-348693,-487553,115299,35.1,3002.3
358843193,48526,-6.914,-0.123,0.246,-348866,-487778,115479,35.1,3002.3
358844214,49547,-7.079,-0.108,0.25,-349228,-487716,115495,35.1,3002.3
358845235,50568,-7.202,-0.124,0.127,-349497,-487781,114982,35.1,3002.3
358846256,51589,-7.285,-0.126,0.214,-349679,-487790,115345,35.1,3002.3
358847289,52622,-7.361,-0.121,0.101,-349846,-487772,114872,35.1,3002.3
358848364,53697,-7.361,-0.121,0.101,-349846,-487772,114872,35.1,3002.3
358849429,54762,-7.488,-0.168,0.168,-350109,-487931,115183,35.1,3002.3
358850450,55783,-7.532,-0.138,0.192,-350206,-487807,115280,35.1,3002.3
358851471,56804,-7.573,-0.116,0.041,-350297,-487713,114650,35.1,3002.3
358852492,57825,-7.665,-0.118,0.17,-350498,-487722,115191,35.1,3002.3
358853513,58846,-7.855,-0.103,0.114,-350913,-487657,114954,35.1,3002.3
358854534,59867,-7.87,-0.143,0.097,-350948,-487829,114885,35.1,3002.3
358855554,60887,-7.905,-0.191,0.138,-351024,-488029,115055,35.1,3002.3
358856575,61908,-8.006,-0.157,0.116,-351244,-487885,114962,35.1,3002.3
358857596,62929,-8.014,-0.171,0.044,-351263,-487946,114661,35.1,3002.3
358858617,63950,-8.131,-0.13,0.119,-351518,-487771,114976,35.1,3002.3
358859638,64971,-8.224,-0.193,0.051,-351723,-488037,114691,35.1,3002.3
358860659,65992,-8.303,-0.104,0.082,-351896,-487663,114821,35.1,3002.3
358861680,67013,-8.376,-0.097,0.131,-352055,-487630,115025,35.1,3002.3
358862701,68034,-8.423,-0.148,0.164,-352160,-487849,115165,35.1,3002.3
358863721,69054,-8.579,-0.127,0.109,-352500,-487761,114936,35.1,3002.3
358864742,70075,-8.567,-0.109,0.126,-352474,-487684,115006,35.1,3002.3
358865763,71096,-8.744,-0.024,0.027,-352862,-487323,114591,35.1,3002.3
358866784,72117,-8.749,-0.045,0.053,-352873,-487411,114700,35.1,3002.3
358867805,73138,-8.902,-0.06,0.092,-353208,-487477,114862,35.1,3002.3
358868826,74159,-8.929,-0.04,0.047,-353269,-487389,114674,35.1,3002.3
358869847,75180,-9.001,-0.006,0.191,-353426,-487246,115275,35.1,3002.3
358870868,76201,-9.044,-0.01,0.183,-353521,-487264,115245,35.1,3002.3
358871889,77222,-9.238,0.033,0.158,-353946,-487081,115141,35.1,3002.3
358872910,78243,-9.246,-0.109,0.094,-353964,-487681,114871,35.1,3002.3
358873930,79263,-9.272,0.05,0.195,-354019,-487011,115293,35.1,3002.3
358874951,80284,-9.292,0.102,0.128,-354063,-486790,115015,35.1,3002.3
358875973,81306,-9.434,0.059,0.122,-354376,-486970,114988,35.1,3002.3
358876995,82328,-9.529,0.074,0.053,-354584,-486909,114700,35.1,3002.3
358878016,83349,-9.606,0.092,0.025,-354751,-486831,114583,35.1,3002.3
358879038,84371,-9.646,0.025,0.2,-354840,-487116,115314,35.1,3002.3
358880060,85393,-9.533,0.07,0.114,-354592,-486926,114955,35.1,3002.3
358881082,86415,-9.64,0.099,0.11,-354826,-486803,114938,35.1,3002.3
358882103,87436,-9.726,0.053,0.1,-355016,-486996,114895,35.1,3002.3
358883125,88458,-9.814,0.017,0.132,-355207,-487150,115032,35.1,3002.3
358884147,89480,-9.688,0.007,0.039,-354932,-487190,114641,35.1,3002.3
358885169,90502,-9.806,-0.032,0.024,-355190,-487357,114579,35.1,3002.3
358886190,91523,-9.84,-0.067,-0.072,-355265,-487507,114180,35.1,3002.3
358887212,92545,-9.863,-0.136,-0.053,-355316,-487796,114257,35.1,3002.3
358888234,93567,-9.997,-0.197,-0.073,-355608,-488057,114176,35.1,3002.3
358889256,94589,-9.991,-0.189,-0.108,-355595,-488020,114028,35.1,3002.3
358890278,95611,-10.235,-0.182,-0.079,-356131,-487994,114149,35.1,3002.3
358891299,96632,-10.18,-0.214,-0.173,-356010,-488128,113755,35.1,3002.3
358892321,97654,-10.255,-0.155,-0.228,-356175,-487880,113529,35.1,3002.3
