t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
626067018,12.814,1.333,0.328,-305387,-481033,116019,13.6,2705.0
626067861,12.896,0.154,0.226,-305207,-486020,115592,13.6,2705.0
626068880,13.076,0.823,0.131,-304813,-483192,115195,13.6,2705.0
626069900,13.264,1.719,-0.094,-304402,-479398,114258,13.6,2705.0
626070919,13.406,0.625,-0.292,-304093,-484030,113432,13.6,2705.0
626071939,13.266,0.203,-0.345,-304398,-485815,113210,13.6,2705.0
626072958,13.356,-0.061,-0.22,-304202,-486933,113729,13.6,2705.0
626073978,13.378,-0.443,-0.331,-304153,-488549,113269,13.6,2705.0
626074997,13.493,-0.429,-0.302,-303901,-488488,113389,13.6,2705.0
626076017,13.289,0.245,-0.312,-304348,-485635,113345,13.6,2705.0
626077036,13.648,-0.511,-0.37,-303563,-488837,113103,13.6,2705.0
626078056,13.429,0.016,-0.338,-304041,-486607,113240,13.6,2705.0
626079075,13.47,1.466,-0.022,-303951,-480470,114556,13.6,2705.0
626080095,13.163,1.471,0.131,-304624,-480445,115197,13.6,2705.0
626081115,12.93,2.573,0.07,-305133,-475782,114942,13.6,2705.0
626082134,13.028,2.543,0.134,-304920,-475909,115208,13.6,2705.0
626083154,12.938,1.899,0.096,-305115,-478637,115048,13.6,2705.0
626084173,12.885,1.218,-0.003,-305232,-481517,114638,13.6,2705.0
626085193,13.03,0.944,-0.226,-304915,-482677,113704,13.6,2705.0
626086212,13.005,1.793,-0.274,-304970,-479085,113505,13.6,2705.0
626087232,12.933,2.228,-0.247,-305126,-477243,113617,13.6,2705.0
626088251,12.926,1.367,-0.242,-305143,-480888,113638,13.6,2705.0
626089271,12.971,0.26,-0.135,-305043,-485575,114087,13.6,2705.0
626090290,12.813,-0.022,0.232,-305389,-486768,115619,13.6,2705.0
626091310,12.506,0.986,0.426,-306062,-482498,116426,13.6,2705.0
626092329,12.499,1.217,0.533,-306077,-481523,116873,13.6,2705.0
626093349,12.483,2.255,0.424,-306111,-477127,116420,13.6,2705.0
626094368,12.448,3.226,0.367,-306189,-473019,116183,13.6,2705.0
626095388,12.464,1.703,0.269,-306153,-479466,115773,13.6,2705.0
626096407,12.508,1.83,0.382,-306057,-478927,116242,13.6,2705.0
626097427,12.311,1.54,0.425,-306489,-480154,116423,13.6,2705.0
626098446,12.248,1.492,0.529,-306626,-480359,116859,13.6,2705.0
626099466,12.245,0.838,0.362,-306632,-483127,116161,13.6,2705.0
626100485,12.305,1.021,0.109,-306502,-482353,115105,13.6,2705.0
626101505,12.588,0.545,-0.165,-305881,-484367,113962,13.6,2705.0
626102525,12.687,-0.096,-0.333,-305665,-487080,113259,13.6,2705.0
626103546,12.725,-0.206,-0.409,-305582,-487546,112942,13.6,2705.0
626104567,12.803,0.597,-0.37,-305412,-484146,113103,13.6,2705.0
626105588,12.818,0.903,-0.23,-305379,-482850,113690,13.6,2705.0
626106609,12.735,0.782,-0.212,-305561,-483363,113762,13.6,2705.0
626107630,12.675,1.019,-0.07,-305691,-482360,114356,13.6,2705.0
626108651,12.631,0.37,0.034,-305788,-485108,114790,13.6,2705.0
626109672,12.681,0.504,-0.003,-305679,-484541,114638,13.6,2705.0
626110693,12.417,1.153,-0.006,-306257,-481791,114622,13.6,2705.0
