# Participant: P1
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: zero_check
# Date: 20250609
# Time: 110117
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
344595028,0,0.107,-0.254,0.276,-333490,-488370,115576,7.8,3407.0
344595677,649,-0.221,-0.159,0.216,-334208,-487968,115324,7.8,3407.0
344596698,1670,-0.226,-0.039,0.193,-334219,-487459,115230,7.8,3407.0
344597719,2691,-0.291,-0.054,0.22,-334362,-487523,115343,7.8,3407.0
344598740,3712,-0.343,0.087,0.32,-334476,-486926,115759,7.8,3407.0
344599761,4733,-0.417,0.166,0.374,-334637,-486591,115985,7.8,3407.0
344600782,5754,-0.348,0.227,0.498,-334486,-486333,116502,7.8,3407.0
344601803,6775,-0.608,0.307,0.543,-335057,-485993,116689,7.8,3407.0
344602824,7796,-0.356,0.349,0.496,-334505,-485816,116496,7.8,3407.0
344603845,8817,-0.504,0.419,0.552,-334828,-485516,116730,7.8,3407.0
344604865,9837,-0.449,0.534,0.533,-334707,-485032,116650,7.8,3407.0
344605886,10858,-0.417,0.412,0.442,-334637,-485546,116268,7.8,3407.0
344606907,11879,-0.36,0.432,0.39,-334512,-485461,116053,7.8,3407.0
344607928,12900,-0.288,0.363,0.298,-334355,-485755,115668,7.8,3407.0
344608949,13921,-0.231,0.232,0.156,-334229,-486312,115076,7.8,3407.0
344609970,14942,-0.202,0.252,0.087,-334167,-486227,114786,7.8,3407.0
344610991,15963,-0.164,0.061,0.159,-334084,-487035,115085,7.8,3407.0
344612012,16984,-0.2,0.123,0.23,-334163,-486774,115382,7.8,3407.0
344613032,18004,-0.325,0.13,0.352,-334437,-486743,115891,7.8,3407.0
344614053,19025,-0.307,0.119,0.279,-334396,-486789,115588,7.8,3407.0
344615074,20046,-0.342,0.11,0.198,-334473,-486829,115250,7.8,3407.0
344616095,21067,-0.192,0.107,0.155,-334144,-486839,115068,7.8,3407.0
344617116,22088,-0.209,0.041,0.008,-334181,-487120,114457,7.8,3407.0
344618137,23109,-0.126,0.034,-0.081,-334000,-487149,114084,7.8,3407.0
344619158,24130,-0.143,0.003,-0.149,-334038,-487283,113802,7.8,3407.0
344620179,25151,0.028,0.057,-0.227,-333662,-487051,113475,7.8,3407.0
344621200,26172,-0.052,0.014,-0.193,-333837,-487235,113616,7.8,3407.0
344622220,27192,-0.137,0.147,-0.215,-334025,-486670,113524,7.8,3407.0
344623241,28213,-0.178,0.143,-0.25,-334115,-486687,113378,7.8,3407.0
344624262,29234,-0.257,0.239,-0.224,-334287,-486279,113485,7.8,3407.0
344625283,30255,-0.178,0.116,-0.201,-334115,-486801,113584,7.8,3407.0
344626304,31276,-0.208,0.201,-0.251,-334179,-486444,113373,7.8,3407.0
344627325,32297,-0.192,0.171,-0.166,-334145,-486568,113729,7.8,3407.0
344628346,33318,-0.174,0.154,-0.117,-334106,-486641,113932,7.8,3407.0
344629367,34339,-0.28,0.233,-0.081,-334337,-486306,114084,7.8,3407.0
344630387,35359,-0.33,0.269,-0.072,-334448,-486154,114121,7.8,3407.0
344631408,36380,-0.208,0.173,0.089,-334180,-486559,114793,7.8,3407.0
344632429,37401,-0.298,0.263,0.062,-334376,-486181,114681,7.8,3407.0
344633450,38422,-0.307,0.167,0.131,-334397,-486586,114971,7.8,3407.0
344634471,39443,-0.344,0.218,0.067,-334478,-486372,114701,7.8,3407.0
344635503,40475,-0.381,0.142,0.136,-334559,-486694,114989,7.8,3407.0
344636579,41551,-0.381,0.142,0.136,-334559,-486694,114989,7.8,3407.0
344637644,42616,-0.274,0.209,0.124,-334325,-486407,114940,7.8,3407.0
344638665,43637,-0.201,0.106,0.059,-334165,-486843,114667,7.8,3407.0
344639686,44658,-0.248,0.186,0.066,-334267,-486506,114698,7.8,3407.0
344640707,45679,-0.174,0.132,0.075,-334104,-486734,114737,7.8,3407.0
344641727,46699,-0.198,0.269,0.147,-334157,-486153,115035,7.8,3407.0
344642748,47720,-0.108,0.206,0.198,-333961,-486422,115250,7.8,3407.0
344643769,48741,-0.242,0.179,0.125,-334254,-486534,114944,7.8,3407.0
344644790,49762,-0.137,0.148,0.142,-334024,-486668,115016,7.8,3407.0
344645811,50783,-0.035,0.118,0.206,-333800,-486792,115282,7.8,3407.0
344646832,51804,-0.095,0.145,0.253,-333932,-486679,115481,7.8,3407.0
344647853,52825,0.024,0.047,0.194,-333672,-487094,115234,7.8,3407.0
344648874,53846,0.034,0.045,0.136,-333650,-487103,114992,7.8,3407.0
344649895,54867,0.017,0.055,0.139,-333686,-487060,115005,7.8,3407.0
344650915,55887,0.24,-0.064,0.142,-333197,-487564,115015,7.8,3407.0
344651936,56908,0.02,-0.053,0.181,-333680,-487519,115178,7.8,3407.0
344652957,57929,0.108,-0.099,0.096,-333486,-487715,114822,7.8,3407.0
344653978,58950,0.103,0.013,0.038,-333498,-487238,114582,7.8,3407.0
344654999,59971,0.085,-0.063,0.029,-333538,-487559,114545,7.8,3407.0
344656020,60992,0.071,-0.053,0.053,-333568,-487519,114642,7.8,3407.0
344657041,62013,0.105,-0.145,0.013,-333494,-487909,114478,7.8,3407.0
344658062,63034,0.19,-0.095,-0.05,-333307,-487696,114212,7.8,3407.0
344659083,64055,0.253,-0.128,-0.063,-333169,-487836,114159,7.8,3407.0
344660103,65075,0.257,-0.214,-0.183,-333160,-488200,113657,7.8,3407.0
344661124,66096,0.141,-0.176,-0.168,-333414,-488039,113720,7.8,3407.0
344662145,67117,0.248,-0.269,-0.212,-333181,-488436,113537,7.8,3407.0
344663167,68139,0.113,-0.202,-0.064,-333475,-488151,114155,7.8,3407.0
344664188,69160,0.305,-0.134,-0.087,-333056,-487860,114061,7.8,3407.0
344665210,70182,0.261,-0.085,-0.032,-333152,-487656,114287,7.8,3407.0
344666232,71204,0.044,0.007,0.094,-333628,-487263,114816,7.8,3407.0
344667254,72226,0.087,0.005,0.13,-333533,-487274,114967,7.8,3407.0
344668275,73247,-0.03,0.046,0.142,-333790,-487098,115014,7.8,3407.0
344669297,74269,-0.031,0.092,0.206,-333792,-486904,115285,7.8,3407.0
344670319,75291,-0.108,0.141,0.27,-333961,-486698,115549,7.8,3407.0
344671341,76313,-0.231,0.267,0.238,-334229,-486162,115415,7.8,3407.0
344672362,77334,-0.311,0.275,0.323,-334406,-486127,115770,7.8,3407.0
344673384,78356,-0.402,0.312,0.394,-334606,-485973,116067,7.8,3407.0
344674406,79378,-0.386,0.406,0.351,-334571,-485571,115888,7.8,3407.0
344675428,80400,-0.415,0.404,0.32,-334633,-485581,115760,7.8,3407.0
344676449,81421,-0.536,0.401,0.315,-334899,-485594,115739,7.8,3407.0
344677471,82443,-0.386,0.556,0.393,-334569,-484939,116065,7.8,3407.0
344678493,83465,-0.498,0.579,0.25,-334816,-484839,115466,7.8,3407.0
344679515,84487,-0.416,0.584,0.323,-334635,-484818,115773,7.8,3407.0
344680536,85508,-0.397,0.5,0.342,-334595,-485175,115850,7.8,3407.0
344681558,86530,-0.459,0.468,0.281,-334729,-485310,115597,7.8,3407.0
344682580,87552,-0.532,0.515,0.374,-334889,-485111,115986,7.8,3407.0
344683602,88574,-0.466,0.488,0.36,-334745,-485227,115927,7.8,3407.0
344684623,89595,-0.538,0.531,0.433,-334904,-485042,116230,7.8,3407.0
344685645,90617,-0.435,0.565,0.458,-334677,-484899,116335,7.8,3407.0
344686667,91639,-0.527,0.551,0.392,-334880,-484960,116061,7.8,3407.0
344687689,92661,-0.485,0.479,0.425,-334787,-485263,116196,7.8,3407.0
344688710,93682,-0.503,0.531,0.535,-334827,-485044,116658,7.8,3407.0
344689732,94704,-0.505,0.519,0.47,-334830,-485095,116384,7.8,3407.0
344690754,95726,-0.516,0.452,0.528,-334854,-485380,116630,7.8,3407.0
344691776,96748,-0.369,0.517,0.418,-334532,-485101,116167,7.8,3407.0
344692797,97769,-0.456,0.527,0.492,-334723,-485058,116477,7.8,3407.0
344693819,98791,-0.47,0.493,0.554,-334755,-485203,116737,34.1,3400.5
344694841,99813,-0.439,0.517,0.488,-334685,-485103,116461,34.1,3400.5
344695863,100835,-0.386,0.409,0.575,-334570,-485559,116824,34.1,3400.5
344696884,101856,-0.477,0.525,0.488,-334770,-485069,116462,34.1,3400.5
344697906,102878,-0.433,0.509,0.527,-334674,-485137,116626,34.1,3400.5
344698928,103900,-0.303,0.442,0.429,-334388,-485420,116215,34.1,3400.5
344699950,104922,-0.252,0.308,0.378,-334276,-485987,116000,34.1,3400.5
344700971,105943,-0.066,0.21,0.16,-333869,-486403,115092,34.1,3400.5
344701993,106965,0.119,0.005,-0.015,-333462,-487272,114360,34.1,3400.5
344703015,107987,0.371,-0.258,-0.12,-332910,-488387,113921,34.1,3400.5
344704036,109008,0.717,-0.307,-0.193,-332152,-488596,113615,34.1,3400.5
344705058,110030,0.655,-0.491,-0.163,-332288,-489376,113741,34.1,3400.5
344706080,111052,0.845,-0.431,0.003,-331871,-489122,114436,34.1,3400.5
344707102,112074,0.779,-0.457,-0.145,-332017,-489230,113818,34.1,3400.5
344708124,113096,0.76,-0.609,-0.081,-332057,-489876,114085,34.1,3400.5
344709145,114117,0.805,-0.415,0.092,-331958,-489051,114808,34.1,3400.5
344710167,115139,0.743,-0.366,0.042,-332095,-488844,114596,34.1,3400.5
344711189,116161,0.684,-0.424,0.089,-332225,-489091,114794,34.1,3400.5
344712210,117182,0.634,-0.282,0.05,-332334,-488488,114631,34.1,3400.5
