t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1989347602,4.511,-0.008,0.098,-322868,-485807,115187,105.7,3162.8
1989348249,4.468,0.05,0.049,-322960,-485561,114982,105.7,3162.8
1989349271,4.552,0.052,0.134,-322777,-485554,115335,105.7,3162.8
1989350293,4.539,0.048,0.149,-322805,-485572,115401,105.7,3162.8
1989351314,4.464,-0.041,0.095,-322970,-485944,115174,105.7,3162.8
1989352336,4.584,-0.025,0.057,-322708,-485880,115016,105.7,3162.8
1989353358,4.499,0.067,0.142,-322894,-485490,115371,105.7,3162.8
1989354380,4.484,0.002,0.128,-322927,-485765,115310,105.7,3162.8
1989355401,4.501,-0.002,0.132,-322889,-485780,115329,105.7,3162.8
1989356423,4.464,0.085,0.126,-322969,-485414,115304,105.7,3162.8
1989357445,4.433,0.043,0.099,-323038,-485592,115189,105.7,3162.8
1989358467,4.511,0.018,0.125,-322867,-485695,115301,105.7,3162.8
1989359489,4.489,-0.061,0.131,-322916,-486031,115324,105.7,3162.8
1989360510,4.282,0.008,0.108,-323366,-485739,115229,105.7,3162.8
1989361532,4.296,-0.022,0.084,-323336,-485866,115130,105.7,3162.8
1989362554,4.331,0.062,0.082,-323260,-485509,115120,105.7,3162.8
1989363576,4.34,0.054,0.121,-323239,-485544,115284,105.7,3162.8
1989364609,4.216,0.067,0.074,-323511,-485490,115085,105.7,3162.8
1989365686,4.216,0.067,0.074,-323511,-485490,115085,105.7,3162.8
1989366751,4.245,0.064,0.187,-323447,-485503,115559,105.7,3162.8
1989367772,4.215,0.099,0.116,-323513,-485355,115261,105.7,3162.8
1989368793,4.109,0.004,0.045,-323743,-485756,114967,105.7,3162.8
1989369814,4.215,0.055,0.136,-323513,-485541,115346,105.7,3162.8
1989370835,4.154,0.074,0.216,-323645,-485459,115678,105.7,3162.8
1989371856,4.181,0.139,0.14,-323587,-485185,115360,105.7,3162.8
1989372877,4.114,0.069,0.111,-323732,-485481,115242,105.7,3162.8
1989373897,4.094,0.113,0.072,-323777,-485294,115077,105.7,3162.8
1989374918,4.355,0.043,0.125,-323207,-485590,115299,105.7,3162.8
1989375939,4.152,0.106,0.126,-323650,-485326,115302,105.7,3162.8
1989376960,4.231,0.04,0.116,-323478,-485605,115262,105.7,3162.8
1989377981,4.197,0.0,0.124,-323552,-485772,115294,105.7,3162.8
