# Participant: P1
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: frc_reset_init
# Date: 20250609
# Time: 112827
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1974385499,31.817,1.234,1.792,-263331,-480598,122278,133.0,3267.5
1974386242,31.653,1.748,0.781,-263690,-478426,118064,133.0,3267.5
1974387262,31.671,1.923,0.124,-263650,-477690,115325,133.0,3267.5
1974388281,31.913,1.33,0.255,-263123,-480191,115868,133.0,3267.5
1974389301,32.081,0.723,0.946,-262756,-482758,118750,133.0,3267.5
1974390320,32.652,0.675,1.023,-261511,-482960,119073,133.0,3267.5
1974391340,32.606,0.736,1.0,-261612,-482703,118975,133.0,3267.5
1974392359,32.727,1.008,0.159,-261348,-481554,115469,133.0,3267.5
1974393379,32.757,0.863,0.041,-261281,-482163,114977,133.0,3267.5
1974394398,32.858,0.695,0.195,-261061,-482874,115618,133.0,3267.5
1974395418,32.974,0.487,0.414,-260809,-483753,116531,133.0,3267.5
1974396437,33.438,0.253,0.992,-259797,-484739,118940,133.0,3267.5
1974397457,33.465,-0.294,1.173,-259738,-487052,119697,133.0,3267.5
1974398476,33.732,-0.373,1.445,-259156,-487384,120832,133.0,3267.5
1974399496,33.787,-0.088,0.834,-259036,-486182,118285,133.0,3267.5
1974400515,33.745,-0.021,0.736,-259128,-485896,117873,133.0,3267.5
1974401535,33.807,0.205,1.63,-258992,-484945,121600,133.0,3267.5
1974402555,33.861,0.807,1.648,-258875,-482401,121678,133.0,3267.5
1974403574,33.841,0.976,1.235,-258917,-481689,119957,133.0,3267.5
1974404594,33.896,0.84,2.244,-258797,-482264,124161,133.0,3267.5
1974405613,33.893,0.76,3.526,-258805,-482601,129505,133.0,3267.5
1974406633,34.0,0.349,2.04,-258572,-484334,123313,133.0,3267.5
1974407652,34.126,0.068,1.728,-258296,-485523,122009,133.0,3267.5
1974408672,34.4,-0.141,3.526,-257699,-486405,129508,133.0,3267.5
1974409691,34.579,-0.023,1.863,-257309,-485906,122572,133.0,3267.5
1974410711,34.396,0.02,0.658,-257707,-485723,117548,133.0,3267.5
1974411730,34.286,0.823,1.04,-257948,-482334,119144,133.0,3267.5
1974412750,34.377,0.99,1.531,-257750,-481628,121191,133.0,3267.5
1974413769,34.754,0.635,3.643,-256926,-483129,129993,133.0,3267.5
1974414789,34.975,0.395,1.897,-256445,-484142,122713,133.0,3267.5
1974415808,35.405,0.114,0.18,-255507,-485328,115557,133.0,3267.5
1974416828,35.366,0.126,0.869,-255593,-485277,118430,133.0,3267.5
1974417847,35.38,0.362,1.583,-255561,-484280,121407,133.0,3267.5
1974418867,35.4,0.653,3.012,-255518,-483051,127364,133.0,3267.5
1974419886,35.488,1.019,3.244,-255326,-481508,128330,133.0,3267.5
1974420906,35.743,1.675,0.707,-254771,-478736,117752,133.0,3267.5
1974421925,36.054,0.866,-0.091,-254092,-482151,114425,133.0,3267.5
1974422945,36.008,0.238,0.08,-254192,-484806,115142,133.0,3267.5
1974423964,35.854,0.804,1.227,-254527,-482414,119920,133.0,3267.5
1974424984,35.55,0.99,0.653,-255190,-481628,117530,133.0,3267.5
1974426003,35.548,0.92,-0.147,-255195,-481926,114195,133.0,3267.5
1974427023,35.963,0.682,-0.099,-254291,-482930,114395,133.0,3267.5
1974428042,35.934,0.44,0.051,-254353,-483949,115021,133.0,3267.5
1974429062,36.136,0.446,0.501,-253912,-483925,116897,133.0,3267.5
1974430082,36.178,1.115,1.406,-253821,-481102,120669,133.0,3267.5
1974431101,36.099,1.9,1.333,-253993,-477787,120363,133.0,3267.5
1974432121,35.884,2.062,1.417,-254462,-477103,120712,133.0,3267.5
1974433143,35.863,1.828,2.117,-254508,-478090,123634,133.0,3267.5
1974434164,36.06,2.081,2.993,-254078,-477020,127282,133.0,3267.5
1974435186,36.636,1.82,3.257,-252823,-478125,128383,133.0,3267.5
1974436208,36.753,1.369,2.438,-252567,-480027,124971,133.0,3267.5
1974437230,37.038,0.861,2.707,-251945,-482174,126092,133.0,3267.5
1974438251,37.264,0.151,2.613,-251452,-485172,125701,133.0,3267.5
1974439273,37.413,0.1,1.042,-251129,-485388,119151,133.0,3267.5
1974440295,37.574,0.534,0.242,-250778,-483552,115816,133.0,3267.5
1974441328,37.779,0.767,0.932,-250330,-482570,118692,133.0,3267.5
1974442404,37.779,0.767,0.932,-250330,-482570,118692,133.0,3267.5
1974443469,37.787,0.637,0.757,-250312,-483082,117961,133.0,3267.5
1974444489,37.808,1.0,1.759,-250267,-481552,122141,133.0,3267.5
1974445510,38.086,0.885,2.06,-249660,-482037,123395,133.0,3267.5
1974446531,38.116,0.567,1.797,-249596,-483379,122300,133.0,3267.5
1974447552,37.997,0.252,1.564,-249854,-484708,121325,133.0,3267.5
1974448573,38.299,0.008,1.15,-249197,-485737,119599,133.0,3267.5
1974449594,38.321,0.161,0.828,-249149,-485092,118258,133.0,3267.5
1974450615,38.269,-0.018,1.491,-249262,-485848,121024,133.0,3267.5
1974451636,38.631,-0.501,1.316,-248472,-487887,120293,133.0,3267.5
1974452657,38.532,-0.539,0.213,-248689,-488049,115695,133.0,3267.5
1974453678,38.829,-0.322,0.316,-248041,-487133,116124,133.0,3267.5
1974454699,38.936,-0.397,0.775,-247807,-487449,118039,133.0,3267.5
1974455720,38.709,-0.049,0.762,-248302,-485979,117985,133.0,3267.5
1974456741,38.632,0.475,1.835,-248470,-483767,122455,133.0,3267.5
1974457761,38.733,0.683,1.708,-248249,-482888,121926,133.0,3267.5
1974458782,38.75,0.713,0.307,-248213,-482760,116087,133.0,3267.5
1974459803,38.858,1.097,0.63,-247977,-481140,117432,133.0,3267.5
1974460824,38.875,1.284,1.653,-247940,-480350,121698,133.0,3267.5
1974461845,38.774,1.281,1.874,-248161,-480365,122620,133.0,3267.5
1974462866,38.653,1.055,1.813,-248425,-481319,122364,133.0,3267.5
1974463887,38.745,1.685,3.037,-248224,-478657,127466,133.0,3267.5
1974464908,39.032,1.284,2.445,-247597,-480352,125000,133.0,3267.5
1974465929,39.346,0.52,3.337,-246913,-483577,128717,133.0,3267.5
1974466950,39.767,0.808,3.464,-245994,-482362,129246,133.0,3267.5
1974467971,39.858,1.685,0.585,-245796,-478656,117246,133.0,3267.5
1974468992,39.916,1.796,0.003,-245669,-478188,114820,133.0,3267.5
1974470013,39.855,1.671,1.498,-245803,-478716,121051,133.0,3267.5
1974471035,40.305,1.224,2.405,-244822,-480605,124833,133.0,3267.5
1974472057,40.668,1.1,1.179,-244030,-481128,119722,133.0,3267.5
1974473079,41.07,1.452,0.111,-243153,-479640,115271,133.0,3267.5
1974474100,41.259,1.409,1.298,-242741,-479823,120217,133.0,3267.5
1974475122,40.927,1.732,1.168,-243464,-478459,119675,133.0,3267.5
1974476144,40.758,1.255,2.414,-243834,-480474,124869,133.0,3267.5
1974477166,40.816,0.51,1.762,-243706,-483621,122151,133.0,3267.5
1974478188,41.084,0.469,1.179,-243122,-483793,119720,133.0,3267.5
1974479209,40.998,1.504,1.062,-243311,-479424,119235,133.0,3267.5
