t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2287859967,12.3,-0.252,-0.284,-305852,-486689,113831,644.8,3130.8
2287860638,12.227,-0.125,-0.242,-306011,-486152,114004,644.8,3130.8
2287861660,12.197,-0.104,-0.222,-306077,-486065,114087,644.8,3130.8
2287862681,12.133,-0.099,-0.088,-306217,-486043,114645,644.8,3130.8
2287863703,12.081,0.015,-0.04,-306331,-485563,114848,644.8,3130.8
2287864725,11.902,0.135,-0.053,-306720,-485058,114793,644.8,3130.8
2287865747,11.862,0.146,-0.019,-306808,-485008,114933,644.8,3130.8
2287866769,11.785,0.253,0.05,-306976,-484558,115223,644.8,3130.8
2287867790,11.727,0.188,0.111,-307103,-484834,115476,644.8,3130.8
2287868812,11.646,0.189,0.072,-307278,-484830,115312,644.8,3130.8
2287869834,11.684,0.255,0.104,-307196,-484551,115449,644.8,3130.8
2287870856,11.524,0.354,0.097,-307544,-484132,115418,644.8,3130.8
2287871878,11.613,0.12,-0.024,-307351,-485119,114912,644.8,3130.8
2287872899,11.57,0.049,-0.072,-307445,-485418,114713,644.8,3130.8
2287873921,11.811,-0.04,-0.14,-306920,-485797,114428,644.8,3130.8
2287874943,11.652,-0.028,-0.159,-307265,-485744,114352,644.8,3130.8
2287875965,11.482,0.006,-0.141,-307636,-485601,114425,644.8,3130.8
2287876986,11.457,0.056,-0.024,-307692,-485389,114915,644.8,3130.8
2287878008,11.395,0.178,-0.063,-307827,-484875,114751,644.8,3130.8
2287879030,11.474,0.122,-0.094,-307655,-485112,114623,644.8,3130.8
2287880052,11.562,-0.064,-0.239,-307462,-485897,114018,644.8,3130.8
2287881074,11.49,-0.138,-0.271,-307620,-486208,113883,644.8,3130.8
2287882095,11.625,-0.144,-0.317,-307324,-486233,113690,644.8,3130.8
2287883117,11.489,-0.169,-0.261,-307622,-486338,113925,644.8,3130.8
2287884139,11.269,-0.263,-0.249,-308100,-486736,113973,644.8,3130.8
2287885161,11.328,-0.236,-0.176,-307973,-486624,114279,644.8,3130.8
2287886182,11.223,-0.166,-0.103,-308201,-486328,114583,644.8,3130.8
2287887204,10.998,-0.134,0.121,-308693,-486191,115516,644.8,3130.8
2287888226,10.915,-0.067,0.16,-308874,-485911,115682,644.8,3130.8
2287889248,10.789,-0.075,0.222,-309148,-485942,115940,644.8,3130.8
2287890270,10.742,-0.024,0.293,-309250,-485727,116235,644.8,3130.8
2287891291,10.601,0.082,0.352,-309557,-485281,116481,644.8,3130.8
2287892313,10.665,0.14,0.322,-309418,-485036,116357,644.8,3130.8
2287893335,10.626,0.151,0.283,-309504,-484989,116192,644.8,3130.8
2287894368,10.503,0.162,0.222,-309772,-484942,115941,644.8,3130.8
2287895444,10.503,0.162,0.222,-309772,-484942,115941,644.8,3130.8
2287896508,10.563,0.288,0.231,-309640,-484409,115975,644.8,3130.8
2287897529,10.475,0.386,0.163,-309832,-483996,115694,644.8,3130.8
2287898550,10.421,0.261,0.168,-309951,-484523,115715,644.8,3130.8
2287899571,10.361,0.197,0.01,-310080,-484794,115056,644.8,3130.8
2287900592,10.436,0.149,-0.088,-309918,-484996,114648,644.8,3130.8
2287901613,10.433,0.165,-0.026,-309925,-484930,114904,644.8,3130.8
2287902634,10.446,-0.051,-0.174,-309895,-485842,114288,644.8,3130.8
2287903655,10.375,-0.055,-0.24,-310050,-485859,114011,644.8,3130.8
2287904676,10.391,-0.118,-0.265,-310016,-486123,113910,644.8,3130.8
2287905696,10.533,-0.008,-0.261,-309705,-485662,113927,644.8,3130.8
2287906717,10.261,0.038,-0.189,-310298,-485464,114227,644.8,3130.8
2287907738,10.335,0.235,-0.042,-310137,-484635,114838,644.8,3130.8
2287908759,10.205,0.175,0.014,-310421,-484886,115071,644.8,3130.8
2287909780,10.118,0.235,0.064,-310610,-484632,115280,644.8,3130.8
2287910801,10.209,0.285,0.112,-310412,-484421,115482,644.8,3130.8
2287911822,10.099,0.281,0.099,-310653,-484439,115427,644.8,3130.8
2287912843,10.18,0.391,0.135,-310475,-483976,115578,644.8,3130.8
2287913864,10.221,0.25,0.047,-310387,-484571,115208,644.8,3130.8
2287914885,10.152,0.195,0.088,-310537,-484801,115381,644.8,3130.8
2287915906,10.172,0.134,0.127,-310494,-485059,115543,644.8,3130.8
2287916926,10.079,0.139,0.132,-310697,-485040,115565,644.8,3130.8
2287917947,9.972,0.124,0.175,-310930,-485101,115744,644.8,3130.8
2287918968,9.936,0.051,0.046,-311008,-485412,115207,644.8,3130.8
2287919989,9.992,-0.047,0.151,-310886,-485825,115642,644.8,3130.8
2287921010,10.061,0.02,0.046,-310736,-485541,115205,644.8,3130.8
2287922032,10.131,-0.107,-0.073,-310582,-486079,114708,644.8,3130.8
2287923053,9.994,-0.035,-0.078,-310881,-485773,114686,644.8,3130.8
2287924075,10.132,-0.087,0.011,-310581,-485994,115061,644.8,3130.8
2287925097,10.141,-0.152,-0.133,-310561,-486270,114459,644.8,3130.8
2287926119,9.981,-0.101,-0.089,-310909,-486051,114641,644.8,3130.8
2287927141,10.039,-0.107,-0.087,-310784,-486080,114650,644.8,3130.8
2287928162,9.83,-0.071,0.104,-311239,-485925,115445,644.8,3130.8
2287929184,9.837,0.028,0.076,-311223,-485508,115331,644.8,3130.8
2287930206,9.986,0.098,0.095,-310899,-485213,115409,644.8,3130.8
2287931228,9.903,0.188,0.118,-311079,-484832,115505,644.8,3130.8
2287932250,10.102,0.064,0.033,-310645,-485358,115150,644.8,3130.8
2287933271,10.104,-0.034,-0.024,-310642,-485771,114912,644.8,3130.8
2287934293,10.039,-0.15,-0.127,-310784,-486261,114482,644.8,3130.8
2287935315,10.141,-0.283,-0.126,-310560,-486820,114488,644.8,3130.8
2287936337,10.332,-0.288,-0.281,-310144,-486841,113842,644.8,3130.8
2287937358,10.283,-0.368,-0.215,-310251,-487180,114118,644.8,3130.8
2287938380,10.264,-0.288,-0.161,-310293,-486841,114343,644.8,3130.8
2287939402,10.099,-0.221,-0.109,-310652,-486559,114558,644.8,3130.8
2287940424,9.879,0.034,0.088,-311131,-485483,115379,644.8,3130.8
2287941446,9.832,0.268,0.147,-311234,-484494,115626,644.8,3130.8
2287942467,9.772,0.31,0.228,-311366,-484317,115963,644.8,3130.8
2287943489,9.664,0.222,0.193,-311600,-484687,115818,644.8,3130.8
2287944511,9.908,0.191,0.131,-311069,-484819,115561,644.8,3130.8
2287945533,9.912,0.075,0.099,-311060,-485308,115428,644.8,3130.8
2287946554,9.906,0.008,0.038,-311073,-485592,115173,644.8,3130.8
2287947576,9.987,-0.006,0.067,-310896,-485651,115291,644.8,3130.8
2287948598,9.923,-0.052,0.021,-311037,-485846,115100,644.8,3130.8
2287949620,9.948,-0.074,-0.023,-310981,-485939,114919,644.8,3130.8
2287950641,9.994,-0.098,-0.078,-310881,-486038,114687,644.8,3130.8
2287951663,9.891,-0.143,0.064,-311105,-486228,115279,644.8,3130.8
2287952685,9.905,-0.095,-0.033,-311076,-486029,114876,644.8,3130.8
2287953707,9.609,0.138,0.128,-311721,-485044,115546,644.8,3130.8
2287954729,9.783,0.118,0.152,-311342,-485130,115647,644.8,3130.8
2287955750,9.617,0.207,0.183,-311704,-484751,115778,644.8,3130.8
2287956772,9.541,0.298,0.287,-311870,-484367,116209,644.8,3130.8
2287957794,9.719,0.289,0.218,-311481,-484406,115924,644.8,3130.8
2287958816,9.868,0.254,0.148,-311155,-484553,115630,644.8,3130.8
2287959838,9.744,0.157,0.016,-311426,-484962,115081,644.8,3130.8
2287960859,9.879,0.084,-0.041,-311133,-485272,114841,644.8,3130.8
2287961881,9.897,0.073,-0.084,-311093,-485319,114664,644.8,3130.8
2287962903,9.892,-0.058,-0.122,-311103,-485872,114506,644.8,3130.8
2287963925,10.057,-0.068,-0.082,-310743,-485912,114671,644.8,3130.8
2287964946,9.907,-0.044,-0.057,-311071,-485811,114776,644.8,3130.8
2287965968,9.778,0.021,0.016,-311353,-485536,115078,644.8,3130.8
2287966990,9.771,-0.011,0.167,-311368,-485671,115708,644.8,3130.8
2287968012,9.693,0.024,0.151,-311537,-485527,115643,644.8,3130.8
2287969033,9.576,0.113,0.154,-311792,-485151,115655,644.8,3130.8
2287970055,9.688,-0.047,0.052,-311549,-485824,115232,644.8,3130.8
2287971077,9.865,-0.107,0.069,-311163,-486076,115301,644.8,3130.8
2287972099,9.972,-0.132,-0.131,-310929,-486185,114467,644.8,3130.8
2287973120,9.911,-0.156,-0.083,-311063,-486283,114669,644.8,3130.8
2287974142,9.789,-0.033,-0.069,-311328,-485764,114727,644.8,3130.8
2287975164,9.619,-0.018,0.032,-311698,-485703,115146,644.8,3130.8
2287976186,9.566,0.102,0.121,-311814,-485197,115518,644.8,3130.8
2287977208,9.398,0.081,0.178,-312180,-485284,115756,644.8,3130.8
2287978229,9.417,0.182,0.203,-312139,-484856,115860,644.8,3130.8
2287979251,9.448,0.147,0.065,-312071,-485005,115286,644.8,3130.8
2287980273,9.575,0.074,0.044,-311795,-485312,115196,644.8,3130.8
2287981295,9.568,0.098,0.022,-311811,-485212,115103,644.8,3130.8
2287982316,9.526,0.104,-0.076,-311901,-485185,114696,644.8,3130.8
2287983338,9.651,-0.051,-0.112,-311629,-485843,114545,644.8,3130.8
2287984360,9.655,-0.067,-0.13,-311621,-485910,114473,644.8,3130.8
2287985382,9.54,-0.015,-0.15,-311872,-485691,114388,644.8,3130.8
2287986404,9.564,-0.035,-0.132,-311818,-485774,114462,644.8,3130.8
2287987425,9.518,0.0,-0.077,-311920,-485625,114692,644.8,3130.8
2287988447,9.463,-0.018,-0.12,-312039,-485702,114512,644.8,3130.8
2287989469,9.447,-0.197,-0.064,-312075,-486458,114745,644.8,3130.8
2287990491,9.421,-0.141,-0.066,-312130,-486223,114738,644.8,3130.8
2287991513,9.492,-0.088,0.039,-311977,-485997,115175,644.8,3130.8
2287992534,9.283,-0.142,-0.031,-312432,-486227,114884,644.8,3130.8
2287993556,9.476,-0.195,0.029,-312010,-486448,115133,644.8,3130.8
2287994578,9.369,-0.067,0.078,-312245,-485910,115337,644.8,3130.8
2287995600,9.223,0.082,0.148,-312562,-485281,115629,644.8,3130.8
2287996621,9.309,0.08,0.022,-312374,-485287,115106,644.8,3130.8
2287997643,9.409,0.081,0.003,-312158,-485285,115024,644.8,3130.8
2287998677,9.31,0.01,-0.039,-312372,-485586,114851,644.8,3130.8
2287999753,9.31,0.01,-0.039,-312372,-485586,114851,644.8,3130.8
2288000817,9.319,-0.029,-0.028,-312341,-485712,114897,644.8,3130.8
2288001838,9.211,-0.113,-0.047,-312576,-486067,114817,644.8,3130.8
2288002859,9.353,-0.073,0.004,-312268,-485900,115030,644.8,3130.8
2288003880,9.263,-0.145,-0.015,-312463,-486202,114949,644.8,3130.8
2288004901,9.221,-0.05,0.045,-312556,-485803,115203,644.8,3130.8
2288005922,9.104,-0.037,-0.011,-312811,-485746,114969,644.8,3130.8
2288006943,9.048,-0.061,0.015,-312932,-485847,115074,644.8,3130.8
2288007964,9.141,-0.204,0.025,-312730,-486452,115118,644.8,3130.8
2288008985,9.254,-0.149,-0.062,-312482,-486221,114756,644.8,3130.8
2288010005,9.257,-0.271,-0.1,-312477,-486734,114595,644.8,3130.8
2288011026,9.365,-0.289,-0.109,-312242,-486810,114558,644.8,3130.8
2288012047,9.253,-0.237,-0.207,-312486,-486590,114149,644.8,3130.8
2288013068,9.264,-0.126,-0.151,-312461,-486120,114384,644.8,3130.8
2288014089,9.283,-0.154,-0.202,-312420,-486242,114173,644.8,3130.8
2288015110,9.248,-0.134,-0.147,-312497,-486157,114399,644.8,3130.8
2288016131,9.181,-0.09,-0.176,-312643,-485971,114278,644.8,3130.8
2288017152,9.181,-0.037,-0.158,-312641,-485748,114353,644.8,3130.8
2288018173,9.138,-0.042,-0.139,-312736,-485768,114432,644.8,3130.8
2288019194,9.126,-0.118,-0.077,-312761,-486089,114693,644.8,3130.8
2288020214,9.19,0.017,-0.013,-312622,-485517,114958,644.8,3130.8
2288021235,8.869,0.067,0.019,-313322,-485309,115094,644.8,3130.8
2288022256,9.035,0.083,0.108,-312961,-485241,115465,644.8,3130.8
2288023277,8.928,0.082,0.147,-313193,-485245,115626,644.8,3130.8
2288024298,8.882,0.157,0.222,-313294,-484928,115941,644.8,3130.8
2288025319,8.92,0.145,0.195,-313212,-484976,115826,644.8,3130.8
2288026340,8.777,0.092,0.181,-313522,-485201,115767,644.8,3130.8
2288027361,8.817,0.115,0.221,-313436,-485103,115936,644.8,3130.8
2288028383,8.947,-0.06,0.128,-313152,-485843,115546,644.8,3130.8
2288029405,9.01,0.038,0.071,-313016,-485429,115311,644.8,3130.8
2288030427,9.085,-0.025,-0.009,-312852,-485695,114975,644.8,3130.8
2288031449,9.101,-0.069,0.018,-312817,-485881,115090,644.8,3130.8
2288032471,9.076,-0.07,0.015,-312870,-485884,115074,644.8,3130.8
2288033492,8.957,-0.065,0.028,-313130,-485865,115130,644.8,3130.8
2288034514,9.065,-0.004,0.041,-312895,-485607,115185,644.8,3130.8
2288035536,8.881,-0.111,0.023,-313297,-486057,115111,644.8,3130.8
