# Participant: P1
# Mask Type: MAKTEK
# Fit Condition: leak
# Exercise: frc_reset_init
# Date: 20250609
# Time: 113529
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2396284513,27.994,-2.297,-2.492,-271621,-495290,104624,372.5,3203.5
2396285429,27.757,-2.193,-2.394,-272139,-494851,105029,372.5,3203.5
2396286451,27.494,-2.225,-2.428,-272713,-494984,104888,372.5,3203.5
2396287472,26.67,-1.525,-1.852,-274508,-492028,107292,372.5,3203.5
2396288494,25.933,-0.795,-1.124,-276116,-488948,110327,372.5,3203.5
2396289516,25.296,-0.368,-0.632,-277505,-487143,112378,372.5,3203.5
2396290538,25.355,-0.302,-0.371,-277377,-486863,113466,372.5,3203.5
2396291559,25.107,-0.425,-0.36,-277916,-487386,113513,372.5,3203.5
2396292581,24.878,-0.18,-0.224,-278417,-486351,114079,372.5,3203.5
2396293603,24.447,0.004,-0.207,-279355,-485573,114152,372.5,3203.5
2396294625,23.964,0.211,-0.125,-280410,-484698,114490,372.5,3203.5
2396295646,23.676,0.349,0.226,-281037,-484117,115955,372.5,3203.5
2396296668,23.794,0.112,0.179,-280780,-485118,115761,372.5,3203.5
2396297690,23.997,-0.375,-0.224,-280336,-487174,114078,372.5,3203.5
2396298712,23.948,-0.617,-0.863,-280444,-488193,111415,372.5,3203.5
2396299734,23.798,-0.59,-1.074,-280770,-488081,110536,372.5,3203.5
2396300755,23.73,-0.698,-0.957,-280920,-488539,111023,372.5,3203.5
2396301777,23.854,-0.88,-0.889,-280649,-489304,111307,372.5,3203.5
2396302799,23.277,-0.447,-0.8,-281906,-487477,111676,372.5,3203.5
2396303821,22.881,0.038,-0.683,-282770,-485431,112164,372.5,3203.5
2396304842,22.519,0.176,-0.286,-283560,-484846,113822,372.5,3203.5
2396305864,22.425,0.126,-0.117,-283765,-485057,114526,372.5,3203.5
2396306886,22.475,-0.056,-0.062,-283656,-485826,114753,372.5,3203.5
2396307908,22.505,-0.228,-0.111,-283590,-486551,114550,372.5,3203.5
2396308929,22.515,-0.222,-0.295,-283569,-486526,113784,372.5,3203.5
2396309951,22.676,-0.31,-0.404,-283218,-486899,113327,372.5,3203.5
2396310973,22.574,-0.263,-0.622,-283440,-486702,112421,372.5,3203.5
2396311995,22.788,-0.561,-0.884,-282973,-487958,111326,372.5,3203.5
