# Participant: P1
# Mask Type: MAKTEK
# Fit Condition: leak
# Exercise: quiet_breathing
# Date: 20250609
# Time: 113030
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2097452379,0,0.899,0.212,0.115,-330700,-484658,115548,169.9,2900.8
2097453027,648,0.888,0.328,0.123,-330724,-484170,115582,169.9,2900.8
2097454046,1667,0.944,0.252,0.167,-330602,-484490,115765,169.9,2900.8
2097455066,2687,0.94,0.273,0.121,-330612,-484400,115573,169.9,2900.8
2097456085,3706,1.012,0.203,0.088,-330453,-484695,115436,169.9,2900.8
2097457105,4726,1.032,0.331,0.165,-330411,-484157,115758,169.9,2900.8
2097458124,5745,1.015,0.2,0.179,-330447,-484709,115814,169.9,2900.8
2097459144,6765,1.142,0.237,0.311,-330171,-484552,116368,169.9,2900.8
2097460163,7784,1.088,0.147,0.138,-330289,-484931,115643,169.9,2900.8
2097461183,8804,1.129,0.079,0.118,-330199,-485220,115560,169.9,2900.8
2097462202,9823,1.13,-0.04,0.06,-330197,-485721,115318,169.9,2900.8
2097463222,10843,1.124,0.052,0.026,-330210,-485332,115179,169.9,2900.8
2097464241,11862,1.283,-0.034,-0.025,-329864,-485696,114966,169.9,2900.8
2097465261,12882,1.321,-0.07,-0.085,-329780,-485851,114714,169.9,2900.8
2097466280,13901,1.283,-0.017,-0.136,-329862,-485624,114503,169.9,2900.8
2097467300,14921,1.292,-0.022,-0.096,-329843,-485647,114670,169.9,2900.8
2097468319,15940,1.299,-0.007,-0.062,-329829,-485581,114813,169.9,2900.8
2097469339,16960,1.316,0.032,-0.095,-329790,-485417,114673,169.9,2900.8
2097470359,17980,1.407,-0.105,0.023,-329592,-485997,115164,169.9,2900.8
2097471378,18999,1.342,-0.066,0.034,-329735,-485833,115213,169.9,2900.8
2097472398,20019,1.446,-0.045,-0.093,-329507,-485744,114680,169.9,2900.8
2097473417,21038,1.424,-0.144,0.069,-329556,-486161,115359,169.9,2900.8
2097474437,22058,1.428,-0.044,0.068,-329546,-485739,115352,169.9,2900.8
2097475456,23077,1.459,-0.089,0.06,-329480,-485928,115319,169.9,2900.8
2097476476,24097,1.45,-0.102,0.058,-329498,-485983,115310,169.9,2900.8
2097477495,25116,1.389,-0.045,0.05,-329633,-485745,115280,169.9,2900.8
2097478515,26136,1.359,-0.024,-0.025,-329697,-485656,114965,169.9,2900.8
2097479534,27155,1.397,0.015,-0.018,-329615,-485492,114995,169.9,2900.8
