# Participant: P1
# Mask Type: MAKTEK
# Fit Condition: leak
# Exercise: rainbow
# Date: 20250609
# Time: 113448
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2355987729,0,-2.305,0.082,0.205,-337687,-485244,115867,226.5,3537.4
2355988630,901,-2.222,0.027,0.155,-337506,-485478,115658,226.5,3537.4
2355989651,1922,-2.337,0.05,0.142,-337756,-485379,115605,226.5,3537.4
2355990673,2944,-2.309,0.045,0.102,-337694,-485398,115439,226.5,3537.4
2355991695,3966,-2.342,0.004,0.045,-337767,-485573,115203,226.5,3537.4
2355992717,4988,-2.305,0.061,0.083,-337686,-485332,115360,226.5,3537.4
2355993739,6010,-2.325,0.057,0.045,-337731,-485349,115199,226.5,3537.4
2355994760,7031,-2.432,0.107,0.141,-337964,-485137,115602,226.5,3537.4
2355995782,8053,-2.293,0.063,0.184,-337660,-485325,115779,226.5,3537.4
2355996804,9075,-2.216,0.095,0.199,-337493,-485187,115844,226.5,3537.4
2355997826,10097,-2.375,0.18,0.168,-337838,-484830,115713,226.5,3537.4
2355998847,11118,-2.136,0.01,0.133,-337318,-485547,115568,226.5,3537.4
2355999869,12140,-2.397,0.049,0.134,-337887,-485384,115570,226.5,3537.4
2356000891,13162,-2.273,0.052,0.125,-337617,-485372,115535,226.5,3537.4
2356001913,14184,-2.097,0.1,0.089,-337232,-485168,115383,226.5,3537.4
2356002935,15206,-2.195,-0.025,0.075,-337446,-485697,115325,226.5,3537.4
2356003956,16227,-2.234,0.026,0.046,-337531,-485480,115205,226.5,3537.4
2356004978,17249,-2.304,-0.079,-0.062,-337685,-485925,114754,226.5,3537.4
2356006000,18271,-2.156,-0.079,0.043,-337361,-485925,115192,226.5,3537.4
2356007022,19293,-2.027,-0.075,0.039,-337081,-485906,115174,226.5,3537.4
2356008044,20315,-2.178,-0.087,0.025,-337410,-485957,115119,226.5,3537.4
2356009065,21336,-2.136,-0.092,0.071,-337318,-485977,115309,226.5,3537.4
2356010087,22358,-2.153,-0.169,-0.0,-337355,-486303,115012,226.5,3537.4
2356011109,23380,-2.232,-0.045,-0.025,-337527,-485780,114907,226.5,3537.4
2356012131,24402,-2.018,-0.134,0.059,-337060,-486156,115259,226.5,3537.4
2356013152,25423,-2.176,-0.099,-0.033,-337404,-486009,114874,226.5,3537.4
2356014174,26445,-2.097,-0.077,-0.019,-337233,-485917,114936,226.5,3537.4
2356015196,27467,-2.004,-0.01,-0.012,-337030,-485634,114963,226.5,3537.4
2356016218,28489,-2.07,-0.056,-0.02,-337173,-485825,114932,226.5,3537.4
2356017239,29510,-2.163,-0.058,-0.028,-337376,-485836,114898,226.5,3537.4
2356018261,30532,-2.084,-0.006,0.079,-337204,-485615,115344,226.5,3537.4
2356019283,31554,-2.084,0.063,0.065,-337205,-485324,115285,226.5,3537.4
2356020305,32576,-2.117,0.059,0.047,-337276,-485341,115208,226.5,3537.4
2356021327,33598,-2.104,-0.005,0.074,-337249,-485612,115322,226.5,3537.4
2356022360,34631,-2.101,0.064,0.171,-337241,-485320,115725,226.5,3537.4
2356023437,35708,-2.101,0.064,0.171,-337241,-485320,115725,226.5,3537.4
2356024502,36773,-2.1,0.111,0.13,-337239,-485122,115557,226.5,3537.4
2356025523,37794,-2.061,0.198,0.183,-337154,-484754,115777,226.5,3537.4
2356026544,38815,-1.992,0.128,0.201,-337004,-485051,115853,226.5,3537.4
2356027565,39836,-2.219,0.147,0.126,-337499,-484969,115540,226.5,3537.4
2356028586,40857,-1.956,0.103,0.165,-336925,-485154,115700,226.5,3537.4
2356029607,41878,-2.083,0.069,0.119,-337203,-485299,115509,226.5,3537.4
2356030628,42899,-2.115,0.125,0.232,-337271,-485064,115982,226.5,3537.4
2356031648,43919,-2.033,0.155,0.162,-337094,-484934,115689,226.5,3537.4
2356032669,44940,-2.181,0.18,0.136,-337416,-484830,115579,226.5,3537.4
2356033690,45961,-2.028,0.104,0.157,-337082,-485152,115669,226.5,3537.4
2356034711,46982,-1.888,0.049,0.155,-336776,-485384,115659,226.5,3537.4
2356035732,48003,-1.963,0.069,0.132,-336940,-485298,115563,226.5,3537.4
2356036753,49024,-1.912,0.077,0.074,-336829,-485265,115320,226.5,3537.4
2356037774,50045,-1.749,-0.007,0.097,-336475,-485621,115418,226.5,3537.4
2356038795,51066,-1.749,0.005,0.002,-336475,-485569,115020,226.5,3537.4
2356039816,52087,-1.674,0.045,0.023,-336311,-485398,115108,226.5,3537.4
2356040837,53108,-1.724,0.065,0.083,-336420,-485317,115360,226.5,3537.4
2356041858,54129,-1.612,0.052,-0.031,-336176,-485371,114886,226.5,3537.4
2356042878,55149,-1.548,0.004,0.07,-336035,-485573,115307,226.5,3537.4
2356043899,56170,-1.749,0.089,0.044,-336475,-485214,115195,226.5,3537.4
2356044920,57191,-1.594,0.077,0.063,-336136,-485265,115278,226.5,3537.4
2356045941,58212,-1.505,0.126,0.063,-335941,-485058,115276,226.5,3537.4
2356046962,59233,-1.601,0.059,0.14,-336152,-485342,115598,226.5,3537.4
2356047984,60255,-1.35,0.06,0.001,-335605,-485336,115018,226.5,3537.4
2356049005,61276,-1.413,0.038,0.075,-335742,-485429,115326,226.5,3537.4
2356050027,62298,-1.468,0.095,0.118,-335861,-485187,115505,226.5,3537.4
2356051049,63320,-1.328,-0.014,0.183,-335556,-485649,115778,226.5,3537.4
2356052071,64342,-1.23,0.101,0.182,-335342,-485162,115771,226.5,3537.4
2356053093,65364,-1.227,0.021,0.165,-335335,-485502,115702,226.5,3537.4
2356054114,66385,-1.15,0.036,0.091,-335167,-485436,115391,226.5,3537.4
2356055136,67407,-1.25,0.086,0.122,-335386,-485227,115524,226.5,3537.4
2356056158,68429,-1.116,0.018,0.122,-335094,-485514,115523,226.5,3537.4
2356057180,69451,-1.02,0.073,0.092,-334884,-485283,115396,226.5,3537.4
2356058202,70473,-1.017,0.161,0.042,-334878,-484911,115189,226.5,3537.4
2356059223,71494,-0.946,0.143,0.083,-334724,-484987,115361,226.5,3537.4
2356060245,72516,-0.877,0.057,0.034,-334572,-485350,115157,226.5,3537.4
2356061267,73538,-0.917,0.025,-0.026,-334659,-485486,114903,226.5,3537.4
2356062289,74560,-0.72,0.071,0.073,-334230,-485288,115319,226.5,3537.4
2356063310,75581,-0.806,0.052,0.079,-334418,-485372,115342,226.5,3537.4
2356064332,76603,-0.714,0.045,0.071,-334217,-485401,115309,226.5,3537.4
2356065354,77625,-0.702,0.068,0.058,-334192,-485304,115254,226.5,3537.4
2356066376,78647,-0.668,0.122,-0.018,-334117,-485073,114939,226.5,3537.4
2356067398,79669,-0.651,0.05,0.088,-334079,-485378,115382,226.5,3537.4
2356068419,80690,-0.64,0.048,0.032,-334056,-485386,115148,226.5,3537.4
2356069441,81712,-0.513,0.073,0.051,-333778,-485282,115225,226.5,3537.4
2356070463,82734,-0.547,0.059,0.097,-333853,-485340,115416,226.5,3537.4
2356071485,83756,-0.559,0.019,0.067,-333879,-485511,115293,226.5,3537.4
2356072506,84777,-0.364,0.105,0.06,-333453,-485146,115262,226.5,3537.4
2356073528,85799,-0.26,0.047,0.075,-333227,-485390,115324,226.5,3537.4
2356074550,86821,-0.236,0.062,0.052,-333176,-485328,115229,226.5,3537.4
2356075572,87843,-0.157,0.046,-0.03,-333002,-485394,114889,226.5,3537.4
2356076594,88865,-0.153,-0.042,0.059,-332994,-485767,115261,226.5,3537.4
2356077615,89886,-0.225,0.044,0.043,-333151,-485404,115194,226.5,3537.4
2356078637,90908,0.074,-0.001,0.046,-332499,-485594,115207,226.5,3537.4
