t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1647584443,-0.025,-0.022,0.053,-332759,-485720,115166,40.9,3117.1
1647585352,0.037,0.039,0.083,-332624,-485463,115294,40.9,3117.1
1647586372,-0.109,0.001,0.094,-332941,-485622,115340,40.9,3117.1
1647587391,-0.068,-0.007,0.056,-332853,-485658,115179,40.9,3117.1
1647588411,-0.091,-0.006,-0.027,-332902,-485654,114833,40.9,3117.1
1647589430,-0.031,-0.047,-0.043,-332771,-485827,114767,40.9,3117.1
1647590450,0.062,-0.064,0.05,-332568,-485896,115156,40.9,3117.1
1647591469,0.173,-0.077,-0.059,-332327,-485953,114699,40.9,3117.1
1647592489,0.095,-0.069,0.018,-332496,-485919,115021,40.9,3117.1
1647593508,0.142,0.021,-0.061,-332394,-485539,114693,40.9,3117.1
1647594528,0.083,0.046,-0.022,-332522,-485434,114856,40.9,3117.1
1647595547,0.111,-0.066,-0.054,-332461,-485905,114721,40.9,3117.1
1647596578,0.129,-0.098,-0.005,-332422,-486040,114924,40.9,3117.1
1647597651,0.129,-0.098,-0.005,-332422,-486040,114924,40.9,3117.1
1647598716,0.059,0.01,0.066,-332575,-485584,115221,40.9,3117.1
1647599737,0.124,0.036,0.013,-332433,-485474,114999,40.9,3117.1
1647600758,-0.055,0.035,-0.015,-332824,-485481,114885,40.9,3117.1
1647601779,0.067,0.023,-0.021,-332558,-485529,114859,40.9,3117.1
1647602800,0.014,-0.031,0.022,-332673,-485759,115039,40.9,3117.1
1647603821,0.091,-0.011,0.048,-332506,-485675,115148,40.9,3117.1
1647604842,0.164,0.045,-0.04,-332346,-485438,114778,40.9,3117.1
1647605862,-0.02,0.022,0.038,-332747,-485535,115104,40.9,3117.1
1647606883,0.09,-0.021,0.036,-332508,-485716,115098,40.9,3117.1
1647607904,0.071,0.031,0.068,-332549,-485497,115229,40.9,3117.1
1647608925,0.104,0.018,-0.051,-332476,-485550,114736,40.9,3117.1
1647609946,0.046,-0.007,0.002,-332604,-485655,114954,40.9,3117.1
1647610967,0.002,0.03,-0.004,-332700,-485499,114928,40.9,3117.1
1647611988,0.157,0.049,0.066,-332361,-485420,115220,40.9,3117.1
