# Participant: P1
# Mask Type: MAKTEK
# Fit Condition: no_leak
# Exercise: zeroing
# Date: 20250609
# Time: 112247
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1635098252,-9.37,0.061,-0.047,-353493,-485943,114472,134.0,2964.1
1635099263,-9.322,0.056,0.066,-353388,-485965,114946,134.0,2964.1
1635100285,-9.402,-0.001,0.001,-353563,-486203,114675,134.0,2964.1
1635101307,-9.508,0.099,0.014,-353794,-485781,114728,134.0,2964.1
1635102329,-9.532,-0.011,-0.006,-353847,-486247,114645,134.0,2964.1
1635103350,-9.6,0.092,-0.033,-353994,-485810,114533,134.0,2964.1
1635104372,-9.588,0.035,-0.013,-353969,-486054,114616,134.0,2964.1
1635105394,-9.741,0.039,-0.018,-354303,-486037,114597,134.0,2964.1
1635106416,-9.766,-0.015,-0.059,-354358,-486263,114423,134.0,2964.1
1635107437,-9.772,0.017,0.027,-354370,-486129,114781,134.0,2964.1
1635108459,-9.905,-0.009,0.053,-354661,-486236,114892,134.0,2964.1
1635109481,-10.07,0.093,0.033,-355020,-485806,114808,134.0,2964.1
1635110503,-9.994,0.021,-0.026,-354855,-486109,114562,134.0,2964.1
1635111525,-10.101,0.087,0.025,-355088,-485834,114774,134.0,2964.1
1635112546,-10.267,0.024,-0.032,-355451,-486099,114537,134.0,2964.1
1635113568,-10.375,0.08,0.011,-355686,-485861,114718,134.0,2964.1
1635114590,-10.399,0.106,0.074,-355739,-485751,114977,134.0,2964.1
1635115612,-10.475,0.224,0.035,-355904,-485255,114816,134.0,2964.1
1635116633,-10.552,0.126,0.056,-356073,-485669,114905,134.0,2964.1
1635117655,-10.553,0.025,0.001,-356074,-486096,114675,134.0,2964.1
1635118677,-10.626,0.045,0.049,-356234,-486010,114874,134.0,2964.1
1635119699,-10.776,0.069,0.017,-356562,-485909,114741,134.0,2964.1
1635120721,-10.726,-0.019,0.007,-356452,-486281,114698,134.0,2964.1
1635121742,-10.853,0.026,0.063,-356731,-486089,114932,134.0,2964.1
1635122776,-10.929,0.095,0.08,-356896,-485798,115002,134.0,2964.1
1635123849,-10.929,0.095,0.08,-356896,-485798,115002,134.0,2964.1
1635124914,-11.111,-0.089,-0.064,-357073,-486065,114741,134.0,2964.1
1635125934,-11.207,-0.075,0.014,-357283,-486007,115067,134.0,2964.1
1635126956,-11.193,-0.103,-0.094,-357253,-486126,114614,134.0,2964.1
1635127976,-11.133,-0.035,-0.046,-357123,-485837,114815,134.0,2964.1
1635128997,-11.341,-0.093,-0.018,-357576,-486083,114932,134.0,2964.1
1635130018,-11.429,-0.084,-0.065,-357768,-486046,114736,134.0,2964.1
1635131039,-11.546,-0.105,-0.003,-358023,-486133,114995,134.0,2964.1
1635132060,-11.623,-0.046,0.017,-358191,-485884,115077,134.0,2964.1
1635133081,-11.58,-0.048,-0.036,-358096,-485892,114859,134.0,2964.1
1635134102,-11.676,-0.033,-0.063,-358307,-485831,114745,134.0,2964.1
1635135123,-11.745,-0.08,-0.076,-358456,-486026,114692,134.0,2964.1
1635136144,-11.957,-0.02,-0.032,-358918,-485775,114874,134.0,2964.1
1635137165,-12.03,-0.059,-0.039,-359078,-485940,114844,134.0,2964.1
1635138185,-11.997,-0.097,-0.09,-359005,-486098,114631,134.0,2964.1
1635139206,-12.064,-0.075,-0.061,-359152,-486005,114753,134.0,2964.1
1635140227,-12.169,-0.025,-0.049,-359380,-485797,114803,134.0,2964.1
1635141248,-12.302,-0.123,-0.069,-359671,-486207,114718,134.0,2964.1
1635142269,-12.37,-0.136,-0.023,-359820,-486262,114910,134.0,2964.1
1635143290,-12.502,-0.072,0.053,-360107,-485994,115226,134.0,2964.1
1635144311,-12.548,-0.088,-0.092,-360208,-486060,114623,134.0,2964.1
1635145332,-12.714,-0.039,0.016,-360569,-485856,115072,134.0,2964.1
1635146353,-12.721,-0.109,-0.048,-360585,-486149,114806,134.0,2964.1
1635147374,-12.727,-0.044,-0.091,-360598,-485877,114627,134.0,2964.1
1635148395,-12.752,-0.116,-0.062,-360653,-486180,114747,134.0,2964.1
1635149415,-12.743,-0.036,-0.137,-360633,-485843,114436,134.0,2964.1
1635150436,-12.885,-0.013,-0.066,-360943,-485745,114731,134.0,2964.1
1635151457,-12.951,-0.047,-0.04,-361087,-485890,114840,134.0,2964.1
1635152479,-13.06,-0.094,-0.071,-361323,-486087,114713,134.0,2964.1
1635153501,-13.206,-0.063,-0.019,-361641,-485955,114927,134.0,2964.1
1635154523,-13.323,-0.06,-0.032,-361897,-485942,114874,134.0,2964.1
1635155544,-13.288,-0.129,0.029,-361821,-486235,115127,134.0,2964.1
1635156566,-13.336,-0.106,-0.049,-361925,-486138,114805,134.0,2964.1
1635157588,-13.365,-0.04,-0.027,-361988,-485858,114894,134.0,2964.1
1635158610,-13.378,-0.033,-0.077,-362017,-485828,114687,134.0,2964.1
1635159632,-13.51,0.03,-0.005,-362304,-485562,114985,134.0,2964.1
1635160653,-13.634,-0.065,-0.016,-362576,-485963,114939,134.0,2964.1
1635161675,-13.689,-0.078,-0.048,-362694,-486021,114809,134.0,2964.1
1635162697,-13.765,-0.083,-0.064,-362860,-486040,114742,134.0,2964.1
1635163719,-13.829,-0.12,-0.031,-363001,-486198,114878,134.0,2964.1
1635164741,-13.976,-0.105,0.032,-363321,-486131,115141,134.0,2964.1
1635165762,-14.045,-0.019,0.001,-363472,-485772,115012,134.0,2964.1
1635166784,-13.946,0.04,0.023,-363255,-485523,115104,134.0,2964.1
1635167806,-14.029,0.029,-0.05,-363437,-485567,114800,134.0,2964.1
1635168828,-14.023,-0.092,0.092,-363424,-486079,115389,134.0,2964.1
1635169849,-14.167,-0.08,-0.034,-363737,-486029,114864,134.0,2964.1
1635170871,-14.157,-0.021,-0.011,-363715,-485780,114960,134.0,2964.1
1635171893,-14.209,-0.124,0.068,-363828,-486215,115292,134.0,2964.1
1635172915,-14.301,-0.085,-0.048,-364030,-486050,114809,134.0,2964.1
1635173936,-14.18,-0.033,-0.009,-363765,-485829,114971,134.0,2964.1
1635174958,-14.378,-0.075,-0.017,-364198,-486007,114936,134.0,2964.1
1635175980,-14.27,-0.066,-0.041,-363961,-485968,114837,134.0,2964.1
1635177002,-14.275,0.056,-0.014,-363973,-485452,114949,134.0,2964.1
1635178024,-14.537,-0.012,-0.065,-364544,-485742,114735,134.0,2964.1
1635179046,-14.38,-0.073,0.028,-364201,-486000,115122,134.0,2964.1
1635180067,-14.495,-0.072,-0.006,-364453,-485995,114981,134.0,2964.1
1635181089,-14.566,-0.026,-0.052,-364608,-485799,114789,134.0,2964.1
1635182111,-14.625,-0.03,-0.033,-364736,-485818,114870,134.0,2964.1
1635183133,-14.548,-0.084,-0.124,-364567,-486045,114492,134.0,2964.1
1635184154,-14.559,-0.145,0.012,-364591,-486301,115056,134.0,2964.1
1635185176,-14.636,-0.16,-0.038,-364760,-486364,114848,134.0,2964.1
1635186198,-14.727,-0.099,-0.035,-364958,-486108,114863,134.0,2964.1
1635187220,-14.884,-0.095,-0.087,-365301,-486092,114646,134.0,2964.1
1635188242,-14.765,-0.137,-0.037,-365042,-486268,114852,134.0,2964.1
1635189263,-14.848,-0.21,-0.141,-365223,-486578,114420,134.0,2964.1
1635190285,-14.871,-0.184,-0.156,-365272,-486465,114358,134.0,2964.1
1635191307,-14.902,-0.22,-0.121,-365339,-486619,114503,134.0,2964.1
1635192329,-15.074,-0.229,-0.13,-365714,-486657,114464,134.0,2964.1
1635193350,-14.98,-0.092,-0.153,-365510,-486079,114369,134.0,2964.1
1635194372,-15.098,-0.166,-0.151,-365768,-486391,114378,134.0,2964.1
1635195394,-15.129,-0.176,-0.19,-365834,-486431,114215,134.0,2964.1
1635196416,-15.173,-0.07,-0.071,-365931,-485986,114712,134.0,2964.1
1635197438,-15.33,-0.147,-0.031,-366274,-486309,114877,134.0,2964.1
1635198460,-15.38,-0.132,-0.071,-366382,-486247,114712,134.0,2964.1
1635199481,-15.388,-0.201,-0.125,-366399,-486538,114487,134.0,2964.1
1635200503,-15.558,-0.182,-0.134,-366771,-486459,114447,134.0,2964.1
1635201525,-15.514,-0.234,-0.109,-366675,-486676,114551,134.0,2964.1
1635202547,-15.626,-0.116,-0.055,-366918,-486180,114776,134.0,2964.1
1635203568,-15.798,-0.157,-0.09,-367293,-486353,114633,134.0,2964.1
1635204590,-15.731,-0.107,-0.096,-367148,-486142,114609,134.0,2964.1
1635205612,-15.673,-0.079,-0.068,-367021,-486024,114723,134.0,2964.1
1635206634,-15.837,-0.085,-0.066,-367378,-486049,114732,134.0,2964.1
1635207656,-15.817,-0.16,-0.177,-367334,-486366,114269,134.0,2964.1
1635208677,-15.835,-0.207,-0.122,-367373,-486562,114500,134.0,2964.1
1635209699,-15.925,-0.121,-0.08,-367571,-486200,114675,134.0,2964.1
1635210721,-15.793,-0.079,-0.094,-367282,-486025,114617,134.0,2964.1
1635211743,-15.961,-0.222,-0.115,-367648,-486628,114527,134.0,2964.1
1635212765,-16.007,-0.182,-0.072,-367750,-486458,114706,134.0,2964.1
1635213786,-16.099,-0.269,-0.185,-367950,-486825,114237,134.0,2964.1
1635214808,-16.155,-0.233,-0.129,-368071,-486674,114471,134.0,2964.1
1635215830,-16.088,-0.197,-0.134,-367925,-486521,114450,134.0,2964.1
1635216852,-16.297,-0.247,-0.127,-368382,-486732,114477,134.0,2964.1
1635217874,-16.398,-0.17,-0.144,-368602,-486409,114409,134.0,2964.1
1635218895,-16.373,-0.166,-0.032,-368548,-486389,114875,134.0,2964.1
1635219917,-16.499,-0.155,-0.138,-368822,-486345,114431,134.0,2964.1
1635220939,-16.511,-0.114,-0.169,-368849,-486169,114301,134.0,2964.1
1635221961,-16.631,-0.2,-0.084,-369110,-486536,114658,134.0,2964.1
1635222983,-16.69,-0.139,-0.111,-369238,-486278,114546,134.0,2964.1
1635224004,-16.708,-0.17,-0.114,-369277,-486407,114531,134.0,2964.1
1635225026,-16.691,-0.234,-0.111,-369241,-486677,114546,134.0,2964.1
1635226048,-16.839,-0.149,-0.03,-369563,-486319,114882,134.0,2964.1
1635227081,-16.993,-0.268,-0.107,-369898,-486821,114562,134.0,2964.1
1635228159,-16.993,-0.268,-0.107,-369898,-486821,114562,134.0,2964.1
1635229224,-17.022,-0.109,-0.12,-369978,-486149,114506,134.0,2964.1
1635230245,-17.182,-0.144,-0.105,-370328,-486296,114569,134.0,2964.1
1635231266,-17.132,-0.156,-0.075,-370218,-486349,114693,134.0,2964.1
1635232286,-17.136,-0.209,-0.049,-370228,-486572,114802,134.0,2964.1
1635233307,-17.207,-0.169,-0.176,-370383,-486404,114272,134.0,2964.1
1635234328,-17.316,-0.13,-0.125,-370621,-486239,114485,134.0,2964.1
1635235349,-17.314,-0.175,-0.091,-370615,-486428,114626,134.0,2964.1
1635236370,-17.527,-0.177,-0.132,-371081,-486437,114457,134.0,2964.1
1635237391,-17.409,-0.235,-0.137,-370822,-486683,114436,134.0,2964.1
1635238412,-17.455,-0.152,-0.02,-370924,-486333,114923,134.0,2964.1
1635239433,-17.684,-0.186,-0.057,-371423,-486476,114769,134.0,2964.1
1635240454,-17.613,-0.123,-0.118,-371268,-486208,114516,134.0,2964.1
1635241475,-17.768,-0.099,-0.077,-371606,-486106,114685,134.0,2964.1
1635242496,-17.959,-0.146,-0.028,-372021,-486308,114891,134.0,2964.1
1635243516,-17.982,-0.119,-0.106,-372073,-486192,114567,134.0,2964.1
1635244537,-17.979,-0.163,-0.051,-372065,-486378,114793,134.0,2964.1
1635245558,-18.086,-0.056,-0.019,-372299,-485928,114929,134.0,2964.1
1635246579,-18.06,-0.02,-0.075,-372242,-485774,114696,134.0,2964.1
1635247600,-18.254,-0.114,-0.098,-372665,-486170,114599,134.0,2964.1
1635248621,-18.393,-0.18,-0.095,-372969,-486448,114611,134.0,2964.1
1635249642,-18.327,-0.146,-0.09,-372825,-486306,114633,134.0,2964.1
1635250663,-18.466,-0.152,-0.038,-373127,-486332,114847,134.0,2964.1
