# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
3843342761,0,84.484,2.579,2.784,-147410,-474520,127022,6.3,5521.3,3836092761,3836.092761
3843343072,311,84.584,2.789,4.56,-147192,-473630,134451,6.3,5521.3,3836093072,3836.0930719999997
3843344093,1332,84.783,3.039,3.669,-146757,-472573,130725,6.3,5521.3,3836094093,3836.0940929999997
3843345126,2365,85.137,2.736,6.545,-145983,-473858,142760,6.3,5521.3,3836095126,3836.0951259999997
3843346201,3440,85.137,2.736,6.545,-145983,-473858,142760,6.3,5521.3,3836096201,3836.096201
3843347266,4505,85.297,1.532,3.787,-145632,-478921,131217,6.3,5521.3,3836097266,3836.0972659999998
3843348287,5526,85.336,1.105,4.79,-145548,-480728,135417,6.3,5521.3,3836098287,3836.098287
3843349308,6547,84.852,1.339,3.189,-146606,-479738,128715,6.3,5521.3,3836099308,3836.099308
3843350329,7568,85.63,0.337,1.889,-144905,-483980,123276,6.3,5521.3,3836100329,3836.100329
3843351350,8589,85.198,-0.259,3.091,-145849,-486508,128306,6.3,5521.3,3836101350,3836.10135
3843352371,9610,84.614,0.712,1.671,-147127,-482394,122363,6.3,5521.3,3836102371,3836.102371
3843353391,10630,84.609,1.091,-0.357,-147137,-480787,113880,6.3,5521.3,3836103391,3836.1033909999996
3843354412,11651,84.369,1.04,-0.039,-147662,-481005,115207,6.3,5521.3,3836104412,3836.1044119999997
3843355433,12672,84.351,0.555,0.737,-147702,-483059,118457,6.3,5521.3,3836105433,3836.1054329999997
3843356454,13693,84.803,0.416,-0.165,-146712,-483646,114682,6.3,5521.3,3836106454,3836.1064539999998
3843357475,14714,85.032,0.947,-0.906,-146212,-481399,111579,6.3,5521.3,3836107475,3836.107475
3843358496,15735,85.493,1.753,-2.024,-145203,-477985,106904,6.3,5521.3,3836108496,3836.108496
3843359517,16756,85.336,2.17,-2.407,-145547,-476218,105298,6.3,5521.3,3836109517,3836.109517
3843360538,17777,85.271,2.094,-1.738,-145690,-476539,108097,6.3,5521.3,3836110538,3836.110538
3843361558,18797,85.306,2.106,-0.272,-145614,-476491,114235,6.3,5521.3,3836111558,3836.1115579999996
3843362579,19818,84.864,2.572,1.154,-146579,-474517,120199,6.3,5521.3,3836112579,3836.1125789999996
3843363600,20839,84.443,2.888,1.17,-147501,-473176,120268,6.3,5521.3,3836113600,3836.1135999999997
3843364621,21860,84.544,2.59,1.841,-147279,-474440,123077,6.3,5521.3,3836114621,3836.1146209999997
3843365642,22881,84.895,2.367,2.342,-146512,-475385,125173,6.3,5521.3,3836115642,3836.1156419999998
3843366663,23902,84.412,2.774,2.713,-147567,-473661,126723,6.3,5521.3,3836116663,3836.116663
3843367684,24923,84.127,3.315,2.741,-148192,-471370,126841,6.3,5521.3,3836117684,3836.117684
3843368704,25943,84.185,2.989,2.028,-148064,-472751,123858,6.3,5521.3,3836118704,3836.118704
3843369725,26964,84.497,2.16,1.616,-147383,-476259,122136,6.3,5521.3,3836119725,3836.119725
3843370746,27985,84.247,1.771,1.245,-147929,-477907,120583,6.3,5521.3,3836120746,3836.120746
3843371768,29007,84.138,1.694,2.16,-148167,-478236,124411,6.3,5521.3,3836121768,3836.121768
3843372789,30028,83.816,1.836,2.113,-148872,-477631,124212,6.3,5521.3,3836122789,3836.122789
3843373811,31050,83.438,2.381,1.198,-149698,-475325,120387,6.3,5521.3,3836123811,3836.123811
3843374833,32072,83.607,2.413,2.343,-149329,-475188,125177,6.3,5521.3,3836124833,3836.124833
3843375855,33094,83.282,2.482,2.781,-150039,-474898,127009,6.3,5521.3,3836125855,3836.125855
3843376877,34116,83.471,2.434,1.974,-149626,-475100,123632,6.3,5521.3,3836126877,3836.1268769999997
3843377898,35137,84.068,2.102,0.909,-148320,-476507,119176,6.3,5521.3,3836127898,3836.1278979999997
3843378920,36159,84.197,1.807,0.985,-148038,-477754,119494,6.3,5521.3,3836128920,3836.1289199999997
3843379942,37181,83.792,2.041,1.044,-148924,-476766,119739,6.3,5521.3,3836129942,3836.129942
3843380964,38203,83.38,2.255,1.546,-149824,-475857,121843,6.3,5521.3,3836130964,3836.130964
3843381985,39224,83.248,2.131,1.768,-150114,-476384,122770,6.3,5521.3,3836131985,3836.131985
3843383007,40246,83.253,1.53,0.866,-150103,-478928,118997,6.3,5521.3,3836133007,3836.133007
3843384029,41268,83.163,1.346,0.486,-150300,-479710,117404,6.3,5521.3,3836134029,3836.134029
3843385051,42290,82.632,1.471,0.822,-151460,-479179,118810,6.3,5521.3,3836135051,3836.1350509999997
3843386072,43311,82.47,1.362,1.823,-151816,-479641,123002,6.3,5521.3,3836136072,3836.136072
3843387094,44333,82.457,1.063,2.321,-151843,-480905,125085,6.3,5521.3,3836137094,3836.1370939999997
3843388116,45355,82.403,0.974,2.55,-151962,-481285,126043,6.3,5521.3,3836138116,3836.1381159999996
3843389137,46376,82.068,1.72,2.013,-152695,-478125,123794,6.3,5521.3,3836139137,3836.1391369999997
3843390159,47398,82.072,2.257,2.475,-152685,-475849,125730,6.3,5521.3,3836140159,3836.140159
3843391181,48420,81.776,2.782,2.897,-153332,-473627,127495,6.3,5521.3,3836141181,3836.141181
3843392203,49442,82.344,2.446,2.941,-152091,-475048,127677,6.3,5521.3,3836142203,3836.142203
3843393225,50464,82.589,1.577,2.235,-151555,-478729,124726,6.3,5521.3,3836143225,3836.143225
3843394246,51485,82.225,1.552,1.987,-152350,-478836,123685,6.3,5521.3,3836144246,3836.144246
