# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
141767871,0,10.118,0.071,0.227,-310266,-485351,116323,1177.4,10095.3,134517871,134.51787099999999
141768644,773,10.022,0.226,0.242,-310477,-484693,116386,1177.4,10095.3,134518644,134.518644
141769666,1795,10.01,0.167,0.244,-310504,-484945,116392,1177.4,10095.3,134519666,134.519666
141770687,2816,9.925,0.163,0.375,-310689,-484959,116942,1177.4,10095.3,134520687,134.52068699999998
141771709,3838,9.79,0.255,0.319,-310985,-484572,116707,1177.4,10095.3,134521709,134.521709
141772731,4860,10.026,0.311,0.284,-310468,-484333,116562,1177.4,10095.3,134522731,134.522731
141773764,5893,9.947,0.25,0.302,-310641,-484590,116635,1177.4,10095.3,134523764,134.523764
141774839,6968,9.947,0.25,0.302,-310641,-484590,116635,1177.4,10095.3,134524839,134.524839
141775904,8033,10.015,0.257,0.376,-310504,-484562,116916,1177.4,10095.3,134525904,134.525904
141776925,9054,9.974,0.315,0.296,-310594,-484317,116581,1177.4,10095.3,134526925,134.526925
141777946,10075,10.012,0.167,0.248,-310510,-484944,116381,1177.4,10095.3,134527946,134.527946
141778967,11096,10.056,0.151,0.346,-310415,-485012,116793,1177.4,10095.3,134528967,134.528967
141779987,12116,9.969,0.192,0.254,-310605,-484838,116406,1177.4,10095.3,134529987,134.529987
141781008,13137,10.171,0.152,0.264,-310163,-485007,116449,1177.4,10095.3,134531008,134.53100799999999
141782029,14158,10.182,0.161,0.261,-310139,-484968,116436,1177.4,10095.3,134532029,134.532029
141783050,15179,10.068,0.171,0.192,-310389,-484925,116147,1177.4,10095.3,134533050,134.53305
141784071,16200,10.17,0.102,0.134,-310165,-485220,115902,1177.4,10095.3,134534071,134.53407099999998
141785092,17221,10.035,0.079,0.083,-310461,-485314,115690,1177.4,10095.3,134535092,134.535092
141786113,18242,10.052,0.027,0.156,-310424,-485538,115994,1177.4,10095.3,134536113,134.536113
141787133,19262,10.044,0.103,0.158,-310440,-485213,116006,1177.4,10095.3,134537133,134.53713299999998
141788154,20283,9.933,0.189,0.227,-310684,-484849,116294,1177.4,10095.3,134538154,134.538154
141789175,21304,10.072,0.144,0.236,-310379,-485042,116331,1177.4,10095.3,134539175,134.539175
141790196,22325,9.927,0.012,0.214,-310697,-485599,116239,1177.4,10095.3,134540196,134.54019599999998
141791217,23346,9.873,0.159,0.253,-310815,-484975,116404,1177.4,10095.3,134541217,134.541217
141792238,24367,9.829,0.154,0.178,-310912,-484997,116089,1177.4,10095.3,134542238,134.542238
141793259,25388,9.957,0.112,0.272,-310631,-485178,116483,1177.4,10095.3,134543259,134.543259
141794279,26408,9.826,0.136,0.244,-310917,-485075,116365,1177.4,10095.3,134544279,134.544279
141795300,27429,9.786,0.205,0.279,-311006,-484781,116510,1177.4,10095.3,134545300,134.5453
141796321,28450,9.685,0.16,0.301,-311227,-484971,116605,1177.4,10095.3,134546321,134.546321
141797342,29471,9.804,0.245,0.237,-310966,-484614,116333,1177.4,10095.3,134547342,134.547342
141798363,30492,9.847,0.213,0.255,-310872,-484748,116409,1177.4,10095.3,134548363,134.548363
141799384,31513,9.671,0.197,0.27,-311257,-484815,116474,1177.4,10095.3,134549384,134.549384
141800405,32534,9.744,0.166,0.274,-311097,-484949,116488,1177.4,10095.3,134550405,134.55040499999998
141801427,33556,9.786,0.2,0.2,-311005,-484803,116182,1177.4,10095.3,134551427,134.551427
141802449,34578,9.784,0.058,0.194,-311010,-485403,116154,1177.4,10095.3,134552449,134.552449
141803470,35599,9.823,0.138,0.136,-310924,-485067,115914,1177.4,10095.3,134553470,134.55347
141804492,36621,9.86,0.208,0.168,-310844,-484770,116047,1177.4,10095.3,134554492,134.55449199999998
141805514,37643,9.798,0.16,0.178,-310978,-484972,116088,1177.4,10095.3,134555514,134.555514
