# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
127815448,0,11.625,0.482,0.425,-306981,-483606,117120,233.7,8590.6,120565448,120.56544799999999
127816272,824,11.312,0.523,0.543,-307665,-483436,117614,233.7,8590.6,120566272,120.566272
127817293,1845,11.424,0.585,0.75,-307421,-483170,118483,233.7,8590.6,120567293,120.56729299999999
127818315,2867,11.31,0.527,0.707,-307671,-483418,118304,233.7,8590.6,120568315,120.568315
127819337,3889,11.4,0.525,0.634,-307473,-483426,117999,233.7,8590.6,120569337,120.56933699999999
127820359,4911,11.31,0.565,0.635,-307670,-483255,118003,233.7,8590.6,120570359,120.570359
127821380,5932,11.266,0.525,0.606,-307766,-483427,117881,233.7,8590.6,120571380,120.57137999999999
127822402,6954,11.294,0.306,0.467,-307704,-484353,117299,233.7,8590.6,120572402,120.572402
127823424,7976,11.486,0.278,0.346,-307284,-484474,116792,233.7,8590.6,120573424,120.57342399999999
127824446,8998,11.338,0.129,0.2,-307608,-485106,116178,233.7,8590.6,120574446,120.574446
127825467,10019,11.557,0.034,0.135,-307129,-485507,115907,233.7,8590.6,120575467,120.57546699999999
127826489,11041,11.316,-0.194,0.138,-307657,-486474,115922,233.7,8590.6,120576489,120.576489
127827511,12063,11.425,-0.003,0.031,-307418,-485662,115471,233.7,8590.6,120577511,120.577511
127828533,13085,11.279,0.041,0.121,-307737,-485478,115848,233.7,8590.6,120578533,120.578533
127829554,14106,11.2,0.04,0.191,-307910,-485483,116142,233.7,8590.6,120579554,120.57955399999999
127830576,15128,11.131,0.015,0.18,-308062,-485589,116097,233.7,8590.6,120580576,120.580576
127831598,16150,11.054,-0.0,0.178,-308230,-485651,116087,233.7,8590.6,120581598,120.581598
127832620,17172,10.923,0.022,0.219,-308518,-485558,116259,233.7,8590.6,120582620,120.58261999999999
127833641,18193,10.908,0.099,0.293,-308550,-485229,116570,233.7,8590.6,120583641,120.583641
127834663,19215,10.72,0.086,0.396,-308962,-485287,117000,233.7,8590.6,120584663,120.58466299999999
127835685,20237,10.837,0.115,0.353,-308706,-485163,116819,233.7,8590.6,120585685,120.585685
127836707,21259,11.044,0.057,0.19,-308252,-485409,116139,233.7,8590.6,120586707,120.58670699999999
127837729,22281,10.934,-0.019,0.197,-308492,-485733,116167,233.7,8590.6,120587729,120.587729
127838750,23302,11.04,0.08,0.108,-308260,-485310,115795,233.7,8590.6,120588750,120.58874999999999
127839772,24324,10.952,-0.033,0.175,-308453,-485791,116077,233.7,8590.6,120589772,120.589772
127840794,25346,10.901,0.068,0.144,-308565,-485361,115944,233.7,8590.6,120590794,120.59079399999999
127841816,26368,10.934,0.095,0.085,-308493,-485248,115699,233.7,8590.6,120591816,120.591816
127842837,27389,10.817,0.103,0.196,-308748,-485213,116164,233.7,8590.6,120592837,120.59283699999999
127843859,28411,10.813,0.11,0.198,-308758,-485186,116173,233.7,8590.6,120593859,120.593859
127844881,29433,10.848,0.022,0.164,-308682,-485557,116031,233.7,8590.6,120594881,120.594881
127845903,30455,10.684,0.027,0.22,-309039,-485538,116264,233.7,8590.6,120595903,120.59590299999999
127846924,31476,10.631,0.021,0.255,-309156,-485561,116409,233.7,8590.6,120596924,120.596924
127847946,32498,10.628,0.082,0.263,-309162,-485304,116443,233.7,8590.6,120597946,120.597946
127848968,33520,10.535,0.215,0.291,-309365,-484738,116560,233.7,8590.6,120598968,120.598968
127849989,34541,10.548,-0.006,0.173,-309338,-485676,116065,233.7,8590.6,120599989,120.599989
127851011,35563,10.411,-0.022,0.069,-309638,-485744,115630,233.7,8590.6,120601011,120.601011
127852033,36585,10.294,0.072,0.136,-309894,-485345,115914,233.7,8590.6,120602033,120.60203299999999
127853055,37607,10.425,0.027,0.143,-309606,-485535,115940,233.7,8590.6,120603055,120.603055
127854077,38629,10.474,0.069,0.113,-309499,-485360,115817,233.7,8590.6,120604077,120.60407699999999
127855098,39650,10.315,0.034,0.12,-309847,-485506,115847,233.7,8590.6,120605098,120.605098
127856120,40672,10.216,0.042,0.152,-310065,-485474,115977,233.7,8590.6,120606120,120.60611999999999
127857142,41694,10.138,0.091,0.119,-310235,-485266,115842,233.7,8590.6,120607142,120.607142
127858163,42715,10.084,0.106,0.313,-310352,-485202,116654,233.7,8590.6,120608163,120.60816299999999
127859185,43737,10.009,0.121,0.346,-310518,-485138,116792,233.7,8590.6,120609185,120.609185
127860207,44759,9.996,0.255,0.304,-310546,-484568,116617,233.7,8590.6,120610207,120.61020699999999
127861229,45781,10.13,0.188,0.239,-310253,-484854,116342,233.7,8590.6,120611229,120.611229
127862250,46802,10.119,0.125,0.225,-310277,-485119,116286,233.7,8590.6,120612250,120.61224999999999
127863272,47824,10.096,0.226,0.181,-310326,-484692,116100,233.7,8590.6,120613272,120.613272
127864294,48846,10.236,0.158,0.133,-310021,-484981,115899,233.7,8590.6,120614294,120.614294
127865316,49868,10.082,0.119,0.156,-310358,-485145,115995,233.7,8590.6,120615316,120.61531599999999
127866338,50890,9.983,0.158,0.098,-310575,-484979,115752,233.7,8590.6,120616338,120.616338
127867359,51911,10.102,0.074,0.115,-310314,-485336,115825,233.7,8590.6,120617359,120.617359
127868381,52933,9.854,0.024,0.099,-310856,-485547,115756,233.7,8590.6,120618381,120.618381
127869403,53955,9.833,0.17,0.176,-310902,-484932,116081,233.7,8590.6,120619403,120.61940299999999
127870424,54976,9.876,0.165,0.182,-310809,-484950,116106,233.7,8590.6,120620424,120.620424
