# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
4104806625,0,0.065,0.017,-0.018,-332198,-485395,115440,809.1,5749.3,4097556625,4097.556625
4104807613,988,0.025,0.097,-0.056,-332286,-485058,115279,809.1,5749.3,4097557613,4097.557613
4104808633,2008,0.03,0.076,0.017,-332275,-485146,115586,809.1,5749.3,4097558633,4097.558633
4104809654,3029,0.17,0.064,0.061,-331968,-485198,115768,809.1,5749.3,4097559654,4097.559654
4104810675,4050,0.097,0.048,-0.034,-332129,-485265,115372,809.1,5749.3,4097560675,4097.560675
4104811696,5071,0.087,0.053,0.004,-332151,-485243,115532,809.1,5749.3,4097561696,4097.561696
4104812717,6092,0.01,-0.036,-0.025,-332318,-485623,115409,809.1,5749.3,4097562717,4097.562717
4104813738,7113,0.134,0.042,-0.049,-332048,-485293,115308,809.1,5749.3,4097563738,4097.563738
4104814759,8134,0.133,-0.033,-0.044,-332050,-485609,115328,809.1,5749.3,4097564759,4097.564759
4104815780,9155,0.094,-0.034,-0.135,-332134,-485611,114950,809.1,5749.3,4097565780,4097.56578
4104816800,10175,0.076,-0.017,-0.048,-332175,-485542,115312,809.1,5749.3,4097566800,4097.5668
4104817821,11196,0.217,-0.012,-0.011,-331867,-485521,115467,809.1,5749.3,4097567821,4097.567821
4104818842,12217,0.139,0.107,-0.03,-332037,-485016,115389,809.1,5749.3,4097568842,4097.568842
4104819863,13238,0.046,-0.004,-0.038,-332240,-485487,115355,809.1,5749.3,4097569863,4097.569863
4104820884,14259,0.232,0.026,0.04,-331833,-485359,115681,809.1,5749.3,4097570884,4097.570884
4104821905,15280,0.083,0.057,-0.002,-332159,-485229,115504,809.1,5749.3,4097571905,4097.571905
4104822926,16301,0.081,0.056,-0.052,-332163,-485233,115295,809.1,5749.3,4097572926,4097.572926
4104823946,17321,0.181,0.038,-0.019,-331945,-485309,115433,809.1,5749.3,4097573946,4097.5739459999995
4104824967,18342,0.15,0.045,-0.01,-332013,-485278,115473,809.1,5749.3,4097574967,4097.574967
4104825988,19363,0.196,-0.074,-0.04,-331912,-485782,115344,809.1,5749.3,4097575988,4097.575988
4104827009,20384,0.412,-0.09,-0.189,-331439,-485850,114722,809.1,5749.3,4097577009,4097.577009
4104828030,21405,0.195,-0.097,-0.196,-331915,-485878,114691,809.1,5749.3,4097578030,4097.57803
4104829051,22426,0.396,-0.15,-0.093,-331475,-486104,115125,809.1,5749.3,4097579051,4097.579051
4104830072,23447,0.326,-0.149,-0.235,-331628,-486099,114528,809.1,5749.3,4097580072,4097.580072
4104831093,24468,0.339,-0.13,-0.18,-331599,-486021,114760,809.1,5749.3,4097581093,4097.581093
4104832113,25488,0.271,-0.282,-0.128,-331747,-486662,114977,809.1,5749.3,4097582113,4097.5821129999995
4104833134,26509,0.265,-0.23,-0.26,-331761,-486443,114424,809.1,5749.3,4097583134,4097.5831339999995
4104834155,27530,0.317,-0.147,-0.225,-331647,-486090,114572,809.1,5749.3,4097584155,4097.584155
4104835176,28551,0.407,-0.085,-0.072,-331450,-485828,115211,809.1,5749.3,4097585176,4097.585176
4104836197,29572,0.216,-0.038,-0.102,-331869,-485630,115086,809.1,5749.3,4097586197,4097.586197
4104837218,30593,0.23,0.017,-0.074,-331838,-485397,115202,809.1,5749.3,4097587218,4097.587218
4104838239,31614,0.283,-0.047,-0.056,-331722,-485670,115280,809.1,5749.3,4097588239,4097.588239
4104839259,32634,0.215,-0.008,-0.142,-331870,-485503,114917,809.1,5749.3,4097589259,4097.589258999999
4104840280,33655,0.243,0.009,-0.041,-331808,-485431,115343,809.1,5749.3,4097590280,4097.590279999999
4104841301,34676,0.223,-0.006,-0.079,-331853,-485496,115182,809.1,5749.3,4097591301,4097.5913009999995
4104842322,35697,0.256,0.006,-0.049,-331780,-485445,115309,809.1,5749.3,4097592322,4097.5923219999995
4104843343,36718,0.325,-0.026,0.027,-331630,-485581,115626,809.1,5749.3,4097593343,4097.593343
4104844364,37739,0.12,-0.085,-0.037,-332079,-485829,115359,809.1,5749.3,4097594364,4097.594364
4104845385,38760,0.264,0.054,0.007,-331763,-485240,115541,809.1,5749.3,4097595385,4097.595385
4104846406,39781,0.214,-0.002,-0.055,-331872,-485476,115282,809.1,5749.3,4097596406,4097.596406
4104847426,40801,0.233,-0.057,0.012,-331832,-485711,115563,809.1,5749.3,4097597426,4097.597426
4104848447,41822,0.222,-0.069,-0.065,-331856,-485763,115240,809.1,5749.3,4097598447,4097.598446999999
4104849468,42843,0.155,0.028,-0.041,-332001,-485349,115340,809.1,5749.3,4097599468,4097.599467999999
4104850489,43864,0.195,-0.107,0.002,-331915,-485920,115522,809.1,5749.3,4097600489,4097.6004889999995
4104851510,44885,0.21,-0.012,-0.011,-331882,-485519,115467,809.1,5749.3,4097601510,4097.6015099999995
4104852531,45906,0.235,-0.059,-0.024,-331827,-485717,115414,809.1,5749.3,4097602531,4097.6025309999995
4104853552,46927,0.251,-0.029,-0.085,-331792,-485591,115158,809.1,5749.3,4097603552,4097.603552
4104854573,47948,0.293,-0.088,-0.11,-331700,-485843,115055,809.1,5749.3,4097604573,4097.604573
4104855593,48968,0.238,0.042,-0.09,-331819,-485292,115135,809.1,5749.3,4097605593,4097.605593
4104856614,49989,0.277,-0.032,0.075,-331734,-485605,115829,809.1,5749.3,4097606614,4097.606614
4104857635,51010,0.346,-0.106,0.028,-331583,-485919,115632,809.1,5749.3,4097607635,4097.607634999999
4104858656,52031,0.398,-0.017,0.002,-331469,-485542,115523,809.1,5749.3,4097608656,4097.608655999999
4104859677,53052,0.408,0.014,-0.068,-331447,-485408,115229,809.1,5749.3,4097609677,4097.6096769999995
4104860698,54073,0.435,-0.069,-0.015,-331390,-485760,115449,809.1,5749.3,4097610698,4097.6106979999995
4104861719,55094,0.316,-0.009,-0.043,-331650,-485509,115333,809.1,5749.3,4097611719,4097.6117189999995
4104862739,56114,0.488,-0.051,-0.003,-331273,-485685,115500,809.1,5749.3,4097612739,4097.612739
4104863760,57135,0.32,-0.079,0.017,-331640,-485804,115584,809.1,5749.3,4097613760,4097.61376
4104864781,58156,0.356,-0.013,-0.057,-331561,-485524,115276,809.1,5749.3,4097614781,4097.614781
4104865802,59177,0.377,-0.032,0.028,-331516,-485606,115632,809.1,5749.3,4097615802,4097.615802
4104866823,60198,0.215,-0.064,0.013,-331871,-485738,115569,809.1,5749.3,4097616823,4097.616822999999
4104867844,61219,0.406,-0.148,0.025,-331453,-486095,115616,809.1,5749.3,4097617844,4097.617843999999
4104868865,62240,0.301,0.021,-0.043,-331682,-485380,115332,809.1,5749.3,4097618865,4097.6188649999995
4104869886,63261,0.305,0.003,0.019,-331673,-485456,115594,809.1,5749.3,4097619886,4097.6198859999995
4104870906,64281,0.374,0.012,0.044,-331523,-485419,115698,809.1,5749.3,4097620906,4097.620906
4104871927,65302,0.374,-0.032,-0.009,-331523,-485606,115477,809.1,5749.3,4097621927,4097.621927
4104872948,66323,0.243,0.003,0.053,-331809,-485457,115735,809.1,5749.3,4097622948,4097.622948
4104873969,67344,0.192,-0.04,0.054,-331921,-485637,115740,809.1,5749.3,4097623969,4097.623969
4104874990,68365,0.293,-0.014,0.06,-331699,-485528,115763,809.1,5749.3,4097624990,4097.62499
4104876011,69386,0.279,0.024,0.035,-331730,-485369,115659,809.1,5749.3,4097626011,4097.626010999999
4104877032,70407,0.191,0.006,0.061,-331922,-485442,115769,809.1,5749.3,4097627032,4097.627031999999
4104878052,71427,0.208,0.046,-0.056,-331886,-485274,115278,809.1,5749.3,4097628052,4097.628052
4104879073,72448,0.251,0.043,0.046,-331792,-485287,115707,809.1,5749.3,4097629073,4097.629073
4104880094,73469,0.318,0.032,0.104,-331645,-485334,115950,809.1,5749.3,4097630094,4097.630094
4104881115,74490,0.228,0.071,0.042,-331841,-485168,115690,809.1,5749.3,4097631115,4097.631115
4104882136,75511,0.304,0.12,0.064,-331675,-484960,115780,809.1,5749.3,4097632136,4097.632136
4104883157,76532,0.266,0.037,-0.036,-331759,-485313,115363,809.1,5749.3,4097633157,4097.633157
4104884178,77553,0.336,0.027,-0.018,-331605,-485354,115437,809.1,5749.3,4097634178,4097.634178
4104885198,78573,0.344,0.067,0.023,-331589,-485184,115608,809.1,5749.3,4097635198,4097.635198
4104886219,79594,0.149,0.112,0.023,-332015,-484994,115611,809.1,5749.3,4097636219,4097.636219
4104887240,80615,0.366,0.036,-0.002,-331541,-485316,115506,809.1,5749.3,4097637240,4097.63724
4104888262,81637,0.36,0.042,0.0,-331552,-485290,115515,809.1,5749.3,4097638262,4097.6382619999995
4104889284,82659,0.448,0.069,0.013,-331360,-485176,115566,809.1,5749.3,4097639284,4097.639284
4104890305,83680,0.318,0.012,-0.007,-331645,-485417,115483,809.1,5749.3,4097640305,4097.640305
