# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
3643491033,0,7.22,0.003,0.052,-316307,-485068,115873,5.4,5046.9,3636241033,3636.241033
3643491721,688,7.309,0.042,0.124,-316112,-484903,116173,5.4,5046.9,3636241721,3636.241721
3643492741,1708,7.373,0.018,0.031,-315973,-485004,115784,5.4,5046.9,3636242741,3636.242741
3643493762,2729,7.426,0.013,0.027,-315856,-485027,115767,5.4,5046.9,3636243762,3636.243762
3643494783,3750,7.462,0.018,0.004,-315777,-485004,115673,5.4,5046.9,3636244783,3636.2447829999996
3643495804,4771,7.411,0.048,0.101,-315890,-484881,116076,5.4,5046.9,3636245804,3636.2458039999997
3643496825,5792,7.283,-0.028,0.04,-316169,-485202,115825,5.4,5046.9,3636246825,3636.2468249999997
3643497846,6813,7.503,0.084,0.085,-315688,-484726,116009,5.4,5046.9,3636247846,3636.2478459999998
3643498867,7834,7.457,0.021,0.068,-315789,-484993,115942,5.4,5046.9,3636248867,3636.248867
3643499887,8854,7.594,0.065,0.07,-315489,-484806,115948,5.4,5046.9,3636249887,3636.249887
3643500908,9875,7.519,-0.096,0.092,-315653,-485488,116040,5.4,5046.9,3636250908,3636.250908
3643501929,10896,7.471,0.06,0.106,-315758,-484828,116099,5.4,5046.9,3636251929,3636.251929
3643502950,11917,7.612,-0.005,0.089,-315450,-485103,116028,5.4,5046.9,3636252950,3636.25295
3643503971,12938,7.679,0.006,0.155,-315303,-485058,116302,5.4,5046.9,3636253971,3636.2539709999996
3643504992,13959,7.575,0.016,0.014,-315532,-485014,115714,5.4,5046.9,3636254992,3636.2549919999997
3643506013,14980,7.618,0.01,-0.034,-315438,-485038,115513,5.4,5046.9,3636256013,3636.2560129999997
3643507034,16001,7.716,-0.014,0.126,-315222,-485140,116182,5.4,5046.9,3636257034,3636.2570339999997
3643508054,17021,7.679,-0.101,0.092,-315304,-485509,116041,5.4,5046.9,3636258054,3636.258054
3643509075,18042,7.644,0.047,0.084,-315380,-484883,116008,5.4,5046.9,3636259075,3636.259075
3643510096,19063,7.723,0.098,0.142,-315207,-484668,116251,5.4,5046.9,3636260096,3636.260096
3643511117,20084,7.79,-0.012,0.052,-315061,-485132,115873,5.4,5046.9,3636261117,3636.261117
3643512138,21105,7.858,0.051,0.028,-314913,-484865,115771,5.4,5046.9,3636262138,3636.262138
3643513159,22126,8.025,0.098,0.097,-314548,-484666,116063,5.4,5046.9,3636263159,3636.2631589999996
3643514180,23147,7.898,0.13,0.115,-314824,-484530,116136,5.4,5046.9,3636264180,3636.2641799999997
3643515201,24168,8.131,0.069,0.094,-314315,-484790,116048,5.4,5046.9,3636265201,3636.2652009999997
3643516221,25188,8.238,0.023,0.074,-314082,-484986,115965,5.4,5046.9,3636266221,3636.266221
3643517242,26209,8.323,0.105,-0.004,-313897,-484636,115640,5.4,5046.9,3636267242,3636.267242
3643518263,27230,8.369,-0.008,0.08,-313795,-485115,115991,5.4,5046.9,3636268263,3636.268263
3643519284,28251,8.228,-0.077,0.058,-314103,-485406,115897,5.4,5046.9,3636269284,3636.269284
3643520305,29272,8.262,-0.073,0.038,-314029,-485391,115815,5.4,5046.9,3636270305,3636.270305
