# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
3604392117,0,94.015,3.648,2.202,-126750,-470389,123988,3.6,4972.9,3597142117,3597.142117
3604392828,711,94.305,3.761,2.325,-126117,-469912,124503,3.6,4972.9,3597142828,3597.142828
3604393850,1733,94.635,3.562,1.894,-125395,-470753,122700,3.6,4972.9,3597143850,3597.14385
3604394872,2755,93.655,3.567,3.14,-127537,-470732,127907,3.6,4972.9,3597144872,3597.144872
3604395894,3777,94.066,6.164,2.766,-126639,-459741,126345,3.6,4972.9,3597145894,3597.1458939999998
3604396915,4798,95.262,4.354,1.815,-124026,-467402,122371,3.6,4972.9,3597146915,3597.146915
3604397937,5820,96.181,2.886,1.219,-122016,-473612,119877,3.6,4972.9,3597147937,3597.1479369999997
3604398959,6842,95.52,1.466,1.897,-123462,-479624,122711,3.6,4972.9,3597148959,3597.1489589999996
3604399981,7864,95.096,1.924,1.943,-124388,-477686,122903,3.6,4972.9,3597149981,3597.149981
3604401002,8885,95.437,2.256,1.945,-123642,-476278,122913,3.6,4972.9,3597151002,3597.151002
3604402024,9907,95.689,2.26,1.654,-123091,-476262,121697,3.6,4972.9,3597152024,3597.152024
3604403046,10929,95.611,2.911,2.64,-123263,-473509,125819,3.6,4972.9,3597153046,3597.153046
3604404068,11951,94.91,4.139,3.604,-124795,-468311,129847,3.6,4972.9,3597154068,3597.154068
3604405089,12972,94.562,5.169,2.797,-125554,-463950,126473,3.6,4972.9,3597155089,3597.155089
3604406111,13994,94.969,5.903,2.047,-124666,-460845,123339,3.6,4972.9,3597156111,3597.156111
3604407133,15016,95.756,5.335,0.895,-122945,-463249,118521,3.6,4972.9,3597157133,3597.1571329999997
3604408155,16038,96.509,4.441,0.991,-121301,-467034,118926,3.6,4972.9,3597158155,3597.1581549999996
3604409177,17060,97.007,3.486,0.946,-120212,-471074,118736,3.6,4972.9,3597159177,3597.159177
3604410198,18081,97.688,2.481,-0.112,-118725,-475327,114311,3.6,4972.9,3597160198,3597.160198
3604411220,19103,97.772,2.104,-1.342,-118541,-476924,109171,3.6,4972.9,3597161220,3597.16122
3604412242,20125,97.947,2.043,-2.073,-118159,-477183,106113,3.6,4972.9,3597162242,3597.162242
3604413264,21147,98.358,1.846,-2.481,-117259,-478017,104407,3.6,4972.9,3597163264,3597.163264
3604414285,22168,98.216,1.861,-1.556,-117570,-477951,108277,3.6,4972.9,3597164285,3597.164285
3604415307,23190,98.169,1.966,-0.653,-117672,-477509,112051,3.6,4972.9,3597165307,3597.1653069999998
3604416329,24212,98.235,2.082,-0.759,-117528,-477015,111606,3.6,4972.9,3597166329,3597.1663289999997
3604417351,25234,98.153,2.044,-1.275,-117708,-477176,109450,3.6,4972.9,3597167351,3597.167351
3604418372,26255,98.082,2.133,-0.868,-117862,-476799,111154,3.6,4972.9,3597168372,3597.1683719999996
3604419394,27277,98.126,2.192,-0.129,-117767,-476550,114242,3.6,4972.9,3597169394,3597.169394
3604420416,28299,98.246,1.57,0.356,-117505,-479184,116270,3.6,4972.9,3597170416,3597.170416
3604421438,29321,98.769,0.754,0.052,-116363,-482636,114997,3.6,4972.9,3597171438,3597.171438
3604422459,30342,98.781,1.124,-0.044,-116335,-481069,114598,3.6,4972.9,3597172459,3597.172459
3604423481,31364,99.143,1.845,-0.054,-115544,-478020,114556,3.6,4972.9,3597173481,3597.173481
3604424503,32386,99.318,1.302,0.298,-115163,-480318,116027,3.6,4972.9,3597174503,3597.1745029999997
3604425525,33408,99.441,0.87,-0.111,-114893,-482144,114319,3.6,4972.9,3597175525,3597.1755249999997
3604426546,34429,99.216,0.551,-0.277,-115386,-483495,113623,3.6,4972.9,3597176546,3597.1765459999997
3604427568,35451,99.189,0.869,0.064,-115445,-482149,115047,3.6,4972.9,3597177568,3597.1775679999996
3604428590,36473,98.814,1.734,0.145,-116263,-478487,115387,3.6,4972.9,3597178590,3597.17859
3604429612,37495,99.207,2.112,-0.176,-115405,-476889,114047,3.6,4972.9,3597179612,3597.179612
3604430633,38516,99.724,1.529,-0.446,-114276,-479358,112915,3.6,4972.9,3597180633,3597.180633
3604431655,39538,99.305,1.065,-0.018,-115191,-481320,114708,3.6,4972.9,3597181655,3597.181655
3604432677,40560,98.849,0.919,-0.179,-116187,-481937,114032,3.6,4972.9,3597182677,3597.182677
3604433699,41582,98.474,1.425,0.171,-117007,-479795,115498,3.6,4972.9,3597183699,3597.1836989999997
3604434720,42603,98.663,1.453,0.312,-116594,-479679,116086,3.6,4972.9,3597184720,3597.1847199999997
3604435742,43625,98.75,0.947,0.937,-116403,-481819,118700,3.6,4972.9,3597185742,3597.1857419999997
3604436764,44647,98.609,0.881,1.431,-116711,-482100,120766,3.6,4972.9,3597186764,3597.186764
3604437786,45669,99.089,0.981,0.72,-115662,-481675,117790,3.6,4972.9,3597187786,3597.187786
3604438808,46691,99.122,0.897,0.165,-115590,-482030,115470,3.6,4972.9,3597188808,3597.188808
3604439829,47712,98.547,0.945,0.049,-116847,-481827,114987,3.6,4972.9,3597189829,3597.189829
3604440851,48734,98.097,1.293,0.933,-117830,-480357,118683,3.6,4972.9,3597190851,3597.190851
3604441873,49756,97.874,1.674,1.177,-118317,-478743,119704,3.6,4972.9,3597191873,3597.1918729999998
3604442895,50778,97.423,2.011,1.395,-119302,-477316,120613,3.6,4972.9,3597192895,3597.1928949999997
3604443916,51799,97.215,2.026,0.918,-119757,-477252,118619,3.6,4972.9,3597193916,3597.1939159999997
3604444938,52821,97.08,1.861,0.522,-120053,-477950,116965,3.6,4972.9,3597194938,3597.1949379999996
3604445960,53843,96.937,1.503,-0.441,-120366,-479466,112939,3.6,4972.9,3597195960,3597.19596
3604446982,54865,96.902,0.838,-0.97,-120442,-482279,110725,3.6,4972.9,3597196982,3597.196982
3604448003,55886,96.325,0.169,-1.075,-121702,-485114,110285,3.6,4972.9,3597198003,3597.198003
3604449025,56908,96.028,-0.014,-0.702,-122351,-485885,111848,3.6,4972.9,3597199025,3597.199025
3604450047,57930,96.238,0.131,-0.37,-121893,-485273,113236,3.6,4972.9,3597200047,3597.200047
3604451069,58952,96.48,-0.136,-0.53,-121364,-486401,112565,3.6,4972.9,3597201069,3597.2010689999997
3604452090,59973,96.15,-0.152,-0.656,-122084,-486470,112037,3.6,4972.9,3597202090,3597.2020899999998
3604453112,60995,95.349,0.362,-0.341,-123836,-484297,113355,3.6,4972.9,3597203112,3597.2031119999997
3604454134,62017,94.716,1.345,-0.419,-125219,-480135,113029,3.6,4972.9,3597204134,3597.2041339999996
3604455156,63039,94.474,1.873,-0.289,-125748,-477899,113575,3.6,4972.9,3597205156,3597.205156
3604456177,64060,94.387,1.938,-0.421,-125937,-477627,113022,3.6,4972.9,3597206177,3597.206177
3604457199,65082,94.296,1.735,-1.014,-126136,-478485,110541,3.6,4972.9,3597207199,3597.207199
3604458221,66104,94.322,1.301,-0.878,-126079,-480322,111110,3.6,4972.9,3597208221,3597.208221
3604459243,67126,93.968,1.032,-1.874,-126853,-481458,106948,3.6,4972.9,3597209243,3597.209243
3604460265,68148,93.018,0.678,-1.64,-128928,-482960,107925,3.6,4972.9,3597210265,3597.2102649999997
3604461286,69169,91.963,0.703,-0.62,-131234,-482851,112191,3.6,4972.9,3597211286,3597.2112859999997
3604462308,70191,91.413,0.889,-0.223,-132436,-482065,113850,3.6,4972.9,3597212308,3597.2123079999997
3604463330,71213,90.855,0.659,-0.068,-133656,-483038,114498,3.6,4972.9,3597213330,3597.21333
