# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
822697214,0,21.746,-4.025,-1.7,-284900,-502760,108099,4382.9,27724.2,815447214,815.4472139999999
822698110,896,21.634,-4.022,-1.592,-285144,-502749,108553,4382.9,27724.2,815448110,815.4481099999999
822699131,1917,21.557,-2.456,-1.255,-285313,-496113,109963,4382.9,27724.2,815449131,815.449131
822700152,2938,21.051,-2.61,-0.948,-286421,-496765,111246,4382.9,27724.2,815450152,815.450152
822701173,3959,20.729,-1.911,-0.868,-287126,-493801,111584,4382.9,27724.2,815451173,815.4511729999999
822702193,4979,20.955,-2.366,-0.666,-286630,-495732,112426,4382.9,27724.2,815452193,815.452193
822703214,6000,20.656,-1.82,-0.599,-287285,-493419,112707,4382.9,27724.2,815453214,815.453214
822704235,7021,20.822,-1.154,-0.292,-286922,-490595,113993,4382.9,27724.2,815454235,815.4542349999999
822705256,8042,20.8,-2.568,0.096,-286970,-496585,115616,4382.9,27724.2,815455256,815.455256
822706277,9063,20.569,-2.618,0.276,-287475,-496800,116371,4382.9,27724.2,815456277,815.456277
822707298,10084,20.642,-2.019,-0.066,-287316,-494261,114940,4382.9,27724.2,815457298,815.4572979999999
822708319,11105,20.91,-2.1,-0.627,-286729,-494603,112590,4382.9,27724.2,815458319,815.458319
822709340,12126,21.391,-1.693,-1.125,-285676,-492879,110508,4382.9,27724.2,815459340,815.45934
822710360,13146,21.772,-2.689,-1.057,-284843,-497100,110791,4382.9,27724.2,815460360,815.4603599999999
822711381,14167,21.307,-3.943,-0.711,-285861,-502411,112241,4382.9,27724.2,815461381,815.461381
822712402,15188,20.613,-3.598,-0.284,-287379,-500949,114026,4382.9,27724.2,815462402,815.462402
822713423,16209,20.281,-2.255,-0.466,-288106,-495259,113267,4382.9,27724.2,815463423,815.4634229999999
822714444,17230,20.648,-4.155,-1.088,-287303,-503313,110660,4382.9,27724.2,815464444,815.464444
822715465,18251,20.903,-4.848,-1.338,-286744,-506246,109614,4382.9,27724.2,815465465,815.465465
822716486,19272,20.89,-3.947,-1.547,-286773,-502429,108741,4382.9,27724.2,815466486,815.4664859999999
822717507,20293,20.942,-3.526,-1.421,-286660,-500645,109266,4382.9,27724.2,815467507,815.467507
822718527,21313,20.832,-2.921,-0.934,-286901,-498083,111305,4382.9,27724.2,815468527,815.468527
822719548,22334,20.433,-2.465,-0.588,-287772,-496151,112754,4382.9,27724.2,815469548,815.4695479999999
822720569,23355,20.201,-3.039,-0.409,-288280,-498584,113504,4382.9,27724.2,815470569,815.470569
822721590,24376,20.289,-3.391,-0.541,-288088,-500076,112953,4382.9,27724.2,815471590,815.47159
822722611,25397,20.365,-2.375,-0.68,-287922,-495770,112371,4382.9,27724.2,815472611,815.4726109999999
822723632,26418,20.592,-1.461,-0.807,-287425,-491897,111837,4382.9,27724.2,815473632,815.473632
822724653,27439,20.666,-1.446,-0.784,-287264,-491834,111932,4382.9,27724.2,815474653,815.474653
822725673,28459,20.405,-2.667,-0.636,-287835,-497006,112555,4382.9,27724.2,815475673,815.4756729999999
822726694,29480,20.226,-2.951,-0.591,-288227,-498209,112742,4382.9,27724.2,815476694,815.476694
822727715,30501,20.019,-2.044,-0.365,-288678,-494368,113689,4382.9,27724.2,815477715,815.477715
822728736,31522,19.638,-1.607,-0.405,-289513,-492514,113520,4382.9,27724.2,815478736,815.4787359999999
822729757,32543,19.903,-1.596,-0.723,-288932,-492469,112191,4382.9,27724.2,815479757,815.479757
822730778,33564,20.014,-2.225,-1.027,-288689,-495132,110917,4382.9,27724.2,815480778,815.480778
822731799,34585,20.136,-2.217,-0.684,-288423,-495099,112352,4382.9,27724.2,815481799,815.4817989999999
822732820,35606,19.717,-2.883,-0.492,-289340,-497921,113156,4382.9,27724.2,815482820,815.48282
822733840,36626,19.602,-2.755,-0.617,-289592,-497377,112633,4382.9,27724.2,815483840,815.48384
822734861,37647,19.644,-1.799,-0.761,-289499,-493329,112032,4382.9,27724.2,815484861,815.4848609999999
822735882,38668,19.821,-2.087,-1.061,-289113,-494547,110776,4382.9,27724.2,815485882,815.485882
822736903,39689,19.824,-2.528,-1.229,-289105,-496417,110072,4382.9,27724.2,815486903,815.486903
822737924,40710,19.968,-3.506,-1.034,-288791,-500560,110886,4382.9,27724.2,815487924,815.4879239999999
822738945,41731,20.045,-2.708,-0.95,-288621,-497180,111238,4382.9,27724.2,815488945,815.488945
822739966,42752,20.03,-2.354,-1.041,-288656,-495681,110856,4382.9,27724.2,815489966,815.489966
822740987,43773,20.113,-4.055,-1.264,-288473,-502886,109926,4382.9,27724.2,815490987,815.490987
822742007,44793,20.472,-3.981,-1.277,-287688,-502576,109868,4382.9,27724.2,815492007,815.492007
822743028,45814,20.199,-3.177,-0.871,-288284,-499169,111569,4382.9,27724.2,815493028,815.493028
822744049,46835,19.836,-2.105,-0.589,-289079,-494625,112749,4382.9,27724.2,815494049,815.494049
822745070,47856,19.651,-2.743,-0.61,-289484,-497326,112664,4382.9,27724.2,815495070,815.4950699999999
822746091,48877,19.783,-2.532,-0.503,-289196,-496435,113109,4382.9,27724.2,815496091,815.496091
822747112,49898,19.564,-2.327,-0.294,-289675,-495565,113987,4382.9,27724.2,815497112,815.497112
822748133,50919,19.357,-1.609,-0.223,-290128,-492521,114283,4382.9,27724.2,815498133,815.4981329999999
822749154,51940,19.22,-0.861,-0.17,-290428,-489352,114504,4382.9,27724.2,815499154,815.499154
822750174,52960,19.33,-1.955,-0.179,-290187,-493991,114465,4382.9,27724.2,815500174,815.500174
822751195,53981,19.096,-2.577,-0.078,-290699,-496625,114891,4382.9,27724.2,815501195,815.5011949999999
822752216,55002,19.05,-2.264,-0.137,-290799,-495298,114644,4382.9,27724.2,815502216,815.502216
822753237,56023,19.198,-1.678,-0.256,-290476,-492816,114146,4382.9,27724.2,815503237,815.503237
822754258,57044,19.413,-2.295,-0.14,-290005,-495431,114629,4382.9,27724.2,815504258,815.5042579999999
822755279,58065,19.014,-1.7,-0.146,-290879,-492907,114605,4382.9,27724.2,815505279,815.505279
822756300,59086,19.088,-2.297,-0.125,-290716,-495438,114692,4382.9,27724.2,815506300,815.5063
822757320,60106,19.355,-3.64,-0.28,-290131,-501129,114044,4382.9,27724.2,815507320,815.5073199999999
822758341,61127,19.567,-2.913,-0.482,-289669,-498048,113198,4382.9,27724.2,815508341,815.508341
822759362,62148,19.886,-2.815,-0.547,-288970,-497635,112927,4382.9,27724.2,815509362,815.509362
822760383,63169,19.939,-1.538,-0.589,-288854,-492221,112750,4382.9,27724.2,815510383,815.5103829999999
822761404,64190,20.095,-1.55,-0.599,-288513,-492272,112709,4382.9,27724.2,815511404,815.511404
822762425,65211,20.073,-3.734,-0.864,-288560,-501527,111598,4382.9,27724.2,815512425,815.512425
822763446,66232,20.126,-2.76,-1.018,-288444,-497399,110954,4382.9,27724.2,815513446,815.5134459999999
822764467,67253,19.972,-3.31,-0.945,-288781,-499731,111261,4382.9,27724.2,815514467,815.514467
822765487,68273,19.79,-1.915,-0.971,-289179,-493821,111149,4382.9,27724.2,815515487,815.515487
822766508,69294,19.83,-1.51,-1.088,-289093,-492104,110662,4382.9,27724.2,815516508,815.5165079999999
822767529,70315,19.813,-2.462,-1.142,-289129,-496136,110435,4382.9,27724.2,815517529,815.517529
822768550,71336,19.891,-2.203,-0.828,-288959,-495039,111748,4382.9,27724.2,815518550,815.51855
822769571,72357,19.801,-2.927,-0.63,-289156,-498107,112580,4382.9,27724.2,815519571,815.5195709999999
822770592,73378,20.035,-2.699,-0.721,-288643,-497142,112198,4382.9,27724.2,815520592,815.520592
822771613,74399,20.34,-3.026,-0.923,-287976,-498529,111351,4382.9,27724.2,815521613,815.521613
822772633,75419,20.363,-3.426,-0.873,-287926,-500223,111560,4382.9,27724.2,815522633,815.5226329999999
822773654,76440,20.089,-2.703,-0.759,-288526,-497159,112038,4382.9,27724.2,815523654,815.523654
822774675,77461,19.782,-2.597,-0.677,-289197,-496711,112380,4382.9,27724.2,815524675,815.524675
822775696,78482,19.726,-1.926,-0.8,-289321,-493866,111867,4382.9,27724.2,815525696,815.5256959999999
822776717,79503,20.016,-1.971,-0.801,-288685,-494055,111864,4382.9,27724.2,815526717,815.526717
