# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
533580991,0,22.34,-2.207,-0.963,-283534,-494758,111444,1246.5,25446.6,526330991,526.3309909999999
533581913,922,22.187,-2.49,-0.921,-283869,-495960,111621,1246.5,25446.6,526331913,526.331913
533582935,1944,22.101,-1.842,-1.083,-284058,-493213,110940,1246.5,25446.6,526332935,526.332935
533583957,2966,22.581,-2.849,-1.327,-283008,-497479,109919,1246.5,25446.6,526333957,526.3339569999999
533584979,3988,22.084,-3.062,-0.892,-284094,-498381,111742,1246.5,25446.6,526334979,526.334979
533586000,5009,21.73,-1.792,-0.614,-284869,-493001,112902,1246.5,25446.6,526336000,526.336
533587022,6031,21.771,-2.019,-0.539,-284780,-493962,113215,1246.5,25446.6,526337022,526.3370219999999
533588044,7053,22.161,-3.15,-1.023,-283927,-498753,111193,1246.5,25446.6,526338044,526.338044
533589066,8075,22.493,-4.308,-1.17,-283199,-503658,110577,1246.5,25446.6,526339066,526.339066
533590088,9097,22.215,-4.01,-1.177,-283809,-502393,110548,1246.5,25446.6,526340088,526.3400879999999
533591109,10118,22.302,-2.949,-1.427,-283617,-497901,109502,1246.5,25446.6,526341109,526.341109
533592131,11140,22.34,-3.218,-1.368,-283535,-499041,109749,1246.5,25446.6,526342131,526.342131
533593153,12162,21.862,-3.846,-1.264,-284580,-501701,110184,1246.5,25446.6,526343153,526.343153
533594174,13183,21.984,-3.248,-1.176,-284313,-499168,110553,1246.5,25446.6,526344174,526.344174
533595196,14205,21.508,-3.05,-1.036,-285355,-498331,111136,1246.5,25446.6,526345196,526.345196
533596218,15227,21.113,-2.931,-0.349,-286218,-497825,114011,1246.5,25446.6,526346218,526.346218
533597240,16249,21.11,-1.746,-0.211,-286224,-492809,114591,1246.5,25446.6,526347240,526.3472399999999
533598261,17270,21.209,-1.876,-0.428,-286007,-493358,113682,1246.5,25446.6,526348261,526.348261
533599283,18292,21.108,-2.36,-0.41,-286230,-495409,113756,1246.5,25446.6,526349283,526.349283
533600305,19314,20.999,-2.84,-0.564,-286467,-497442,113111,1246.5,25446.6,526350305,526.3503049999999
533601327,20336,21.092,-2.731,-0.587,-286263,-496979,113018,1246.5,25446.6,526351327,526.351327
533602349,21358,21.087,-1.839,-0.711,-286274,-493202,112498,1246.5,25446.6,526352349,526.352349
533603370,22379,21.808,-1.363,-1.255,-284699,-491186,110223,1246.5,25446.6,526353370,526.3533699999999
533604392,23401,22.028,-2.99,-1.164,-284218,-498076,110604,1246.5,25446.6,526354392,526.354392
533605414,24423,21.464,-3.2,-1.125,-285451,-498963,110764,1246.5,25446.6,526355414,526.355414
533606436,25445,21.782,-2.303,-1.33,-284754,-495165,109909,1246.5,25446.6,526356436,526.356436
533607457,26466,21.887,-2.184,-1.637,-284525,-494664,108623,1246.5,25446.6,526357457,526.357457
533608479,27488,21.832,-2.542,-1.464,-284646,-496177,109347,1246.5,25446.6,526358479,526.358479
533609501,28510,21.489,-3.959,-0.986,-285396,-502178,111345,1246.5,25446.6,526359501,526.359501
533610522,29531,21.304,-3.923,-1.137,-285800,-502028,110714,1246.5,25446.6,526360522,526.360522
533611544,30553,21.92,-2.889,-1.371,-284453,-497646,109736,1246.5,25446.6,526361544,526.361544
533612566,31575,21.69,-4.073,-1.347,-284957,-502660,109835,1246.5,25446.6,526362566,526.362566
533613588,32597,21.867,-2.769,-1.265,-284568,-497139,110180,1246.5,25446.6,526363588,526.3635879999999
533614609,33618,21.789,-3.794,-1.074,-284740,-501480,110978,1246.5,25446.6,526364609,526.364609
533615631,34640,21.18,-3.185,-0.513,-286072,-498903,113324,1246.5,25446.6,526365631,526.365631
533616653,35662,20.962,-1.949,-0.654,-286549,-493669,112734,1246.5,25446.6,526366653,526.3666529999999
533617675,36684,20.869,-1.795,-0.543,-286751,-493015,113201,1246.5,25446.6,526367675,526.367675
533618696,37705,20.62,-2.224,-0.479,-287296,-494830,113468,1246.5,25446.6,526368696,526.368696
533619718,38727,20.51,-2.395,-0.476,-287537,-495557,113479,1246.5,25446.6,526369718,526.3697179999999
533620740,39749,20.52,-2.227,-0.686,-287514,-494846,112603,1246.5,25446.6,526370740,526.37074
533621762,40771,21.065,-2.2,-1.315,-286322,-494732,109970,1246.5,25446.6,526371762,526.371762
533622783,41792,21.27,-3.147,-1.14,-285875,-498741,110704,1246.5,25446.6,526372783,526.372783
533623805,42814,20.684,-2.898,-0.836,-287156,-497686,111976,1246.5,25446.6,526373805,526.373805
533624827,43836,20.844,-3.032,-1.092,-286807,-498255,110905,1246.5,25446.6,526374827,526.374827
533625849,44858,21.113,-2.927,-1.397,-286217,-497809,109628,1246.5,25446.6,526375849,526.375849
533626870,45879,21.255,-2.973,-1.411,-285907,-498004,109569,1246.5,25446.6,526376870,526.3768699999999
533627892,46901,21.006,-3.333,-1.025,-286451,-499529,111184,1246.5,25446.6,526377892,526.377892
533628914,47923,20.763,-3.368,-0.904,-286983,-499675,111690,1246.5,25446.6,526378914,526.378914
533629936,48945,20.61,-3.378,-1.113,-287318,-499720,110816,1246.5,25446.6,526379936,526.3799359999999
533630957,49966,20.682,-2.677,-1.365,-287161,-496749,109763,1246.5,25446.6,526380957,526.380957
533631979,50988,20.457,-2.348,-1.322,-287652,-495358,109941,1246.5,25446.6,526381979,526.381979
533633001,52010,20.448,-2.109,-0.978,-287673,-494344,111379,1246.5,25446.6,526383001,526.3830009999999
533634023,53032,20.597,-1.862,-0.959,-287346,-493298,111458,1246.5,25446.6,526384023,526.384023
533635045,54054,20.968,-1.863,-0.879,-286535,-493302,111796,1246.5,25446.6,526385045,526.385045
533636066,55075,20.514,-2.939,-0.641,-287528,-497860,112789,1246.5,25446.6,526386066,526.386066
533637088,56097,20.38,-2.135,-0.664,-287822,-494454,112693,1246.5,25446.6,526387088,526.387088
533638110,57119,20.851,-2.146,-1.051,-286791,-494502,111075,1246.5,25446.6,526388110,526.38811
533639131,58140,21.221,-2.347,-1.131,-285982,-495351,110741,1246.5,25446.6,526389131,526.389131
533640153,59162,20.297,-3.368,-0.135,-288002,-499675,114908,1246.5,25446.6,526390153,526.3901529999999
533641175,60184,19.839,-2.744,0.266,-289005,-497034,116586,1246.5,25446.6,526391175,526.391175
533642197,61206,20.352,-2.183,-0.162,-287882,-494659,114793,1246.5,25446.6,526392197,526.392197
533643218,62227,20.632,-2.46,-0.362,-287269,-495833,113957,1246.5,25446.6,526393218,526.3932179999999
533644240,63249,20.342,-3.175,-0.352,-287904,-498861,114001,1246.5,25446.6,526394240,526.39424
533645262,64271,20.309,-1.627,-0.678,-287977,-492303,112634,1246.5,25446.6,526395262,526.395262
533646284,65293,20.514,-1.568,-0.858,-287528,-492055,111882,1246.5,25446.6,526396284,526.3962839999999
533647305,66314,20.335,-2.034,-0.716,-287920,-494028,112475,1246.5,25446.6,526397305,526.397305
533648327,67336,20.158,-1.557,-0.536,-288307,-492009,113229,1246.5,25446.6,526398327,526.398327
533649349,68358,20.38,-0.811,-1.103,-287821,-488850,110856,1246.5,25446.6,526399349,526.399349
533650371,69380,20.733,-1.84,-1.318,-287048,-493205,109960,1246.5,25446.6,526400371,526.400371
533651392,70401,20.503,-2.254,-1.323,-287551,-494958,109938,1246.5,25446.6,526401392,526.401392
533652414,71423,20.605,-2.454,-1.159,-287329,-495804,110624,1246.5,25446.6,526402414,526.402414
533653436,72445,20.503,-2.531,-0.985,-287553,-496132,111353,1246.5,25446.6,526403436,526.4034359999999
533654458,73467,20.463,-2.031,-1.014,-287640,-494013,111230,1246.5,25446.6,526404458,526.404458
533655479,74488,20.482,-2.728,-1.092,-287599,-496966,110904,1246.5,25446.6,526405479,526.405479
533656501,75510,20.225,-2.395,-1.108,-288159,-495555,110837,1246.5,25446.6,526406501,526.4065009999999
533657523,76532,20.717,-2.212,-1.402,-287084,-494783,109605,1246.5,25446.6,526407523,526.407523
533658545,77554,20.554,-2.844,-1.025,-287441,-497459,111183,1246.5,25446.6,526408545,526.408545
533659566,78575,20.098,-3.342,-0.747,-288437,-499566,112345,1246.5,25446.6,526409566,526.4095659999999
533660588,79597,20.041,-2.518,-0.75,-288562,-496077,112333,1246.5,25446.6,526410588,526.410588
533661610,80619,20.559,-2.246,-1.044,-287430,-494927,111104,1246.5,25446.6,526411610,526.41161
533662632,81641,20.687,-3.27,-1.215,-287149,-499262,110390,1246.5,25446.6,526412632,526.412632
533663653,82662,20.28,-2.686,-0.767,-288040,-496788,112263,1246.5,25446.6,526413653,526.413653
533664675,83684,20.043,-2.02,-0.542,-288559,-493968,113203,1246.5,25446.6,526414675,526.414675
533665697,84706,20.176,-1.601,-0.64,-288268,-492192,112793,1246.5,25446.6,526415697,526.415697
533666719,85728,20.385,-3.139,-0.87,-287809,-498708,111832,1246.5,25446.6,526416719,526.416719
533667740,86749,20.392,-2.627,-0.903,-287795,-496540,111693,1246.5,25446.6,526417740,526.41774
533668774,87783,20.45,-2.446,-0.983,-287668,-495770,111358,1246.5,25446.6,526418774,526.418774
533669850,88859,20.45,-2.446,-0.983,-287668,-495770,111358,1246.5,25446.6,526419850,526.41985
533670914,89923,20.499,-2.884,-0.449,-287560,-497626,113592,1246.5,25446.6,526420914,526.4209139999999
533671935,90944,20.729,-3.572,-0.745,-287058,-500540,112356,1246.5,25446.6,526421935,526.421935
533672956,91965,20.977,-3.272,-0.848,-286515,-499271,111923,1246.5,25446.6,526422956,526.422956
533673977,92986,20.94,-2.625,-0.725,-286597,-496531,112437,1246.5,25446.6,526423977,526.4239769999999
533674998,94007,20.389,-2.212,-0.343,-287802,-494782,114035,1246.5,25446.6,526424998,526.424998
533676019,95028,19.844,-1.676,-0.01,-288994,-492510,115430,1246.5,25446.6,526426019,526.426019
533677040,96049,19.715,-0.892,-0.3,-289276,-489192,114216,1246.5,25446.6,526427040,526.4270399999999
533678061,97070,20.296,-2.021,-0.941,-288005,-493971,111535,1246.5,25446.6,526428061,526.428061
533679082,98091,20.406,-3.021,-0.914,-287764,-498208,111649,1246.5,25446.6,526429082,526.429082
533680102,99111,19.935,-3.021,-0.893,-288794,-498205,111734,1246.5,25446.6,526430102,526.4301019999999
533681123,100132,20.229,-1.983,-0.865,-288151,-493813,111855,1246.5,25446.6,526431123,526.431123
533682144,101153,20.175,-1.421,-0.986,-288270,-491432,111348,1246.5,25446.6,526432144,526.432144
533683165,102174,20.301,-1.833,-0.931,-287994,-493174,111578,1246.5,25446.6,526433165,526.433165
533684186,103195,20.535,-2.412,-1.127,-287482,-495626,110759,1246.5,25446.6,526434186,526.434186
533685207,104216,20.857,-3.329,-1.087,-286777,-499510,110925,1246.5,25446.6,526435207,526.435207
533686228,105237,20.158,-2.756,-0.586,-288306,-497085,113022,1246.5,25446.6,526436228,526.436228
533687248,106257,20.011,-2.13,-0.646,-288628,-494432,112768,1246.5,25446.6,526437248,526.437248
533688269,107278,20.541,-3.182,-1.035,-287469,-498887,111144,1246.5,25446.6,526438269,526.438269
533689290,108299,20.877,-3.019,-1.245,-286734,-498200,110265,1246.5,25446.6,526439290,526.43929
533690311,109320,20.711,-3.112,-0.895,-287098,-498594,111726,1246.5,25446.6,526440311,526.440311
533691332,110341,20.087,-2.575,-0.484,-288462,-496318,113449,1246.5,25446.6,526441332,526.441332
533692353,111362,20.145,-2.714,-0.472,-288335,-496907,113496,1246.5,25446.6,526442353,526.442353
533693374,112383,20.409,-3.176,-1.002,-287757,-498863,111279,1246.5,25446.6,526443374,526.443374
533694395,113404,20.807,-3.254,-1.273,-286888,-499193,110147,1246.5,25446.6,526444395,526.444395
533695416,114425,20.708,-2.795,-1.344,-287103,-497251,109850,1246.5,25446.6,526445416,526.445416
533696436,115445,20.628,-2.39,-1.262,-287278,-495533,110193,921.5,28958.3,526446436,526.446436
533697458,116467,20.525,-2.439,-1.343,-287503,-495741,109853,921.5,28958.3,526447458,526.447458
533698480,117489,20.788,-1.784,-1.535,-286928,-492968,109052,921.5,28958.3,526448480,526.44848
533699501,118510,20.791,-1.864,-1.785,-286922,-493308,108003,921.5,28958.3,526449501,526.4495009999999
533700523,119532,20.506,-2.665,-1.288,-287545,-496699,110085,921.5,28958.3,526450523,526.450523
533701545,120554,20.452,-2.431,-1.28,-287664,-495707,110117,921.5,28958.3,526451545,526.451545
533702567,121576,20.817,-2.496,-1.276,-286866,-495983,110133,921.5,28958.3,526452567,526.4525669999999
533703588,122597,21.032,-2.422,-1.341,-286395,-495669,109861,921.5,28958.3,526453588,526.453588
533704610,123619,20.921,-2.346,-1.192,-286637,-495348,110485,921.5,28958.3,526454610,526.45461
533705632,124641,20.093,-2.311,-0.561,-288448,-495199,113127,921.5,28958.3,526455632,526.4556319999999
533706654,125663,19.721,-1.876,-0.403,-289262,-493360,113784,921.5,28958.3,526456654,526.456654
533707675,126684,20.19,-2.532,-0.719,-288236,-496137,112463,921.5,28958.3,526457675,526.457675
533708697,127706,20.534,-2.269,-0.958,-287484,-495024,111466,921.5,28958.3,526458697,526.458697
533709719,128728,20.222,-2.711,-1.118,-288166,-496893,110796,921.5,28958.3,526459719,526.459719
533710741,129750,20.424,-2.838,-1.257,-287724,-497434,110212,921.5,28958.3,526460741,526.460741
533711762,130771,20.325,-2.217,-1.135,-287941,-494801,110724,921.5,28958.3,526461762,526.461762
533712784,131793,20.422,-2.011,-1.028,-287729,-493930,111170,921.5,28958.3,526462784,526.4627839999999
533713806,132815,20.503,-2.842,-1.195,-287553,-497448,110472,921.5,28958.3,526463806,526.463806
533714828,133837,21.141,-3.044,-1.625,-286156,-498306,108675,921.5,28958.3,526464828,526.464828
533715849,134858,21.165,-2.472,-1.896,-286104,-495884,107541,921.5,28958.3,526465849,526.4658489999999
533716871,135880,21.148,-2.187,-1.562,-286141,-494676,108937,921.5,28958.3,526466871,526.466871
533717893,136902,20.762,-2.629,-1.152,-286986,-496548,110653,921.5,28958.3,526467893,526.467893
533718915,137924,19.866,-2.871,-0.832,-288945,-497573,111993,921.5,28958.3,526468915,526.4689149999999
533719936,138945,19.804,-1.692,-0.691,-289080,-492578,112583,921.5,28958.3,526469936,526.469936
533720958,139967,20.366,-2.294,-1.018,-287851,-495128,111212,921.5,28958.3,526470958,526.470958
533721980,140989,20.668,-3.01,-1.067,-287192,-498159,111010,921.5,28958.3,526471980,526.47198
533723002,142011,20.272,-2.519,-0.475,-288057,-496081,113484,921.5,28958.3,526473002,526.473002
533724023,143032,19.763,-2.212,0.04,-289170,-494780,115637,921.5,28958.3,526474023,526.474023
533725045,144054,19.687,-2.237,-0.001,-289336,-494888,115466,921.5,28958.3,526475045,526.475045
533726067,145076,19.975,-2.259,-0.445,-288706,-494980,113611,921.5,28958.3,526476067,526.476067
533727089,146098,20.116,-2.865,-0.448,-288398,-497545,113597,921.5,28958.3,526477089,526.477089
533728110,147119,20.278,-2.47,-0.166,-288044,-495874,114777,921.5,28958.3,526478110,526.47811
533729132,148141,20.429,-1.502,0.158,-287713,-491775,116133,921.5,28958.3,526479132,526.4791319999999
533730154,149163,20.312,-2.052,0.128,-287970,-494102,116008,921.5,28958.3,526480154,526.480154
533731176,150185,20.193,-1.732,-0.171,-288229,-492747,114756,921.5,28958.3,526481176,526.481176
533732197,151206,19.913,-2.544,-0.343,-288842,-496188,114035,921.5,28958.3,526482197,526.4821969999999
533733219,152228,20.161,-2.423,-0.41,-288299,-495673,113758,921.5,28958.3,526483219,526.483219
533734241,153250,20.037,-2.678,-0.144,-288572,-496753,114869,921.5,28958.3,526484241,526.484241
533735263,154272,19.383,-1.932,-0.024,-290002,-493594,115373,921.5,28958.3,526485263,526.485263
533736284,155293,19.416,-1.647,-0.402,-289930,-492388,113792,921.5,28958.3,526486284,526.486284
533737306,156315,20.14,-2.074,-0.817,-288346,-494198,112055,921.5,28958.3,526487306,526.487306
533738328,157337,20.304,-2.837,-0.809,-287987,-497426,112089,921.5,28958.3,526488328,526.488328
533739350,158359,20.392,-3.014,-0.731,-287795,-498178,112412,921.5,28958.3,526489350,526.48935
533740371,159380,20.271,-3.147,-0.503,-288059,-498739,113369,921.5,28958.3,526490371,526.490371
533741393,160402,20.626,-2.64,-0.729,-287283,-496594,112424,921.5,28958.3,526491393,526.491393
533742415,161424,20.906,-2.256,-0.762,-286670,-494968,112285,921.5,28958.3,526492415,526.4924149999999
533743437,162446,20.516,-2.793,-0.489,-287523,-497242,113428,921.5,28958.3,526493437,526.493437
533744458,163467,20.431,-2.255,-0.716,-287709,-494961,112478,921.5,28958.3,526494458,526.494458
533745480,164489,20.629,-3.096,-0.968,-287277,-498524,111424,921.5,28958.3,526495480,526.4954799999999
533746502,165511,20.919,-2.909,-1.048,-286643,-497732,111089,921.5,28958.3,526496502,526.496502
533747524,166533,20.156,-1.849,-0.798,-288311,-493243,112133,921.5,28958.3,526497524,526.497524
533748545,167554,20.041,-1.628,-0.846,-288562,-492309,111933,921.5,28958.3,526498545,526.4985449999999
533749567,168576,20.008,-2.589,-0.773,-288634,-496378,112240,921.5,28958.3,526499567,526.499567
533750589,169598,20.097,-2.887,-1.012,-288441,-497639,111240,921.5,28958.3,526500589,526.500589
533751611,170620,20.14,-2.298,-0.984,-288347,-495145,111357,921.5,28958.3,526501611,526.501611
533752632,171641,20.136,-2.357,-0.701,-288355,-495394,112538,921.5,28958.3,526502632,526.502632
533753654,172663,19.853,-2.05,-0.481,-288974,-494093,113459,921.5,28958.3,526503654,526.503654
533754676,173685,19.712,-1.885,-0.597,-289281,-493397,112974,921.5,28958.3,526504676,526.504676
533755698,174707,19.909,-2.9,-1.031,-288852,-497695,111158,921.5,28958.3,526505698,526.5056979999999
533756720,175729,20.24,-2.769,-1.112,-288127,-497140,110821,921.5,28958.3,526506720,526.50672
533757741,176750,20.186,-2.784,-0.955,-288245,-497204,111476,921.5,28958.3,526507741,526.507741
