t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
141767871,10.118,0.071,0.227,-310266,-485351,116323,1177.4,10095.3
141768644,10.022,0.226,0.242,-310477,-484693,116386,1177.4,10095.3
141769666,10.01,0.167,0.244,-310504,-484945,116392,1177.4,10095.3
141770687,9.925,0.163,0.375,-310689,-484959,116942,1177.4,10095.3
141771709,9.79,0.255,0.319,-310985,-484572,116707,1177.4,10095.3
141772731,10.026,0.311,0.284,-310468,-484333,116562,1177.4,10095.3
141773764,9.947,0.25,0.302,-310641,-484590,116635,1177.4,10095.3
141774839,9.947,0.25,0.302,-310641,-484590,116635,1177.4,10095.3
141775904,10.015,0.257,0.376,-310504,-484562,116916,1177.4,10095.3
141776925,9.974,0.315,0.296,-310594,-484317,116581,1177.4,10095.3
141777946,10.012,0.167,0.248,-310510,-484944,116381,1177.4,10095.3
141778967,10.056,0.151,0.346,-310415,-485012,116793,1177.4,10095.3
141779987,9.969,0.192,0.254,-310605,-484838,116406,1177.4,10095.3
141781008,10.171,0.152,0.264,-310163,-485007,116449,1177.4,10095.3
141782029,10.182,0.161,0.261,-310139,-484968,116436,1177.4,10095.3
141783050,10.068,0.171,0.192,-310389,-484925,116147,1177.4,10095.3
141784071,10.17,0.102,0.134,-310165,-485220,115902,1177.4,10095.3
141785092,10.035,0.079,0.083,-310461,-485314,115690,1177.4,10095.3
141786113,10.052,0.027,0.156,-310424,-485538,115994,1177.4,10095.3
141787133,10.044,0.103,0.158,-310440,-485213,116006,1177.4,10095.3
141788154,9.933,0.189,0.227,-310684,-484849,116294,1177.4,10095.3
141789175,10.072,0.144,0.236,-310379,-485042,116331,1177.4,10095.3
141790196,9.927,0.012,0.214,-310697,-485599,116239,1177.4,10095.3
141791217,9.873,0.159,0.253,-310815,-484975,116404,1177.4,10095.3
141792238,9.829,0.154,0.178,-310912,-484997,116089,1177.4,10095.3
141793259,9.957,0.112,0.272,-310631,-485178,116483,1177.4,10095.3
141794279,9.826,0.136,0.244,-310917,-485075,116365,1177.4,10095.3
141795300,9.786,0.205,0.279,-311006,-484781,116510,1177.4,10095.3
141796321,9.685,0.16,0.301,-311227,-484971,116605,1177.4,10095.3
141797342,9.804,0.245,0.237,-310966,-484614,116333,1177.4,10095.3
