t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4130517977,0,-56.363,0.002,0.101,-455617,-485426,115934,313.6,6081.0
4130518833,856,-56.431,0.013,0.115,-455767,-485378,115995,313.6,6081.0
4130519854,1877,-56.393,0.026,0.208,-455683,-485324,116382,313.6,6081.0
4130520875,2898,-56.402,0.155,0.022,-455704,-484778,115607,313.6,6081.0
4130521896,3919,-56.504,-0.041,0.057,-455926,-485606,115752,313.6,6081.0
4130522916,4939,-56.481,-0.046,0.044,-455876,-485628,115696,313.6,6081.0
4130523937,5960,-56.411,0.031,0.06,-455724,-485302,115765,313.6,6081.0
4130524958,6981,-56.452,0.023,-0.028,-455813,-485335,115398,313.6,6081.0
4130525979,8002,-56.281,-0.014,-0.025,-455438,-485492,115408,313.6,6081.0
4130527000,9023,-56.337,-0.131,-0.064,-455560,-485988,115246,313.6,6081.0
4130528021,10044,-56.465,-0.118,-0.085,-455842,-485931,115156,313.6,6081.0
4130529042,11065,-56.15,-0.111,-0.085,-455152,-485903,115157,313.6,6081.0
4130530062,12085,-56.299,-0.107,-0.094,-455479,-485884,115118,313.6,6081.0
4130531083,13106,-56.203,-0.071,-0.001,-455269,-485734,115511,313.6,6081.0
4130532104,14127,-56.11,-0.146,-0.075,-455064,-486053,115199,313.6,6081.0
4130533125,15148,-56.086,-0.118,-0.113,-455012,-485932,115042,313.6,6081.0
4130534146,16169,-56.096,-0.157,-0.084,-455033,-486098,115160,313.6,6081.0
4130535167,17190,-56.139,-0.143,-0.121,-455128,-486039,115009,313.6,6081.0
4130536188,18211,-56.279,-0.136,0.044,-455435,-486009,115699,313.6,6081.0
4130537208,19231,-56.119,-0.161,-0.002,-455084,-486116,115504,313.6,6081.0
4130538230,20253,-56.157,-0.118,-0.026,-455167,-485931,115406,313.6,6081.0
4130539250,21273,-56.311,-0.07,-0.068,-455505,-485727,115227,313.6,6081.0
4130540271,22294,-56.22,-0.015,0.074,-455305,-485498,115821,313.6,6081.0
4130541292,23315,-56.434,-0.004,-0.016,-455774,-485451,115445,313.6,6081.0
4130542313,24336,-56.349,0.008,0.028,-455588,-485399,115632,313.6,6081.0
4130543334,25357,-56.454,0.042,0.156,-455818,-485253,116167,313.6,6081.0
4130544355,26378,-56.424,-0.021,0.081,-455752,-485523,115852,313.6,6081.0
4130545375,27398,-56.282,-0.015,0.056,-455440,-485494,115747,313.6,6081.0
4130546396,28419,-56.249,-0.042,-0.032,-455368,-485609,115379,313.6,6081.0
4130547417,29440,-56.297,-0.16,-0.087,-455474,-486109,115151,313.6,6081.0
4130548438,30461,-56.1,-0.126,-0.015,-455043,-485965,115451,313.6,6081.0
4130549459,31482,-56.051,-0.119,-0.076,-454935,-485936,115197,313.6,6081.0
4130550480,32503,-55.881,-0.264,-0.152,-454563,-486549,114876,313.6,6081.0
4130551501,33524,-55.895,-0.259,-0.099,-454594,-486530,115097,313.6,6081.0
4130552522,34545,-55.82,-0.336,-0.097,-454430,-486854,115109,313.6,6081.0
4130553542,35565,-55.894,-0.296,-0.009,-454592,-486687,115475,313.6,6081.0
4130554563,36586,-55.662,-0.154,0.026,-454084,-486084,115621,313.6,6081.0
4130555584,37607,-56.036,-0.098,0.082,-454903,-485846,115857,313.6,6081.0
4130556605,38628,-56.079,-0.061,0.165,-454997,-485692,116202,313.6,6081.0
4130557626,39649,-56.089,0.108,0.18,-455019,-484974,116266,313.6,6081.0
4130558647,40670,-56.027,0.142,0.224,-454884,-484830,116450,313.6,6081.0
4130559668,41691,-56.07,0.128,0.239,-454978,-484890,116513,313.6,6081.0
4130560688,42711,-55.984,0.174,0.264,-454790,-484696,116617,313.6,6081.0
4130561709,43732,-56.02,0.13,0.212,-454867,-484881,116400,313.6,6081.0
4130562730,44753,-56.066,0.15,0.148,-454968,-484795,116132,313.6,6081.0
4130563751,45774,-56.071,0.072,0.156,-454980,-485129,116167,313.6,6081.0
4130564772,46795,-56.065,0.001,0.073,-454967,-485429,115820,313.6,6081.0
4130565793,47816,-56.048,0.027,0.099,-454928,-485320,115926,313.6,6081.0
4130566814,48837,-56.048,-0.03,0.026,-454929,-485561,115624,313.6,6081.0
4130567835,49858,-55.913,-0.108,0.082,-454634,-485888,115856,313.6,6081.0
4130568855,50878,-56.049,0.033,0.106,-454932,-485291,115955,313.6,6081.0
4130569876,51899,-56.049,-0.062,0.106,-454932,-485693,115956,313.6,6081.0
4130570897,52920,-55.894,0.082,0.112,-454593,-485084,115983,313.6,6081.0
4130571918,53941,-56.01,0.029,0.188,-454846,-485310,116301,313.6,6081.0
4130572939,54962,-55.888,-0.022,0.085,-454580,-485524,115868,313.6,6081.0
4130573960,55983,-55.928,-0.005,0.101,-454666,-485453,115938,313.6,6081.0
4130574980,57003,-55.938,-0.031,0.077,-454689,-485563,115834,313.6,6081.0
4130576001,58024,-55.863,-0.008,0.117,-454525,-485465,116004,313.6,6081.0
4130577022,59045,-55.939,0.064,0.165,-454691,-485161,116202,313.6,6081.0
4130578043,60066,-55.998,0.093,0.143,-454820,-485039,116112,313.6,6081.0
4130579064,61087,-55.892,0.059,0.11,-454588,-485181,115973,313.6,6081.0
4130580085,62108,-55.697,0.005,0.107,-454162,-485412,115960,313.6,6081.0
4130581106,63129,-55.814,0.041,0.09,-454418,-485259,115892,313.6,6081.0
4130582127,64150,-55.631,0.068,0.161,-454018,-485143,116187,313.6,6081.0
4130583147,65170,-55.762,0.014,0.021,-454304,-485373,115603,313.6,6081.0
4130584168,66191,-55.795,-0.024,0.055,-454375,-485533,115743,313.6,6081.0
4130585189,67212,-55.658,-0.038,-0.142,-454076,-485593,114919,313.6,6081.0
4130586210,68233,-55.618,-0.176,-0.073,-453988,-486180,115206,313.6,6081.0
4130587231,69254,-55.433,-0.075,-0.07,-453583,-485750,115219,313.6,6081.0
4130588252,70275,-55.437,-0.17,-0.06,-453593,-486154,115261,313.6,6081.0
4130589273,71296,-55.433,-0.112,-0.061,-453584,-485909,115257,313.6,6081.0
4130590294,72317,-55.392,-0.112,-0.001,-453494,-485906,115511,313.6,6081.0
4130591314,73337,-55.443,0.0,0.056,-453606,-485432,115749,313.6,6081.0
4130592335,74358,-55.479,-0.019,0.081,-453685,-485515,115853,313.6,6081.0
4130593356,75379,-55.454,0.06,0.052,-453630,-485177,115729,313.6,6081.0
4130594377,76400,-55.437,0.09,0.148,-453593,-485050,116133,313.6,6081.0
4130595398,77421,-55.281,-0.006,0.097,-453251,-485458,115918,313.6,6081.0
4130596419,78442,-55.241,-0.023,0.092,-453164,-485528,115900,313.6,6081.0
4130597440,79463,-55.374,0.118,0.096,-453455,-484931,115914,313.6,6081.0
4130598460,80483,-55.262,0.041,0.044,-453211,-485258,115698,313.6,6081.0
4130599481,81504,-55.23,-0.037,-0.009,-453141,-485591,115477,313.6,6081.0
4130600502,82525,-54.919,-0.17,-0.139,-452459,-486154,114930,313.6,6081.0
4130601523,83546,-54.899,-0.314,-0.239,-452416,-486762,114515,313.6,6081.0
