t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
88411818,23.523,-1.142,0.636,-280934,-490490,118004,931.6,9618.0
88412786,22.813,-1.091,0.107,-282488,-490275,115791,931.6,9618.0
88413805,22.163,-0.766,-0.113,-283910,-488896,114869,931.6,9618.0
88414825,21.45,-0.384,0.134,-285470,-487277,115904,931.6,9618.0
88415844,21.46,-0.389,0.314,-285447,-487300,116659,931.6,9618.0
88416864,21.868,-0.482,0.15,-284555,-487695,115972,931.6,9618.0
88417883,22.244,-0.492,0.426,-283733,-487736,117126,931.6,9618.0
88418903,22.156,-0.587,0.605,-283926,-488137,117876,931.6,9618.0
88419922,21.247,-0.426,1.228,-285913,-487456,120482,931.6,9618.0
88420942,20.228,-0.115,1.773,-288143,-486138,122766,931.6,9618.0
88421961,19.611,0.173,1.769,-289495,-484916,122750,931.6,9618.0
88422981,19.099,0.266,1.744,-290615,-484522,122645,931.6,9618.0
88424000,19.355,0.199,1.736,-290054,-484809,122611,931.6,9618.0
88425020,19.923,0.147,1.549,-288811,-485027,121826,931.6,9618.0
88426039,20.207,-0.119,1.4,-288189,-486156,121202,931.6,9618.0
88427059,20.157,-0.578,1.032,-288299,-488100,119665,931.6,9618.0
88428078,19.693,-0.508,0.349,-289314,-487802,116803,931.6,9618.0
88429097,18.803,-0.492,0.0,-291262,-487734,115343,931.6,9618.0
88430117,18.153,-0.302,-0.154,-292685,-486930,114699,931.6,9618.0
88431136,17.652,0.17,-0.112,-293781,-484929,114872,931.6,9618.0
88432156,17.741,0.303,-0.049,-293585,-484365,115138,931.6,9618.0
88433175,18.207,-0.002,-0.035,-292566,-485659,115198,931.6,9618.0
88434195,18.562,-0.555,-0.297,-291790,-488001,114100,931.6,9618.0
88435214,18.196,-0.75,-0.37,-292590,-488829,113792,931.6,9618.0
88436234,17.608,-0.727,-0.356,-293878,-488731,113854,931.6,9618.0
88437253,16.619,-0.386,-0.033,-296041,-487286,115205,931.6,9618.0
88438273,16.032,0.184,0.449,-297326,-484872,117223,931.6,9618.0
88439292,15.942,0.124,1.17,-297522,-485124,120239,931.6,9618.0
88440312,16.562,-0.134,1.566,-296166,-486218,121900,931.6,9618.0
88441331,16.873,-0.548,1.364,-295485,-487971,121054,931.6,9618.0
88442351,16.793,-0.941,1.092,-295660,-489637,119916,931.6,9618.0
88443370,16.192,-1.243,0.724,-296976,-490919,118373,931.6,9618.0
88444390,15.107,-0.895,0.512,-299350,-489445,117485,931.6,9618.0
88445409,13.528,0.185,0.628,-302805,-484868,117970,931.6,9618.0
88446429,13.197,0.718,0.86,-303530,-482607,118942,931.6,9618.0
88447448,13.744,0.44,0.705,-302333,-483788,118296,931.6,9618.0
88448468,14.655,-0.193,0.334,-300340,-486468,116742,931.6,9618.0
