t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4104806625,0,0.065,0.017,-0.018,-332198,-485395,115440,809.1,5749.3
4104807613,988,0.025,0.097,-0.056,-332286,-485058,115279,809.1,5749.3
4104808633,2008,0.03,0.076,0.017,-332275,-485146,115586,809.1,5749.3
4104809654,3029,0.17,0.064,0.061,-331968,-485198,115768,809.1,5749.3
4104810675,4050,0.097,0.048,-0.034,-332129,-485265,115372,809.1,5749.3
4104811696,5071,0.087,0.053,0.004,-332151,-485243,115532,809.1,5749.3
4104812717,6092,0.01,-0.036,-0.025,-332318,-485623,115409,809.1,5749.3
4104813738,7113,0.134,0.042,-0.049,-332048,-485293,115308,809.1,5749.3
4104814759,8134,0.133,-0.033,-0.044,-332050,-485609,115328,809.1,5749.3
4104815780,9155,0.094,-0.034,-0.135,-332134,-485611,114950,809.1,5749.3
4104816800,10175,0.076,-0.017,-0.048,-332175,-485542,115312,809.1,5749.3
4104817821,11196,0.217,-0.012,-0.011,-331867,-485521,115467,809.1,5749.3
4104818842,12217,0.139,0.107,-0.03,-332037,-485016,115389,809.1,5749.3
4104819863,13238,0.046,-0.004,-0.038,-332240,-485487,115355,809.1,5749.3
4104820884,14259,0.232,0.026,0.04,-331833,-485359,115681,809.1,5749.3
4104821905,15280,0.083,0.057,-0.002,-332159,-485229,115504,809.1,5749.3
4104822926,16301,0.081,0.056,-0.052,-332163,-485233,115295,809.1,5749.3
4104823946,17321,0.181,0.038,-0.019,-331945,-485309,115433,809.1,5749.3
4104824967,18342,0.15,0.045,-0.01,-332013,-485278,115473,809.1,5749.3
4104825988,19363,0.196,-0.074,-0.04,-331912,-485782,115344,809.1,5749.3
4104827009,20384,0.412,-0.09,-0.189,-331439,-485850,114722,809.1,5749.3
4104828030,21405,0.195,-0.097,-0.196,-331915,-485878,114691,809.1,5749.3
4104829051,22426,0.396,-0.15,-0.093,-331475,-486104,115125,809.1,5749.3
4104830072,23447,0.326,-0.149,-0.235,-331628,-486099,114528,809.1,5749.3
4104831093,24468,0.339,-0.13,-0.18,-331599,-486021,114760,809.1,5749.3
4104832113,25488,0.271,-0.282,-0.128,-331747,-486662,114977,809.1,5749.3
4104833134,26509,0.265,-0.23,-0.26,-331761,-486443,114424,809.1,5749.3
4104834155,27530,0.317,-0.147,-0.225,-331647,-486090,114572,809.1,5749.3
4104835176,28551,0.407,-0.085,-0.072,-331450,-485828,115211,809.1,5749.3
4104836197,29572,0.216,-0.038,-0.102,-331869,-485630,115086,809.1,5749.3
4104837218,30593,0.23,0.017,-0.074,-331838,-485397,115202,809.1,5749.3
4104838239,31614,0.283,-0.047,-0.056,-331722,-485670,115280,809.1,5749.3
4104839259,32634,0.215,-0.008,-0.142,-331870,-485503,114917,809.1,5749.3
4104840280,33655,0.243,0.009,-0.041,-331808,-485431,115343,809.1,5749.3
4104841301,34676,0.223,-0.006,-0.079,-331853,-485496,115182,809.1,5749.3
4104842322,35697,0.256,0.006,-0.049,-331780,-485445,115309,809.1,5749.3
4104843343,36718,0.325,-0.026,0.027,-331630,-485581,115626,809.1,5749.3
4104844364,37739,0.12,-0.085,-0.037,-332079,-485829,115359,809.1,5749.3
4104845385,38760,0.264,0.054,0.007,-331763,-485240,115541,809.1,5749.3
4104846406,39781,0.214,-0.002,-0.055,-331872,-485476,115282,809.1,5749.3
4104847426,40801,0.233,-0.057,0.012,-331832,-485711,115563,809.1,5749.3
4104848447,41822,0.222,-0.069,-0.065,-331856,-485763,115240,809.1,5749.3
4104849468,42843,0.155,0.028,-0.041,-332001,-485349,115340,809.1,5749.3
4104850489,43864,0.195,-0.107,0.002,-331915,-485920,115522,809.1,5749.3
4104851510,44885,0.21,-0.012,-0.011,-331882,-485519,115467,809.1,5749.3
4104852531,45906,0.235,-0.059,-0.024,-331827,-485717,115414,809.1,5749.3
4104853552,46927,0.251,-0.029,-0.085,-331792,-485591,115158,809.1,5749.3
4104854573,47948,0.293,-0.088,-0.11,-331700,-485843,115055,809.1,5749.3
4104855593,48968,0.238,0.042,-0.09,-331819,-485292,115135,809.1,5749.3
4104856614,49989,0.277,-0.032,0.075,-331734,-485605,115829,809.1,5749.3
4104857635,51010,0.346,-0.106,0.028,-331583,-485919,115632,809.1,5749.3
4104858656,52031,0.398,-0.017,0.002,-331469,-485542,115523,809.1,5749.3
4104859677,53052,0.408,0.014,-0.068,-331447,-485408,115229,809.1,5749.3
4104860698,54073,0.435,-0.069,-0.015,-331390,-485760,115449,809.1,5749.3
4104861719,55094,0.316,-0.009,-0.043,-331650,-485509,115333,809.1,5749.3
4104862739,56114,0.488,-0.051,-0.003,-331273,-485685,115500,809.1,5749.3
4104863760,57135,0.32,-0.079,0.017,-331640,-485804,115584,809.1,5749.3
4104864781,58156,0.356,-0.013,-0.057,-331561,-485524,115276,809.1,5749.3
4104865802,59177,0.377,-0.032,0.028,-331516,-485606,115632,809.1,5749.3
4104866823,60198,0.215,-0.064,0.013,-331871,-485738,115569,809.1,5749.3
4104867844,61219,0.406,-0.148,0.025,-331453,-486095,115616,809.1,5749.3
4104868865,62240,0.301,0.021,-0.043,-331682,-485380,115332,809.1,5749.3
4104869886,63261,0.305,0.003,0.019,-331673,-485456,115594,809.1,5749.3
4104870906,64281,0.374,0.012,0.044,-331523,-485419,115698,809.1,5749.3
4104871927,65302,0.374,-0.032,-0.009,-331523,-485606,115477,809.1,5749.3
4104872948,66323,0.243,0.003,0.053,-331809,-485457,115735,809.1,5749.3
