t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3908981278,0,0.835,-0.091,-0.146,-330384,-485867,114734,4.5,5400.3
3908982257,979,0.789,-0.025,-0.142,-330483,-485586,114748,4.5,5400.3
3908983277,1999,0.682,0.0,-0.18,-330717,-485480,114589,4.5,5400.3
3908984296,3018,0.533,-0.142,-0.138,-331044,-486083,114766,4.5,5400.3
3908985316,4038,0.509,-0.149,-0.218,-331097,-486113,114433,4.5,5400.3
3908986335,5057,0.229,-0.2,-0.216,-331709,-486331,114439,4.5,5400.3
3908987355,6077,0.266,-0.143,-0.24,-331629,-486087,114339,4.5,5400.3
3908988374,7096,0.296,-0.182,-0.323,-331563,-486255,113992,4.5,5400.3
3908989394,8116,0.09,-0.097,-0.385,-332014,-485894,113733,4.5,5400.3
3908990413,9135,0.049,-0.148,-0.289,-332102,-486111,114133,4.5,5400.3
3908991433,10155,0.028,-0.134,-0.321,-332149,-486048,114001,4.5,5400.3
3908992452,11174,-0.119,-0.13,-0.262,-332471,-486034,114245,4.5,5400.3
3908993472,12194,-0.213,-0.199,-0.364,-332676,-486327,113820,4.5,5400.3
3908994491,13213,-0.296,-0.23,-0.31,-332858,-486455,114046,4.5,5400.3
3908995511,14233,-0.279,-0.219,-0.31,-332820,-486409,114046,4.5,5400.3
3908996530,15252,-0.397,-0.15,-0.338,-333078,-486116,113928,4.5,5400.3
3908997550,16272,-0.498,-0.293,-0.428,-333299,-486723,113554,4.5,5400.3
3908998569,17291,-0.508,-0.318,-0.296,-333320,-486830,114106,4.5,5400.3
3908999589,18311,-0.795,-0.24,-0.371,-333949,-486497,113791,4.5,5400.3
3909000608,19330,-0.936,-0.212,-0.437,-334258,-486380,113513,4.5,5400.3
3909001628,20350,-1.094,-0.231,-0.386,-334602,-486460,113726,4.5,5400.3
3909002647,21369,-1.082,-0.312,-0.38,-334576,-486803,113754,4.5,5400.3
3909003666,22388,-1.262,-0.187,-0.345,-334970,-486274,113899,4.5,5400.3
3909004686,23408,-1.425,-0.244,-0.371,-335328,-486516,113789,4.5,5400.3
3909005705,24427,-1.517,-0.133,-0.318,-335528,-486045,114014,4.5,5400.3
3909006725,25447,-1.553,-0.123,-0.277,-335606,-486005,114185,4.5,5400.3
3909007744,26466,-1.567,-0.128,-0.281,-335638,-486023,114167,4.5,5400.3
3909008764,27486,-1.661,-0.056,-0.273,-335843,-485718,114200,4.5,5400.3
3909009783,28505,-1.49,-0.025,-0.181,-335470,-485589,114587,4.5,5400.3
3909010803,29525,-1.552,-0.051,-0.266,-335604,-485697,114232,4.5,5400.3
3909011822,30544,-1.544,-0.046,-0.252,-335587,-485675,114287,4.5,5400.3
3909012842,31564,-1.528,-0.133,-0.265,-335553,-486044,114236,4.5,5400.3
3909013861,32583,-1.588,-0.06,-0.247,-335683,-485738,114311,4.5,5400.3
3909014881,33603,-1.504,0.004,-0.197,-335500,-485465,114517,4.5,5400.3
3909015900,34622,-1.37,-0.02,-0.17,-335206,-485568,114632,4.5,5400.3
3909016920,35642,-1.444,-0.064,-0.225,-335368,-485752,114400,4.5,5400.3
3909017939,36661,-1.387,0.035,-0.184,-335243,-485332,114573,4.5,5400.3
3909018959,37681,-1.282,-0.004,-0.174,-335014,-485498,114617,4.5,5400.3
3909019978,38700,-1.225,-0.019,-0.169,-334890,-485563,114636,4.5,5400.3
3909020998,39720,-1.168,-0.059,-0.184,-334764,-485733,114575,4.5,5400.3
3909022017,40739,-1.078,-0.004,-0.105,-334569,-485499,114906,4.5,5400.3
3909023037,41759,-1.136,0.066,-0.17,-334695,-485204,114631,4.5,5400.3
3909024056,42778,-1.003,-0.028,-0.159,-334404,-485600,114676,4.5,5400.3
3909025076,43798,-0.854,0.004,-0.084,-334078,-485465,114990,4.5,5400.3
3909026095,44817,-0.857,0.036,-0.153,-334085,-485328,114704,4.5,5400.3
3909027114,45836,-0.704,0.073,-0.08,-333750,-485172,115010,4.5,5400.3
3909028134,46856,-0.686,0.002,-0.163,-333711,-485475,114662,4.5,5400.3
3909029153,47875,-0.577,-0.032,-0.051,-333473,-485617,115132,4.5,5400.3
3909030173,48895,-0.463,0.002,-0.082,-333222,-485473,115001,4.5,5400.3
3909031192,49914,-0.508,0.066,-0.097,-333322,-485201,114936,4.5,5400.3
3909032212,50934,-0.402,-0.035,-0.044,-333090,-485629,115158,4.5,5400.3
3909033231,51953,-0.445,0.046,-0.132,-333184,-485287,114792,4.5,5400.3
3909034251,52973,-0.347,0.014,-0.084,-332968,-485424,114992,4.5,5400.3
3909035270,53992,-0.458,-0.069,-0.047,-333211,-485774,115146,4.5,5400.3
3909036290,55012,-0.374,0.002,0.007,-333029,-485472,115373,4.5,5400.3
3909037309,56031,-0.366,-0.055,-0.047,-333011,-485716,115147,4.5,5400.3
3909038329,57051,-0.352,-0.014,-0.058,-332979,-485543,115102,4.5,5400.3
3909039348,58070,-0.367,-0.055,-0.094,-333012,-485716,114950,4.5,5400.3
