t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
533580991,0,22.34,-2.207,-0.963,-283534,-494758,111444,1246.5,25446.6
533581913,922,22.187,-2.49,-0.921,-283869,-495960,111621,1246.5,25446.6
533582935,1944,22.101,-1.842,-1.083,-284058,-493213,110940,1246.5,25446.6
533583957,2966,22.581,-2.849,-1.327,-283008,-497479,109919,1246.5,25446.6
533584979,3988,22.084,-3.062,-0.892,-284094,-498381,111742,1246.5,25446.6
533586000,5009,21.73,-1.792,-0.614,-284869,-493001,112902,1246.5,25446.6
533587022,6031,21.771,-2.019,-0.539,-284780,-493962,113215,1246.5,25446.6
533588044,7053,22.161,-3.15,-1.023,-283927,-498753,111193,1246.5,25446.6
533589066,8075,22.493,-4.308,-1.17,-283199,-503658,110577,1246.5,25446.6
533590088,9097,22.215,-4.01,-1.177,-283809,-502393,110548,1246.5,25446.6
533591109,10118,22.302,-2.949,-1.427,-283617,-497901,109502,1246.5,25446.6
533592131,11140,22.34,-3.218,-1.368,-283535,-499041,109749,1246.5,25446.6
533593153,12162,21.862,-3.846,-1.264,-284580,-501701,110184,1246.5,25446.6
533594174,13183,21.984,-3.248,-1.176,-284313,-499168,110553,1246.5,25446.6
533595196,14205,21.508,-3.05,-1.036,-285355,-498331,111136,1246.5,25446.6
533596218,15227,21.113,-2.931,-0.349,-286218,-497825,114011,1246.5,25446.6
533597240,16249,21.11,-1.746,-0.211,-286224,-492809,114591,1246.5,25446.6
533598261,17270,21.209,-1.876,-0.428,-286007,-493358,113682,1246.5,25446.6
533599283,18292,21.108,-2.36,-0.41,-286230,-495409,113756,1246.5,25446.6
533600305,19314,20.999,-2.84,-0.564,-286467,-497442,113111,1246.5,25446.6
533601327,20336,21.092,-2.731,-0.587,-286263,-496979,113018,1246.5,25446.6
533602349,21358,21.087,-1.839,-0.711,-286274,-493202,112498,1246.5,25446.6
533603370,22379,21.808,-1.363,-1.255,-284699,-491186,110223,1246.5,25446.6
533604392,23401,22.028,-2.99,-1.164,-284218,-498076,110604,1246.5,25446.6
533605414,24423,21.464,-3.2,-1.125,-285451,-498963,110764,1246.5,25446.6
533606436,25445,21.782,-2.303,-1.33,-284754,-495165,109909,1246.5,25446.6
533607457,26466,21.887,-2.184,-1.637,-284525,-494664,108623,1246.5,25446.6
533608479,27488,21.832,-2.542,-1.464,-284646,-496177,109347,1246.5,25446.6
533609501,28510,21.489,-3.959,-0.986,-285396,-502178,111345,1246.5,25446.6
533610522,29531,21.304,-3.923,-1.137,-285800,-502028,110714,1246.5,25446.6
533611544,30553,21.92,-2.889,-1.371,-284453,-497646,109736,1246.5,25446.6
533612566,31575,21.69,-4.073,-1.347,-284957,-502660,109835,1246.5,25446.6
533613588,32597,21.867,-2.769,-1.265,-284568,-497139,110180,1246.5,25446.6
533614609,33618,21.789,-3.794,-1.074,-284740,-501480,110978,1246.5,25446.6
533615631,34640,21.18,-3.185,-0.513,-286072,-498903,113324,1246.5,25446.6
533616653,35662,20.962,-1.949,-0.654,-286549,-493669,112734,1246.5,25446.6
533617675,36684,20.869,-1.795,-0.543,-286751,-493015,113201,1246.5,25446.6
533618696,37705,20.62,-2.224,-0.479,-287296,-494830,113468,1246.5,25446.6
533619718,38727,20.51,-2.395,-0.476,-287537,-495557,113479,1246.5,25446.6
533620740,39749,20.52,-2.227,-0.686,-287514,-494846,112603,1246.5,25446.6
533621762,40771,21.065,-2.2,-1.315,-286322,-494732,109970,1246.5,25446.6
533622783,41792,21.27,-3.147,-1.14,-285875,-498741,110704,1246.5,25446.6
533623805,42814,20.684,-2.898,-0.836,-287156,-497686,111976,1246.5,25446.6
533624827,43836,20.844,-3.032,-1.092,-286807,-498255,110905,1246.5,25446.6
533625849,44858,21.113,-2.927,-1.397,-286217,-497809,109628,1246.5,25446.6
533626870,45879,21.255,-2.973,-1.411,-285907,-498004,109569,1246.5,25446.6
533627892,46901,21.006,-3.333,-1.025,-286451,-499529,111184,1246.5,25446.6
533628914,47923,20.763,-3.368,-0.904,-286983,-499675,111690,1246.5,25446.6
533629936,48945,20.61,-3.378,-1.113,-287318,-499720,110816,1246.5,25446.6
533630957,49966,20.682,-2.677,-1.365,-287161,-496749,109763,1246.5,25446.6
533631979,50988,20.457,-2.348,-1.322,-287652,-495358,109941,1246.5,25446.6
533633001,52010,20.448,-2.109,-0.978,-287673,-494344,111379,1246.5,25446.6
533634023,53032,20.597,-1.862,-0.959,-287346,-493298,111458,1246.5,25446.6
533635045,54054,20.968,-1.863,-0.879,-286535,-493302,111796,1246.5,25446.6
533636066,55075,20.514,-2.939,-0.641,-287528,-497860,112789,1246.5,25446.6
533637088,56097,20.38,-2.135,-0.664,-287822,-494454,112693,1246.5,25446.6
533638110,57119,20.851,-2.146,-1.051,-286791,-494502,111075,1246.5,25446.6
533639131,58140,21.221,-2.347,-1.131,-285982,-495351,110741,1246.5,25446.6
533640153,59162,20.297,-3.368,-0.135,-288002,-499675,114908,1246.5,25446.6
533641175,60184,19.839,-2.744,0.266,-289005,-497034,116586,1246.5,25446.6
533642197,61206,20.352,-2.183,-0.162,-287882,-494659,114793,1246.5,25446.6
533643218,62227,20.632,-2.46,-0.362,-287269,-495833,113957,1246.5,25446.6
533644240,63249,20.342,-3.175,-0.352,-287904,-498861,114001,1246.5,25446.6
