t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
497058118,0,0.588,-0.021,0.012,-332356,-485454,115553,2380.0,21813.2
497059050,932,0.708,0.026,-0.021,-332093,-485252,115413,2380.0,21813.2
497060071,1953,0.667,0.029,0.055,-332182,-485242,115733,2380.0,21813.2
497061091,2973,0.655,0.022,-0.039,-332209,-485271,115338,2380.0,21813.2
497062112,3994,0.652,-0.02,-0.085,-332216,-485450,115145,2380.0,21813.2
497063133,5015,0.533,0.038,-0.015,-332476,-485202,115439,2380.0,21813.2
497064154,6036,0.639,0.009,-0.017,-332245,-485326,115430,2380.0,21813.2
497065175,7057,0.577,-0.03,-0.006,-332379,-485489,115476,2380.0,21813.2
497066196,8078,0.585,0.077,0.051,-332363,-485037,115716,2380.0,21813.2
497067217,9099,0.594,-0.027,-0.014,-332342,-485480,115441,2380.0,21813.2
497068237,10119,0.746,-0.01,-0.0,-332010,-485407,115501,2380.0,21813.2
497069270,11152,0.489,0.02,-0.042,-332573,-485280,115326,2380.0,21813.2
497070346,12228,0.489,0.02,-0.042,-332573,-485280,115326,2380.0,21813.2
497071411,13293,0.655,0.017,-0.026,-332223,-485254,115393,2380.0,21813.2
497072431,14313,0.721,0.049,-0.045,-332078,-485119,115312,2380.0,21813.2
497073452,15334,0.652,-0.03,0.011,-332230,-485453,115547,2380.0,21813.2
497074473,16355,0.775,0.062,0.014,-331960,-485065,115560,2380.0,21813.2
497075494,17376,0.644,0.125,-0.017,-332246,-484796,115429,2380.0,21813.2
497076515,18397,0.692,0.012,-0.085,-332142,-485278,115146,2380.0,21813.2
497077536,19418,0.727,0.028,0.007,-332066,-485209,115533,2380.0,21813.2
497078557,20439,0.782,-0.012,0.034,-331945,-485377,115642,2380.0,21813.2
497079577,21459,0.664,0.088,-0.026,-332202,-484953,115393,2380.0,21813.2
497080598,22480,0.785,0.021,0.061,-331938,-485239,115755,2380.0,21813.2
497081619,23501,0.656,0.053,0.009,-332221,-485102,115540,2380.0,21813.2
497082640,24522,0.644,0.003,0.01,-332247,-485313,115543,2380.0,21813.2
497083661,25543,0.671,-0.005,-0.053,-332188,-485347,115280,2380.0,21813.2
497084682,26564,0.621,-0.021,-0.027,-332296,-485417,115387,2380.0,21813.2
497085703,27585,0.779,0.017,0.013,-331951,-485254,115556,2380.0,21813.2
497086724,28606,0.716,0.014,0.0,-332089,-485266,115502,2380.0,21813.2
497087744,29626,0.586,0.007,0.018,-332374,-485296,115577,2380.0,21813.2
497088765,30647,0.726,-0.017,0.015,-332067,-485400,115564,2380.0,21813.2
497089786,31668,0.661,-0.039,-0.075,-332209,-485492,115187,2380.0,21813.2
497090807,32689,0.605,0.062,0.007,-332332,-485066,115530,2380.0,21813.2
497091828,33710,0.662,0.025,-0.029,-332208,-485222,115380,2380.0,21813.2
497092849,34731,0.601,0.032,-0.037,-332340,-485192,115347,2380.0,21813.2
497093870,35752,0.647,0.043,-0.012,-332240,-485147,115451,2380.0,21813.2
497094891,36773,0.723,-0.069,0.071,-332074,-485621,115798,2380.0,21813.2
497095912,37794,0.603,0.019,-0.071,-332336,-485248,115204,2380.0,21813.2
497096934,38816,0.602,0.065,0.04,-332339,-485051,115671,2380.0,21813.2
497097956,39838,0.713,0.039,-0.008,-332096,-485161,115469,2380.0,21813.2
497098977,40859,0.636,0.032,0.049,-332264,-485190,115706,2380.0,21813.2
497099999,41881,0.595,-0.006,0.054,-332353,-485351,115727,2380.0,21813.2
497101021,42903,0.678,0.045,-0.019,-332173,-485138,115423,2380.0,21813.2
497102043,43925,0.719,0.002,0.048,-332083,-485319,115702,2380.0,21813.2
497103064,44946,0.703,0.058,-0.01,-332118,-485083,115459,2380.0,21813.2
497104086,45968,0.8,0.009,0.004,-331905,-485291,115518,2380.0,21813.2
497105108,46990,0.647,0.023,-0.066,-332240,-485230,115224,2380.0,21813.2
497106130,48012,0.76,0.011,-0.007,-331993,-485281,115473,2380.0,21813.2
497107151,49033,0.509,-0.012,-0.052,-332541,-485377,115282,2380.0,21813.2
497108173,50055,0.7,-0.017,-0.056,-332124,-485399,115266,2380.0,21813.2
497109195,51077,0.74,0.055,0.016,-332037,-485095,115567,2380.0,21813.2
497110217,52099,0.702,-0.023,0.035,-332121,-485425,115648,2380.0,21813.2
497111238,53120,0.715,0.027,0.04,-332091,-485213,115668,2380.0,21813.2
497112260,54142,0.636,-0.104,0.039,-332265,-485769,115665,2380.0,21813.2
497113282,55164,0.56,-0.033,-0.01,-332430,-485467,115459,2380.0,21813.2
497114304,56186,0.691,0.034,-0.004,-332143,-485184,115484,2380.0,21813.2
497115325,57207,0.653,0.032,-0.018,-332228,-485193,115427,2380.0,21813.2
497116347,58229,0.672,0.064,0.063,-332186,-485057,115766,2380.0,21813.2
497117369,59251,0.609,0.044,-0.08,-332323,-485142,115168,2380.0,21813.2
497118391,60273,0.7,0.042,-0.061,-332125,-485149,115245,2380.0,21813.2
497119412,61294,0.755,0.096,-0.015,-332004,-484921,115440,2380.0,21813.2
497120434,62316,0.782,0.019,-0.021,-331945,-485247,115413,2380.0,21813.2
497121456,63338,0.586,0.014,-0.047,-332373,-485266,115307,2380.0,21813.2
497122478,64360,0.627,-0.004,-0.069,-332285,-485343,115211,2380.0,21813.2
497123499,65381,0.594,-0.052,-0.041,-332356,-485549,115328,2380.0,21813.2
497124521,66403,0.628,0.009,-0.011,-332281,-485291,115456,2380.0,21813.2
497125543,67425,0.698,-0.038,0.06,-332128,-485490,115751,2380.0,21813.2
497126565,68447,0.46,0.076,-0.047,-332650,-485007,115304,2380.0,21813.2
497127586,69468,0.764,0.052,-0.02,-331985,-485109,115418,2380.0,21813.2
497128608,70490,0.537,-0.014,0.102,-332481,-485386,115928,2380.0,21813.2
497129630,71512,0.582,0.062,-0.027,-332382,-485066,115390,2380.0,21813.2
497130652,72534,0.745,0.097,0.042,-332026,-484915,115677,2380.0,21813.2
497131673,73555,0.686,-0.079,0.038,-332154,-485660,115662,2380.0,21813.2
497132695,74577,0.685,-0.015,0.022,-332158,-485390,115595,2380.0,21813.2
497133717,75599,0.816,-0.046,-0.048,-331871,-485522,115300,2380.0,21813.2
497134738,76620,0.696,-0.032,0.035,-332132,-485463,115647,2380.0,21813.2
497135760,77642,0.645,-0.057,-0.039,-332245,-485568,115339,2380.0,21813.2
497136782,78664,0.595,0.053,0.045,-332354,-485105,115690,2380.0,21813.2
497137804,79686,0.648,0.012,0.039,-332238,-485277,115663,2380.0,21813.2
497138825,80707,0.705,0.036,-0.005,-332113,-485174,115482,2380.0,21813.2
497139847,81729,0.805,0.05,0.014,-331895,-485115,115562,2380.0,21813.2
497140869,82751,0.539,-0.025,0.022,-332477,-485435,115592,2380.0,21813.2
497141891,83773,0.661,-0.063,-0.007,-332209,-485594,115473,2380.0,21813.2
497142912,84794,0.607,0.014,0.02,-332327,-485266,115584,2380.0,21813.2
497143934,85816,0.539,-0.054,0.024,-332477,-485555,115603,2380.0,21813.2
497144956,86838,0.608,0.033,-0.004,-332326,-485187,115487,2380.0,21813.2
497145978,87860,0.493,-0.05,-0.026,-332578,-485539,115393,2380.0,21813.2
497146999,88881,0.512,-0.038,-0.026,-332535,-485487,115394,2380.0,21813.2
497148021,89903,0.658,-0.055,0.021,-332217,-485560,115589,2380.0,21813.2
497149043,90925,0.498,0.024,0.017,-332566,-485227,115572,2380.0,21813.2
497150065,91947,0.59,-0.054,-0.007,-332364,-485557,115474,2380.0,21813.2
497151086,92968,0.595,-0.093,-0.004,-332354,-485722,115483,2380.0,21813.2
497152108,93990,0.613,0.028,0.047,-332314,-485208,115697,2380.0,21813.2
497153130,95012,0.643,0.02,0.03,-332249,-485243,115627,2380.0,21813.2
497154152,96034,0.602,-0.075,0.069,-332339,-485643,115790,2380.0,21813.2
497155173,97055,0.73,-0.062,0.033,-332058,-485590,115639,2380.0,21813.2
